time,e32x32NrdJ1_0,e32x33NrdJ1_0,e32x30SspGyrB_0,e32x32NrdA2_0,e32x32gp411_0,e32x32gp418_0,e32x32NrdJ1_1,e32x33NrdJ1_1,e32x30SspGyrB_1,e32x32NrdA2_1,e32x32gp411_1,e32x32gp418_1,e33x32STPhoRadA_0,e33x30STPhoRadA_0,e33x30MjaKlbA_0,e33x32NrdA2_0,e33x30SspGyrB_0,e33x33NrdA2_0,e33x32STPhoRadA_1,e33x30STPhoRadA_1,e33x30MjaKlbA_1,e33x32NrdA2_1,e33x30SspGyrB_1,e33x33NrdA2_1,e34x30STNpuSspS2_0,e34x32gp411_0,e34x30SspGyrB_0,e34x30MjaKlbA_0,e34x32STIMPDH1_0,e34x32M86_0,e34x30STNpuSspS2_1,e34x32gp411_1,e34x30SspGyrB_1,e34x30MjaKlbA_1,e34x32STIMPDH1_1,e34x32M86_1,e38x32M86_0,e38x32gp418_0,e38x33MjaKlbA_0,e38x33NrdJ1_0,e38x30NpuSspS1_0,e38x30TerThyXS2_0,e38x32M86_1,e38x32gp418_1,e38x33MjaKlbA_1,e38x33NrdJ1_1,e38x30NpuSspS1_1,e38x30TerThyXS2_1,e41x30STsSspDnaX_0,e41x32NrdA2_0,e41x30SspGyrB_0,e41x32NrdJ1_0,e41x32M86_0,e41x32STPhoRadA_0,e41x30STsSspDnaX_1,e41x32NrdA2_1,e41x30SspGyrB_1,e41x32NrdJ1_1,e41x32M86_1,e41x32STPhoRadA_1,e42x32STIMPDH1_0,e42x32NrdA2_0,e42x32NrdJ1_0,e42x32M86_0,e42x33NrdJ1_0,e42x30SspGyrB_0,e42x32STIMPDH1_1,e42x32NrdA2_1,e42x32NrdJ1_1,e42x32M86_1,e42x33NrdJ1_1,e42x30SspGyrB_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,128.0,146.0,121.0,162.0,151.0,135.0,135.0,121.0,138.0,126.0,128.0,128.0,156.0,163.0,137.0,150.0,185.0,146.0,123.0,134.0,178.0,145.0,185.0,143.0,142.0,152.0,128.0,128.0,153.0,120.0,98.0,78.0,79.0,102.0,112.0,136.0,146.0,119.0,98.0,135.0,127.0,131.0,108.0,104.0,84.0,121.0,90.0,107.0,131.0,123.0,123.0,103.0,115.0,121.0,108.0,122.0,82.0,109.0,115.0,134.0,107.0,114.0,111.0,92.0,80.0,112.0,68.0,100.0,83.0,100.0,69.0,76.0,,,84.0,82.0,,,75.5,80.5,1744.5,1813.5
20,67.0,90.0,68.0,79.0,80.0,74.0,61.0,69.0,54.0,64.0,62.0,56.0,130.0,123.0,110.0,97.0,86.0,114.0,94.0,94.0,103.0,96.0,94.0,100.0,118.0,98.0,107.0,105.0,117.0,95.0,91.0,69.0,109.0,93.0,72.0,90.0,134.0,124.0,101.0,116.0,109.0,83.0,115.0,95.0,105.0,93.0,113.0,90.0,110.0,91.0,75.0,96.0,107.0,96.0,97.0,105.0,82.0,68.0,57.0,58.0,114.0,105.0,108.0,88.0,72.0,89.0,89.0,70.0,80.0,87.0,63.0,54.0,,,47.0,61.0,,,62.5,62.5,1126.5,1284.5
40,54.5,74.5,78.5,49.5,56.5,50.5,57.5,42.5,61.5,56.5,51.5,59.5,92.5,113.5,92.5,82.5,86.5,84.5,74.5,88.5,82.5,82.5,92.5,91.5,93.5,94.5,72.5,91.5,76.5,84.5,60.5,50.5,74.5,70.5,53.5,74.5,132.5,124.5,68.5,85.5,101.5,78.5,96.5,80.5,82.5,75.5,86.5,87.5,74.5,93.5,80.5,61.5,88.5,94.5,73.5,85.5,61.5,56.5,58.5,45.5,90.5,105.5,112.5,75.5,61.5,85.5,76.5,69.5,61.5,38.5,58.5,56.5,,,41.5,72.5,,,89.5,100.5,1553.5,1768.5
60,70.5,74.5,59.5,66.5,62.5,69.5,33.5,45.5,53.5,50.5,55.5,66.5,121.5,108.5,90.5,91.5,94.5,79.5,73.5,105.5,86.5,79.5,100.5,72.5,87.5,84.5,72.5,96.5,86.5,50.5,69.5,55.5,54.5,84.5,55.5,78.5,116.5,119.5,64.5,86.5,70.5,85.5,76.5,71.5,60.5,83.5,65.5,91.5,89.5,77.5,80.5,68.5,90.5,90.5,63.5,81.5,37.5,65.5,43.5,38.5,117.5,83.5,105.5,69.5,45.5,67.5,66.5,49.5,68.5,60.5,51.5,49.5,,,36.5,45.5,,,79.0,92.0,2002.0,2307.0
80,67.0,56.0,57.0,73.0,42.0,51.0,26.0,27.0,36.0,35.0,37.0,47.0,113.0,92.0,91.0,98.0,78.0,71.0,45.0,74.0,67.0,76.0,82.0,78.0,99.0,87.0,78.0,78.0,51.0,56.0,46.0,44.0,75.0,81.0,30.0,77.0,111.0,116.0,77.0,85.0,83.0,72.0,60.0,43.0,47.0,56.0,81.0,84.0,84.0,89.0,87.0,75.0,77.0,63.0,50.0,38.0,24.0,49.0,34.0,54.0,112.0,86.0,73.0,63.0,45.0,75.0,54.0,34.0,36.0,83.0,35.0,54.0,,,46.0,32.0,,,83.5,93.5,2521.5,2962.5
100,90.5,86.5,77.5,74.5,68.5,67.5,44.5,57.5,43.5,61.5,64.5,61.5,134.5,126.5,99.5,103.5,98.5,95.5,78.5,83.5,71.5,98.5,96.5,66.5,120.5,100.5,98.5,83.5,95.5,75.5,90.5,80.5,67.5,88.5,66.5,95.5,128.5,119.5,70.5,108.5,84.5,81.5,86.5,60.5,75.5,81.5,85.5,100.5,90.5,106.5,99.5,85.5,92.5,73.5,74.5,81.5,58.5,49.5,56.5,53.5,113.5,107.5,90.5,79.5,61.5,78.5,57.5,63.5,72.5,70.5,54.5,69.5,,,52.5,60.5,,,98.0,112.0,3002.0,3515.0
120,120.5,92.5,79.5,90.5,82.5,111.5,76.5,76.5,98.5,66.5,81.5,96.5,147.5,129.5,118.5,110.5,106.5,121.5,105.5,112.5,122.5,106.5,115.5,95.5,119.5,121.5,104.5,125.5,101.5,107.5,104.5,75.5,99.5,103.5,79.5,116.5,142.5,132.5,98.5,92.5,98.5,101.5,90.5,75.5,78.5,104.5,95.5,109.5,126.5,130.5,104.5,108.5,90.5,105.5,89.5,73.5,90.5,83.5,63.5,61.5,110.5,103.5,122.5,93.5,84.5,97.5,62.5,71.5,93.5,93.5,64.5,76.5,,,65.5,71.5,,,113.0,141.0,3580.0,4148.0
140,142.0,130.0,123.0,133.0,138.0,136.0,125.0,121.0,128.0,124.0,145.0,124.0,179.0,151.0,153.0,122.0,134.0,150.0,134.0,134.0,117.0,115.0,132.0,110.0,164.0,155.0,148.0,139.0,130.0,138.0,118.0,113.0,130.0,134.0,122.0,145.0,164.0,148.0,129.0,133.0,125.0,123.0,120.0,110.0,94.0,131.0,109.0,139.0,134.0,161.0,140.0,124.0,122.0,125.0,126.0,109.0,93.0,107.0,89.0,101.0,149.0,143.0,129.0,102.0,94.0,109.0,73.0,91.0,93.0,91.0,83.0,98.0,,,90.0,88.0,,,161.0,169.0,4380.0,5089.0
160,166.0,176.0,169.0,185.0,184.0,198.0,256.0,212.0,395.0,184.0,345.0,186.0,220.0,236.0,181.0,168.0,176.0,197.0,180.0,180.0,186.0,172.0,173.0,170.0,217.0,199.0,216.0,200.0,191.0,185.0,190.0,148.0,198.0,171.0,209.0,192.0,216.0,212.0,159.0,159.0,156.0,181.0,159.0,163.0,147.0,168.0,167.0,173.0,164.0,185.0,178.0,155.0,178.0,139.0,194.0,172.0,145.0,171.0,140.0,143.0,175.0,164.0,160.0,139.0,125.0,182.0,138.0,116.0,142.0,129.0,125.0,116.0,,,129.0,123.0,,,223.5,239.5,5531.5,6495.5
180,254.0,252.0,240.0,231.0,262.0,278.0,2255.0,1504.0,2784.0,542.0,2877.0,326.0,285.0,252.0,235.0,211.0,223.0,230.0,242.0,221.0,237.0,221.0,213.0,210.0,257.0,259.0,258.0,249.0,245.0,257.0,354.0,429.0,455.0,454.0,560.0,368.0,279.0,249.0,198.0,221.0,206.0,207.0,252.0,235.0,223.0,318.0,208.0,282.0,222.0,233.0,257.0,219.0,198.0,199.0,612.0,264.0,343.0,576.0,201.0,229.0,221.0,237.0,224.0,174.0,173.0,212.0,199.0,156.0,194.0,193.0,163.0,206.0,,,166.0,179.0,,,311.0,336.0,7408.0,8625.0
