time,e32x32NrdJ1_0,e32x33NrdJ1_0,e32x30SspGyrB_0,e32x32NrdA2_0,e32x32gp411_0,e32x32gp418_0,e32x32NrdJ1_1,e32x33NrdJ1_1,e32x30SspGyrB_1,e32x32NrdA2_1,e32x32gp411_1,e32x32gp418_1,e33x32STPhoRadA_0,e33x30STPhoRadA_0,e33x30MjaKlbA_0,e33x32NrdA2_0,e33x30SspGyrB_0,e33x33NrdA2_0,e33x32STPhoRadA_1,e33x30STPhoRadA_1,e33x30MjaKlbA_1,e33x32NrdA2_1,e33x30SspGyrB_1,e33x33NrdA2_1,e34x30STNpuSspS2_0,e34x32gp411_0,e34x30SspGyrB_0,e34x30MjaKlbA_0,e34x32STIMPDH1_0,e34x32M86_0,e34x30STNpuSspS2_1,e34x32gp411_1,e34x30SspGyrB_1,e34x30MjaKlbA_1,e34x32STIMPDH1_1,e34x32M86_1,e38x32M86_0,e38x32gp418_0,e38x33MjaKlbA_0,e38x33NrdJ1_0,e38x30NpuSspS1_0,e38x30TerThyXS2_0,e38x32M86_1,e38x32gp418_1,e38x33MjaKlbA_1,e38x33NrdJ1_1,e38x30NpuSspS1_1,e38x30TerThyXS2_1,e41x30STsSspDnaX_0,e41x32NrdA2_0,e41x30SspGyrB_0,e41x32NrdJ1_0,e41x32M86_0,e41x32STPhoRadA_0,e41x30STsSspDnaX_1,e41x32NrdA2_1,e41x30SspGyrB_1,e41x32NrdJ1_1,e41x32M86_1,e41x32STPhoRadA_1,e42x32STIMPDH1_0,e42x32NrdA2_0,e42x32NrdJ1_0,e42x32M86_0,e42x33NrdJ1_0,e42x30SspGyrB_0,e42x32STIMPDH1_1,e42x32NrdA2_1,e42x32NrdJ1_1,e42x32M86_1,e42x33NrdJ1_1,e42x30SspGyrB_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,0.041,0.066,0.046,0.028,0.035,0.047,0.013,0.091,0.06,0.036,0.042,0.027,0.084,0.051,0.008,0.091,0.09,0.036,0.027,0.059,0.072,0.084,0.044,0.03,0.045,0.125,0.041,0.054,0.012,0.033,-0.004,-0.008,-0.006,-0.008,-0.006,-0.002,-0.002,-0.006,0.003,-0.003,-0.002,0.022,0.004,0.003,-0.004,-0.005,-0.008,-0.002,0.016,-0.005,0.00055,-0.006,-0.006,0.038,0.005,0.013,0.004,-0.00095,5e-05,0.011,0.006,0.004,-0.005,-0.001,0.004,0.025,0.015,0.052,0.034,-0.00075,0.076,0.037,,,0.013,0.035,,,0.043,0.04,0.053,0.068
20,0.018,0.02,0.018,0.011,0.012,0.014,0.013,0.013,0.017,0.019,0.02,0.019,0.025,0.02,0.013,0.01,0.008,0.012,0.017,0.014,0.015,0.013,0.018,0.018,0.017,0.024,0.012,0.012,0.009,0.006,0.009,0.007,0.01,0.009,0.009,0.017,0.014,0.01,0.011,0.008,0.007,0.009,0.013,0.009,0.008,0.009,0.01,0.018,0.016,0.012,0.017,0.014,0.01,0.01,0.015,0.012,0.015,0.014,0.01,0.016,0.015,0.014,0.013,0.014,0.014,0.014,0.016,0.02,0.011,0.012,0.014,0.018,,,0.012,0.014,,,0.022,0.028,0.031,0.036
40,0.022,0.024,0.023,0.014,0.019,0.02,0.015,0.014,0.02,0.022,0.023,0.023,0.03,0.022,0.015,0.011,0.012,0.014,0.021,0.016,0.017,0.015,0.018,0.02,0.019,0.028,0.014,0.014,0.011,0.008,0.012,0.01,0.012,0.011,0.012,0.021,0.018,0.013,0.013,0.011,0.01,0.011,0.015,0.009,0.01,0.012,0.011,0.02,0.018,0.016,0.019,0.024,0.012,0.011,0.018,0.015,0.016,0.016,0.013,0.02,0.017,0.017,0.017,0.015,0.018,0.016,0.016,0.02,0.015,0.016,0.016,0.02,,,0.016,0.015,,,0.024,0.028,0.033,0.039
60,0.027,0.03,0.031,0.024,0.027,0.027,0.021,0.02,0.026,0.033,0.029,0.031,0.036,0.028,0.02,0.016,0.015,0.019,0.026,0.022,0.023,0.02,0.024,0.026,0.023,0.033,0.021,0.018,0.017,0.014,0.016,0.013,0.016,0.015,0.016,0.026,0.021,0.016,0.017,0.015,0.012,0.016,0.019,0.015,0.014,0.015,0.016,0.026,0.022,0.021,0.025,0.02,0.016,0.058,0.023,0.018,0.021,0.02,0.018,0.024,0.023,0.02,0.021,0.019,0.02,0.156,0.022,0.025,0.02,0.019,0.019,0.025,,,0.02,0.022,,,0.03,0.034,0.038,0.048
80,0.04,0.043,0.047,0.04,0.045,0.047,0.035,0.035,0.042,0.046,0.043,0.046,0.05,0.039,0.031,0.025,0.026,0.031,0.039,0.032,0.035,0.031,0.034,0.04,0.034,0.044,0.029,0.028,0.024,0.024,0.026,0.021,0.026,0.024,0.024,0.037,0.031,0.028,0.024,0.022,0.021,0.026,0.055,0.02,0.024,0.022,0.024,0.036,0.03,0.031,0.083,0.029,0.026,0.026,0.078,0.028,0.031,0.03,0.026,0.035,0.033,0.03,0.034,0.027,0.03,0.039,0.169,0.032,0.031,0.03,0.03,0.036,,,0.03,0.03,,,0.051,0.063,0.056,0.066
100,0.058,0.068,0.073,0.071,0.076,0.079,0.061,0.058,0.071,0.076,0.07,0.074,0.076,0.063,0.053,0.043,0.046,0.054,0.065,0.056,0.06,0.052,0.055,0.062,0.053,0.067,0.053,0.046,0.045,0.042,0.044,0.035,0.045,0.04,0.039,0.055,0.051,0.046,0.041,0.04,0.035,0.045,0.044,0.038,0.041,0.036,0.039,0.055,0.049,0.052,0.062,0.051,0.046,0.152,0.08,0.046,0.047,0.076,0.069,0.053,0.049,0.045,0.053,0.043,0.047,0.054,0.102,0.048,0.047,0.045,0.045,0.057,,,0.05,0.05,,,0.06,0.067,0.065,0.08
120,0.092,0.108,0.119,0.123,0.136,0.135,0.102,0.102,0.114,0.121,0.109,0.122,0.119,0.099,0.088,0.072,0.081,0.092,0.109,0.093,0.096,0.084,0.085,0.097,0.087,0.103,0.089,0.082,0.081,0.079,0.08,0.066,0.077,0.073,0.07,0.096,0.084,0.077,0.074,0.1,0.064,0.079,0.074,0.063,0.069,0.062,0.068,0.09,0.075,0.086,0.099,0.091,0.077,0.076,0.089,0.077,0.081,0.082,0.079,0.088,0.08,0.073,0.083,0.07,0.074,0.086,0.078,0.075,0.077,0.072,0.075,0.086,,,0.08,0.083,,,0.107,0.125,0.114,0.141
140,0.148,0.179,0.196,0.205,0.237,0.232,0.181,0.178,0.202,0.214,0.19,0.21,0.184,0.155,0.15,0.12,0.142,0.159,0.178,0.156,0.157,0.137,0.149,0.168,0.139,0.163,0.152,0.141,0.14,0.134,0.134,0.113,0.134,0.118,0.117,0.153,0.136,0.13,0.124,0.115,0.108,0.142,0.126,0.108,0.12,0.109,0.113,0.144,0.122,0.144,0.166,0.144,0.128,0.131,0.147,0.128,0.138,0.134,0.132,0.147,0.129,0.116,0.138,0.111,0.123,0.144,0.198,0.162,0.129,0.119,0.12,0.138,,,0.134,0.136,,,0.182,0.196,0.187,0.222
160,0.232,0.269,0.287,0.3,0.328,0.327,0.275,0.275,0.292,0.309,0.288,0.302,0.277,0.244,0.244,0.194,0.23,0.259,0.274,0.254,0.252,0.224,0.233,0.26,0.223,0.251,0.241,0.239,0.235,0.229,0.227,0.188,0.227,0.207,0.201,0.25,0.218,0.212,0.206,0.192,0.184,0.236,0.205,0.185,0.204,0.188,0.194,0.236,0.194,0.228,0.262,0.232,0.22,0.22,0.242,0.221,0.225,0.226,0.219,0.235,0.205,0.188,0.223,0.186,0.201,0.228,0.212,0.198,0.212,0.2,0.195,0.223,,,0.218,0.22,,,0.277,0.297,0.283,0.31
180,0.32,0.365,0.383,0.41,0.434,0.433,0.361,0.364,0.379,0.4,0.369,0.39,0.367,0.34,0.339,0.297,0.334,0.353,0.371,0.35,0.35,0.324,0.328,0.341,0.309,0.343,0.332,0.329,0.328,0.317,0.314,0.285,0.31,0.297,0.284,0.325,0.303,0.302,0.296,0.288,0.269,0.322,0.296,0.278,0.351,0.279,0.289,0.321,0.279,0.316,0.349,0.321,0.307,0.396,0.324,0.308,0.364,0.311,0.305,0.313,0.295,0.277,0.32,0.276,0.29,0.379,0.295,0.286,0.299,0.287,0.286,0.3,,,0.308,0.305,,,0.372,0.389,0.375,0.401
200,0.409,0.472,0.487,0.516,0.542,0.536,0.453,0.45,0.461,0.483,0.452,0.47,0.47,0.446,0.449,0.389,0.446,0.461,0.467,0.447,0.451,0.418,0.429,0.442,0.403,0.454,0.439,0.441,0.436,0.424,0.417,0.364,0.406,0.386,0.375,0.416,0.404,0.41,0.401,0.384,0.365,0.438,0.396,0.367,0.392,0.372,0.426,0.425,0.373,0.425,0.452,0.429,0.425,0.428,0.424,0.409,0.401,0.406,0.455,0.411,0.388,0.372,0.421,0.364,0.382,0.437,0.384,0.39,0.39,0.373,0.372,0.387,,,0.409,0.41,,,0.508,0.528,0.504,0.533
220,0.504,0.588,0.605,0.656,0.686,0.681,0.545,0.541,0.55,0.582,0.546,0.565,0.575,0.558,0.563,0.496,0.557,0.587,0.56,0.558,0.546,0.51,0.519,0.531,0.512,0.569,0.553,0.552,0.544,0.537,0.504,0.452,0.48,0.47,0.458,0.486,0.504,0.512,0.505,0.494,0.468,0.54,0.549,0.533,0.481,0.462,0.476,0.513,0.472,0.533,0.57,0.531,0.526,0.53,0.563,0.562,0.484,0.489,0.476,0.493,0.494,0.477,0.525,0.477,0.494,0.54,0.476,0.499,0.559,0.463,0.468,0.47,,,0.511,0.512,,,0.638,0.666,0.634,0.671
240,0.638,0.75,0.767,0.811,0.842,0.832,0.664,0.67,0.676,0.72,0.666,0.717,0.724,0.706,0.713,0.607,0.685,0.727,0.669,0.676,0.665,0.602,0.619,0.647,0.633,0.72,0.698,0.698,0.692,0.686,0.601,0.539,0.573,0.559,0.541,0.574,0.636,0.641,0.641,0.612,0.578,0.699,0.581,0.556,0.579,0.556,0.573,0.618,0.594,0.688,0.725,0.666,0.656,0.667,0.601,0.59,0.571,0.57,0.559,0.584,0.615,0.596,0.655,0.594,0.609,0.673,0.565,0.552,0.572,0.551,0.556,0.558,,,0.648,0.653,,,0.794,0.827,0.794,0.855
260,0.77,0.861,0.869,0.898,0.897,0.899,0.805,0.802,0.8,0.857,0.788,0.834,0.854,0.836,0.848,0.76,0.836,0.865,0.821,0.813,0.801,0.743,0.763,0.791,0.783,0.79,0.841,0.841,0.829,0.805,0.727,0.641,0.682,0.654,0.645,0.679,0.773,0.786,0.782,0.759,0.722,0.825,0.702,0.676,0.704,0.669,0.7,0.75,0.736,0.82,0.852,0.808,0.806,0.807,0.715,0.698,0.686,0.705,0.692,0.709,0.753,0.744,0.802,0.725,0.753,0.814,0.671,0.658,0.687,0.657,0.673,0.668,,,0.777,0.786,,,0.889,0.913,0.895,0.912
