time,e15x32NrdA2_0,e15x30CthTer_0,e15x30STPhoRadA_0,e15x30NpuSspS1_0,e15x32STPhoRadA_0,e15x32CthTer_0,e15x32NrdA2_1,e15x30CthTer_1,e15x30STPhoRadA_1,e15x30NpuSspS1_1,e15x32STPhoRadA_1,e15x32CthTer_1,e16x32CthTer_0,e16x30SaPdpol_0,e16x32gp418_0,e17x33NrdJ1_0,e17x32NrdJ1_0,e17x32gp418_0,e16x32CthTer_1,e16x30SaPdpol_1,e16x32gp418_1,e17x33NrdJ1_1,e17x32NrdJ1_1,e17x32gp418_1,e17x30STPhoRadA_0,e17x32CthTer_0,e17x30MPMDnaB_0,e20x33NrdJ1_0,e20x30STIMPDH1_0,e20x30MjaKlbA_0,e17x30STPhoRadA_1,e17x32CthTer_1,e17x30MPMDnaB_1,e20x33NrdJ1_1,e20x30STIMPDH1_1,e20x30MjaKlbA_1,e20x30SaPdpol_0,e20x32CthTer_0,e22x33NrdJ1_0,e22x32NrdJ1_0,e22x32STPhoRadA_0,e22x30MjaKlbA_0,e20x30SaPdpol_1,e20x32CthTer_1,e22x33NrdJ1_1,e22x32NrdJ1_1,e22x32STPhoRadA_1,e22x30MjaKlbA_1,e22x33MjaKlbA_0,e22x30MPMDnaB_0,e32x33NrdA2_0,e32x30STPhoRadA_0,e32x30NpuSspS1_0,e32x32CthTer_0,e22x33MjaKlbA_1,e22x30MPMDnaB_1,e32x33NrdA2_1,e32x30STPhoRadA_1,e32x30NpuSspS1_1,e32x32CthTer_1,e34x30STPhoRadA_0,e34x33NrdA2_0,e34x30CthTer_0,e34x32gp418_0,e34x33MjaKlbA_0,e34x30STPhoRadA_1,e34x33NrdA2_1,e34x30CthTer_1,e34x32gp418_1,e34x33MjaKlbA_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,36.5,30.5,22.5,22.5,24.5,39.5,41.5,26.5,39.5,51.5,37.5,34.5,49.5,70.5,51.5,68.5,50.5,47.5,43.5,26.5,46.5,35.5,37.5,37.5,60.5,49.5,42.5,63.5,47.5,61.5,44.5,47.5,44.5,59.5,44.5,48.5,57.5,43.5,45.5,41.5,53.5,44.5,18.5,29.5,24.5,34.5,34.5,20.5,38.5,70.5,65.5,50.5,47.5,51.5,64.5,51.5,67.5,60.5,46.5,28.5,30.5,47.5,36.5,48.5,50.5,23.5,29.5,26.5,27.5,39.5,,,18.5,30.5,,39.0,35.0,455.0,750.0
20,8.5,20.5,15.5,7.5,13.5,6.5,12.5,14.5,11.5,6.5,12.5,4.5,41.5,51.5,45.5,43.5,47.5,46.5,39.5,43.5,34.5,27.5,35.5,37.5,42.5,47.5,40.5,33.5,41.5,48.5,45.5,35.5,38.5,32.5,22.5,29.5,40.5,41.5,37.5,41.5,36.5,34.5,20.5,27.5,29.5,36.5,32.5,27.5,39.5,47.5,39.5,39.5,34.5,36.5,35.5,33.5,34.5,26.5,13.5,13.5,36.5,38.5,32.5,29.5,37.5,37.5,23.5,24.5,21.5,25.5,,,21.5,16.5,,31.0,36.0,528.0,534.0
40,14.5,5.5,2.5,-1.5,4.5,-2.5,1.5,-0.5,-2.5,1.5,-0.5,-2.5,48.5,37.5,31.5,23.5,32.5,39.5,23.5,25.5,32.5,19.5,28.5,16.5,30.5,45.5,28.5,24.5,30.5,28.5,32.5,13.5,23.5,26.5,15.5,6.5,35.5,26.5,25.5,25.5,29.5,22.5,9.5,6.5,12.5,13.5,26.5,17.5,31.5,38.5,26.5,19.5,26.5,26.5,31.5,21.5,25.5,28.5,11.5,5.5,25.5,24.5,29.5,30.5,35.5,25.5,22.5,24.5,0.5,12.5,,,31.5,11.5,,35.0,24.0,695.0,719.0
60,23.5,16.5,14.5,3.5,16.5,8.5,5.5,-2.5,-5.5,-0.5,10.5,4.5,40.5,41.5,35.5,31.5,41.5,47.5,38.5,29.5,35.5,20.5,32.5,32.5,39.5,38.5,33.5,26.5,25.5,30.5,31.5,23.5,19.5,17.5,20.5,20.5,31.5,27.5,35.5,37.5,35.5,34.5,15.5,16.5,20.5,31.5,8.5,20.5,26.5,36.5,37.5,31.5,23.5,34.5,22.5,14.5,27.5,27.5,7.5,7.5,39.5,39.5,36.5,25.5,22.5,34.5,35.5,26.5,12.5,28.5,,,24.5,20.5,,31.0,28.0,884.0,938.0
80,16.5,4.5,1.5,4.5,3.5,3.5,1.5,-11.5,1.5,2.5,-0.5,-7.5,34.5,34.5,25.5,34.5,28.5,28.5,16.5,18.5,22.5,17.5,15.5,27.5,38.5,44.5,19.5,15.5,32.5,18.5,23.5,23.5,21.5,12.5,17.5,13.5,34.5,33.5,24.5,25.5,21.5,17.5,3.5,0.5,16.5,11.5,2.5,13.5,25.5,28.5,37.5,22.5,19.5,28.5,18.5,20.5,29.5,11.5,3.5,-2.5,20.5,42.5,25.5,22.5,27.5,24.5,13.5,17.5,11.5,6.5,,,7.5,9.5,,59.0,56.0,1135.0,1215.0
100,19.5,11.5,7.5,11.5,11.5,11.5,5.5,-4.5,7.5,-2.5,3.5,-8.5,51.5,41.5,33.5,32.5,41.5,36.5,27.5,31.5,33.5,30.5,30.5,27.5,48.5,45.5,36.5,21.5,14.5,36.5,24.5,22.5,21.5,13.5,18.5,21.5,40.5,41.5,23.5,30.5,23.5,37.5,16.5,15.5,20.5,17.5,10.5,20.5,40.5,29.5,31.5,26.5,33.5,31.5,32.5,13.5,20.5,15.5,5.5,12.5,32.5,51.5,35.5,33.5,36.5,29.5,23.5,31.5,8.5,24.5,,,16.5,24.5,,51.0,45.0,1315.0,1432.0
120,33.5,18.5,14.5,17.5,13.5,2.5,6.5,2.5,15.5,4.5,13.5,5.5,60.5,50.5,41.5,39.5,42.5,49.5,38.5,37.5,37.5,41.5,41.5,29.5,54.5,48.5,34.5,35.5,45.5,35.5,31.5,21.5,29.5,22.5,23.5,34.5,49.5,41.5,43.5,44.5,29.5,44.5,17.5,20.5,23.5,31.5,20.5,28.5,47.5,51.5,35.5,39.5,42.5,32.5,36.5,19.5,34.5,24.5,21.5,8.5,48.5,42.5,40.5,37.5,48.5,53.5,24.5,32.5,27.5,25.5,,,35.5,32.5,,83.0,67.0,1601.0,1710.0
140,50.5,32.5,34.5,26.5,36.5,30.5,30.5,21.5,28.5,28.5,14.5,31.5,63.5,65.5,49.5,52.5,48.5,52.5,47.5,52.5,45.5,44.5,47.5,48.5,68.5,60.5,48.5,45.5,65.5,51.5,47.5,46.5,34.5,47.5,38.5,46.5,65.5,49.5,51.5,63.5,46.5,61.5,27.5,33.5,35.5,44.5,43.5,48.5,63.5,61.5,50.5,30.5,43.5,48.5,49.5,33.5,40.5,45.5,20.5,24.5,62.5,61.5,56.5,43.5,58.5,62.5,44.5,41.5,35.5,45.5,,,39.5,37.5,,87.0,89.0,1984.0,2173.0
160,74.0,54.0,50.0,50.0,56.0,56.0,60.0,41.0,49.0,41.0,57.0,53.0,87.0,77.0,74.0,73.0,77.0,78.0,66.0,66.0,60.0,61.0,77.0,66.0,83.0,75.0,65.0,65.0,77.0,67.0,70.0,52.0,58.0,69.0,67.0,69.0,73.0,68.0,60.0,71.0,61.0,71.0,53.0,55.0,56.0,50.0,56.0,61.0,88.0,74.0,74.0,76.0,60.0,60.0,65.0,59.0,67.0,60.0,39.0,44.0,85.0,92.0,82.0,81.0,83.0,97.0,84.0,66.0,56.0,70.0,,,72.0,58.0,,123.0,122.0,2548.0,2717.0
180,116.5,104.5,84.5,88.5,80.5,90.5,144.5,99.5,116.5,95.5,101.5,96.5,131.5,110.5,104.5,115.5,107.5,111.5,107.5,99.5,102.5,232.5,296.5,119.5,119.5,111.5,103.5,91.5,112.5,104.5,123.5,81.5,85.5,205.5,289.5,168.5,109.5,100.5,107.5,105.5,103.5,99.5,82.5,80.5,96.5,95.5,82.5,97.5,119.5,106.5,110.5,105.5,93.5,102.5,106.5,94.5,95.5,122.5,72.5,82.5,122.5,126.5,118.5,108.5,117.5,279.5,186.5,97.5,97.5,108.5,,,99.5,93.5,,156.0,169.0,3404.0,3711.0
