time,e15x32NrdA2_0,e15x30CthTer_0,e15x30STPhoRadA_0,e15x30NpuSspS1_0,e15x32STPhoRadA_0,e15x32CthTer_0,e15x32NrdA2_1,e15x30CthTer_1,e15x30STPhoRadA_1,e15x30NpuSspS1_1,e15x32STPhoRadA_1,e15x32CthTer_1,e16x32CthTer_0,e16x30SaPdpol_0,e16x32gp418_0,e17x33NrdJ1_0,e17x32NrdJ1_0,e17x32gp418_0,e16x32CthTer_1,e16x30SaPdpol_1,e16x32gp418_1,e17x33NrdJ1_1,e17x32NrdJ1_1,e17x32gp418_1,e17x30STPhoRadA_0,e17x32CthTer_0,e17x30MPMDnaB_0,e20x33NrdJ1_0,e20x30STIMPDH1_0,e20x30MjaKlbA_0,e17x30STPhoRadA_1,e17x32CthTer_1,e17x30MPMDnaB_1,e20x33NrdJ1_1,e20x30STIMPDH1_1,e20x30MjaKlbA_1,e20x30SaPdpol_0,e20x32CthTer_0,e22x33NrdJ1_0,e22x32NrdJ1_0,e22x32STPhoRadA_0,e22x30MjaKlbA_0,e20x30SaPdpol_1,e20x32CthTer_1,e22x33NrdJ1_1,e22x32NrdJ1_1,e22x32STPhoRadA_1,e22x30MjaKlbA_1,e22x33MjaKlbA_0,e22x30MPMDnaB_0,e32x33NrdA2_0,e32x30STPhoRadA_0,e32x30NpuSspS1_0,e32x32CthTer_0,e22x33MjaKlbA_1,e22x30MPMDnaB_1,e32x33NrdA2_1,e32x30STPhoRadA_1,e32x30NpuSspS1_1,e32x32CthTer_1,e34x30STPhoRadA_0,e34x33NrdA2_0,e34x30CthTer_0,e34x32gp418_0,e34x33MjaKlbA_0,e34x30STPhoRadA_1,e34x33NrdA2_1,e34x30CthTer_1,e34x32gp418_1,e34x33MjaKlbA_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,44.5,57.5,27.5,36.5,34.5,40.5,78.5,45.5,75.5,79.5,79.5,73.5,100.5,109.5,79.5,107.5,89.5,83.5,81.5,52.5,66.5,84.5,73.5,74.5,121.5,96.5,81.5,70.5,113.5,98.5,68.5,79.5,86.5,84.5,100.5,85.5,71.5,78.5,74.5,50.5,65.5,68.5,11.5,46.5,55.5,52.5,50.5,52.5,83.5,110.5,106.5,87.5,82.5,87.5,129.5,81.5,123.5,109.5,64.5,52.5,67.5,71.5,70.5,75.5,105.5,54.5,52.5,46.5,58.5,53.5,,,45.5,52.5,,68.0,25.0,833.0,1392.0
20,38.0,30.0,29.0,1.0,12.0,24.0,25.0,16.0,16.0,0.0,26.0,13.0,85.0,108.0,94.0,73.0,77.0,91.0,82.0,64.0,74.0,66.0,63.0,63.0,90.0,83.0,65.0,79.0,81.0,75.0,56.0,60.0,61.0,60.0,49.0,43.0,97.0,55.0,55.0,60.0,88.0,91.0,32.0,51.0,66.0,62.0,49.0,50.0,76.0,83.0,88.0,63.0,69.0,97.0,75.0,69.0,66.0,74.0,21.0,28.0,68.0,90.0,66.0,57.0,85.0,56.0,46.0,50.0,22.0,74.0,,,45.0,43.0,,61.0,54.0,1000.0,1031.0
40,18.0,9.0,14.0,12.0,-1.0,5.0,7.0,11.0,-2.0,-1.0,10.0,11.0,79.0,86.0,61.0,62.0,68.0,56.0,38.0,55.0,58.0,32.0,46.0,67.0,75.0,96.0,64.0,47.0,71.0,53.0,62.0,55.0,46.0,66.0,40.0,32.0,71.0,68.0,58.0,43.0,55.0,59.0,18.0,34.0,25.0,56.0,42.0,34.0,84.0,67.0,68.0,52.0,52.0,50.0,61.0,37.0,43.0,47.0,7.0,18.0,65.0,63.0,54.0,55.0,46.0,47.0,43.0,58.0,33.0,45.0,,,22.0,41.0,,85.0,69.0,1383.0,1392.0
60,6.5,15.5,6.5,15.5,1.5,6.5,8.5,10.5,-11.5,-19.5,9.5,1.5,73.5,96.5,50.5,63.5,50.5,65.5,48.5,63.5,36.5,44.5,45.5,50.5,51.5,65.5,70.5,29.5,61.5,21.5,39.5,34.5,16.5,33.5,25.5,27.5,82.5,69.5,58.5,49.5,42.5,48.5,19.5,23.5,35.5,25.5,39.5,24.5,54.5,71.5,69.5,54.5,54.5,32.5,44.5,43.5,37.5,33.5,18.5,2.5,50.5,67.5,69.5,25.5,64.5,39.5,12.5,29.5,27.5,35.5,,,24.5,36.5,,61.0,60.0,1771.0,1858.0
80,27.0,-1.0,7.0,12.0,-3.0,5.0,9.0,-9.0,3.0,7.0,9.0,2.0,81.0,61.0,57.0,50.0,63.0,70.0,47.0,50.0,58.0,27.0,51.0,29.0,70.0,73.0,49.0,54.0,49.0,62.0,38.0,12.0,37.0,33.0,56.0,39.0,65.0,68.0,53.0,65.0,44.0,44.0,14.0,8.0,24.0,31.0,17.0,37.0,60.0,70.0,67.0,43.0,33.0,44.0,41.0,31.0,11.0,35.0,16.0,17.0,51.0,67.0,44.0,35.0,55.0,37.0,30.0,45.0,7.0,42.0,,,42.0,17.0,,95.0,89.0,2169.0,2357.0
100,52.0,29.0,1.0,18.0,25.0,13.0,-3.0,16.0,27.0,2.0,42.0,35.0,121.0,110.0,94.0,88.0,80.0,86.0,75.0,51.0,69.0,39.0,55.0,79.0,88.0,112.0,57.0,73.0,74.0,73.0,66.0,37.0,55.0,24.0,57.0,49.0,70.0,59.0,47.0,64.0,63.0,66.0,24.0,33.0,32.0,43.0,41.0,46.0,83.0,92.0,66.0,70.0,61.0,60.0,42.0,26.0,38.0,54.0,13.0,22.0,76.0,104.0,71.0,57.0,84.0,50.0,63.0,58.0,47.0,52.0,,,90.0,43.0,,128.0,97.0,2590.0,2802.0
120,69.0,40.0,39.0,33.0,27.0,28.0,34.0,26.0,40.0,29.0,31.0,29.0,91.0,114.0,74.0,82.0,84.0,83.0,82.0,61.0,61.0,77.0,74.0,56.0,94.0,106.0,84.0,72.0,81.0,75.0,55.0,55.0,70.0,56.0,53.0,65.0,99.0,94.0,85.0,71.0,78.0,93.0,33.0,50.0,52.0,64.0,61.0,72.0,96.0,88.0,80.0,82.0,77.0,67.0,73.0,83.0,62.0,50.0,23.0,45.0,87.0,101.0,84.0,80.0,86.0,101.0,61.0,88.0,42.0,67.0,,,61.0,76.0,,139.0,125.0,3095.0,3390.0
140,92.5,84.5,49.5,67.5,70.5,54.5,84.5,57.5,51.5,76.5,49.5,50.5,137.5,129.5,120.5,124.5,101.5,120.5,104.5,110.5,105.5,95.5,102.5,123.5,127.5,137.5,91.5,92.5,110.5,105.5,95.5,75.5,72.5,89.5,81.5,99.5,120.5,102.5,98.5,94.5,82.5,100.5,66.5,74.5,73.5,65.5,70.5,75.5,129.5,123.5,107.5,118.5,84.5,109.5,82.5,101.5,89.5,83.5,54.5,73.5,102.5,139.5,128.5,109.5,125.5,133.5,121.5,109.5,86.5,99.5,,,91.5,84.5,,162.0,166.0,3861.0,4204.0
160,170.5,118.5,90.5,121.5,120.5,112.5,143.5,116.5,117.5,97.5,112.5,118.5,186.5,182.5,162.5,165.5,157.5,160.5,144.5,144.5,165.5,146.5,162.5,152.5,190.5,183.5,146.5,139.5,139.5,171.5,160.5,135.5,132.5,151.5,125.5,128.5,162.5,154.5,161.5,154.5,150.5,165.5,91.5,117.5,131.5,125.5,119.5,109.5,186.5,157.5,170.5,153.5,156.5,156.5,158.5,141.5,137.5,133.5,107.5,103.5,178.5,178.5,175.5,165.5,180.5,196.5,186.5,140.5,137.5,145.5,,,153.5,148.5,,203.0,202.0,4931.0,5319.0
180,202.5,192.5,139.5,153.5,161.5,167.5,239.5,176.5,205.5,139.5,186.5,157.5,240.5,203.5,187.5,183.5,197.5,205.5,218.5,177.5,193.5,455.5,566.5,213.5,198.5,208.5,182.5,176.5,185.5,186.5,237.5,143.5,168.5,422.5,574.5,326.5,205.5,190.5,174.5,180.5,177.5,169.5,137.5,130.5,181.5,166.5,159.5,177.5,231.5,180.5,197.5,181.5,144.5,168.5,166.5,158.5,180.5,213.5,136.5,140.5,210.5,242.5,217.5,218.5,222.5,565.5,352.5,186.5,172.5,193.5,,,187.5,168.5,,290.0,324.0,6632.0,7227.0
