time,e15x32NrdA2_0,e15x30CthTer_0,e15x30STPhoRadA_0,e15x30NpuSspS1_0,e15x32STPhoRadA_0,e15x32CthTer_0,e15x32NrdA2_1,e15x30CthTer_1,e15x30STPhoRadA_1,e15x30NpuSspS1_1,e15x32STPhoRadA_1,e15x32CthTer_1,e16x32CthTer_0,e16x30SaPdpol_0,e16x32gp418_0,e17x33NrdJ1_0,e17x32NrdJ1_0,e17x32gp418_0,e16x32CthTer_1,e16x30SaPdpol_1,e16x32gp418_1,e17x33NrdJ1_1,e17x32NrdJ1_1,e17x32gp418_1,e17x30STPhoRadA_0,e17x32CthTer_0,e17x30MPMDnaB_0,e20x33NrdJ1_0,e20x30STIMPDH1_0,e20x30MjaKlbA_0,e17x30STPhoRadA_1,e17x32CthTer_1,e17x30MPMDnaB_1,e20x33NrdJ1_1,e20x30STIMPDH1_1,e20x30MjaKlbA_1,e20x30SaPdpol_0,e20x32CthTer_0,e22x33NrdJ1_0,e22x32NrdJ1_0,e22x32STPhoRadA_0,e22x30MjaKlbA_0,e20x30SaPdpol_1,e20x32CthTer_1,e22x33NrdJ1_1,e22x32NrdJ1_1,e22x32STPhoRadA_1,e22x30MjaKlbA_1,e22x33MjaKlbA_0,e22x30MPMDnaB_0,e32x33NrdA2_0,e32x30STPhoRadA_0,e32x30NpuSspS1_0,e32x32CthTer_0,e22x33MjaKlbA_1,e22x30MPMDnaB_1,e32x33NrdA2_1,e32x30STPhoRadA_1,e32x30NpuSspS1_1,e32x32CthTer_1,e34x30STPhoRadA_0,e34x33NrdA2_0,e34x30CthTer_0,e34x32gp418_0,e34x33MjaKlbA_0,e34x30STPhoRadA_1,e34x33NrdA2_1,e34x30CthTer_1,e34x32gp418_1,e34x33MjaKlbA_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,0.016,0.003,0.00075,0.002,0.062,0.07,0.031,-0.004,-0.003,0.012,0.037,0.066,0.064,0.021,0.065,0.006,0.019,-0.002,0.006,0.023,-0.003,-0.001,0.004,0.008,0.066,-0.00045,0.02,0.068,0.164,0.007,-0.00035,0.00095,-0.002,0.002,0.011,0.007,0.003,0.00075,0.012,0.02,0.006,0.001,0.004,0.002,0.001,-0.003,-0.00015,0.021,0.009,0.017,-0.00095,0.003,0.037,0.022,0.001,0.031,0.003,-0.003,0.002,0.012,0.008,0.004,0.015,0.009,0.042,0.006,0.002,-0.001,0.002,0.004,,,0.029,0.003,,0.02,0.013,0.011,0.034
20,0.012,0.01,0.007,0.009,0.007,0.012,0.012,0.008,0.009,0.009,0.014,0.014,0.012,0.011,0.009,0.007,0.007,0.004,0.006,0.006,0.007,0.008,0.012,0.016,0.007,0.006,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.006,0.007,0.015,0.011,0.006,0.008,0.007,0.005,0.003,0.007,0.004,0.006,0.006,0.007,0.012,0.008,0.003,0.005,0.005,0.005,0.006,0.006,0.005,0.004,0.003,0.006,0.01,0.008,0.008,0.008,0.007,0.008,0.011,0.007,0.006,0.007,0.01,,,0.01,0.01,,0.02,0.021,0.026,0.028
40,0.019,0.016,0.013,0.014,0.013,0.018,0.02,0.014,0.016,0.016,0.019,0.021,0.019,0.022,0.013,0.015,0.014,0.01,0.012,0.013,0.014,0.014,0.018,0.02,0.015,0.011,0.011,0.012,0.01,0.012,0.01,0.01,0.01,0.012,0.012,0.02,0.016,0.012,0.013,0.013,0.012,0.009,0.011,0.011,0.012,0.012,0.011,0.018,0.016,0.009,0.011,0.012,0.011,0.013,0.013,0.009,0.011,0.011,0.011,0.017,0.017,0.017,0.014,0.014,0.013,0.017,0.014,0.013,0.013,0.016,,,0.016,0.016,,0.022,0.025,0.032,0.031
60,0.023,0.02,0.016,0.019,0.018,0.021,0.025,0.018,0.02,0.021,0.024,0.026,0.022,0.016,0.016,0.016,0.016,0.014,0.016,0.016,0.016,0.017,0.021,0.025,0.018,0.013,0.015,0.015,0.011,0.014,0.013,0.012,0.013,0.014,0.015,0.022,0.018,0.014,0.018,0.014,0.014,0.013,0.015,0.013,0.016,0.016,0.015,0.022,0.02,0.012,0.014,0.015,0.012,0.015,0.017,0.012,0.013,0.014,0.014,0.02,0.017,0.018,0.017,0.016,0.016,0.022,0.017,0.015,0.016,0.019,,,0.022,0.022,,0.028,0.033,0.038,0.042
80,0.041,0.036,0.03,0.034,0.034,0.039,0.043,0.036,0.039,0.038,0.042,0.043,0.037,0.038,0.029,0.031,0.031,0.027,0.03,0.029,0.036,0.03,0.035,0.038,0.032,0.028,0.029,0.029,0.026,0.03,0.028,0.027,0.024,0.029,0.03,0.037,0.032,0.03,0.035,0.032,0.027,0.026,0.03,0.028,0.029,0.029,0.028,0.039,0.036,0.026,0.028,0.027,0.027,0.029,0.033,0.026,0.027,0.028,0.028,0.034,0.03,0.033,0.031,0.03,0.045,0.039,0.031,0.03,0.031,0.034,,,0.038,0.037,,0.046,0.052,0.055,0.057
100,0.068,0.061,0.05,0.056,0.056,0.062,0.07,0.06,0.06,0.057,0.064,0.066,0.062,0.051,0.049,0.053,0.052,0.05,0.055,0.049,0.053,0.052,0.056,0.059,0.056,0.047,0.046,0.047,0.043,0.047,0.052,0.046,0.043,0.046,0.046,0.055,0.052,0.045,0.05,0.05,0.044,0.043,0.047,0.045,0.048,0.047,0.045,0.055,0.055,0.043,0.054,0.076,0.043,0.048,0.055,0.042,0.044,0.042,0.045,0.057,0.048,0.051,0.051,0.05,0.05,0.062,0.051,0.046,0.047,0.052,,,0.061,0.059,,0.071,0.086,0.082,0.088
120,0.112,0.094,0.084,0.09,0.093,0.101,0.118,0.1,0.103,0.1,0.104,0.105,0.094,0.084,0.077,0.083,0.083,0.08,0.086,0.078,0.084,0.083,0.084,0.091,0.091,0.08,0.076,0.076,0.072,0.082,0.084,0.077,0.068,0.079,0.075,0.09,0.082,0.076,0.083,0.079,0.077,0.076,0.08,0.078,0.081,0.079,0.076,0.088,0.094,0.069,0.075,0.074,0.159,0.091,0.089,0.07,0.075,0.073,0.075,0.084,0.076,0.086,0.083,0.081,0.083,0.103,0.083,0.077,0.077,0.086,,,0.104,0.096,,0.119,0.137,0.131,0.139
140,0.188,0.157,0.144,0.16,0.159,0.169,0.202,0.17,0.169,0.162,0.173,0.17,0.154,0.125,0.13,0.141,0.136,0.139,0.147,0.136,0.147,0.141,0.144,0.153,0.154,0.132,0.128,0.125,0.127,0.138,0.141,0.133,0.12,0.132,0.127,0.147,0.14,0.141,0.143,0.135,0.127,0.132,0.165,0.133,0.135,0.133,0.129,0.142,0.16,0.137,0.137,0.124,0.118,0.136,0.19,0.123,0.13,0.125,0.123,0.137,0.13,0.147,0.139,0.137,0.143,0.172,0.142,0.129,0.126,0.142,,,0.166,0.162,,0.194,0.222,0.208,0.224
160,0.286,0.245,0.232,0.253,0.251,0.275,0.305,0.274,0.269,0.264,0.274,0.272,0.246,0.205,0.208,0.232,0.224,0.226,0.239,0.218,0.229,0.229,0.236,0.251,0.241,0.223,0.215,0.206,0.215,0.234,0.239,0.22,0.196,0.222,0.215,0.235,0.228,0.208,0.229,0.225,0.214,0.221,0.221,0.217,0.258,0.276,0.215,0.229,0.257,0.196,0.248,0.208,0.195,0.227,0.255,0.204,0.252,0.244,0.214,0.225,0.214,0.237,0.228,0.228,0.232,0.269,0.231,0.215,0.215,0.228,,,0.271,0.255,,0.292,0.318,0.301,0.31
180,0.377,0.337,0.318,0.342,0.342,0.352,0.383,0.35,0.352,0.345,0.354,0.347,0.338,0.302,0.302,0.326,0.316,0.326,0.328,0.313,0.321,0.318,0.322,0.336,0.337,0.324,0.311,0.304,0.309,0.327,0.325,0.316,0.295,0.314,0.307,0.324,0.32,0.299,0.321,0.316,0.303,0.315,0.315,0.306,0.318,0.31,0.304,0.318,0.349,0.295,0.314,0.299,0.315,0.356,0.345,0.314,0.316,0.301,0.3,0.31,0.31,0.334,0.322,0.323,0.322,0.357,0.32,0.302,0.302,0.313,,,0.358,0.344,,0.39,0.425,0.403,0.419
