time,e15x30TerThyXS2_0,e15x30TvoVMA_0,e15x30TerThyXS1_0,e15x32gp418_0,e16x30TerThyXS1_0,e16x30CthTer_0,e15x30TerThyXS2_1,e15x30TvoVMA_1,e15x30TerThyXS1_1,e15x32gp418_1,e16x30TerThyXS1_1,e16x30CthTer_1,e17x30MjaKlbA_0,e17x33MjaKlbA_0,e17x32STPhoRadA_0,e17x32STIMPDH1_0,e17x30CthTer_0,e17x30SaPdpol_0,e17x30MjaKlbA_1,e17x33MjaKlbA_1,e17x32STPhoRadA_1,e17x32STIMPDH1_1,e17x30CthTer_1,e17x30SaPdpol_1,e20x30STPhoRadA_0,e20x32NrdA2_0,e20x33NrdA2_0,e20x32STPhoRadA_0,e20x33MjaKlbA_0,e20x32gp418_0,e20x30STPhoRadA_1,e20x32NrdA2_1,e20x33NrdA2_1,e20x32STPhoRadA_1,e20x33MjaKlbA_1,e20x32gp418_1,e22x30STPhoRadA_0,e22x30SaPdpol_0,e22x32gp418_0,e22x32STIMPDH1_0,e22x30CthTer_0,e22x32CthTer_0,e22x30STPhoRadA_1,e22x30SaPdpol_1,e22x32gp418_1,e22x32STIMPDH1_1,e22x30CthTer_1,e22x32CthTer_1,e33x32CthTer_0,e33x30SaPdpol_0,e33x30TerThyXS1_0,e34x32NrdJ1_0,e34x32NrdA2_0,e34x33NrdJ1_0,e33x32CthTer_1,e33x30SaPdpol_1,e33x30TerThyXS1_1,e34x32NrdJ1_1,e34x32NrdA2_1,e34x33NrdJ1_1,e34x30SaPdpol_0,e38x32CthTer_0,e41x32gp418_0,e42x33NrdA2_0,e42x32STPhoRadA_0,e42x30SaPdpol_0,e34x30SaPdpol_1,e38x32CthTer_1,e41x32gp418_1,e42x33NrdA2_1,e42x32STPhoRadA_1,e42x30SaPdpol_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
1180,3771.5,3579.5,3543.5,3628.5,3856.5,3999.5,5464.5,4063.5,4055.5,4193.5,8672.5,8144.5,3931.5,3842.5,3821.5,3918.5,3924.5,4011.5,93475.5,10638.5,52488.5,97768.5,22918.5,24243.5,3831.5,3607.5,3630.5,3769.5,3793.5,3903.5,89494.5,48035.5,12175.5,93714.5,11657.5,8514.5,4054.5,3797.5,3787.5,3930.5,3921.5,4046.5,44696.5,6578.5,8638.5,53836.5,23902.5,16301.5,3742.5,3561.5,3525.5,3953.5,4076.5,4157.5,3879.5,3967.5,4009.5,10824.5,12273.5,7940.5,4356.5,3946.5,3678.5,3565.5,3674.5,3652.5,6685.5,31204.5,5607.5,5067.5,4831.5,4423.5,,,3297.5,3331.5,,,3870.5,3790.5,64752.5,66424.5
1200,3772.0,3578.0,3536.0,3613.0,3915.0,4047.0,5509.0,4089.0,4083.0,4200.0,8766.0,8153.0,3994.0,3862.0,3848.0,3937.0,3975.0,4064.0,94054.0,10581.0,52654.0,98043.0,22965.0,24379.0,3870.0,3633.0,3677.0,3799.0,3804.0,3943.0,88769.0,48270.0,12200.0,93863.0,11728.0,8567.0,4078.0,3889.0,3831.0,3935.0,3994.0,4117.0,44711.0,6616.0,8624.0,53584.0,23911.0,16398.0,3759.0,3605.0,3574.0,4022.0,4113.0,4243.0,3892.0,3986.0,4033.0,10821.0,9429.0,8023.0,4423.0,4021.0,3717.0,3632.0,3687.0,3729.0,6787.0,31004.0,5679.0,5192.0,4875.0,4511.0,,,3360.0,3372.0,,,3929.5,3818.5,64334.5,65744.5
1220,3852.0,3582.0,3565.0,3624.0,3932.0,4021.0,5524.0,4100.0,4086.0,4218.0,8784.0,8220.0,4031.0,3883.0,3840.0,3931.0,4012.0,4097.0,94981.0,10579.0,52637.0,98216.0,23056.0,24430.0,3928.0,3673.0,3641.0,3787.0,3823.0,3968.0,88771.0,48176.0,12287.0,93665.0,11764.0,8590.0,4102.0,3902.0,3831.0,3952.0,4023.0,4109.0,44655.0,6592.0,8675.0,53622.0,24058.0,16328.0,3781.0,3571.0,3564.0,4025.0,4092.0,4234.0,3918.0,4004.0,4029.0,10873.0,11137.0,8061.0,4434.0,4057.0,3745.0,3627.0,3696.0,3726.0,6739.0,32049.0,5716.0,5183.0,4896.0,4597.0,,,3380.0,3364.0,,,4012.5,3843.5,62909.5,65853.5
1240,3837.5,3634.5,3589.5,3707.5,3920.5,4065.5,5536.5,4117.5,4146.5,4270.5,8843.5,8275.5,4059.5,3911.5,3901.5,3967.5,4023.5,4119.5,95693.5,10692.5,52802.5,98157.5,23046.5,24557.5,3971.5,3713.5,3722.5,3831.5,3830.5,3987.5,88609.5,48258.5,12286.5,94048.5,11745.5,8717.5,4173.5,3876.5,3842.5,3997.5,4028.5,4207.5,44555.5,6617.5,8706.5,53802.5,24015.5,16376.5,3838.5,3577.5,3618.5,4082.5,4163.5,4256.5,3936.5,4048.5,4082.5,10921.5,11909.5,8152.5,4480.5,4050.5,3810.5,3646.5,3733.5,3751.5,6777.5,30960.5,5791.5,5206.5,4986.5,4677.5,,,3401.5,3395.5,,,4022.5,3879.5,64434.5,67392.5
1260,3889.5,3644.5,3642.5,3720.5,3966.5,4092.5,5570.5,4157.5,4181.5,4272.5,8915.5,8330.5,4107.5,3884.5,3913.5,3998.5,4048.5,4149.5,95819.5,10695.5,52684.5,97903.5,22978.5,24509.5,3975.5,3716.5,3742.5,3853.5,3910.5,4005.5,88740.5,48214.5,12201.5,94355.5,11777.5,8750.5,4169.5,3930.5,3876.5,4003.5,4071.5,4189.5,44758.5,6717.5,8678.5,53950.5,24059.5,16456.5,3816.5,3662.5,3615.5,4066.5,4180.5,4271.5,3987.5,4110.5,4112.5,10982.5,9905.5,8140.5,4482.5,4110.5,3816.5,3659.5,3774.5,3776.5,6835.5,31167.5,5766.5,5249.5,5025.5,4690.5,,,3455.5,3444.5,,,4037.5,3948.5,63789.5,66648.5
1280,3918.0,3666.0,3669.0,3742.0,3974.0,4097.0,5614.0,4180.0,4176.0,4251.0,8911.0,8392.0,4168.0,3964.0,3940.0,4024.0,4086.0,4142.0,95794.0,10682.0,52530.0,97448.0,23079.0,24529.0,4025.0,3748.0,3775.0,3906.0,3912.0,4025.0,88450.0,48178.0,12230.0,93683.0,11822.0,8812.0,4208.0,3945.0,3913.0,4079.0,4067.0,4208.0,44283.0,6684.0,8749.0,53503.0,24002.0,16364.0,3857.0,3660.0,3686.0,4090.0,4222.0,4309.0,4031.0,4089.0,4171.0,11015.0,11249.0,8161.0,4549.0,4107.0,3820.0,3693.0,3782.0,3826.0,6881.0,31355.0,5819.0,5263.0,5025.0,4707.0,,,3440.0,3473.0,,,4084.0,3974.0,63740.0,67463.0
1300,3956.0,3727.0,3736.0,3787.0,4036.0,4197.0,5673.0,4259.0,4267.0,4387.0,8962.0,8402.0,4178.0,3988.0,3942.0,4072.0,4137.0,4222.0,96215.0,10761.0,52629.0,97920.0,23063.0,24557.0,4092.0,3777.0,3809.0,3917.0,3979.0,4094.0,88822.0,47894.0,12311.0,94292.0,11834.0,8788.0,4285.0,3962.0,3973.0,4087.0,4138.0,4278.0,44369.0,6735.0,8773.0,53294.0,23853.0,16445.0,3933.0,3679.0,3687.0,4118.0,4275.0,4371.0,4094.0,4176.0,4206.0,11029.0,11015.0,8353.0,4592.0,4194.0,3913.0,3754.0,3831.0,3867.0,7689.0,31546.0,5851.0,5331.0,5083.0,4829.0,,,3497.0,3537.0,,,4122.5,4003.5,63149.5,66919.5
1320,4022.5,3727.5,3705.5,3809.5,4043.5,4209.5,5611.5,4223.5,4229.5,4340.5,8950.5,8413.5,4245.5,3991.5,3963.5,4068.5,4116.5,4210.5,97207.5,10699.5,52200.5,97538.5,23007.5,24476.5,4094.5,3801.5,3781.5,3954.5,3943.5,4090.5,88420.5,47755.5,12231.5,93438.5,11812.5,8793.5,4270.5,3965.5,3942.5,4069.5,4143.5,4268.5,43720.5,6717.5,8693.5,53185.5,23788.5,16522.5,3967.5,3686.5,3692.5,4155.5,4251.5,4379.5,4068.5,4201.5,4185.5,11042.5,11365.5,8294.5,4585.5,4160.5,3892.5,3759.5,3822.5,3868.5,7619.5,31372.5,5870.5,5332.5,5142.5,4898.5,,,3540.5,3537.5,,,4153.0,4115.0,63866.0,67487.0
1340,4080.0,3746.0,3750.0,3842.0,4068.0,4188.0,5698.0,4260.0,4274.0,4394.0,9038.0,8532.0,4235.0,4031.0,3984.0,4095.0,4160.0,4242.0,97267.0,10768.0,52484.0,97670.0,22986.0,24726.0,4123.0,3810.0,3821.0,3976.0,4004.0,4128.0,88306.0,47760.0,12294.0,93325.0,11849.0,8829.0,4284.0,3984.0,3974.0,4109.0,4166.0,4295.0,44003.0,6749.0,8728.0,53057.0,23778.0,16541.0,3975.0,3674.0,3676.0,4216.0,4267.0,4396.0,4108.0,4231.0,4276.0,11037.0,12906.0,8354.0,4663.0,4196.0,3921.0,3774.0,3867.0,3919.0,7534.0,31729.0,5874.0,5549.0,5175.0,4905.0,,,3577.0,3581.0,,,4190.5,4095.5,64631.5,67543.5
1360,4100.5,3808.5,3779.5,3889.5,4062.5,4226.5,5714.5,4322.5,4273.5,4386.5,9022.5,8517.5,4302.5,4073.5,4028.5,4119.5,4177.5,4295.5,97635.5,10842.5,52567.5,97413.5,23021.5,24613.5,4135.5,3845.5,3839.5,4016.5,4019.5,4160.5,88322.5,47790.5,12239.5,93556.5,11896.5,8895.5,4330.5,4030.5,4007.5,4149.5,4178.5,4325.5,43758.5,6752.5,8740.5,53092.5,23881.5,16533.5,3962.5,3744.5,3739.5,4201.5,4341.5,4471.5,4156.5,4257.5,4276.5,11050.5,10466.5,8429.5,4714.5,4249.5,3953.5,3799.5,3892.5,3966.5,7533.5,31529.5,5919.5,5437.5,5203.5,4990.5,,,3603.5,3580.5,,,4254.0,4131.0,65365.0,66986.0
