time,e15x30TerThyXS2_0,e15x30TvoVMA_0,e15x30TerThyXS1_0,e15x32gp418_0,e16x30TerThyXS1_0,e16x30CthTer_0,e15x30TerThyXS2_1,e15x30TvoVMA_1,e15x30TerThyXS1_1,e15x32gp418_1,e16x30TerThyXS1_1,e16x30CthTer_1,e17x30MjaKlbA_0,e17x33MjaKlbA_0,e17x32STPhoRadA_0,e17x32STIMPDH1_0,e17x30CthTer_0,e17x30SaPdpol_0,e17x30MjaKlbA_1,e17x33MjaKlbA_1,e17x32STPhoRadA_1,e17x32STIMPDH1_1,e17x30CthTer_1,e17x30SaPdpol_1,e20x30STPhoRadA_0,e20x32NrdA2_0,e20x33NrdA2_0,e20x32STPhoRadA_0,e20x33MjaKlbA_0,e20x32gp418_0,e20x30STPhoRadA_1,e20x32NrdA2_1,e20x33NrdA2_1,e20x32STPhoRadA_1,e20x33MjaKlbA_1,e20x32gp418_1,e22x30STPhoRadA_0,e22x30SaPdpol_0,e22x32gp418_0,e22x32STIMPDH1_0,e22x30CthTer_0,e22x32CthTer_0,e22x30STPhoRadA_1,e22x30SaPdpol_1,e22x32gp418_1,e22x32STIMPDH1_1,e22x30CthTer_1,e22x32CthTer_1,e33x32CthTer_0,e33x30SaPdpol_0,e33x30TerThyXS1_0,e34x32NrdJ1_0,e34x32NrdA2_0,e34x33NrdJ1_0,e33x32CthTer_1,e33x30SaPdpol_1,e33x30TerThyXS1_1,e34x32NrdJ1_1,e34x32NrdA2_1,e34x33NrdJ1_1,e34x30SaPdpol_0,e38x32CthTer_0,e41x32gp418_0,e42x33NrdA2_0,e42x32STPhoRadA_0,e42x30SaPdpol_0,e34x30SaPdpol_1,e38x32CthTer_1,e41x32gp418_1,e42x33NrdA2_1,e42x32STPhoRadA_1,e42x30SaPdpol_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
880,1.336,1.353,1.29,1.377,1.355,1.377,1.299,1.385,1.357,1.368,1.401,1.385,1.426,1.471,1.474,1.477,1.477,1.445,1.141,1.441,1.456,1.455,1.433,1.451,1.404,1.441,1.423,1.484,1.477,1.421,1.376,1.361,1.202,1.424,1.426,1.42,1.442,1.429,1.462,1.451,1.442,1.444,1.294,1.334,1.265,1.165,1.317,1.362,1.404,1.452,1.434,1.479,1.428,1.449,1.3,1.364,1.178,0.979,1.152,1.373,1.382,1.418,1.437,1.477,1.436,1.457,1.307,1.298,1.294,1.326,1.398,1.481,,,1.355,1.35,,,1.383,1.372,1.442,1.393
900,1.322,1.339,1.296,1.377,1.354,1.376,1.306,1.374,1.346,1.362,1.402,1.382,1.414,1.467,1.466,1.471,1.463,1.447,1.131,1.437,1.448,1.45,1.433,1.443,1.402,1.426,1.417,1.489,1.474,1.417,1.365,1.359,1.184,1.416,1.417,1.415,1.435,1.431,1.453,1.442,1.436,1.44,1.28,1.324,1.248,1.152,1.302,1.356,1.405,1.442,1.419,1.419,1.425,1.454,1.285,1.34,1.169,0.954,1.137,1.376,1.382,1.408,1.429,1.476,1.438,1.452,1.254,1.282,1.26,1.316,1.375,1.447,,,1.352,1.35,,,1.366,1.358,1.527,1.382
920,1.322,1.343,1.293,1.372,1.346,1.374,1.306,1.398,1.358,1.364,1.396,1.381,1.419,1.459,1.459,1.466,1.463,1.441,1.124,1.434,1.443,1.443,1.427,1.444,1.403,1.419,1.413,1.486,1.474,1.418,1.374,1.355,1.227,1.414,1.422,1.405,1.43,1.422,1.451,1.439,1.432,1.438,1.278,1.318,1.239,1.141,1.294,1.348,1.402,1.438,1.417,1.417,1.416,1.445,1.28,1.388,1.175,0.952,1.133,1.376,1.379,1.408,1.429,1.466,1.433,1.455,1.261,1.32,1.282,1.317,1.376,1.469,,,1.349,1.344,,,1.444,1.384,1.452,1.397
940,1.326,1.341,1.29,1.365,1.345,1.371,1.292,1.39,1.353,1.348,1.389,1.368,1.41,1.446,1.441,1.463,1.458,1.438,1.11,1.425,1.43,1.441,1.424,1.442,1.402,1.414,1.41,1.467,1.467,1.416,1.365,1.345,1.218,1.408,1.421,1.402,1.426,1.416,1.455,1.44,1.439,1.444,1.26,1.309,1.22,1.134,1.29,1.348,1.393,1.432,1.425,1.469,1.474,1.445,1.318,1.446,1.138,0.93,1.117,1.37,1.379,1.408,1.422,1.468,1.439,1.452,1.325,1.386,1.255,1.538,1.348,1.469,,,1.354,1.352,,,1.422,1.388,1.428,1.387
960,1.318,1.33,1.285,1.356,1.345,1.36,1.289,1.344,1.323,1.334,1.369,1.352,1.402,1.435,1.44,1.451,1.447,1.441,1.095,1.412,1.416,1.428,1.411,1.417,1.396,1.414,1.404,1.462,1.457,1.406,1.353,1.345,1.206,1.398,1.405,1.382,1.422,1.406,1.444,1.426,1.477,1.485,1.247,1.3,1.208,1.121,1.269,1.322,1.388,1.417,1.403,1.406,1.441,1.472,1.254,1.306,1.122,0.912,1.093,1.346,1.378,1.404,1.416,1.465,1.433,1.449,1.216,1.218,1.235,1.318,1.328,1.413,,,1.355,1.35,,,1.425,1.376,1.43,1.4
980,1.306,1.331,1.273,1.35,1.336,1.359,1.294,1.346,1.346,1.34,1.377,1.343,1.406,1.423,1.421,1.435,1.434,1.428,1.243,1.404,1.412,1.433,1.412,1.419,1.381,1.396,1.386,1.449,1.452,1.399,1.372,1.343,1.207,1.397,1.418,1.389,1.425,1.396,1.426,1.43,1.406,1.431,1.252,1.313,1.223,1.123,1.276,1.323,1.369,1.398,1.404,1.392,1.396,1.444,1.251,1.304,1.154,1.09,1.122,1.352,1.373,1.396,1.424,1.461,1.425,1.487,1.246,1.249,1.239,1.35,1.341,2.762,,,1.36,1.352,,,1.454,1.403,1.45,1.402
1000,1.302,1.322,1.281,1.334,1.332,1.347,1.268,1.331,1.295,1.318,1.35,1.334,1.391,1.407,1.41,1.422,1.419,1.413,1.119,1.381,1.39,1.405,1.379,1.394,1.376,1.382,1.383,1.44,1.435,1.38,1.332,1.316,1.186,1.385,1.392,1.367,1.412,1.393,1.418,1.483,1.416,1.415,1.226,1.267,1.189,1.095,1.421,1.294,1.356,1.396,1.387,1.445,1.389,1.423,1.216,1.283,1.101,0.937,1.165,1.319,1.372,1.611,1.404,1.463,1.412,1.445,1.184,1.197,1.208,1.319,1.304,1.408,,,1.356,1.352,,,1.437,1.393,1.43,1.386
1020,1.31,1.324,1.271,1.33,1.321,1.335,1.285,1.322,1.307,1.318,1.35,1.328,1.41,1.399,1.398,1.418,1.416,1.412,1.12,1.374,1.387,1.399,1.381,1.391,1.369,1.373,1.362,1.42,1.424,1.372,1.327,1.314,1.182,1.371,1.382,1.448,1.407,1.389,1.4,1.398,1.4,1.417,1.219,1.264,1.197,1.084,1.323,1.294,1.35,1.375,1.371,1.378,1.387,1.415,1.211,1.276,1.093,0.977,1.215,1.319,1.358,1.387,1.403,1.444,1.4,1.438,1.18,1.199,1.206,1.322,1.325,3.066,,,1.353,1.348,,,1.438,1.398,1.436,1.385
1040,1.288,1.315,1.265,1.316,1.309,1.325,1.269,1.337,1.294,1.308,1.346,1.326,1.378,1.389,1.388,1.401,1.398,1.404,1.121,1.366,1.372,1.385,1.372,1.386,1.363,1.367,1.343,1.41,1.407,1.358,1.329,1.314,1.16,1.36,1.372,1.348,1.39,1.372,1.388,1.389,1.389,1.394,1.206,1.263,1.196,1.082,1.34,1.283,1.344,1.362,1.364,1.358,1.373,1.402,1.204,1.269,1.097,0.977,3.113,1.303,1.358,1.379,1.401,1.43,1.388,1.432,1.151,1.186,1.183,1.324,1.302,1.4,,,1.343,1.348,,,1.434,1.409,1.428,1.388
1060,1.288,1.302,1.253,1.301,1.301,1.319,1.252,1.31,1.277,1.292,1.333,1.322,1.365,1.381,1.377,1.402,1.392,1.393,1.099,1.358,1.363,1.369,1.353,1.372,1.348,1.356,1.34,1.404,1.403,1.344,1.314,1.278,1.148,1.341,1.356,1.335,1.385,1.348,1.381,1.38,1.37,1.394,1.17,1.224,1.147,1.057,1.314,1.27,1.336,1.354,1.346,1.438,1.375,1.392,1.171,1.273,1.09,0.935,1.171,1.284,1.35,1.36,1.39,1.429,1.377,1.424,1.124,1.189,1.155,1.297,1.282,1.411,,,1.343,1.344,,,1.424,1.389,1.422,1.366
