time,e15x30TerThyXS2_0,e15x30TvoVMA_0,e15x30TerThyXS1_0,e15x32gp418_0,e16x30TerThyXS1_0,e16x30CthTer_0,e15x30TerThyXS2_1,e15x30TvoVMA_1,e15x30TerThyXS1_1,e15x32gp418_1,e16x30TerThyXS1_1,e16x30CthTer_1,e17x30MjaKlbA_0,e17x33MjaKlbA_0,e17x32STPhoRadA_0,e17x32STIMPDH1_0,e17x30CthTer_0,e17x30SaPdpol_0,e17x30MjaKlbA_1,e17x33MjaKlbA_1,e17x32STPhoRadA_1,e17x32STIMPDH1_1,e17x30CthTer_1,e17x30SaPdpol_1,e20x30STPhoRadA_0,e20x32NrdA2_0,e20x33NrdA2_0,e20x32STPhoRadA_0,e20x33MjaKlbA_0,e20x32gp418_0,e20x30STPhoRadA_1,e20x32NrdA2_1,e20x33NrdA2_1,e20x32STPhoRadA_1,e20x33MjaKlbA_1,e20x32gp418_1,e22x30STPhoRadA_0,e22x30SaPdpol_0,e22x32gp418_0,e22x32STIMPDH1_0,e22x30CthTer_0,e22x32CthTer_0,e22x30STPhoRadA_1,e22x30SaPdpol_1,e22x32gp418_1,e22x32STIMPDH1_1,e22x30CthTer_1,e22x32CthTer_1,e33x32CthTer_0,e33x30SaPdpol_0,e33x30TerThyXS1_0,e34x32NrdJ1_0,e34x32NrdA2_0,e34x33NrdJ1_0,e33x32CthTer_1,e33x30SaPdpol_1,e33x30TerThyXS1_1,e34x32NrdJ1_1,e34x32NrdA2_1,e34x33NrdJ1_1,e34x30SaPdpol_0,e38x32CthTer_0,e41x32gp418_0,e42x33NrdA2_0,e42x32STPhoRadA_0,e42x30SaPdpol_0,e34x30SaPdpol_1,e38x32CthTer_1,e41x32gp418_1,e42x33NrdA2_1,e42x32STPhoRadA_1,e42x30SaPdpol_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,0.017,0.06,0.032,0.021,0.02,0.029,0.06,0.041,0.046,0.039,0.038,0.031,0.008,0.11,0.069,0.05,0.027,0.011,-0.004,-0.004,-0.008,-0.003,0.009,0.039,-0.0003,0.019,0.017,-0.003,0.028,0.016,-0.002,-0.0009,0.006,0.013,0.005,0.029,0.009,0.0007,0.005,-0.007,-0.008,0.017,0.001,0.051,-0.007,-0.005,0.003,0.03,-0.002,-0.002,0.006,0.003,0.003,0.024,0.046,0.028,0.006,0.012,-0.002,0.047,0.006,0.06,0.104,0.112,-0.0006,0.031,0.012,0.025,0.014,0.006,0.011,0.012,,,0.012,-0.001,,,0.006,0.008,0.041,0.031
20,0.012,0.013,0.012,0.011,0.013,0.014,0.016,0.015,0.016,0.019,0.027,0.026,0.014,0.017,0.014,0.015,0.018,0.013,0.014,0.015,0.013,0.015,0.019,0.024,0.011,0.011,0.013,0.012,0.013,0.01,0.014,0.012,0.015,0.014,0.014,0.024,0.014,0.011,0.013,0.012,0.011,0.013,0.012,0.011,0.013,0.015,0.013,0.021,0.013,0.01,0.012,0.012,0.011,0.014,0.013,0.014,0.015,0.016,0.011,0.021,0.02,0.013,0.014,0.015,0.013,0.016,0.015,0.014,0.014,0.014,0.016,0.022,,,0.014,0.014,,,0.017,0.021,0.025,0.029
40,0.015,0.016,0.015,0.014,0.017,0.019,0.016,0.016,0.017,0.022,0.029,0.029,0.015,0.019,0.019,0.017,0.022,0.017,0.014,0.017,0.015,0.016,0.022,0.026,0.013,0.012,0.014,0.014,0.014,0.013,0.014,0.011,0.016,0.018,0.018,0.026,0.016,0.012,0.016,0.013,0.013,0.017,0.013,0.012,0.013,0.018,0.015,0.024,0.015,0.013,0.013,0.014,0.014,0.017,0.015,0.016,0.017,0.017,0.015,0.023,0.02,0.014,0.015,0.016,0.014,0.018,0.016,0.014,0.015,0.016,0.016,0.021,,,0.016,0.015,,,0.022,0.023,0.029,0.031
60,0.02,0.022,0.021,0.024,0.028,0.03,0.021,0.022,0.026,0.03,0.039,0.04,0.022,0.031,0.028,0.027,0.032,0.026,0.019,0.026,0.024,0.024,0.03,0.034,0.019,0.016,0.019,0.022,0.024,0.022,0.018,0.016,0.022,0.024,0.027,0.035,0.021,0.016,0.02,0.018,0.018,0.024,0.017,0.017,0.02,0.022,0.02,0.03,0.021,0.02,0.017,0.018,0.022,0.026,0.022,0.023,0.022,0.023,0.024,0.032,0.027,0.019,0.02,0.02,0.018,0.024,0.021,0.019,0.018,0.019,0.022,0.027,,,0.021,0.021,,,0.027,0.035,0.036,0.063
80,0.033,0.036,0.036,0.045,0.049,0.048,0.036,0.036,0.039,0.05,0.059,0.061,0.034,0.05,0.047,0.043,0.049,0.044,0.03,0.043,0.039,0.04,0.047,0.052,0.061,0.028,0.031,0.037,0.039,0.038,0.029,0.024,0.033,0.041,0.041,0.05,0.031,0.03,0.031,0.028,0.03,0.041,0.027,0.028,0.029,0.033,0.031,0.046,0.032,0.064,0.029,0.029,0.036,0.08,0.101,0.078,0.034,0.034,0.037,0.05,0.04,0.03,0.031,0.028,0.029,0.036,0.098,0.083,0.03,0.03,0.031,0.04,,,0.031,0.032,,,0.04,0.05,0.05,0.059
100,0.056,0.056,0.06,0.076,0.081,0.087,0.061,0.06,0.063,0.086,0.096,0.095,0.054,0.085,0.077,0.076,0.081,0.078,0.051,0.071,0.07,0.067,0.076,0.086,0.05,0.048,0.052,0.066,0.07,0.064,0.046,0.039,0.051,0.07,0.07,0.078,0.052,0.046,0.053,0.046,0.051,0.069,0.045,0.046,0.051,0.054,0.049,0.073,0.053,0.059,0.048,0.046,0.064,0.075,0.055,0.06,0.087,0.057,0.064,0.082,0.063,0.045,0.05,0.046,0.045,0.055,0.05,0.047,0.049,0.044,0.048,0.057,,,0.051,0.052,,,0.065,0.077,0.075,0.09
120,0.097,0.099,0.103,0.133,0.141,0.15,0.107,0.106,0.11,0.147,0.156,0.162,0.092,0.146,0.132,0.128,0.132,0.135,0.083,0.123,0.118,0.116,0.13,0.148,0.09,0.085,0.085,0.118,0.118,0.113,0.082,0.071,0.088,0.121,0.117,0.127,0.088,0.083,0.088,0.083,0.086,0.118,0.082,0.077,0.086,0.095,0.082,0.122,0.09,0.103,0.132,0.08,0.113,0.172,0.168,0.097,0.094,0.096,0.115,0.135,0.103,0.081,0.09,0.075,0.074,0.183,0.236,0.083,0.081,0.075,0.076,0.092,,,0.086,0.088,,,0.107,0.13,0.119,0.143
140,0.168,0.168,0.171,0.225,0.235,0.249,0.181,0.181,0.184,0.242,0.246,0.248,0.151,0.242,0.227,0.223,0.228,0.238,0.153,0.219,0.207,0.204,0.214,0.234,0.147,0.146,0.152,0.201,0.204,0.194,0.136,0.125,0.155,0.203,0.198,0.21,0.15,0.141,0.146,0.14,0.149,0.221,0.138,0.134,0.154,0.167,0.144,0.205,0.152,0.212,0.146,0.14,0.196,0.284,0.192,0.173,0.159,0.168,0.194,0.226,0.17,0.134,0.142,0.125,0.122,0.15,0.144,0.132,0.136,0.13,0.125,0.15,,,0.147,0.146,,,0.17,0.226,0.186,0.222
160,0.256,0.262,0.268,0.316,0.322,0.341,0.282,0.277,0.287,0.338,0.346,0.345,0.245,0.34,0.324,0.318,0.322,0.332,0.246,0.318,0.308,0.304,0.322,0.343,0.238,0.246,0.249,0.307,0.314,0.292,0.229,0.211,0.248,0.304,0.303,0.307,0.244,0.232,0.248,0.238,0.287,0.318,0.232,0.226,0.245,0.268,0.238,0.302,0.249,0.274,0.244,0.228,0.346,0.397,0.251,0.27,0.257,0.262,0.292,0.322,0.265,0.219,0.233,0.206,0.193,0.239,0.231,0.228,0.222,0.212,0.204,0.238,,,0.234,0.235,,,0.226,0.258,0.239,0.271
180,0.344,0.352,0.35,0.425,0.436,0.446,0.365,0.36,0.368,0.423,0.437,0.438,0.339,0.455,0.437,0.43,0.435,0.446,0.332,0.416,0.406,0.398,0.419,0.432,0.332,0.334,0.337,0.407,0.411,0.386,0.317,0.301,0.333,0.393,0.395,0.394,0.339,0.323,0.335,0.328,0.34,0.414,0.327,0.319,0.337,0.353,0.326,0.398,0.331,0.365,0.329,0.318,0.398,0.419,0.336,0.354,0.381,0.395,0.381,0.416,0.358,0.311,0.326,0.294,0.285,0.33,0.32,0.311,0.328,0.3,0.294,0.325,,,0.315,0.314,,,0.352,0.392,0.369,0.414
