time,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,17.5,15.5,27.5,7.5,16.5,8.5,13.5,-2.5,16.5,11.5,7.5,9.5,73.5,77.5,76.5,69.5,74.5,63.5,64.5,55.5,61.5,44.5,60.5,49.5,75.5,81.5,84.5,63.5,64.5,71.5,63.5,66.5,68.5,71.5,66.5,63.5,35.5,48.5,42.5,55.5,42.5,62.5,42.5,32.5,42.5,42.5,53.5,40.5,54.5,77.5,44.5,65.5,39.5,64.5,45.5,11.5,17.5,36.5,23.5,57.5,40.5,65.5,48.5,42.5,38.5,43.5,37.5,19.5,34.5,37.5,35.5,22.5,30.5,36.5,33.5,49.5,20.5,28.5,26.5,14.5,19.5,29.5,25.5,29.5,,,25.5,-5.5,,,51.0,23.0,874.0,1080.0
20,19.5,14.5,-0.5,-3.5,0.5,2.5,9.5,-6.5,4.5,-4.5,1.5,1.5,37.5,38.5,40.5,38.5,27.5,19.5,24.5,29.5,24.5,15.5,22.5,15.5,33.5,40.5,45.5,49.5,31.5,46.5,36.5,36.5,24.5,33.5,31.5,26.5,18.5,33.5,24.5,26.5,23.5,37.5,19.5,10.5,19.5,5.5,13.5,12.5,42.5,35.5,32.5,19.5,45.5,30.5,29.5,9.5,13.5,18.5,7.5,27.5,43.5,26.5,38.5,20.5,19.5,39.5,17.5,12.5,25.5,32.5,18.5,17.5,19.5,17.5,10.5,21.5,22.5,23.5,14.5,12.5,18.5,1.5,-2.5,5.5,,,31.5,-2.5,,,38.0,35.0,613.0,708.0
40,18.5,17.5,19.5,26.5,16.5,7.5,-1.5,8.5,2.5,9.5,11.5,13.5,46.5,52.5,41.5,35.5,29.5,40.5,25.5,25.5,21.5,19.5,18.5,29.5,58.5,51.5,47.5,41.5,48.5,36.5,43.5,35.5,34.5,41.5,33.5,42.5,37.5,40.5,22.5,18.5,30.5,24.5,23.5,27.5,12.5,18.5,20.5,16.5,46.5,54.5,29.5,30.5,37.5,28.5,27.5,23.5,9.5,14.5,8.5,28.5,38.5,51.5,36.5,19.5,40.5,33.5,33.5,30.5,36.5,33.5,45.5,26.5,33.5,21.5,34.5,35.5,34.5,30.5,25.5,19.5,17.5,1.5,13.5,16.5,,,48.5,-4.5,,,28.0,28.0,807.0,931.0
60,30.5,23.5,16.5,14.5,9.5,4.5,3.5,-2.5,6.5,8.5,15.5,18.5,44.5,44.5,36.5,35.5,27.5,32.5,31.5,25.5,16.5,19.5,17.5,29.5,44.5,52.5,47.5,46.5,41.5,41.5,44.5,39.5,32.5,50.5,29.5,43.5,35.5,43.5,35.5,22.5,24.5,31.5,21.5,21.5,12.5,4.5,17.5,26.5,46.5,52.5,27.5,37.5,35.5,29.5,24.5,13.5,21.5,10.5,5.5,33.5,40.5,44.5,35.5,28.5,25.5,31.5,26.5,30.5,24.5,30.5,19.5,20.5,35.5,37.5,34.5,34.5,27.5,16.5,21.5,22.5,11.5,5.5,21.5,8.5,,,37.5,-2.5,,,41.0,45.0,1103.0,1271.0
80,13.5,12.5,9.5,6.5,9.5,9.5,2.5,-1.5,13.5,4.5,5.5,13.5,40.5,26.5,22.5,21.5,27.5,31.5,15.5,17.5,13.5,13.5,7.5,15.5,39.5,39.5,33.5,32.5,22.5,29.5,27.5,22.5,23.5,35.5,34.5,30.5,28.5,33.5,19.5,30.5,14.5,33.5,13.5,-1.5,2.5,-4.5,12.5,14.5,40.5,31.5,31.5,25.5,23.5,29.5,16.5,8.5,12.5,6.5,2.5,27.5,43.5,26.5,37.5,9.5,17.5,25.5,23.5,17.5,19.5,12.5,16.5,23.5,19.5,24.5,18.5,23.5,12.5,18.5,10.5,0.5,1.5,-2.5,3.5,0.5,,,31.5,-13.5,,,46.5,46.5,1408.5,1607.5
100,26.0,28.0,18.0,17.0,21.0,16.0,10.0,7.0,10.0,9.0,16.0,19.0,49.0,40.0,38.0,42.0,43.0,43.0,38.0,23.0,20.0,19.0,14.0,19.0,37.0,51.0,42.0,40.0,41.0,38.0,37.0,32.0,35.0,34.0,32.0,38.0,29.0,40.0,29.0,30.0,25.0,37.0,24.0,15.0,22.0,9.0,21.0,18.0,47.0,47.0,32.0,16.0,27.0,23.0,22.0,10.0,20.0,19.0,8.0,39.0,45.0,53.0,36.0,19.0,30.0,38.0,34.0,31.0,31.0,37.0,29.0,26.0,34.0,35.0,21.0,36.0,31.0,21.0,10.0,8.0,10.0,5.0,16.0,9.0,,,39.0,12.0,,,56.5,45.5,1659.5,1922.5
120,39.5,36.5,39.5,30.5,27.5,29.5,22.5,25.5,23.5,15.5,30.5,16.5,71.5,53.5,45.5,47.5,44.5,41.5,22.5,30.5,37.5,30.5,37.5,37.5,55.5,58.5,45.5,52.5,50.5,55.5,54.5,52.5,57.5,48.5,38.5,55.5,48.5,51.5,48.5,46.5,37.5,61.5,23.5,31.5,26.5,20.5,19.5,32.5,56.5,64.5,46.5,44.5,45.5,47.5,37.5,27.5,25.5,25.5,23.5,45.5,59.5,53.5,51.5,28.5,40.5,46.5,44.5,39.5,44.5,40.5,28.5,32.5,45.5,46.5,32.5,41.5,33.5,36.5,25.5,27.5,28.5,19.5,34.5,15.5,,,55.5,9.5,,,61.0,56.0,1974.0,2288.0
140,57.0,51.0,47.0,45.0,37.0,35.0,31.0,25.0,27.0,18.0,45.0,30.0,80.0,63.0,59.0,42.0,60.0,66.0,34.0,38.0,46.0,36.0,35.0,39.0,62.0,55.0,59.0,66.0,62.0,86.0,58.0,51.0,56.0,62.0,69.0,87.0,57.0,63.0,66.0,60.0,87.0,128.0,35.0,49.0,33.0,30.0,36.0,53.0,56.0,62.0,47.0,45.0,46.0,73.0,38.0,36.0,29.0,27.0,28.0,61.0,66.0,57.0,59.0,39.0,52.0,60.0,37.0,43.0,46.0,44.0,44.0,53.0,59.0,43.0,50.0,46.0,47.0,41.0,35.0,18.0,24.0,31.0,28.0,41.0,,,52.0,20.0,,,85.0,81.0,2427.0,2837.0
160,74.0,63.0,70.0,64.0,80.0,78.0,43.0,52.0,44.0,44.0,57.0,54.0,94.0,86.0,65.0,82.0,145.0,177.0,48.0,48.0,44.0,52.0,60.0,80.0,78.0,83.0,67.0,82.0,107.0,152.0,75.0,66.0,77.0,89.0,135.0,197.0,71.0,91.0,78.0,94.0,161.0,295.0,58.0,45.0,59.0,52.0,67.0,90.0,81.0,80.0,65.0,65.0,69.0,123.0,57.0,36.0,47.0,53.0,55.0,99.0,91.0,79.0,73.0,56.0,68.0,125.0,46.0,63.0,64.0,65.0,66.0,95.0,71.0,55.0,57.0,56.0,58.0,72.0,41.0,29.0,42.0,28.0,36.0,36.0,,,77.0,36.0,,,128.5,113.5,3044.5,3560.5
180,120.5,128.5,176.5,584.5,1176.5,1268.5,81.5,82.5,85.5,121.5,223.5,282.5,137.5,185.5,333.5,941.5,1686.5,1812.5,90.5,96.5,94.5,183.5,427.5,613.5,125.5,159.5,213.5,470.5,836.5,986.5,128.5,144.5,224.5,517.5,1089.5,1464.5,135.5,183.5,253.5,577.5,807.5,1307.5,101.5,82.5,107.5,127.5,267.5,453.5,106.5,120.5,114.5,153.5,215.5,582.5,90.5,96.5,98.5,143.5,320.5,459.5,129.5,124.5,178.5,225.5,282.5,794.5,85.5,88.5,91.5,130.5,303.5,461.5,105.5,101.5,104.5,164.5,258.5,399.5,70.5,65.5,64.5,67.5,79.5,96.5,,,114.5,73.5,,,166.5,157.5,4013.5,4699.5
