time,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,0.038,0.01,0.028,0.016,0.015,0.026,0.011,0.015,0.016,0.036,0.036,0.019,0.039,0.031,0.027,0.029,0.033,0.026,0.012,0.018,0.028,0.009,0.046,0.054,0.016,0.025,0.019,0.01,0.022,0.022,0.03,0.02,0.037,0.038,0.035,0.039,0.016,0.014,0.018,0.018,-0.003,0.00015,0.011,-0.003,0.004,0.079,0.052,0.018,0.048,0.076,0.012,0.057,0.033,0.048,0.052,0.011,0.011,0.05,0.033,0.055,0.061,0.04,0.039,0.036,0.037,0.039,0.035,0.025,0.029,0.028,0.026,0.053,0.042,0.043,0.038,0.046,0.044,0.032,0.037,0.032,0.034,0.034,0.033,0.031,,,0.027,0.026,,,0.048,0.038,0.037,0.049
20,0.023,0.02,0.015,0.014,0.018,0.021,0.021,0.016,0.022,0.022,0.025,0.023,0.451,0.019,0.017,0.019,0.017,0.017,0.014,0.012,0.017,0.015,0.019,0.024,0.016,0.015,0.015,0.015,0.018,0.012,0.015,0.016,0.021,0.019,0.018,0.024,0.016,0.015,0.02,0.015,0.01,0.01,0.015,0.014,0.014,0.016,0.016,0.016,0.016,0.016,0.016,0.018,0.022,0.017,0.016,0.015,0.015,0.013,0.013,0.02,0.018,0.016,0.018,0.017,0.021,0.017,0.018,0.016,0.017,0.016,0.016,0.02,0.02,0.018,0.017,0.02,0.017,0.016,0.017,0.015,0.015,0.015,0.021,0.023,,,0.018,0.018,,,0.024,0.024,0.032,0.034
40,0.027,0.023,0.018,0.017,0.019,0.024,0.023,0.018,0.022,0.023,0.026,0.025,0.13,0.022,0.021,0.021,0.018,0.019,0.015,0.014,0.017,0.016,0.021,0.025,0.018,0.016,0.016,0.015,0.016,0.013,0.018,0.018,0.023,0.022,0.021,0.026,0.017,0.016,0.015,0.015,0.01,0.012,0.016,0.015,0.016,0.016,0.016,0.017,0.02,0.02,0.017,0.018,0.022,0.018,0.018,0.017,0.016,0.015,0.016,0.021,0.018,0.018,0.02,0.018,0.023,0.017,0.019,0.017,0.018,0.018,0.017,0.022,0.023,0.022,0.021,0.021,0.02,0.019,0.019,0.017,0.019,0.017,0.023,0.025,,,0.022,0.021,,,0.028,0.028,0.036,0.036
60,0.035,0.032,0.026,0.025,0.025,0.031,0.029,0.024,0.028,0.029,0.033,0.03,0.504,0.029,0.027,0.027,0.025,0.026,0.022,0.02,0.023,0.021,0.028,0.031,0.023,0.021,0.02,0.019,0.021,0.017,0.024,0.025,0.028,0.028,0.027,0.032,0.024,0.021,0.02,0.02,0.015,0.017,0.02,0.02,0.021,0.02,0.02,0.024,0.024,0.024,0.023,0.06,0.026,0.023,0.024,0.022,0.021,0.02,0.021,0.026,0.029,0.025,0.027,0.024,0.029,0.024,0.025,0.024,0.023,0.025,0.023,0.028,0.031,0.028,0.027,0.028,0.026,0.025,0.026,0.024,0.024,0.022,0.029,0.03,,,0.03,0.029,,,0.038,0.037,0.044,0.048
80,0.046,0.044,0.038,0.036,0.038,0.042,0.041,0.035,0.04,0.039,0.043,0.042,0.384,0.041,0.038,0.039,0.039,0.038,0.031,0.031,0.032,0.032,0.037,0.042,0.032,0.029,0.028,0.028,0.029,0.026,0.036,0.036,0.04,0.04,0.036,0.044,0.034,0.029,0.029,0.03,0.024,0.027,0.029,0.028,0.029,0.029,0.03,0.031,0.036,0.035,0.032,0.033,0.036,0.032,0.034,0.03,0.032,0.03,0.03,0.037,0.038,0.036,0.037,0.034,0.033,0.033,0.034,0.034,0.033,0.033,0.032,0.039,0.042,0.04,0.036,0.038,0.035,0.036,0.036,0.032,0.032,0.032,0.039,0.041,,,0.044,0.044,,,0.057,0.058,0.06,0.07
100,0.077,0.074,0.066,0.064,0.066,0.073,0.063,0.056,0.062,0.059,0.067,0.064,0.572,0.068,0.067,0.065,0.066,0.062,0.054,0.053,0.054,0.053,0.059,0.062,0.057,0.054,0.052,0.048,0.049,0.044,0.059,0.06,0.062,0.062,0.061,0.067,0.053,0.049,0.047,0.123,0.106,0.045,0.046,0.045,0.046,0.046,0.045,0.048,0.059,0.056,0.053,0.14,0.193,0.132,0.056,0.051,0.083,0.118,0.052,0.057,0.064,0.06,0.061,0.056,0.061,0.056,0.056,0.054,0.054,0.055,0.054,0.061,0.068,0.062,0.059,0.06,0.056,0.058,0.053,0.05,0.05,0.047,0.055,0.059,,,0.071,0.07,,,0.088,0.089,0.091,0.106
120,0.123,0.122,0.115,0.106,0.113,0.115,0.099,0.096,0.103,0.099,0.109,0.105,0.682,0.119,0.114,0.108,0.106,0.108,0.09,0.087,0.087,0.089,0.098,0.101,0.093,0.086,0.086,0.084,0.083,0.077,0.099,0.101,0.102,0.101,0.096,0.106,0.091,0.082,0.081,0.081,0.07,0.074,0.079,0.074,0.075,0.076,0.072,0.08,0.098,0.094,0.108,0.088,0.088,0.085,0.091,0.118,0.083,0.082,0.083,0.089,0.104,0.1,0.099,0.126,0.188,0.175,0.09,0.084,0.088,0.083,0.089,0.094,0.11,0.104,0.094,0.132,0.16,0.095,0.085,0.079,0.079,0.079,0.087,0.09,,,0.12,0.112,,,0.146,0.146,0.143,0.166
140,0.208,0.2,0.192,0.187,0.189,0.189,0.167,0.16,0.167,0.159,0.171,0.171,0.221,0.196,0.195,0.187,0.181,0.176,0.145,0.144,0.146,0.14,0.154,0.158,0.158,0.151,0.144,0.142,0.14,0.132,0.167,0.168,0.171,0.167,0.163,0.172,0.15,0.144,0.139,0.135,0.118,0.126,0.129,0.126,0.125,0.128,0.126,0.128,0.163,0.317,0.27,0.168,0.149,0.143,0.204,0.178,0.143,0.136,0.144,0.146,0.182,0.189,0.242,0.161,0.158,0.155,0.29,0.193,0.147,0.145,0.145,0.151,0.182,0.171,0.166,0.156,0.149,0.156,0.136,0.129,0.128,0.124,0.135,0.136,,,0.193,0.188,,,0.239,0.235,0.22,0.252
160,0.308,0.306,0.296,0.286,0.287,0.291,0.26,0.252,0.26,0.247,0.263,0.261,0.467,0.306,0.307,0.297,0.292,0.291,0.249,0.247,0.248,0.241,0.254,0.25,0.259,0.245,0.245,0.244,0.238,0.229,0.274,0.27,0.273,0.263,0.261,0.265,0.247,0.239,0.235,0.227,0.209,0.217,0.22,0.258,0.215,0.21,0.208,0.21,0.26,0.256,0.246,0.241,0.24,0.239,0.245,0.282,0.318,0.227,0.227,0.235,0.285,0.265,0.262,0.252,0.256,0.25,0.247,0.237,0.237,0.235,0.259,0.239,0.282,0.263,0.252,0.246,0.241,0.246,0.21,0.205,0.206,0.198,0.21,0.216,,,0.289,0.281,,,0.33,0.329,0.315,0.344
180,0.4,0.405,0.393,0.378,0.377,0.378,0.345,0.339,0.35,0.333,0.346,0.341,0.457,0.396,0.396,0.376,0.375,0.364,0.326,0.325,0.324,0.32,0.334,0.336,0.353,0.336,0.332,0.334,0.326,0.326,0.367,0.361,0.373,0.356,0.348,0.351,0.338,0.322,0.328,0.384,0.304,0.311,0.302,0.299,0.3,0.299,0.299,0.298,0.356,0.358,0.518,0.465,0.334,0.326,0.359,0.328,0.327,0.315,0.317,0.323,0.385,0.36,0.438,0.352,0.344,0.336,0.439,0.33,0.332,0.324,0.322,0.323,0.37,0.355,0.342,0.334,0.324,0.329,0.295,0.287,0.285,0.28,0.29,0.293,,,0.383,0.379,,,0.437,0.435,0.42,0.445
