time,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_02,e16x33NrdA2_03,e16x33NrdA2_04,e16x33NrdA2_05,e41x32NrdJ1_00,e41x32NrdJ1_01,e41x32NrdJ1_02,e41x32NrdJ1_03,e41x32NrdJ1_04,e41x32NrdJ1_05,e16x33NrdA2_10,e16x33NrdA2_11,e16x33NrdA2_12,e16x33NrdA2_13,e16x33NrdA2_14,e16x33NrdA2_15,e41x32NrdJ1_10,e41x32NrdJ1_11,e41x32NrdJ1_12,e41x32NrdJ1_13,e41x32NrdJ1_14,e41x32NrdJ1_15,e16x33NrdA2_20,e16x33NrdA2_21,e16x33NrdA2_22,e16x33NrdA2_23,e16x33NrdA2_24,e16x33NrdA2_25,e41x32NrdJ1_20,e41x32NrdJ1_21,e41x32NrdJ1_22,e41x32NrdJ1_23,e41x32NrdJ1_24,e41x32NrdJ1_25,e16x33NrdA2_30,e16x33NrdA2_31,e16x33NrdA2_32,e16x33NrdA2_33,e16x33NrdA2_34,e16x33NrdA2_35,e41x32NrdJ1_30,e41x32NrdJ1_31,e41x32NrdJ1_32,e41x32NrdJ1_33,e41x32NrdJ1_34,e41x32NrdJ1_35,e16x33NrdA2_40,e16x33NrdA2_41,e16x33NrdA2_42,e16x33NrdA2_43,e16x33NrdA2_44,e16x33NrdA2_45,e41x32NrdJ1_40,e41x32NrdJ1_41,e41x32NrdJ1_42,e41x32NrdJ1_43,e41x32NrdJ1_44,e41x32NrdJ1_45,e16x33NrdA2_50,e16x33NrdA2_51,e16x33NrdA2_52,e16x33NrdA2_53,e16x33NrdA2_54,e16x33NrdA2_55,e41x32NrdJ1_50,e41x32NrdJ1_51,e41x32NrdJ1_52,e41x32NrdJ1_53,e41x32NrdJ1_54,e41x32NrdJ1_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,28.5,23.5,34.5,24.5,25.5,24.5,23.5,19.5,20.5,15.5,21.5,18.5,35.5,39.5,41.5,41.5,34.5,33.5,46.5,40.5,33.5,34.5,40.5,30.5,31.5,36.5,41.5,40.5,34.5,36.5,45.5,31.5,15.5,13.5,26.5,19.5,28.5,38.5,39.5,36.5,24.5,28.5,37.5,39.5,19.5,28.5,24.5,26.5,29.5,25.5,28.5,19.5,27.5,23.5,26.5,24.5,10.5,19.5,9.5,15.5,26.5,26.5,72.5,29.5,22.5,18.5,20.5,29.5,22.5,16.5,16.5,12.5,,,9.5,10.5,,8.5,10.5,344.5,264.5
20,30.0,19.0,22.0,18.0,18.0,25.0,8.0,9.0,16.0,16.0,23.0,14.0,32.0,29.0,36.0,36.0,28.0,30.0,30.0,24.0,23.0,19.0,24.0,31.0,32.0,32.0,29.0,33.0,23.0,24.0,20.0,20.0,10.0,12.0,17.0,14.0,27.0,29.0,30.0,28.0,23.0,25.0,23.0,19.0,24.0,22.0,23.0,24.0,21.0,24.0,30.0,23.0,13.0,24.0,25.0,18.0,17.0,20.0,14.0,5.0,22.0,25.0,83.0,23.0,22.0,19.0,15.0,20.0,13.0,13.0,15.0,12.0,,,18.0,10.0,,6.5,10.5,258.5,253.5
40,21.5,13.5,26.5,19.5,16.5,9.5,16.5,15.5,4.5,6.5,7.5,6.5,28.5,29.5,23.5,22.5,24.5,15.5,23.5,17.5,19.5,16.5,24.5,17.5,25.5,24.5,21.5,20.5,14.5,17.5,11.5,7.5,9.5,15.5,8.5,4.5,22.5,24.5,22.5,19.5,22.5,20.5,14.5,18.5,15.5,14.5,17.5,18.5,17.5,19.5,19.5,11.5,13.5,17.5,14.5,12.5,7.5,7.5,5.5,7.5,18.5,22.5,83.5,22.5,17.5,16.5,12.5,10.5,4.5,11.5,6.5,9.5,,,5.5,-0.5,,7.5,11.5,330.5,329.5
60,29.0,22.0,27.0,23.0,20.0,20.0,15.0,16.0,15.0,14.0,17.0,10.0,40.0,38.0,31.0,25.0,28.0,26.0,28.0,24.0,23.0,26.0,22.0,30.0,29.0,36.0,30.0,19.0,25.0,23.0,16.0,18.0,9.0,11.0,16.0,13.0,27.0,26.0,21.0,25.0,24.0,20.0,25.0,21.0,16.0,20.0,26.0,22.0,27.0,27.0,30.0,15.0,15.0,19.0,27.0,18.0,12.0,12.0,13.0,9.0,33.0,32.0,87.0,28.0,21.0,24.0,19.0,15.0,19.0,13.0,12.0,17.0,,,11.0,11.0,,13.0,14.0,439.0,439.0
80,29.5,17.5,20.5,21.5,18.5,21.5,14.5,16.5,18.5,12.5,15.5,18.5,33.5,35.5,32.5,25.5,18.5,23.5,18.5,27.5,26.5,21.5,20.5,27.5,30.5,28.5,26.5,24.5,23.5,23.5,13.5,13.5,8.5,19.5,13.5,13.5,25.5,22.5,24.5,25.5,27.5,24.5,19.5,25.5,19.5,20.5,18.5,26.5,22.5,23.5,21.5,20.5,23.5,21.5,20.5,15.5,7.5,18.5,13.5,7.5,24.5,27.5,87.5,28.5,26.5,24.5,19.5,15.5,11.5,13.5,13.5,15.5,,,13.5,7.5,,11.0,17.0,544.0,560.0
100,24.5,22.5,29.5,22.5,16.5,20.5,17.5,16.5,15.5,14.5,12.5,15.5,36.5,36.5,29.5,26.5,26.5,24.5,20.5,23.5,26.5,26.5,22.5,25.5,32.5,31.5,31.5,25.5,20.5,26.5,16.5,10.5,11.5,9.5,19.5,13.5,29.5,23.5,25.5,22.5,23.5,23.5,20.5,20.5,19.5,17.5,21.5,26.5,26.5,21.5,21.5,19.5,19.5,18.5,22.5,14.5,11.5,22.5,9.5,13.5,31.5,33.5,88.5,30.5,28.5,29.5,15.5,15.5,7.5,16.5,13.5,16.5,,,20.5,13.5,,21.0,25.0,648.0,669.0
120,35.5,24.5,37.5,35.5,22.5,29.5,23.5,15.5,28.5,24.5,22.5,17.5,38.5,40.5,37.5,40.5,31.5,29.5,31.5,30.5,31.5,31.5,27.5,31.5,41.5,43.5,37.5,26.5,24.5,26.5,18.5,27.5,17.5,16.5,18.5,16.5,33.5,32.5,33.5,26.5,27.5,22.5,27.5,29.5,25.5,24.5,22.5,29.5,37.5,25.5,23.5,21.5,18.5,27.5,24.5,25.5,15.5,16.5,15.5,18.5,32.5,35.5,85.5,32.5,31.5,29.5,16.5,21.5,17.5,22.5,24.5,24.5,,,28.5,16.5,,27.0,35.0,814.0,843.0
140,36.0,21.0,41.0,33.0,27.0,27.0,26.0,26.0,31.0,19.0,26.0,26.0,46.0,48.0,40.0,42.0,36.0,35.0,32.0,38.0,37.0,34.0,38.0,34.0,43.0,38.0,38.0,35.0,34.0,33.0,26.0,26.0,25.0,23.0,20.0,21.0,34.0,36.0,35.0,30.0,27.0,27.0,34.0,33.0,24.0,29.0,27.0,28.0,37.0,27.0,33.0,23.0,27.0,28.0,32.0,29.0,23.0,23.0,17.0,16.0,41.0,34.0,92.0,33.0,42.0,42.0,16.0,26.0,20.0,19.0,15.0,20.0,,,31.0,21.0,,37.5,51.5,1040.5,1070.5
160,55.0,35.0,50.0,37.0,32.0,39.0,39.0,34.0,42.0,35.0,38.0,34.0,52.0,56.0,47.0,57.0,41.0,48.0,36.0,45.0,39.0,39.0,44.0,51.0,53.0,48.0,46.0,49.0,37.0,38.0,33.0,41.0,32.0,36.0,33.0,31.0,49.0,40.0,41.0,40.0,42.0,33.0,35.0,42.0,43.0,39.0,37.0,44.0,53.0,37.0,42.0,39.0,42.0,42.0,36.0,43.0,33.0,33.0,20.0,30.0,58.0,61.0,107.0,50.0,93.0,110.0,29.0,41.0,34.0,27.0,29.0,34.0,,,45.0,28.0,,57.0,61.0,1334.0,1386.0
180,74.0,58.0,72.0,74.0,63.0,62.0,49.0,56.0,61.0,51.0,58.0,60.0,73.0,86.0,75.0,71.0,61.0,61.0,62.0,73.0,70.0,65.0,63.0,66.0,77.0,66.0,72.0,69.0,65.0,67.0,49.0,53.0,52.0,51.0,54.0,49.0,70.0,65.0,67.0,62.0,68.0,62.0,57.0,65.0,61.0,59.0,57.0,59.0,62.0,67.0,66.0,70.0,124.0,103.0,52.0,61.0,48.0,49.0,44.0,47.0,80.0,85.0,171.0,163.0,485.0,519.0,50.0,56.0,50.0,48.0,49.0,54.0,,,70.0,51.0,,87.0,94.0,1842.0,1897.0
