time,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_02,e16x33NrdA2_03,e16x33NrdA2_04,e16x33NrdA2_05,e41x32NrdJ1_00,e41x32NrdJ1_01,e41x32NrdJ1_02,e41x32NrdJ1_03,e41x32NrdJ1_04,e41x32NrdJ1_05,e16x33NrdA2_10,e16x33NrdA2_11,e16x33NrdA2_12,e16x33NrdA2_13,e16x33NrdA2_14,e16x33NrdA2_15,e41x32NrdJ1_10,e41x32NrdJ1_11,e41x32NrdJ1_12,e41x32NrdJ1_13,e41x32NrdJ1_14,e41x32NrdJ1_15,e16x33NrdA2_20,e16x33NrdA2_21,e16x33NrdA2_22,e16x33NrdA2_23,e16x33NrdA2_24,e16x33NrdA2_25,e41x32NrdJ1_20,e41x32NrdJ1_21,e41x32NrdJ1_22,e41x32NrdJ1_23,e41x32NrdJ1_24,e41x32NrdJ1_25,e16x33NrdA2_30,e16x33NrdA2_31,e16x33NrdA2_32,e16x33NrdA2_33,e16x33NrdA2_34,e16x33NrdA2_35,e41x32NrdJ1_30,e41x32NrdJ1_31,e41x32NrdJ1_32,e41x32NrdJ1_33,e41x32NrdJ1_34,e41x32NrdJ1_35,e16x33NrdA2_40,e16x33NrdA2_41,e16x33NrdA2_42,e16x33NrdA2_43,e16x33NrdA2_44,e16x33NrdA2_45,e41x32NrdJ1_40,e41x32NrdJ1_41,e41x32NrdJ1_42,e41x32NrdJ1_43,e41x32NrdJ1_44,e41x32NrdJ1_45,e16x33NrdA2_50,e16x33NrdA2_51,e16x33NrdA2_52,e16x33NrdA2_53,e16x33NrdA2_54,e16x33NrdA2_55,e41x32NrdJ1_50,e41x32NrdJ1_51,e41x32NrdJ1_52,e41x32NrdJ1_53,e41x32NrdJ1_54,e41x32NrdJ1_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,100.5,72.5,101.5,101.5,59.5,74.5,76.5,53.5,50.5,42.5,51.5,38.5,125.5,165.5,149.5,156.5,104.5,132.5,156.5,133.5,108.5,108.5,132.5,113.5,104.5,145.5,141.5,141.5,70.5,129.5,143.5,106.5,56.5,74.5,93.5,81.5,113.5,111.5,120.5,118.5,119.5,108.5,113.5,152.5,83.5,79.5,84.5,106.5,87.5,93.5,114.5,94.5,74.5,87.5,108.5,103.5,58.5,82.5,46.5,54.5,92.5,103.5,288.5,106.5,85.5,83.5,75.5,108.5,75.5,59.5,45.5,42.5,,,39.5,8.5,,45.5,31.5,1399.5,1058.5
20,88.5,58.5,78.5,78.5,60.5,68.5,47.5,56.5,42.5,27.5,65.5,39.5,114.5,147.5,112.5,121.5,112.5,113.5,111.5,114.5,95.5,89.5,86.5,117.5,114.5,111.5,102.5,106.5,102.5,113.5,57.5,79.5,32.5,71.5,68.5,39.5,125.5,114.5,114.5,97.5,110.5,121.5,108.5,114.5,69.5,88.5,84.5,98.5,83.5,78.5,109.5,91.5,73.5,86.5,92.5,79.5,48.5,62.5,33.5,64.5,108.5,97.5,327.5,123.5,77.5,109.5,73.5,59.5,75.5,71.5,60.5,33.5,,,36.5,37.5,,46.5,69.5,1048.5,1050.5
40,96.5,55.5,71.5,63.5,41.5,56.5,50.5,35.5,54.5,22.5,48.5,21.5,109.5,131.5,100.5,96.5,98.5,76.5,77.5,81.5,78.5,89.5,89.5,94.5,127.5,99.5,105.5,99.5,66.5,75.5,55.5,54.5,46.5,42.5,47.5,30.5,108.5,89.5,90.5,93.5,87.5,60.5,68.5,83.5,82.5,66.5,86.5,78.5,92.5,77.5,76.5,70.5,63.5,76.5,80.5,49.5,35.5,27.5,38.5,35.5,71.5,114.5,344.5,87.5,80.5,114.5,51.5,52.5,65.5,36.5,40.5,66.5,,,31.5,36.5,,40.5,59.5,1342.5,1346.5
60,89.5,62.5,58.5,58.5,61.5,62.5,46.5,38.5,57.5,53.5,42.5,41.5,99.5,150.5,104.5,83.5,84.5,77.5,93.5,94.5,75.5,80.5,88.5,101.5,101.5,102.5,82.5,70.5,70.5,74.5,74.5,46.5,34.5,50.5,37.5,36.5,116.5,93.5,85.5,77.5,60.5,77.5,78.5,68.5,70.5,74.5,74.5,93.5,109.5,87.5,95.5,54.5,53.5,67.5,68.5,63.5,75.5,73.5,62.5,47.5,103.5,112.5,329.5,101.5,84.5,95.5,53.5,33.5,35.5,44.5,29.5,43.5,,,37.5,36.5,,46.0,48.0,1770.0,1746.0
80,100.5,61.5,73.5,68.5,48.5,43.5,45.5,45.5,36.5,39.5,54.5,39.5,119.5,135.5,99.5,107.5,97.5,88.5,75.5,76.5,69.5,79.5,102.5,114.5,87.5,124.5,93.5,89.5,89.5,77.5,52.5,45.5,50.5,51.5,66.5,43.5,93.5,106.5,83.5,93.5,78.5,55.5,72.5,81.5,80.5,50.5,68.5,97.5,76.5,79.5,107.5,70.5,73.5,58.5,70.5,55.5,58.5,51.5,41.5,46.5,118.5,109.5,342.5,89.5,89.5,101.5,47.5,56.5,36.5,50.5,46.5,68.5,,,46.5,36.5,,77.5,82.5,2199.5,2235.5
100,126.5,86.5,114.5,99.5,75.5,52.5,60.5,65.5,65.5,59.5,71.5,42.5,138.5,136.5,97.5,137.5,118.5,93.5,100.5,137.5,94.5,102.5,97.5,122.5,130.5,117.5,113.5,113.5,88.5,96.5,66.5,66.5,53.5,50.5,61.5,67.5,131.5,116.5,89.5,110.5,82.5,101.5,103.5,97.5,92.5,94.5,78.5,94.5,102.5,120.5,112.5,83.5,76.5,83.5,86.5,78.5,62.5,81.5,64.5,57.5,135.5,134.5,346.5,106.5,102.5,118.5,78.5,80.5,71.5,60.5,54.5,72.5,,,90.5,71.5,,92.5,106.5,2637.5,2728.5
120,139.5,68.5,114.5,107.5,83.5,77.5,58.5,64.5,84.5,80.5,74.5,83.5,139.5,166.5,127.5,143.5,135.5,124.5,113.5,108.5,105.5,102.5,117.5,127.5,159.5,114.5,159.5,130.5,116.5,88.5,78.5,82.5,77.5,84.5,82.5,80.5,138.5,123.5,107.5,95.5,113.5,86.5,103.5,129.5,90.5,85.5,89.5,107.5,132.5,113.5,102.5,102.5,97.5,95.5,87.5,94.5,71.5,60.5,76.5,49.5,157.5,132.5,350.5,124.5,115.5,120.5,85.5,76.5,71.5,76.5,78.5,77.5,,,111.5,68.5,,105.5,118.5,3274.5,3387.5
140,157.0,95.0,163.0,127.0,92.0,92.0,80.0,60.0,85.0,71.0,87.0,79.0,171.0,165.0,146.0,151.0,123.0,112.0,108.0,137.0,125.0,117.0,113.0,106.0,150.0,149.0,143.0,118.0,110.0,121.0,93.0,99.0,64.0,84.0,109.0,83.0,165.0,128.0,122.0,109.0,139.0,114.0,120.0,128.0,112.0,91.0,107.0,112.0,120.0,146.0,140.0,101.0,127.0,121.0,92.0,94.0,58.0,89.0,71.0,90.0,171.0,164.0,397.0,140.0,137.0,177.0,99.0,85.0,92.0,91.0,59.0,79.0,,,119.0,94.0,,169.5,206.5,4196.5,4362.5
160,227.5,150.5,210.5,188.5,164.5,153.5,150.5,145.5,174.5,158.5,177.5,146.5,223.5,223.5,190.5,214.5,176.5,177.5,190.5,206.5,190.5,171.5,179.5,179.5,220.5,198.5,196.5,191.5,156.5,187.5,134.5,143.5,125.5,135.5,128.5,139.5,195.5,179.5,192.5,176.5,163.5,174.5,179.5,198.5,158.5,150.5,153.5,192.5,202.5,194.5,156.5,169.5,188.5,192.5,173.5,178.5,165.5,133.5,107.5,142.5,240.5,233.5,446.5,217.5,407.5,482.5,120.5,150.5,128.5,141.5,122.5,143.5,,,176.5,152.5,,223.0,241.0,5440.0,5668.0
180,325.0,215.0,270.0,273.0,223.0,212.0,215.0,211.0,229.0,190.0,231.0,214.0,284.0,303.0,273.0,274.0,246.0,243.0,231.0,263.0,256.0,233.0,234.0,255.0,289.0,274.0,256.0,265.0,240.0,251.0,186.0,208.0,192.0,202.0,187.0,212.0,271.0,253.0,254.0,240.0,316.0,285.0,222.0,259.0,224.0,222.0,225.0,261.0,253.0,252.0,245.0,294.0,504.0,421.0,226.0,246.0,212.0,207.0,171.0,193.0,322.0,355.0,726.0,744.0,2068.0,2213.0,195.0,223.0,192.0,190.0,190.0,191.0,,,269.0,212.0,,337.0,384.0,7420.0,7622.0
