time,e42x32STIMPDH1_00,e42x32STIMPDH1_01,e42x32STIMPDH1_02,e42x32STIMPDH1_03,e42x32STIMPDH1_04,e42x32STIMPDH1_05,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_02,e16x33NrdA2_03,e16x33NrdA2_04,e16x33NrdA2_05,e42x32STIMPDH1_10,e42x32STIMPDH1_11,e42x32STIMPDH1_12,e42x32STIMPDH1_13,e42x32STIMPDH1_14,e42x32STIMPDH1_15,e16x33NrdA2_10,e16x33NrdA2_11,e16x33NrdA2_12,e16x33NrdA2_13,e16x33NrdA2_14,e16x33NrdA2_15,e42x32STIMPDH1_20,e42x32STIMPDH1_21,e42x32STIMPDH1_22,e42x32STIMPDH1_23,e42x32STIMPDH1_24,e42x32STIMPDH1_25,e16x33NrdA2_20,e16x33NrdA2_21,e16x33NrdA2_22,e16x33NrdA2_23,e16x33NrdA2_24,e16x33NrdA2_25,e42x32STIMPDH1_30,e42x32STIMPDH1_31,e42x32STIMPDH1_32,e42x32STIMPDH1_33,e42x32STIMPDH1_34,e42x32STIMPDH1_35,e16x33NrdA2_30,e16x33NrdA2_31,e16x33NrdA2_32,e16x33NrdA2_33,e16x33NrdA2_34,e16x33NrdA2_35,e42x32STIMPDH1_40,e42x32STIMPDH1_41,e42x32STIMPDH1_42,e42x32STIMPDH1_43,e42x32STIMPDH1_44,e42x32STIMPDH1_45,e16x33NrdA2_40,e16x33NrdA2_41,e16x33NrdA2_42,e16x33NrdA2_43,e16x33NrdA2_44,e16x33NrdA2_45,e42x32STIMPDH1_50,e42x32STIMPDH1_51,e42x32STIMPDH1_52,e42x32STIMPDH1_53,e42x32STIMPDH1_54,e42x32STIMPDH1_55,e16x33NrdA2_50,e16x33NrdA2_51,e16x33NrdA2_52,e16x33NrdA2_53,e16x33NrdA2_54,e16x33NrdA2_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,33.5,41.5,36.5,45.5,33.5,32.5,32.5,27.5,28.5,31.5,38.5,31.5,35.5,40.5,32.5,43.5,44.5,46.5,44.5,35.5,43.5,40.5,48.5,46.5,30.5,35.5,24.5,23.5,28.5,17.5,30.5,23.5,23.5,17.5,20.5,21.5,35.5,37.5,42.5,36.5,37.5,26.5,34.5,22.5,28.5,22.5,43.5,44.5,30.5,36.5,36.5,27.5,17.5,36.5,24.5,24.5,21.5,18.5,25.5,22.5,19.5,28.5,26.5,24.5,15.5,17.5,24.5,24.5,13.5,20.5,18.5,10.5,,,17.5,9.5,,10.0,22.0,232.0,208.0
20,18.0,16.0,19.0,17.0,18.0,15.0,11.0,8.0,15.0,14.0,11.0,14.0,17.0,19.0,18.0,20.0,20.0,27.0,14.0,23.0,17.0,22.0,24.0,19.0,20.0,23.0,24.0,24.0,22.0,25.0,19.0,19.0,23.0,20.0,15.0,11.0,22.0,26.0,26.0,28.0,20.0,21.0,23.0,20.0,24.0,14.0,12.0,15.0,27.0,31.0,28.0,22.0,20.0,26.0,17.0,18.0,20.0,17.0,20.0,18.0,23.0,21.0,20.0,25.0,18.0,22.0,14.0,17.0,12.0,10.0,12.0,8.0,,,16.0,6.0,,3.5,17.5,155.5,129.5
40,18.0,19.0,19.0,15.0,9.0,9.0,14.0,9.0,14.0,12.0,5.0,15.0,11.0,14.0,9.0,13.0,17.0,19.0,13.0,18.0,15.0,17.0,14.0,17.0,20.0,25.0,17.0,15.0,15.0,18.0,15.0,8.0,17.0,16.0,10.0,9.0,21.0,22.0,16.0,23.0,24.0,15.0,17.0,22.0,17.0,17.0,6.0,11.0,25.0,23.0,28.0,14.0,15.0,17.0,15.0,19.0,20.0,17.0,13.0,13.0,18.0,20.0,18.0,19.0,17.0,15.0,14.0,14.0,9.0,5.0,11.0,6.0,,,12.0,13.0,,8.5,17.5,200.5,178.5
60,15.0,25.0,14.0,11.0,9.0,10.0,11.0,5.0,7.0,10.0,10.0,14.0,19.0,15.0,8.0,16.0,13.0,14.0,14.0,13.0,12.0,15.0,17.0,14.0,17.0,15.0,18.0,13.0,16.0,14.0,10.0,8.0,8.0,15.0,5.0,16.0,15.0,24.0,17.0,14.0,13.0,17.0,12.0,12.0,14.0,9.0,9.0,9.0,20.0,21.0,19.0,14.0,12.0,17.0,11.0,10.0,15.0,8.0,9.0,9.0,19.0,17.0,16.0,10.0,11.0,12.0,11.0,10.0,5.0,1.0,6.0,2.0,,,15.0,9.0,,12.5,24.5,277.5,234.5
80,19.5,11.5,12.5,18.5,12.5,11.5,6.5,4.5,15.5,9.5,6.5,14.5,20.5,8.5,7.5,15.5,15.5,19.5,14.5,16.5,16.5,15.5,18.5,16.5,22.5,20.5,19.5,16.5,13.5,16.5,13.5,10.5,10.5,9.5,15.5,14.5,20.5,20.5,16.5,16.5,19.5,19.5,20.5,12.5,12.5,13.5,9.5,9.5,28.5,16.5,19.5,14.5,20.5,16.5,17.5,9.5,14.5,7.5,10.5,15.5,22.5,16.5,18.5,14.5,12.5,15.5,14.5,13.5,4.5,5.5,4.5,10.5,,,13.5,11.5,,10.0,23.0,347.0,301.0
100,23.5,25.5,24.5,16.5,22.5,18.5,19.5,9.5,12.5,10.5,8.5,17.5,19.5,17.5,8.5,24.5,21.5,21.5,16.5,14.5,21.5,17.5,16.5,18.5,26.5,21.5,20.5,20.5,25.5,19.5,20.5,11.5,13.5,14.5,12.5,20.5,24.5,23.5,25.5,18.5,23.5,14.5,18.5,17.5,21.5,18.5,9.5,15.5,23.5,29.5,24.5,20.5,18.5,23.5,17.5,18.5,21.5,21.5,15.5,17.5,26.5,21.5,21.5,18.5,13.5,13.5,17.5,19.5,11.5,15.5,12.5,10.5,,,20.5,17.5,,20.0,32.0,419.0,374.0
120,21.0,19.0,23.0,15.0,16.0,15.0,25.0,11.0,11.0,13.0,12.0,19.0,22.0,13.0,10.0,18.0,23.0,19.0,12.0,15.0,17.0,13.0,21.0,21.0,24.0,23.0,10.0,13.0,18.0,17.0,14.0,10.0,12.0,15.0,15.0,19.0,21.0,24.0,25.0,20.0,17.0,21.0,14.0,19.0,13.0,12.0,9.0,15.0,24.0,24.0,19.0,20.0,14.0,16.0,10.0,19.0,18.0,14.0,13.0,13.0,19.0,23.0,23.0,21.0,12.0,15.0,18.0,11.0,11.0,17.0,5.0,9.0,,,18.0,14.0,,25.5,33.5,511.5,455.5
140,30.5,28.5,29.5,25.5,26.5,18.5,25.5,28.5,28.5,29.5,24.5,38.5,30.5,28.5,19.5,28.5,23.5,37.5,31.5,30.5,30.5,25.5,25.5,33.5,29.5,27.5,28.5,28.5,32.5,21.5,29.5,24.5,21.5,21.5,22.5,27.5,31.5,34.5,30.5,31.5,28.5,28.5,28.5,22.5,19.5,25.5,22.5,21.5,34.5,33.5,30.5,29.5,23.5,30.5,27.5,30.5,22.5,23.5,24.5,23.5,35.5,30.5,29.5,28.5,23.5,26.5,22.5,27.5,19.5,19.5,15.5,13.5,,,32.5,20.5,,33.5,38.5,635.5,580.5
160,43.5,43.5,38.5,33.5,36.5,34.5,29.5,23.5,35.5,29.5,27.5,39.5,41.5,23.5,19.5,36.5,28.5,39.5,29.5,32.5,38.5,34.5,32.5,35.5,38.5,32.5,37.5,28.5,29.5,32.5,27.5,25.5,32.5,23.5,25.5,29.5,37.5,36.5,37.5,27.5,30.5,28.5,33.5,28.5,29.5,25.5,20.5,30.5,36.5,33.5,28.5,27.5,28.5,28.5,30.5,26.5,27.5,31.5,22.5,23.5,36.5,31.5,29.5,24.5,24.5,35.5,26.5,21.5,23.5,22.5,24.5,15.5,,,37.5,29.5,,49.5,60.5,841.5,764.5
180,62.0,55.0,56.0,54.0,49.0,53.0,53.0,48.0,56.0,44.0,50.0,55.0,53.0,41.0,39.0,50.0,54.0,61.0,49.0,56.0,61.0,51.0,55.0,57.0,58.0,56.0,54.0,48.0,46.0,52.0,41.0,46.0,54.0,51.0,48.0,47.0,54.0,51.0,57.0,53.0,51.0,51.0,50.0,43.0,48.0,48.0,43.0,46.0,53.0,52.0,51.0,52.0,44.0,52.0,49.0,44.0,46.0,48.0,45.0,48.0,53.0,52.0,57.0,46.0,41.0,51.0,48.0,48.0,41.0,45.0,45.0,38.0,,,53.0,51.0,,61.5,74.5,1094.5,1018.5
