time,e41x32NrdJ1_00,e41x32NrdJ1_01,e41x32NrdJ1_02,e41x32NrdJ1_03,e41x32NrdJ1_04,e41x32NrdJ1_05,e42x32STIMPDH1_00,e42x32STIMPDH1_01,e42x32STIMPDH1_02,e42x32STIMPDH1_03,e42x32STIMPDH1_04,e42x32STIMPDH1_05,e41x32NrdJ1_10,e41x32NrdJ1_11,e41x32NrdJ1_12,e41x32NrdJ1_13,e41x32NrdJ1_14,e41x32NrdJ1_15,e42x32STIMPDH1_10,e42x32STIMPDH1_11,e42x32STIMPDH1_12,e42x32STIMPDH1_13,e42x32STIMPDH1_14,e42x32STIMPDH1_15,e41x32NrdJ1_20,e41x32NrdJ1_21,e41x32NrdJ1_22,e41x32NrdJ1_23,e41x32NrdJ1_24,e41x32NrdJ1_25,e42x32STIMPDH1_20,e42x32STIMPDH1_21,e42x32STIMPDH1_22,e42x32STIMPDH1_23,e42x32STIMPDH1_24,e42x32STIMPDH1_25,e41x32NrdJ1_30,e41x32NrdJ1_31,e41x32NrdJ1_32,e41x32NrdJ1_33,e41x32NrdJ1_34,e41x32NrdJ1_35,e42x32STIMPDH1_30,e42x32STIMPDH1_31,e42x32STIMPDH1_32,e42x32STIMPDH1_33,e42x32STIMPDH1_34,e42x32STIMPDH1_35,e41x32NrdJ1_40,e41x32NrdJ1_41,e41x32NrdJ1_42,e41x32NrdJ1_43,e41x32NrdJ1_44,e41x32NrdJ1_45,e42x32STIMPDH1_40,e42x32STIMPDH1_41,e42x32STIMPDH1_42,e42x32STIMPDH1_43,e42x32STIMPDH1_44,e42x32STIMPDH1_45,e41x32NrdJ1_50,e41x32NrdJ1_51,e41x32NrdJ1_52,e41x32NrdJ1_53,e41x32NrdJ1_54,e41x32NrdJ1_55,e42x32STIMPDH1_50,e42x32STIMPDH1_51,e42x32STIMPDH1_52,e42x32STIMPDH1_53,e42x32STIMPDH1_54,e42x32STIMPDH1_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
160,77.5,86.5,77.5,67.5,77.5,75.5,55.5,57.5,58.5,47.5,55.5,58.5,106.5,106.5,83.5,93.5,90.5,87.5,75.5,73.5,68.5,74.5,74.5,81.5,78.5,87.5,71.5,71.5,83.5,74.5,78.5,56.5,58.5,66.5,59.5,73.5,80.5,75.5,62.5,69.5,69.5,71.5,73.5,50.5,65.5,65.5,63.5,63.5,67.5,74.5,82.5,61.5,74.5,64.5,76.5,65.5,64.5,59.5,59.5,69.5,98.5,79.5,86.5,89.5,81.5,79.5,83.5,68.5,67.5,76.5,72.5,74.5,,,103.5,81.5,,107.5,121.5,2538.5,2555.5
180,123.5,107.5,100.5,113.5,90.5,95.5,77.5,90.5,81.5,87.5,77.5,82.5,134.5,121.5,120.5,115.5,126.5,106.5,95.5,111.5,101.5,97.5,101.5,101.5,104.5,123.5,100.5,105.5,100.5,102.5,96.5,91.5,90.5,92.5,91.5,84.5,114.5,102.5,93.5,92.5,99.5,107.5,94.5,84.5,80.5,85.5,76.5,87.5,108.5,103.5,104.5,88.5,100.5,90.5,106.5,85.5,83.5,73.5,82.5,77.5,129.5,110.5,117.5,104.5,101.5,99.5,100.5,99.5,91.5,92.5,89.5,97.5,,,135.5,122.5,,166.5,160.5,3308.5,3339.5
200,165.5,163.5,140.5,148.5,147.5,136.5,123.5,120.5,115.5,115.5,113.5,116.5,169.5,171.5,170.5,175.5,172.5,159.5,145.5,137.5,144.5,133.5,140.5,137.5,159.5,146.5,154.5,147.5,146.5,136.5,135.5,118.5,118.5,116.5,131.5,131.5,153.5,146.5,129.5,140.5,136.5,142.5,141.5,118.5,122.5,134.5,128.5,126.5,141.5,137.5,141.5,127.5,137.5,129.5,134.5,121.5,109.5,111.5,120.5,128.5,172.5,166.5,165.5,143.5,147.5,153.5,143.5,139.5,133.5,129.5,130.5,126.5,,,192.5,173.5,,217.5,226.5,4506.5,4436.5
220,223.5,226.5,196.5,206.5,209.5,198.5,174.5,168.5,160.5,149.5,156.5,162.5,240.5,234.5,231.5,221.5,229.5,203.5,197.5,200.5,190.5,192.5,199.5,187.5,194.5,206.5,198.5,201.5,200.5,177.5,192.5,174.5,169.5,176.5,169.5,173.5,192.5,186.5,179.5,200.5,188.5,192.5,189.5,177.5,164.5,174.5,168.5,173.5,200.5,190.5,183.5,176.5,194.5,178.5,176.5,169.5,171.5,152.5,168.5,169.5,228.5,212.5,227.5,201.5,196.5,201.5,197.5,183.5,178.5,177.5,177.5,180.5,,,248.5,233.5,,300.5,345.5,6201.5,6057.5
240,291.0,283.0,273.0,263.0,276.0,260.0,238.0,232.0,225.0,228.0,221.0,224.0,326.0,308.0,298.0,285.0,304.0,269.0,264.0,261.0,247.0,236.0,256.0,256.0,276.0,271.0,261.0,261.0,272.0,245.0,245.0,231.0,232.0,231.0,240.0,229.0,274.0,251.0,248.0,265.0,257.0,251.0,250.0,228.0,233.0,236.0,225.0,219.0,262.0,251.0,252.0,239.0,247.0,242.0,246.0,238.0,222.0,223.0,218.0,227.0,287.0,275.0,288.0,270.0,264.0,262.0,251.0,240.0,236.0,237.0,224.0,221.0,,,308.0,313.0,,392.0,466.0,8493.0,8211.0
260,384.5,367.5,354.5,344.5,350.5,339.5,307.5,299.5,300.5,281.5,274.5,275.5,403.5,380.5,369.5,362.5,381.5,349.5,341.5,327.5,309.5,311.5,303.5,320.5,356.5,344.5,329.5,327.5,344.5,325.5,305.5,287.5,296.5,289.5,282.5,294.5,344.5,331.5,308.5,337.5,314.5,309.5,316.5,292.5,289.5,293.5,284.5,283.5,345.5,332.5,324.5,298.5,326.5,312.5,311.5,293.5,276.5,268.5,267.5,269.5,375.5,361.5,367.5,335.5,331.5,340.5,331.5,302.5,288.5,284.5,287.5,285.5,,,410.5,386.5,,487.0,568.0,11053.0,10630.0
280,477.5,467.5,441.5,422.5,430.5,422.5,404.5,399.5,374.5,367.5,373.5,375.5,502.5,474.5,469.5,453.5,447.5,441.5,435.5,422.5,405.5,383.5,400.5,390.5,459.5,448.5,430.5,423.5,420.5,418.5,405.5,381.5,383.5,366.5,367.5,360.5,459.5,429.5,403.5,427.5,420.5,412.5,412.5,374.5,370.5,382.5,364.5,364.5,456.5,431.5,408.5,386.5,415.5,392.5,402.5,389.5,364.5,349.5,356.5,367.5,469.5,455.5,459.5,429.5,422.5,420.5,427.5,404.5,387.5,370.5,365.5,373.5,,,478.5,454.5,,574.5,665.5,12656.5,12041.5
300,552.0,535.0,491.0,500.0,477.0,487.0,452.0,458.0,436.0,425.0,420.0,427.0,577.0,536.0,524.0,506.0,503.0,500.0,496.0,478.0,449.0,437.0,447.0,454.0,524.0,510.0,476.0,476.0,484.0,459.0,453.0,446.0,434.0,410.0,413.0,422.0,523.0,482.0,455.0,468.0,463.0,461.0,462.0,435.0,416.0,434.0,402.0,422.0,517.0,485.0,478.0,437.0,457.0,459.0,469.0,445.0,421.0,411.0,427.0,432.0,549.0,519.0,507.0,488.0,482.0,466.0,493.0,454.0,440.0,436.0,437.0,431.0,,,513.0,515.0,,658.5,761.5,14121.5,13339.5
320,640.0,601.0,564.0,561.0,562.0,546.0,543.0,513.0,512.0,500.0,499.0,495.0,666.0,625.0,598.0,592.0,574.0,552.0,557.0,554.0,527.0,521.0,517.0,529.0,617.0,580.0,543.0,560.0,541.0,561.0,529.0,508.0,493.0,484.0,485.0,485.0,596.0,563.0,535.0,553.0,534.0,521.0,550.0,508.0,492.0,491.0,483.0,482.0,578.0,571.0,547.0,518.0,536.0,520.0,535.0,511.0,493.0,473.0,491.0,488.0,632.0,592.0,579.0,566.0,544.0,534.0,552.0,530.0,510.0,494.0,504.0,495.0,,,595.0,572.0,,733.0,840.0,15775.0,14794.0
340,719.5,677.5,645.5,639.5,627.5,618.5,616.5,595.5,574.5,563.5,570.5,578.5,740.5,695.5,671.5,644.5,650.5,641.5,652.5,622.5,602.5,573.5,600.5,595.5,690.5,668.5,639.5,627.5,626.5,601.5,607.5,577.5,574.5,563.5,557.5,570.5,685.5,633.5,600.5,621.5,614.5,600.5,624.5,580.5,576.5,577.5,548.5,554.5,666.5,631.5,622.5,579.5,609.5,599.5,604.5,584.5,575.5,534.5,558.5,562.5,712.5,655.5,663.5,609.5,615.5,598.5,627.5,604.5,585.5,564.5,561.5,575.5,,,652.5,627.5,,828.0,943.0,17331.0,16188.0
