time,e41x32NrdJ1_00,e41x32NrdJ1_01,e41x32NrdJ1_02,e41x32NrdJ1_03,e41x32NrdJ1_04,e41x32NrdJ1_05,e42x32STIMPDH1_00,e42x32STIMPDH1_01,e42x32STIMPDH1_02,e42x32STIMPDH1_03,e42x32STIMPDH1_04,e42x32STIMPDH1_05,e41x32NrdJ1_10,e41x32NrdJ1_11,e41x32NrdJ1_12,e41x32NrdJ1_13,e41x32NrdJ1_14,e41x32NrdJ1_15,e42x32STIMPDH1_10,e42x32STIMPDH1_11,e42x32STIMPDH1_12,e42x32STIMPDH1_13,e42x32STIMPDH1_14,e42x32STIMPDH1_15,e41x32NrdJ1_20,e41x32NrdJ1_21,e41x32NrdJ1_22,e41x32NrdJ1_23,e41x32NrdJ1_24,e41x32NrdJ1_25,e42x32STIMPDH1_20,e42x32STIMPDH1_21,e42x32STIMPDH1_22,e42x32STIMPDH1_23,e42x32STIMPDH1_24,e42x32STIMPDH1_25,e41x32NrdJ1_30,e41x32NrdJ1_31,e41x32NrdJ1_32,e41x32NrdJ1_33,e41x32NrdJ1_34,e41x32NrdJ1_35,e42x32STIMPDH1_30,e42x32STIMPDH1_31,e42x32STIMPDH1_32,e42x32STIMPDH1_33,e42x32STIMPDH1_34,e42x32STIMPDH1_35,e41x32NrdJ1_40,e41x32NrdJ1_41,e41x32NrdJ1_42,e41x32NrdJ1_43,e41x32NrdJ1_44,e41x32NrdJ1_45,e42x32STIMPDH1_40,e42x32STIMPDH1_41,e42x32STIMPDH1_42,e42x32STIMPDH1_43,e42x32STIMPDH1_44,e42x32STIMPDH1_45,e41x32NrdJ1_50,e41x32NrdJ1_51,e41x32NrdJ1_52,e41x32NrdJ1_53,e41x32NrdJ1_54,e41x32NrdJ1_55,e42x32STIMPDH1_50,e42x32STIMPDH1_51,e42x32STIMPDH1_52,e42x32STIMPDH1_53,e42x32STIMPDH1_54,e42x32STIMPDH1_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
80,64.5,63.5,57.5,47.5,30.5,35.5,28.5,44.5,34.5,26.5,23.5,42.5,114.5,112.5,94.5,92.5,94.5,84.5,64.5,89.5,63.5,68.5,84.5,71.5,105.5,128.5,101.5,84.5,75.5,64.5,63.5,49.5,70.5,76.5,62.5,64.5,78.5,108.5,83.5,59.5,65.5,88.5,93.5,44.5,45.5,61.5,59.5,81.5,82.5,83.5,83.5,75.5,61.5,50.5,60.5,62.5,69.5,60.5,52.5,43.5,109.5,108.5,73.5,72.5,87.5,83.5,72.5,44.5,50.5,50.5,53.5,68.5,,,91.5,60.5,,75.0,81.0,2237.0,2115.0
100,87.0,76.0,36.0,41.0,50.0,53.0,32.0,44.0,19.0,54.0,36.0,38.0,117.0,117.0,112.0,85.0,110.0,85.0,91.0,99.0,73.0,81.0,96.0,77.0,114.0,87.0,69.0,107.0,84.0,75.0,73.0,45.0,72.0,48.0,69.0,76.0,121.0,81.0,54.0,76.0,69.0,81.0,63.0,45.0,72.0,78.0,72.0,78.0,80.0,75.0,85.0,78.0,62.0,54.0,71.0,69.0,39.0,47.0,58.0,64.0,105.0,106.0,99.0,76.0,81.0,64.0,85.0,54.0,52.0,75.0,67.0,61.0,,,95.0,73.0,,90.5,96.5,2679.5,2627.5
120,73.0,87.0,84.0,67.0,69.0,63.0,72.0,48.0,47.0,49.0,39.0,58.0,114.0,121.0,130.0,101.0,106.0,112.0,90.0,86.0,78.0,67.0,91.0,67.0,107.0,105.0,106.0,101.0,89.0,82.0,82.0,70.0,64.0,84.0,87.0,72.0,112.0,99.0,78.0,85.0,75.0,80.0,87.0,61.0,64.0,82.0,60.0,88.0,100.0,108.0,107.0,74.0,80.0,77.0,69.0,90.0,45.0,63.0,81.0,76.0,124.0,122.0,113.0,104.0,103.0,94.0,94.0,75.0,63.0,67.0,77.0,89.0,,,123.0,98.0,,135.5,135.5,3161.5,3194.5
140,100.5,99.5,90.5,100.5,78.5,85.5,49.5,62.5,65.5,59.5,69.5,68.5,137.5,121.5,143.5,135.5,138.5,112.5,113.5,110.5,125.5,107.5,108.5,101.5,113.5,122.5,105.5,115.5,139.5,104.5,87.5,79.5,89.5,90.5,75.5,117.5,129.5,121.5,90.5,98.5,118.5,106.5,110.5,57.5,82.5,116.5,101.5,85.5,116.5,122.5,122.5,90.5,94.5,84.5,74.5,84.5,61.5,76.5,60.5,89.5,138.5,125.5,129.5,135.5,97.5,111.5,99.5,103.5,105.5,93.5,99.5,109.5,,,129.5,124.5,,178.0,159.0,3935.0,3978.0
160,179.5,136.5,140.5,145.5,134.5,155.5,101.5,121.5,108.5,127.5,114.5,108.5,198.5,199.5,194.5,172.5,188.5,171.5,167.5,170.5,139.5,138.5,153.5,160.5,168.5,157.5,162.5,158.5,161.5,148.5,145.5,119.5,128.5,118.5,118.5,146.5,162.5,158.5,142.5,154.5,145.5,148.5,145.5,115.5,149.5,144.5,131.5,137.5,144.5,134.5,163.5,126.5,153.5,137.5,122.5,145.5,130.5,132.5,133.5,119.5,194.5,178.5,199.5,167.5,156.5,143.5,161.5,144.5,136.5,148.5,145.5,140.5,,,196.5,187.5,,212.5,220.5,4946.5,4964.5
180,221.5,217.5,193.5,178.5,182.5,171.5,143.5,167.5,134.5,146.5,140.5,134.5,240.5,241.5,225.5,236.5,246.5,212.5,200.5,200.5,191.5,167.5,194.5,199.5,212.5,200.5,192.5,193.5,201.5,186.5,178.5,150.5,176.5,148.5,168.5,176.5,210.5,191.5,170.5,204.5,182.5,190.5,204.5,172.5,158.5,187.5,163.5,166.5,202.5,180.5,162.5,146.5,183.5,170.5,164.5,167.5,154.5,137.5,165.5,157.5,225.5,228.5,230.5,192.5,189.5,205.5,207.5,173.5,165.5,172.5,176.5,167.5,,,250.5,228.5,,307.0,321.0,6441.0,6438.0
200,329.0,317.0,279.0,285.0,286.0,276.0,237.0,233.0,233.0,225.0,226.0,228.0,341.0,345.0,325.0,313.0,314.0,323.0,309.0,275.0,281.0,267.0,292.0,277.0,281.0,312.0,288.0,296.0,297.0,275.0,262.0,241.0,261.0,257.0,242.0,257.0,284.0,282.0,269.0,298.0,275.0,280.0,268.0,243.0,230.0,257.0,239.0,250.0,243.0,299.0,278.0,265.0,283.0,269.0,277.0,260.0,249.0,211.0,250.0,236.0,325.0,284.0,324.0,294.0,298.0,276.0,284.0,277.0,270.0,257.0,266.0,262.0,,,383.0,353.0,,415.5,448.5,8734.5,8677.5
220,444.5,439.5,388.5,382.5,403.5,391.5,342.5,347.5,332.5,304.5,310.5,307.5,463.5,468.5,442.5,439.5,453.5,398.5,395.5,381.5,378.5,363.5,374.5,389.5,408.5,395.5,378.5,407.5,381.5,366.5,358.5,335.5,336.5,327.5,326.5,336.5,370.5,372.5,354.5,379.5,349.5,360.5,352.5,304.5,327.5,356.5,319.5,328.5,374.5,376.5,382.5,333.5,372.5,357.5,354.5,351.5,329.5,320.5,329.5,336.5,426.5,410.5,415.5,396.5,387.5,394.5,398.5,363.5,338.5,355.5,357.5,345.5,,,509.5,467.5,,580.5,650.5,12029.5,11788.5
240,581.0,547.0,524.0,525.0,520.0,517.0,436.0,455.0,440.0,420.0,405.0,434.0,585.0,603.0,548.0,552.0,550.0,513.0,496.0,509.0,472.0,463.0,449.0,495.0,514.0,504.0,499.0,507.0,514.0,497.0,479.0,435.0,445.0,438.0,452.0,429.0,520.0,505.0,468.0,511.0,465.0,490.0,498.0,432.0,443.0,446.0,421.0,439.0,520.0,485.0,495.0,455.0,494.0,467.0,489.0,465.0,441.0,422.0,430.0,433.0,546.0,532.0,539.0,522.0,500.0,504.0,494.0,477.0,435.0,454.0,442.0,446.0,,,628.0,598.0,,756.5,862.5,16535.5,15928.5
260,780.5,724.5,688.5,684.5,700.5,665.5,594.5,618.5,586.5,565.5,543.5,563.5,781.5,748.5,722.5,711.5,733.5,684.5,676.5,656.5,604.5,595.5,619.5,600.5,723.5,654.5,668.5,640.5,653.5,623.5,605.5,604.5,593.5,556.5,546.5,556.5,683.5,627.5,625.5,652.5,621.5,618.5,632.5,567.5,551.5,591.5,545.5,566.5,701.5,668.5,658.5,599.5,615.5,598.5,621.5,596.5,546.5,529.5,532.5,535.5,746.5,676.5,710.5,658.5,654.5,661.5,662.5,613.5,576.5,572.5,563.5,564.5,,,789.5,744.5,,952.5,1073.5,21498.5,20608.5
280,913.5,878.5,816.5,825.5,800.5,811.5,759.5,729.5,712.5,709.5,698.5,678.5,950.5,901.5,856.5,860.5,864.5,826.5,805.5,801.5,777.5,748.5,764.5,743.5,857.5,848.5,816.5,800.5,807.5,778.5,767.5,734.5,739.5,714.5,694.5,676.5,881.5,796.5,781.5,829.5,759.5,759.5,778.5,726.5,688.5,727.5,693.5,683.5,841.5,820.5,802.5,731.5,787.5,765.5,778.5,726.5,695.5,676.5,683.5,702.5,909.5,847.5,879.5,801.5,794.5,792.5,799.5,745.5,703.5,726.5,688.5,723.5,,,896.5,866.5,,1157.5,1314.5,24532.5,23471.5
300,1065.0,987.0,966.0,931.0,958.0,919.0,865.0,870.0,855.0,841.0,842.0,820.0,1104.0,1041.0,981.0,979.0,1004.0,952.0,933.0,897.0,888.0,855.0,867.0,875.0,1032.0,953.0,920.0,940.0,906.0,898.0,911.0,858.0,847.0,837.0,814.0,814.0,1017.0,940.0,916.0,938.0,899.0,894.0,899.0,839.0,839.0,834.0,801.0,812.0,994.0,949.0,932.0,858.0,901.0,887.0,906.0,863.0,826.0,769.0,804.0,824.0,1054.0,995.0,1018.0,925.0,912.0,929.0,943.0,872.0,850.0,853.0,800.0,831.0,,,1032.0,991.0,,1287.0,1487.0,27419.0,25798.0
320,1226.5,1180.5,1104.5,1094.5,1092.5,1058.5,1026.5,1009.5,1000.5,980.5,949.5,982.5,1254.5,1192.5,1141.5,1141.5,1146.5,1091.5,1080.5,1080.5,1027.5,991.5,1007.5,1027.5,1218.5,1133.5,1085.5,1080.5,1081.5,1031.5,1040.5,1005.5,971.5,987.5,947.5,959.5,1146.5,1118.5,1034.5,1054.5,1033.5,1033.5,1031.5,987.5,967.5,972.5,941.5,923.5,1163.5,1085.5,1075.5,1006.5,1045.5,1018.5,1043.5,999.5,949.5,930.5,942.5,965.5,1208.5,1145.5,1128.5,1068.5,1087.5,1053.5,1093.5,1020.5,986.5,975.5,951.5,966.5,,,1136.5,1130.5,,1439.5,1640.5,30463.5,28614.5
