time,e41x32NrdJ1_00,e41x32NrdJ1_01,e41x32NrdJ1_02,e41x32NrdJ1_03,e41x32NrdJ1_04,e41x32NrdJ1_05,e42x32STIMPDH1_00,e42x32STIMPDH1_01,e42x32STIMPDH1_02,e42x32STIMPDH1_03,e42x32STIMPDH1_04,e42x32STIMPDH1_05,e41x32NrdJ1_10,e41x32NrdJ1_11,e41x32NrdJ1_12,e41x32NrdJ1_13,e41x32NrdJ1_14,e41x32NrdJ1_15,e42x32STIMPDH1_10,e42x32STIMPDH1_11,e42x32STIMPDH1_12,e42x32STIMPDH1_13,e42x32STIMPDH1_14,e42x32STIMPDH1_15,e41x32NrdJ1_20,e41x32NrdJ1_21,e41x32NrdJ1_22,e41x32NrdJ1_23,e41x32NrdJ1_24,e41x32NrdJ1_25,e42x32STIMPDH1_20,e42x32STIMPDH1_21,e42x32STIMPDH1_22,e42x32STIMPDH1_23,e42x32STIMPDH1_24,e42x32STIMPDH1_25,e41x32NrdJ1_30,e41x32NrdJ1_31,e41x32NrdJ1_32,e41x32NrdJ1_33,e41x32NrdJ1_34,e41x32NrdJ1_35,e42x32STIMPDH1_30,e42x32STIMPDH1_31,e42x32STIMPDH1_32,e42x32STIMPDH1_33,e42x32STIMPDH1_34,e42x32STIMPDH1_35,e41x32NrdJ1_40,e41x32NrdJ1_41,e41x32NrdJ1_42,e41x32NrdJ1_43,e41x32NrdJ1_44,e41x32NrdJ1_45,e42x32STIMPDH1_40,e42x32STIMPDH1_41,e42x32STIMPDH1_42,e42x32STIMPDH1_43,e42x32STIMPDH1_44,e42x32STIMPDH1_45,e41x32NrdJ1_50,e41x32NrdJ1_51,e41x32NrdJ1_52,e41x32NrdJ1_53,e41x32NrdJ1_54,e41x32NrdJ1_55,e42x32STIMPDH1_50,e42x32STIMPDH1_51,e42x32STIMPDH1_52,e42x32STIMPDH1_53,e42x32STIMPDH1_54,e42x32STIMPDH1_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,0.055,0.029,0.019,0.002,0.02,0.032,0.018,0.013,0.043,0.01,0.008,0.004,0.03,0.035,0.025,0.02,0.029,0.033,0.012,0.013,0.033,0.017,0.015,0.038,0.021,-0.002,0.009,0.003,5e-05,-0.002,0.025,-0.005,-0.002,-0.003,0.003,0.015,0.059,0.041,0.003,-0.001,-0.003,-0.002,0.003,0.011,0.032,0.019,-0.002,0.009,0.068,-0.00035,0.01,-0.002,0.006,0.012,0.006,0.05,0.045,0.039,0.036,0.056,0.028,0.015,0.008,-0.003,0.026,-0.00025,-0.004,0.05,0.005,0.043,0.024,0.036,,,0.029,0.038,,0.009,0.007,0.019,0.015
20,0.019,0.014,0.011,0.01,0.011,0.013,0.014,0.012,0.015,0.015,0.021,0.023,0.014,0.01,0.01,0.012,0.012,0.012,0.012,0.013,0.013,0.012,0.017,0.022,0.012,0.006,0.008,0.008,0.007,0.01,0.009,0.01,0.011,0.012,0.012,0.02,0.013,0.01,0.012,0.013,0.012,0.013,0.015,0.013,0.013,0.016,0.012,0.017,0.014,0.009,0.008,0.009,0.012,0.013,0.013,0.013,0.012,0.018,0.034,0.019,0.015,0.011,0.014,0.012,0.014,0.016,0.016,0.016,0.014,0.017,0.017,0.019,,,0.027,0.021,,0.019,0.022,0.037,0.025
40,0.022,0.018,0.015,0.013,0.014,0.018,0.015,0.013,0.017,0.016,0.023,0.025,0.018,0.014,0.012,0.013,0.016,0.014,0.014,0.015,0.015,0.015,0.02,0.023,0.015,0.008,0.01,0.012,0.011,0.012,0.013,0.012,0.012,0.016,0.015,0.023,0.014,0.011,0.013,0.014,0.013,0.014,0.017,0.016,0.015,0.017,0.014,0.02,0.014,0.011,0.011,0.01,0.014,0.017,0.016,0.016,0.014,0.017,0.048,0.02,0.015,0.012,0.016,0.014,0.016,0.017,0.018,0.017,0.016,0.019,0.02,0.022,,,0.029,0.026,,0.023,0.026,0.03,0.03
60,0.027,0.024,0.019,0.018,0.02,0.022,0.021,0.02,0.022,0.022,0.029,0.029,0.024,0.02,0.018,0.02,0.022,0.02,0.019,0.02,0.02,0.021,0.026,0.03,0.02,0.014,0.014,0.016,0.015,0.017,0.018,0.017,0.019,0.019,0.02,0.027,0.019,0.016,0.018,0.02,0.017,0.018,0.021,0.02,0.019,0.022,0.018,0.024,0.02,0.016,0.016,0.014,0.019,0.022,0.022,0.021,0.019,0.021,0.043,0.027,0.022,0.02,0.023,0.02,0.022,0.024,0.025,0.025,0.023,0.025,0.025,0.028,,,0.045,0.037,,0.034,0.035,0.039,0.036
80,0.039,0.036,0.032,0.03,0.033,0.033,0.032,0.031,0.035,0.032,0.038,0.042,0.038,0.032,0.031,0.031,0.038,0.032,0.033,0.032,0.031,0.033,0.039,0.042,0.03,0.024,0.024,0.028,0.027,0.029,0.03,0.029,0.029,0.03,0.03,0.038,0.029,0.025,0.029,0.031,0.03,0.03,0.032,0.031,0.03,0.033,0.029,0.035,0.031,0.027,0.026,0.024,0.031,0.05,0.088,0.075,0.03,0.033,0.053,0.039,0.033,0.032,0.034,0.032,0.033,0.035,0.096,0.071,0.034,0.038,0.037,0.043,,,0.066,0.054,,0.05,0.053,0.053,0.048
100,0.06,0.058,0.05,0.051,0.054,0.054,0.051,0.05,0.054,0.05,0.058,0.061,0.059,0.054,0.052,0.054,0.06,0.053,0.052,0.052,0.051,0.051,0.06,0.065,0.047,0.042,0.043,0.046,0.046,0.046,0.047,0.047,0.047,0.048,0.049,0.057,0.049,0.042,0.045,0.051,0.047,0.048,0.051,0.05,0.048,0.052,0.048,0.053,0.049,0.044,0.042,0.04,0.051,0.052,0.055,0.05,0.086,0.051,0.073,0.059,0.057,0.052,0.058,0.054,0.054,0.056,0.062,0.06,0.055,0.059,0.058,0.063,,,0.1,0.09,,0.074,0.07,0.066,0.06
120,0.102,0.097,0.088,0.093,0.094,0.095,0.087,0.087,0.088,0.084,0.089,0.093,0.102,0.096,0.091,0.094,0.105,0.095,0.09,0.092,0.091,0.09,0.095,0.101,0.085,0.077,0.076,0.081,0.083,0.083,0.083,0.08,0.084,0.084,0.086,0.093,0.082,0.076,0.079,0.085,0.08,0.085,0.087,0.082,0.081,0.09,0.084,0.086,0.086,0.079,0.11,0.074,0.086,0.172,0.161,0.086,0.086,0.086,0.11,0.094,0.094,0.092,0.099,0.092,0.095,0.164,0.216,0.104,0.093,0.098,0.096,0.108,,,0.159,0.154,,0.144,0.144,0.133,0.115
140,0.17,0.17,0.157,0.159,0.168,0.166,0.146,0.147,0.15,0.147,0.152,0.151,0.175,0.169,0.166,0.168,0.187,0.169,0.158,0.16,0.156,0.155,0.163,0.162,0.147,0.137,0.14,0.144,0.152,0.148,0.146,0.142,0.148,0.147,0.149,0.155,0.136,0.128,0.132,0.149,0.146,0.146,0.148,0.139,0.137,0.153,0.144,0.145,0.146,0.154,0.132,0.129,0.155,0.208,0.163,0.146,0.144,0.143,0.174,0.156,0.16,0.153,0.169,0.157,0.16,0.166,0.176,0.168,0.16,0.164,0.164,0.17,,,0.254,0.242,,0.215,0.227,0.191,0.173
160,0.267,0.27,0.252,0.26,0.268,0.266,0.25,0.246,0.249,0.247,0.265,0.26,0.274,0.278,0.265,0.267,0.284,0.268,0.261,0.258,0.257,0.258,0.265,0.279,0.242,0.237,0.236,0.244,0.254,0.245,0.238,0.235,0.242,0.241,0.244,0.248,0.229,0.224,0.226,0.248,0.254,0.242,0.246,0.232,0.229,0.246,0.23,0.237,0.241,0.228,0.229,0.218,0.28,0.278,0.251,0.241,0.235,0.231,0.269,0.248,0.258,0.255,0.269,0.256,0.264,0.262,0.273,0.262,0.25,0.26,0.258,0.265,,,0.348,0.335,,0.356,0.338,0.286,0.263
180,0.363,0.356,0.338,0.352,0.357,0.351,0.339,0.33,0.332,0.331,0.336,0.34,0.37,0.369,0.362,0.36,0.38,0.359,0.347,0.346,0.344,0.346,0.352,0.359,0.334,0.328,0.33,0.332,0.338,0.335,0.336,0.328,0.331,0.33,0.333,0.335,0.328,0.318,0.322,0.339,0.331,0.335,0.341,0.324,0.325,0.337,0.323,0.324,0.328,0.317,0.319,0.312,0.336,0.342,0.343,0.328,0.369,0.355,0.355,0.331,0.354,0.343,0.368,0.346,0.35,0.356,0.363,0.353,0.354,0.346,0.345,0.343,,,0.456,0.439,,0.432,0.472,0.383,0.361
200,0.469,0.466,0.444,0.451,0.45,0.444,0.444,0.442,0.441,0.432,0.442,0.438,0.484,0.489,0.474,0.471,0.481,0.455,0.469,0.473,0.462,0.457,0.467,0.468,0.447,0.44,0.439,0.441,0.443,0.433,0.444,0.432,0.44,0.433,0.434,0.431,0.432,0.427,0.422,0.439,0.428,0.428,0.448,0.432,0.427,0.442,0.421,0.42,0.439,0.426,0.426,0.411,0.436,0.436,0.452,0.443,0.429,0.42,0.454,0.43,0.459,0.455,0.466,0.446,0.446,0.449,0.486,0.457,0.45,0.446,0.452,0.456,,,0.569,0.552,,0.54,0.621,0.492,0.459
220,0.582,0.57,0.54,0.546,0.541,0.542,0.543,0.54,0.539,0.525,0.529,0.52,0.602,0.59,0.572,0.56,0.572,0.543,0.56,0.553,0.542,0.54,0.549,0.549,0.548,0.546,0.528,0.526,0.532,0.517,0.544,0.529,0.535,0.522,0.523,0.516,0.536,0.525,0.519,0.534,0.521,0.52,0.555,0.533,0.526,0.535,0.511,0.505,0.547,0.535,0.521,0.515,0.529,0.525,0.567,0.539,0.521,0.505,0.544,0.515,0.568,0.558,0.573,0.564,0.563,0.54,0.581,0.56,0.54,0.539,0.535,0.539,,,0.707,0.688,,0.668,0.82,0.606,0.555
240,0.73,0.708,0.674,0.668,0.666,0.662,0.687,0.668,0.664,0.639,0.648,0.632,0.765,0.733,0.705,0.693,0.708,0.674,0.721,0.708,0.678,0.674,0.67,0.665,0.693,0.67,0.656,0.642,0.651,0.629,0.679,0.654,0.654,0.638,0.634,0.629,0.673,0.648,0.633,0.655,0.636,0.632,0.694,0.652,0.642,0.648,0.617,0.611,0.688,0.66,0.642,0.61,0.641,0.635,0.751,0.664,0.64,0.613,0.652,0.625,0.71,0.691,0.702,0.654,0.657,0.657,0.731,0.691,0.656,0.651,0.648,0.647,,,0.854,0.843,,0.838,0.961,0.755,0.685
