time,e16x30SspGyrB_00,e16x30SspGyrB_01,e16x30SspGyrB_02,e16x30SspGyrB_03,e16x30SspGyrB_04,e16x30SspGyrB_05,e32x33NrdJ1_00,e32x33NrdJ1_01,e32x33NrdJ1_02,e32x33NrdJ1_03,e32x33NrdJ1_04,e32x33NrdJ1_05,e16x30SspGyrB_10,e16x30SspGyrB_11,e16x30SspGyrB_12,e16x30SspGyrB_13,e16x30SspGyrB_14,e16x30SspGyrB_15,e32x33NrdJ1_10,e32x33NrdJ1_11,e32x33NrdJ1_12,e32x33NrdJ1_13,e32x33NrdJ1_14,e32x33NrdJ1_15,e16x30SspGyrB_20,e16x30SspGyrB_21,e16x30SspGyrB_22,e16x30SspGyrB_23,e16x30SspGyrB_24,e16x30SspGyrB_25,e32x33NrdJ1_20,e32x33NrdJ1_21,e32x33NrdJ1_22,e32x33NrdJ1_23,e32x33NrdJ1_24,e32x33NrdJ1_25,e16x30SspGyrB_30,e16x30SspGyrB_31,e16x30SspGyrB_32,e16x30SspGyrB_33,e16x30SspGyrB_34,e16x30SspGyrB_35,e32x33NrdJ1_30,e32x33NrdJ1_31,e32x33NrdJ1_32,e32x33NrdJ1_33,e32x33NrdJ1_34,e32x33NrdJ1_35,e16x30SspGyrB_40,e16x30SspGyrB_41,e16x30SspGyrB_42,e16x30SspGyrB_43,e16x30SspGyrB_44,e16x30SspGyrB_45,e32x33NrdJ1_40,e32x33NrdJ1_41,e32x33NrdJ1_42,e32x33NrdJ1_43,e32x33NrdJ1_44,e32x33NrdJ1_45,e16x30SspGyrB_50,e16x30SspGyrB_51,e16x30SspGyrB_52,e16x30SspGyrB_53,e16x30SspGyrB_54,e16x30SspGyrB_55,e32x33NrdJ1_50,e32x33NrdJ1_51,e32x33NrdJ1_52,e32x33NrdJ1_53,e32x33NrdJ1_54,e32x33NrdJ1_55,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,14,15,17,17,9,8,12,8,13,11,8,10,22,28,23,26,28,28,17,15,20,22,25,27,32,17,12,21,27,12,23,20,19,10,13,14,23,25,16,22,15,26,7,27,18,10,19,19,24,31,18,23,17,19,15,22,19,20,16,15,23,25,24,18,15,20,20,29,15,19,9,20,,,37,32,,,61.5,57.5,774.5,7835.5
20,14,19,12,12,11,12,8,7,4,5,6,10,25,25,22,22,19,21,16,13,13,17,15,17,19,19,22,21,16,19,20,20,14,15,18,13,17,17,20,17,19,20,19,9,14,11,12,15,25,18,26,19,21,20,16,19,7,20,11,16,17,16,27,18,21,18,15,14,11,10,8,8,,,22,26,,,54,55,442,2197
40,9.5,10.5,7.5,2.5,7.5,8.5,2.5,-1.5,0.5,0.5,-0.5,-3.5,15.5,11.5,10.5,14.5,12.5,11.5,3.5,4.5,-0.5,5.5,4.5,8.5,21.5,8.5,16.5,13.5,9.5,11.5,10.5,6.5,1.5,6.5,17.5,5.5,12.5,8.5,13.5,11.5,6.5,14.5,10.5,8.5,3.5,8.5,5.5,6.5,18.5,12.5,17.5,11.5,10.5,12.5,7.5,10.5,-0.5,7.5,0.5,10.5,13.5,8.5,11.5,15.5,7.5,7.5,13.5,2.5,2.5,7.5,9.5,2.5,,,17.5,20.5,,,52,56,484,2379
60,12.5,11.5,7.5,9.5,1.5,0.5,7.5,-4.5,-1.5,5.5,-0.5,2.5,12.5,16.5,10.5,11.5,11.5,11.5,4.5,8.5,4.5,4.5,5.5,9.5,18.5,7.5,12.5,10.5,11.5,4.5,5.5,3.5,5.5,2.5,6.5,10.5,18.5,12.5,9.5,7.5,12.5,8.5,2.5,5.5,4.5,7.5,5.5,6.5,15.5,16.5,12.5,8.5,10.5,9.5,7.5,8.5,5.5,2.5,2.5,9.5,9.5,15.5,9.5,12.5,8.5,8.5,2.5,6.5,3.5,0.5,1.5,0.5,,,27.5,28.5,,,51.5,44.5,573.5,2844.5
80,24,19,19,14,15,14,19,12,5,8,13,9,21,28,17,21,16,17,16,15,8,14,14,17,26,24,21,19,20,14,22,15,17,14,9,16,19,20,19,15,20,14,18,15,3,15,12,15,22,21,25,18,22,20,23,19,11,14,16,15,23,16,20,22,21,21,16,10,11,8,16,15,,,42,36,,,52.5,48.5,708.5,3404.5
100,23,18,17,13,13,10,7,6,6,3,6,8,19,18,11,13,14,11,11,7,8,10,11,16,19,17,18,16,20,10,14,9,11,10,10,13,13,16,15,10,16,9,6,13,10,7,13,14,18,17,20,12,15,15,7,15,11,8,8,10,18,12,17,14,14,10,13,11,6,13,7,6,,,29,33,,,48,54,823,3956
120,21,16,16,17,16,13,13,7,9,2,5,9,20,19,15,17,12,19,14,14,10,5,21,11,15,14,18,12,15,13,14,14,12,10,8,12,15,16,17,12,16,13,13,12,8,15,9,16,15,17,14,18,15,17,16,16,13,14,11,22,23,19,18,12,17,13,13,8,7,12,4,8,,,37,31,,,58.5,51.5,958.5,4424.5
140,29.5,23.5,18.5,13.5,21.5,19.5,14.5,7.5,17.5,9.5,12.5,14.5,24.5,28.5,13.5,16.5,16.5,20.5,15.5,19.5,15.5,11.5,19.5,15.5,21.5,24.5,23.5,19.5,18.5,18.5,13.5,15.5,12.5,11.5,9.5,16.5,27.5,18.5,21.5,16.5,22.5,17.5,15.5,18.5,7.5,22.5,14.5,25.5,22.5,22.5,24.5,14.5,16.5,17.5,19.5,24.5,10.5,14.5,17.5,27.5,29.5,28.5,21.5,23.5,16.5,19.5,24.5,15.5,12.5,21.5,15.5,17.5,,,41.5,32.5,,,54,55,1122,4877
160,39.5,39.5,43.5,26.5,30.5,31.5,23.5,20.5,23.5,16.5,14.5,23.5,35.5,36.5,24.5,22.5,25.5,27.5,20.5,25.5,17.5,22.5,22.5,31.5,34.5,26.5,30.5,26.5,23.5,22.5,21.5,13.5,26.5,21.5,18.5,27.5,34.5,32.5,27.5,26.5,27.5,19.5,23.5,26.5,20.5,33.5,22.5,33.5,33.5,24.5,23.5,31.5,20.5,21.5,30.5,32.5,20.5,26.5,26.5,33.5,30.5,33.5,31.5,35.5,27.5,26.5,33.5,24.5,28.5,29.5,32.5,53.5,,,51.5,49.5,,,64,72,1326,5727
180,54.5,55.5,47.5,42.5,45.5,43.5,43.5,38.5,26.5,35.5,33.5,38.5,46.5,45.5,38.5,42.5,41.5,44.5,36.5,39.5,25.5,39.5,41.5,50.5,47.5,44.5,41.5,46.5,41.5,39.5,40.5,34.5,35.5,38.5,37.5,49.5,44.5,47.5,44.5,35.5,43.5,41.5,41.5,44.5,39.5,53.5,56.5,113.5,49.5,41.5,39.5,39.5,39.5,40.5,40.5,41.5,34.5,51.5,61.5,131.5,44.5,48.5,47.5,43.5,45.5,49.5,44.5,47.5,45.5,87.5,114.5,282.5,,,71.5,60.5,,,80.5,87.5,1608.5,6815.5
