time,e16x30SspGyrB_0,e16x30SspGyrB_1,e16x30SspGyrB_2,e16x30SspGyrB_3,e16x30SspGyrB_4,e16x30SspGyrB_5,e32x33NrdJ1_0,e32x33NrdJ1_1,e32x33NrdJ1_2,e32x33NrdJ1_3,e32x33NrdJ1_4,e32x33NrdJ1_5,e16x30SspGyrB_10,e16x30SspGyrB_11,e16x30SspGyrB_12,e16x30SspGyrB_13,e16x30SspGyrB_14,e16x30SspGyrB_15,e32x33NrdJ1_10,e32x33NrdJ1_11,e32x33NrdJ1_12,e32x33NrdJ1_13,e32x33NrdJ1_14,e32x33NrdJ1_15,e16x30SspGyrB_20,e16x30SspGyrB_21,e16x30SspGyrB_22,e16x30SspGyrB_23,e16x30SspGyrB_24,e16x30SspGyrB_25,e32x33NrdJ1_20,e32x33NrdJ1_21,e32x33NrdJ1_22,e32x33NrdJ1_23,e32x33NrdJ1_24,e32x33NrdJ1_25,e16x30SspGyrB_30,e16x30SspGyrB_31,e16x30SspGyrB_32,e16x30SspGyrB_33,e16x30SspGyrB_34,e16x30SspGyrB_35,e32x33NrdJ1_30,e32x33NrdJ1_31,e32x33NrdJ1_32,e32x33NrdJ1_33,e32x33NrdJ1_34,e32x33NrdJ1_35,e16x30SspGyrB_40,e16x30SspGyrB_41,e16x30SspGyrB_42,e16x30SspGyrB_43,e16x30SspGyrB_44,e16x30SspGyrB_45,e32x33NrdJ1_40,e32x33NrdJ1_41,e32x33NrdJ1_42,e32x33NrdJ1_43,e32x33NrdJ1_44,e32x33NrdJ1_45,e16x30SspGyrB_50,e16x30SspGyrB_51,e16x30SspGyrB_52,e16x30SspGyrB_53,e16x30SspGyrB_54,e16x30SspGyrB_55,e32x33NrdJ1_50,e32x33NrdJ1_51,e32x33NrdJ1_52,e32x33NrdJ1_53,e32x33NrdJ1_54,e32x33NrdJ1_55,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,5.5,24.5,20.5,40.5,-3.5,4.5,27.5,7.5,31.5,54.5,2.5,18.5,54.5,102.5,66.5,87.5,83.5,71.5,53.5,68.5,64.5,49.5,66.5,79.5,104.5,63.5,68.5,43.5,81.5,53.5,43.5,59.5,61.5,31.5,40.5,66.5,88.5,97.5,88.5,83.5,63.5,70.5,76.5,72.5,72.5,60.5,75.5,58.5,104.5,102.5,88.5,118.5,54.5,76.5,70.5,88.5,96.5,76.5,80.5,67.5,73.5,76.5,81.5,83.5,64.5,74.5,58.5,53.5,72.5,66.5,41.5,52.5,,,117.5,97.5,,,219.5,215.5,3032.5,30491.5
20,52.0,34.0,20.0,21.0,24.0,25.0,46.0,9.0,4.0,14.0,-2.0,-5.0,68.0,93.0,41.0,57.0,48.0,84.0,61.0,54.0,42.0,38.0,59.0,57.0,93.0,61.0,54.0,72.0,82.0,61.0,61.0,57.0,43.0,53.0,51.0,53.0,73.0,69.0,82.0,64.0,67.0,71.0,52.0,41.0,62.0,59.0,57.0,49.0,83.0,72.0,93.0,83.0,68.0,74.0,87.0,61.0,42.0,47.0,20.0,44.0,62.0,56.0,68.0,72.0,73.0,61.0,64.0,43.0,47.0,68.0,9.0,15.0,,,117.0,82.0,,,201.5,221.5,1739.5,8743.5
40,43.0,27.0,9.0,10.0,29.0,3.0,38.0,11.0,0.0,-20.0,6.0,1.0,47.0,62.0,19.0,36.0,33.0,36.0,35.0,53.0,16.0,29.0,37.0,38.0,39.0,31.0,57.0,37.0,41.0,32.0,33.0,37.0,24.0,35.0,12.0,31.0,60.0,62.0,52.0,35.0,32.0,54.0,35.0,33.0,8.0,34.0,27.0,31.0,62.0,48.0,42.0,55.0,59.0,56.0,50.0,50.0,4.0,33.0,33.0,49.0,70.0,40.0,62.0,54.0,43.0,30.0,32.0,15.0,27.0,44.0,51.0,19.0,,,108.0,103.0,,,232.5,217.5,1968.5,9588.5
60,20.0,41.0,24.0,18.0,15.0,19.0,22.0,-9.0,-37.0,-9.0,16.0,1.0,71.0,60.0,49.0,35.0,37.0,35.0,30.0,33.0,10.0,11.0,15.0,35.0,54.0,72.0,62.0,45.0,36.0,42.0,30.0,1.0,13.0,12.0,28.0,21.0,65.0,56.0,37.0,36.0,29.0,32.0,41.0,17.0,11.0,31.0,33.0,19.0,63.0,59.0,60.0,57.0,50.0,38.0,44.0,55.0,21.0,28.0,28.0,43.0,38.0,52.0,54.0,42.0,57.0,33.0,29.0,40.0,22.0,24.0,22.0,40.0,,,115.0,109.0,,,199.5,201.5,2330.5,11662.5
80,55.5,59.5,57.5,30.5,40.5,44.5,63.5,21.5,30.5,12.5,29.5,31.5,71.5,69.5,62.5,73.5,48.5,59.5,49.5,60.5,35.5,54.5,54.5,71.5,87.5,74.5,69.5,65.5,78.5,47.5,68.5,45.5,43.5,41.5,43.5,41.5,78.5,81.5,75.5,54.5,70.5,65.5,62.5,45.5,39.5,56.5,44.5,65.5,94.5,91.5,84.5,94.5,64.5,60.5,65.5,75.5,25.5,40.5,45.5,79.5,97.5,89.5,84.5,69.5,64.5,51.5,65.5,69.5,44.5,60.5,41.5,38.5,,,158.5,138.5,,,227.5,201.5,2864.5,13680.5
100,51.5,47.5,16.5,32.5,37.5,28.5,13.5,13.5,-7.5,8.5,4.5,1.5,62.5,63.5,41.5,34.5,24.5,47.5,24.5,30.5,9.5,16.5,53.5,24.5,72.5,36.5,53.5,57.5,57.5,10.5,25.5,16.5,28.5,12.5,20.5,33.5,73.5,59.5,39.5,27.5,41.5,33.5,14.5,29.5,1.5,39.5,35.5,51.5,61.5,58.5,52.5,65.5,38.5,43.5,34.5,36.5,22.5,27.5,36.5,44.5,64.5,56.5,47.5,68.5,42.5,38.5,40.5,48.5,24.5,29.5,32.5,18.5,,,128.5,111.5,,,233.5,216.5,3344.5,15843.5
120,100.0,80.0,72.0,74.0,66.0,63.0,64.0,49.0,33.0,42.0,31.0,26.0,112.0,74.0,73.0,55.0,73.0,73.0,43.0,67.0,43.0,72.0,80.0,68.0,96.0,102.0,63.0,62.0,74.0,73.0,93.0,56.0,47.0,48.0,76.0,86.0,89.0,67.0,78.0,77.0,79.0,80.0,51.0,73.0,57.0,65.0,71.0,54.0,107.0,68.0,101.0,94.0,72.0,77.0,69.0,79.0,41.0,50.0,57.0,86.0,97.0,104.0,110.0,54.0,78.0,66.0,82.0,102.0,48.0,65.0,62.0,53.0,,,166.0,135.0,,,225.5,234.5,3910.5,17739.5
140,125.0,98.0,66.0,76.0,81.0,84.0,71.0,39.0,43.0,35.0,47.0,60.0,97.0,101.0,78.0,79.0,77.0,79.0,53.0,76.0,64.0,66.0,94.0,102.0,93.0,80.0,92.0,76.0,78.0,64.0,52.0,61.0,37.0,60.0,54.0,88.0,112.0,100.0,84.0,66.0,64.0,78.0,66.0,61.0,24.0,74.0,75.0,100.0,125.0,86.0,112.0,79.0,80.0,75.0,79.0,90.0,46.0,72.0,54.0,103.0,109.0,106.0,119.0,76.0,87.0,72.0,77.0,81.0,54.0,77.0,58.0,106.0,,,159.0,182.0,,,231.5,244.5,4518.5,19564.5
160,150.5,174.5,138.5,125.5,125.5,128.5,114.5,99.5,97.5,85.5,76.5,88.5,150.5,123.5,82.5,108.5,101.5,104.5,99.5,101.5,75.5,111.5,120.5,129.5,146.5,120.5,105.5,111.5,120.5,99.5,101.5,110.5,79.5,74.5,83.5,114.5,133.5,132.5,117.5,104.5,118.5,96.5,103.5,117.5,90.5,102.5,102.5,146.5,147.5,102.5,145.5,134.5,107.5,93.5,115.5,123.5,94.5,120.5,107.5,163.5,139.5,135.5,164.5,134.5,120.5,94.5,133.5,134.5,98.5,143.5,155.5,198.5,,,218.5,211.5,,,241.5,272.5,5419.5,22767.5
180,213.0,207.0,181.0,192.0,172.0,175.0,163.0,139.0,146.0,123.0,131.0,162.0,182.0,188.0,148.0,161.0,169.0,155.0,147.0,156.0,148.0,134.0,151.0,195.0,185.0,176.0,142.0,147.0,139.0,129.0,157.0,172.0,133.0,145.0,153.0,192.0,187.0,172.0,176.0,161.0,163.0,159.0,164.0,168.0,159.0,240.0,280.0,493.0,193.0,156.0,180.0,159.0,152.0,153.0,177.0,194.0,172.0,216.0,286.0,596.0,219.0,177.0,203.0,183.0,196.0,191.0,193.0,215.0,216.0,391.0,554.0,1280.0,,,267.0,279.0,,,319.0,345.0,6526.0,27260.0
