time,e16x30SspGyrB_0,e16x30SspGyrB_1,e16x30SspGyrB_2,e16x30SspGyrB_3,e16x30SspGyrB_4,e16x30SspGyrB_5,e32x33NrdJ1_0,e32x33NrdJ1_1,e32x33NrdJ1_2,e32x33NrdJ1_3,e32x33NrdJ1_4,e32x33NrdJ1_5,e16x30SspGyrB_10,e16x30SspGyrB_11,e16x30SspGyrB_12,e16x30SspGyrB_13,e16x30SspGyrB_14,e16x30SspGyrB_15,e32x33NrdJ1_10,e32x33NrdJ1_11,e32x33NrdJ1_12,e32x33NrdJ1_13,e32x33NrdJ1_14,e32x33NrdJ1_15,e16x30SspGyrB_20,e16x30SspGyrB_21,e16x30SspGyrB_22,e16x30SspGyrB_23,e16x30SspGyrB_24,e16x30SspGyrB_25,e32x33NrdJ1_20,e32x33NrdJ1_21,e32x33NrdJ1_22,e32x33NrdJ1_23,e32x33NrdJ1_24,e32x33NrdJ1_25,e16x30SspGyrB_30,e16x30SspGyrB_31,e16x30SspGyrB_32,e16x30SspGyrB_33,e16x30SspGyrB_34,e16x30SspGyrB_35,e32x33NrdJ1_30,e32x33NrdJ1_31,e32x33NrdJ1_32,e32x33NrdJ1_33,e32x33NrdJ1_34,e32x33NrdJ1_35,e16x30SspGyrB_40,e16x30SspGyrB_41,e16x30SspGyrB_42,e16x30SspGyrB_43,e16x30SspGyrB_44,e16x30SspGyrB_45,e32x33NrdJ1_40,e32x33NrdJ1_41,e32x33NrdJ1_42,e32x33NrdJ1_43,e32x33NrdJ1_44,e32x33NrdJ1_45,e16x30SspGyrB_50,e16x30SspGyrB_51,e16x30SspGyrB_52,e16x30SspGyrB_53,e16x30SspGyrB_54,e16x30SspGyrB_55,e32x33NrdJ1_50,e32x33NrdJ1_51,e32x33NrdJ1_52,e32x33NrdJ1_53,e32x33NrdJ1_54,e32x33NrdJ1_55,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,0.008,0.025,0.024,0.03,0.003,0.02,0.037,0.058,0.032,0.014,0.031,0.063,0.029,5e-05,-0.002,0.155,0.014,-0.002,0.001,0.034,0.031,-0.006,0.04,0.043,0.023,-0.002,0.003,0.006,0.054,-0.00095,0.018,0.048,0.062,0.008,0.058,0.02,0.038,0.00075,-0.005,0.002,-0.00025,0.00025,0.006,0.016,0.055,0.007,0.004,0.039,0.071,-0.002,0.007,0.046,0.013,0.01,0.004,0.03,0.049,-0.00065,0.001,0.063,0.044,0.011,0.027,0.021,0.015,0.033,0.029,0.023,0.044,0.032,0.017,0.132,,,0.264,0.061,,,-0.00085,-5e-05,0.159,1.005
20,0.023,0.025,0.017,0.018,0.018,0.019,0.019,0.081,0.018,0.015,0.023,0.032,0.016,0.017,0.008,0.013,0.013,0.011,0.012,0.014,0.012,0.013,0.023,0.028,0.016,0.013,0.014,0.016,0.049,0.012,0.015,0.015,0.021,0.017,0.016,0.023,0.015,0.014,0.011,0.014,0.014,0.013,0.015,0.016,0.018,0.015,0.013,0.016,0.015,0.013,0.014,0.012,0.019,0.015,0.016,0.016,0.016,0.014,0.015,0.025,0.018,0.017,0.017,0.017,0.017,0.019,0.017,0.017,0.016,0.017,0.018,0.024,,,0.044,0.051,,,0.026,0.024,0.042,0.184
40,0.023,0.027,0.019,0.019,0.019,0.02,0.02,0.08,0.019,0.017,0.025,0.03,0.019,0.019,0.011,0.014,0.016,0.014,0.013,0.014,0.012,0.014,0.023,0.026,0.019,0.014,0.014,0.017,0.046,0.013,0.015,0.015,0.022,0.019,0.017,0.023,0.016,0.015,0.015,0.015,0.014,0.013,0.016,0.018,0.276,0.017,0.014,0.017,0.016,0.016,0.014,0.015,0.02,0.015,0.017,0.018,0.016,0.015,0.015,0.027,0.021,0.019,0.018,0.019,0.02,0.02,0.019,0.019,0.017,0.018,0.035,0.025,,,0.048,0.051,,,0.021,0.026,0.046,0.189
60,0.03,0.034,0.025,0.026,0.023,0.025,0.024,0.075,0.024,0.022,0.029,0.036,0.021,0.023,0.013,0.016,0.019,0.017,0.016,0.02,0.017,0.017,0.027,0.031,0.021,0.02,0.017,0.019,0.045,0.02,0.021,0.02,0.024,0.022,0.021,0.027,0.021,0.02,0.019,0.019,0.019,0.058,0.022,0.021,0.269,0.024,0.029,0.024,0.021,0.019,0.019,0.019,0.022,0.052,0.021,0.022,0.022,0.021,0.02,0.033,0.024,0.023,0.025,0.023,0.023,0.025,0.025,0.024,0.024,0.025,0.08,0.03,,,0.053,0.058,,,0.024,0.03,0.051,0.215
80,0.043,0.046,0.037,0.037,0.037,0.038,0.035,0.095,0.033,0.032,0.038,0.046,0.032,0.032,0.021,0.026,0.028,0.026,0.025,0.028,0.025,0.027,0.037,0.044,0.031,0.03,0.026,0.029,0.06,0.029,0.026,0.027,0.034,0.029,0.028,0.036,0.029,0.067,0.028,0.029,0.029,0.052,0.032,0.032,0.287,0.031,0.028,0.033,0.028,0.059,0.08,0.027,0.029,0.059,0.032,0.034,0.031,0.03,0.053,0.042,0.035,0.034,0.033,0.034,0.032,0.035,0.034,0.035,0.034,0.035,0.068,0.039,,,0.067,0.069,,,0.03,0.037,0.059,0.257
100,0.069,0.071,0.06,0.059,0.059,0.06,0.052,0.116,0.054,0.051,0.059,0.066,0.048,0.048,0.033,0.04,0.043,0.042,0.039,0.043,0.038,0.043,0.052,0.063,0.045,0.042,0.041,0.044,0.072,0.044,0.04,0.042,0.05,0.048,0.042,0.049,0.046,0.044,0.042,0.042,0.102,0.04,0.045,0.049,0.292,0.049,0.046,0.051,0.046,0.045,0.043,0.044,0.106,0.043,0.098,0.076,0.132,0.089,0.047,0.058,0.054,0.054,0.052,0.052,0.115,0.053,0.054,0.053,0.084,0.085,0.099,0.06,,,0.083,0.095,,,0.043,0.052,0.075,0.338
120,0.106,0.114,0.097,0.097,0.093,0.096,0.084,0.146,0.084,0.082,0.087,0.099,0.075,0.076,0.055,0.062,0.07,0.069,0.066,0.071,0.067,0.068,0.083,0.092,0.072,0.071,0.067,0.07,0.103,0.069,0.067,0.069,0.076,0.068,0.067,0.074,0.073,0.07,0.07,0.069,0.074,0.068,0.078,0.078,0.3,0.079,0.074,0.08,0.071,0.072,0.068,0.069,0.07,0.068,0.08,0.083,0.076,0.074,0.079,0.09,0.086,0.085,0.085,0.08,0.084,0.083,0.089,0.087,0.083,0.09,0.121,0.094,,,0.123,0.129,,,0.066,0.078,0.11,0.444
140,0.171,0.18,0.159,0.159,0.156,0.162,0.14,0.201,0.14,0.139,0.142,0.154,0.124,0.124,0.092,0.101,0.114,0.115,0.109,0.118,0.112,0.116,0.134,0.146,0.116,0.115,0.112,0.116,0.144,0.11,0.113,0.117,0.118,0.111,0.113,0.123,0.116,0.117,0.116,0.114,0.12,0.114,0.132,0.132,0.345,0.133,0.127,0.134,0.118,0.157,0.169,0.114,0.116,0.141,0.202,0.139,0.128,0.129,0.133,0.141,0.136,0.137,0.136,0.129,0.135,0.136,0.151,0.148,0.14,0.146,0.168,0.145,,,0.184,0.192,,,0.106,0.125,0.16,0.553
160,0.264,0.277,0.255,0.252,0.248,0.258,0.229,0.287,0.226,0.228,0.227,0.24,0.203,0.207,0.154,0.171,0.188,0.193,0.181,0.195,0.186,0.19,0.221,0.236,0.187,0.19,0.184,0.189,0.219,0.186,0.192,0.194,0.2,0.194,0.188,0.201,0.196,0.223,0.193,0.186,0.203,0.192,0.215,0.223,0.418,0.227,0.216,0.218,0.198,0.196,0.198,0.197,0.193,0.2,0.226,0.232,0.212,0.214,0.219,0.223,0.223,0.221,0.226,0.215,0.216,0.279,0.271,0.242,0.235,0.245,0.275,0.235,,,0.273,0.288,,,0.171,0.205,0.251,0.657
180,0.346,0.37,0.338,0.34,0.332,0.338,0.319,0.38,0.311,0.312,0.312,0.322,0.293,0.299,0.248,0.262,0.282,0.285,0.277,0.292,0.277,0.286,0.314,0.322,0.284,0.287,0.279,0.283,0.318,0.28,0.292,0.295,0.301,0.286,0.287,0.29,0.29,0.288,0.29,0.285,0.298,0.282,0.312,0.315,0.523,0.32,0.309,0.309,0.29,0.292,0.287,0.41,0.355,0.284,0.32,0.323,0.365,0.312,0.311,0.312,0.314,0.315,0.316,0.343,0.312,0.306,0.332,0.332,0.321,0.328,0.335,0.322,,,0.363,0.379,,,0.248,0.278,0.324,0.778
