time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,39.0,21.0,24.0,3.0,10.0,18.0,12.0,11.0,11.0,8.0,27.0,16.0,48.0,59.0,45.0,34.0,46.0,31.0,29.0,34.0,25.0,41.0,28.0,28.0,13.0,34.0,30.0,48.0,10.0,28.0,31.0,20.0,9.0,10.0,25.0,23.0,26.0,35.0,29.0,39.0,24.0,15.0,23.0,34.0,15.0,24.0,21.0,27.0,1213.0,1170.0,1133.0,1630.0,1090.0,1077.0,932.0,946.0,893.0,797.0,716.0,594.0,-1.0,25.0,31.0,37.0,22.0,24.0,29.0,23.0,16.0,25.0,16.0,23.0,25.0,-16.0,171.0,26.0,24.0,10.0,20.0,11.0,6.0,28.0,3.0,6.0,,,34.0,5.0,,,52.0,36.0,338.0,128.0
20,30.5,25.5,31.5,17.5,15.5,7.5,20.5,9.5,10.5,17.5,12.5,16.5,46.5,46.5,26.5,29.5,32.5,26.5,38.5,29.5,22.5,32.5,27.5,6.5,27.5,33.5,34.5,30.5,29.5,22.5,29.5,28.5,20.5,18.5,18.5,31.5,35.5,28.5,38.5,38.5,34.5,16.5,31.5,30.5,12.5,33.5,20.5,26.5,952.5,856.5,756.5,820.5,751.5,802.5,654.5,602.5,593.5,582.5,587.5,563.5,0.5,28.5,37.5,29.5,32.5,28.5,19.5,35.5,22.5,22.5,15.5,29.5,27.5,-10.5,135.5,19.5,24.5,20.5,25.5,19.5,8.5,22.5,2.5,6.5,,,35.5,17.5,,,52.0,24.0,155.0,103.0
40,26.0,17.0,17.0,11.0,8.0,9.0,0.0,-3.0,-6.0,0.0,7.0,-1.0,20.0,25.0,29.0,13.0,9.0,15.0,9.0,19.0,16.0,6.0,11.0,4.0,4.0,15.0,25.0,8.0,7.0,1.0,12.0,17.0,32.0,27.0,45.0,54.0,21.0,18.0,11.0,9.0,19.0,18.0,27.0,35.0,34.0,39.0,32.0,43.0,1177.0,1035.0,919.0,1082.0,884.0,963.0,781.0,736.0,721.0,691.0,710.0,692.0,31.0,52.0,61.0,55.0,57.0,49.0,60.0,63.0,65.0,67.0,62.0,90.0,10.0,-25.0,112.0,13.0,6.0,-1.0,-9.0,5.0,6.0,7.0,-5.0,-9.0,,,42.0,15.0,,,61.0,46.0,180.0,139.0
60,45.0,30.0,31.0,34.0,17.0,23.0,18.0,18.0,15.0,10.0,11.0,19.0,43.0,55.0,47.0,46.0,41.0,33.0,35.0,31.0,28.0,33.0,28.0,22.0,29.0,35.0,35.0,32.0,31.0,25.0,36.0,42.0,63.0,80.0,100.0,129.0,47.0,32.0,29.0,29.0,26.0,32.0,60.0,69.0,78.0,84.0,92.0,96.0,1453.0,1277.0,1171.0,1332.0,1098.0,1153.0,935.0,891.0,874.0,852.0,884.0,867.0,124.0,157.0,165.0,173.0,208.0,192.0,186.0,204.0,214.0,199.0,169.0,264.0,31.0,-8.0,126.0,33.0,22.0,22.0,26.0,18.0,26.0,18.0,12.0,7.0,,,73.0,37.0,,,47.0,35.0,216.0,169.0
80,41.0,21.0,31.0,16.0,14.0,10.0,16.0,8.0,13.0,14.0,25.0,19.0,38.0,46.0,26.0,35.0,31.0,38.0,32.0,30.0,15.0,24.0,27.0,17.0,16.0,29.0,30.0,18.0,26.0,20.0,32.0,40.0,71.0,86.0,128.0,200.0,41.0,35.0,26.0,31.0,16.0,26.0,78.0,107.0,143.0,163.0,171.0,175.0,1813.0,1602.0,1468.0,1632.0,1371.0,1446.0,1175.0,1117.0,1107.0,1080.0,1093.0,1091.0,296.0,295.0,362.0,380.0,455.0,424.0,431.0,474.0,499.0,426.0,403.0,597.0,37.0,-14.0,108.0,22.0,17.0,13.0,11.0,9.0,10.0,13.0,6.0,-1.0,,,74.0,38.0,,,41.5,39.5,256.5,197.5
100,53.5,33.5,31.5,34.5,12.5,6.5,23.5,9.5,18.5,6.5,22.5,49.5,40.5,50.5,38.5,35.5,28.5,21.5,31.5,29.5,32.5,21.5,23.5,36.5,23.5,32.5,30.5,34.5,35.5,20.5,26.5,51.5,75.5,118.5,161.5,294.5,44.5,33.5,31.5,36.5,29.5,35.5,115.5,172.5,264.5,258.5,277.5,311.5,2333.5,2025.5,1907.5,2104.5,1747.5,1852.5,1530.5,1447.5,1399.5,1382.5,1419.5,1406.5,568.5,565.5,790.5,849.5,1014.5,980.5,955.5,1080.5,1111.5,951.5,890.5,1316.5,39.5,-15.5,118.5,32.5,19.5,12.5,9.5,9.5,9.5,19.5,18.5,14.5,,,82.5,42.5,,,54.5,37.5,300.5,254.5
120,71.0,49.0,46.0,41.0,16.0,26.0,24.0,27.0,17.0,28.0,46.0,215.0,45.0,39.0,48.0,43.0,39.0,29.0,36.0,36.0,38.0,25.0,49.0,84.0,37.0,53.0,40.0,24.0,27.0,31.0,32.0,49.0,88.0,148.0,227.0,455.0,64.0,45.0,36.0,42.0,42.0,62.0,172.0,244.0,366.0,374.0,406.0,457.0,3010.0,2609.0,2468.0,2711.0,2250.0,2404.0,1981.0,1869.0,1834.0,1808.0,1818.0,1835.0,871.0,874.0,1433.0,1529.0,1916.0,1894.0,1871.0,2092.0,2165.0,1882.0,1758.0,2500.0,46.0,-17.0,133.0,31.0,17.0,22.0,13.0,6.0,18.0,14.0,14.0,59.0,,,111.0,65.0,,,45.5,41.5,339.5,292.5
140,95.5,77.5,85.5,77.5,34.5,41.5,46.5,33.5,43.5,28.5,145.5,782.5,55.5,74.5,69.5,57.5,70.5,46.5,52.5,45.5,50.5,41.5,77.5,239.5,44.5,62.5,53.5,46.5,50.5,45.5,44.5,69.5,127.5,207.5,336.5,789.5,91.5,62.5,53.5,60.5,71.5,95.5,252.5,367.5,540.5,558.5,626.5,683.5,3708.5,3255.5,3081.5,3394.5,2821.5,3029.5,2484.5,2363.5,2299.5,2278.5,2295.5,2314.5,1205.5,1221.5,2259.5,2375.5,3142.5,3164.5,3160.5,3541.5,3649.5,3169.5,3026.5,4275.5,71.5,-14.5,134.5,50.5,36.5,44.5,31.5,23.5,27.5,40.5,23.5,191.5,,,148.5,86.5,,,65.5,62.5,386.5,367.5
160,144.0,131.0,125.0,113.0,64.0,66.0,71.0,55.0,80.0,133.0,1600.0,2648.0,78.0,98.0,86.0,84.0,75.0,65.0,82.0,68.0,92.0,85.0,331.0,812.0,66.0,85.0,77.0,74.0,70.0,67.0,73.0,88.0,147.0,320.0,564.0,1405.0,105.0,85.0,90.0,96.0,95.0,158.0,423.0,609.0,887.0,892.0,967.0,1073.0,4320.0,3792.0,3627.0,3899.0,3368.0,3561.0,3009.0,2867.0,2818.0,2746.0,2772.0,2779.0,1898.0,1799.0,3365.0,3580.0,4867.0,5023.0,5071.0,5698.0,5880.0,5147.0,4855.0,6798.0,89.0,-24.0,138.0,71.0,69.0,61.0,38.0,51.0,55.0,56.0,71.0,604.0,,,195.0,143.0,,,69.5,61.5,463.5,441.5
180,275.5,241.5,233.5,186.5,120.5,118.5,145.5,121.5,493.5,2788.5,8083.5,8154.5,120.5,148.5,150.5,138.5,133.5,106.5,129.5,124.5,319.5,1035.5,3927.5,4077.5,99.5,121.5,104.5,104.5,96.5,114.5,95.5,132.5,306.5,653.5,1119.5,2667.5,175.5,130.5,125.5,147.5,156.5,362.5,1140.5,1314.5,2048.5,1894.5,2087.5,2390.5,4846.5,4273.5,4043.5,4396.5,3744.5,3988.5,3340.5,3202.5,3121.5,3072.5,3109.5,3092.5,3212.5,3021.5,5203.5,5611.5,7776.5,8022.5,8073.5,9086.5,9468.5,8103.5,7679.5,10596.5,141.5,-13.5,177.5,119.5,92.5,95.5,80.5,95.5,105.5,605.5,529.5,2754.5,,,283.5,201.5,,,91.0,85.0,586.0,578.0
200,434.5,412.5,382.5,351.5,198.5,214.5,306.5,256.5,3079.5,11111.5,18527.5,17532.5,185.5,244.5,235.5,237.5,210.5,166.5,223.5,242.5,1294.5,5187.5,13027.5,11586.5,148.5,170.5,142.5,145.5,140.5,170.5,145.5,199.5,511.5,1236.5,2110.5,4655.5,255.5,208.5,175.5,224.5,277.5,699.5,2374.5,3279.5,4515.5,4474.5,4891.5,5282.5,5385.5,4719.5,4555.5,4913.5,4155.5,4423.5,3721.5,3516.5,3435.5,3385.5,3391.5,3425.5,4795.5,4769.5,8472.5,9045.5,12583.5,13115.5,13039.5,14563.5,14853.5,12879.5,11977.5,16299.5,223.5,-18.5,218.5,201.5,152.5,159.5,131.5,156.5,295.5,3709.5,3660.5,7773.5,,,352.5,280.5,,,121.0,124.0,764.0,761.0
220,589.5,569.5,531.5,507.5,349.5,378.5,512.5,748.5,11444.5,23623.5,31182.5,28054.5,307.5,363.5,360.5,336.5,320.5,286.5,353.5,474.5,3485.5,15130.5,24837.5,21650.5,207.5,234.5,228.5,207.5,204.5,238.5,214.5,303.5,805.5,1945.5,3286.5,6984.5,345.5,286.5,263.5,311.5,411.5,1069.5,4005.5,5709.5,7762.5,7753.5,8348.5,9093.5,6000.5,5222.5,5009.5,5426.5,4595.5,4848.5,4066.5,3832.5,3761.5,3683.5,3706.5,3761.5,5852.5,6088.5,12324.5,12741.5,18119.5,21108.5,21406.5,23220.5,23614.5,19800.5,18254.5,24313.5,333.5,-15.5,279.5,283.5,230.5,252.5,211.5,313.5,1407.5,10237.5,10002.5,14897.5,,,451.5,372.5,,,164.0,183.0,1026.0,1073.0
