time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,503.0,502.0,493.0,489.0,487.0,492.0,490.0,487.0,498.0,486.0,496.0,487.0,493.0,512.0,507.0,504.0,503.0,501.0,504.0,498.0,497.0,494.0,495.0,497.0,486.0,507.0,503.0,507.0,490.0,499.0,492.0,495.0,493.0,495.0,496.0,492.0,499.0,499.0,503.0,499.0,491.0,493.0,497.0,504.0,498.0,491.0,497.0,491.0,1102.0,1065.0,1044.0,1300.0,1014.0,994.0,933.0,939.0,918.0,863.0,824.0,774.0,486.0,496.0,503.0,500.0,496.0,490.0,494.0,495.0,489.0,495.0,487.0,490.0,495.0,475.0,562.0,493.0,490.0,488.0,486.0,490.0,487.0,496.0,490.0,482.0,487.0,490.0,503.0,496.0,561.0,569.0,592.0,584.0,728.0,626.0
20,480.0,479.0,476.0,473.0,472.0,464.0,472.0,469.0,470.0,465.0,471.0,474.0,485.0,483.0,486.0,478.0,480.0,474.0,479.0,476.0,479.0,482.0,479.0,470.0,475.0,476.0,476.0,477.0,473.0,479.0,476.0,472.0,475.0,476.0,474.0,474.0,480.0,475.0,479.0,473.0,479.0,471.0,482.0,477.0,481.0,475.0,475.0,477.0,930.0,878.0,832.0,863.0,826.0,852.0,778.0,762.0,746.0,743.0,748.0,734.0,457.0,476.0,476.0,477.0,478.0,468.0,478.0,474.0,476.0,474.0,474.0,472.0,473.0,457.0,528.0,470.0,471.0,470.0,474.0,471.0,474.0,470.0,464.0,467.0,468.0,455.0,481.0,470.0,543.0,545.0,571.0,556.0,622.0,597.0
40,481.0,473.0,472.0,472.0,466.0,467.0,460.0,465.0,471.0,463.0,468.0,468.0,481.0,478.0,475.0,477.0,471.0,475.0,475.0,474.0,477.0,470.0,477.0,472.0,466.0,473.0,474.0,466.0,470.0,472.0,469.0,473.0,479.0,486.0,481.0,494.0,473.0,475.0,470.0,474.0,470.0,473.0,480.0,478.0,480.0,480.0,485.0,484.0,1034.0,956.0,907.0,982.0,896.0,927.0,837.0,815.0,809.0,800.0,801.0,803.0,467.0,488.0,490.0,496.0,497.0,491.0,488.0,498.0,502.0,494.0,486.0,505.0,465.0,452.0,516.0,475.0,465.0,466.0,469.0,464.0,472.0,471.0,464.0,461.0,460.0,463.0,482.0,464.0,531.0,545.0,563.0,555.0,626.0,603.0
60,482.0,476.0,476.0,474.0,467.0,468.0,472.0,468.0,472.0,463.0,468.0,465.0,479.0,482.0,473.0,469.0,476.0,475.0,477.0,477.0,477.0,473.0,474.0,471.0,474.0,478.0,479.0,474.0,473.0,472.0,472.0,479.0,491.0,496.0,504.0,518.0,477.0,473.0,472.0,477.0,469.0,476.0,490.0,497.0,495.0,507.0,509.0,508.0,1158.0,1071.0,1022.0,1097.0,980.0,1020.0,914.0,886.0,877.0,864.0,869.0,874.0,521.0,531.0,534.0,535.0,553.0,547.0,545.0,558.0,560.0,548.0,540.0,576.0,470.0,453.0,516.0,469.0,466.0,472.0,468.0,476.0,468.0,466.0,464.0,466.0,465.0,460.0,491.0,473.0,534.0,546.0,563.0,560.0,642.0,611.0
80,484.0,483.0,484.0,476.0,472.0,472.0,464.0,465.0,472.0,468.0,482.0,472.0,483.0,484.0,481.0,477.0,478.0,475.0,477.0,478.0,479.0,474.0,474.0,475.0,476.0,478.0,478.0,476.0,475.0,471.0,474.0,481.0,504.0,506.0,521.0,559.0,480.0,474.0,478.0,478.0,473.0,482.0,504.0,512.0,535.0,535.0,545.0,550.0,1339.0,1226.0,1177.0,1257.0,1114.0,1161.0,1039.0,1005.0,992.0,974.0,993.0,993.0,602.0,605.0,639.0,652.0,683.0,671.0,667.0,691.0,697.0,664.0,651.0,744.0,479.0,457.0,519.0,476.0,472.0,469.0,467.0,466.0,463.0,473.0,466.0,469.0,462.0,462.0,494.0,483.0,537.0,546.0,565.0,561.0,664.0,638.0
100,492.0,481.0,488.0,482.0,474.0,475.0,475.0,467.0,470.0,477.0,479.0,490.0,489.0,489.0,480.0,482.0,484.0,481.0,480.0,481.0,480.0,475.0,482.0,476.0,473.0,484.0,481.0,480.0,477.0,477.0,478.0,488.0,501.0,522.0,545.0,603.0,485.0,478.0,479.0,482.0,483.0,490.0,520.0,550.0,581.0,589.0,603.0,607.0,1596.0,1448.0,1380.0,1468.0,1310.0,1358.0,1194.0,1154.0,1142.0,1137.0,1140.0,1147.0,741.0,733.0,835.0,855.0,953.0,931.0,918.0,973.0,989.0,917.0,891.0,1079.0,480.0,456.0,521.0,476.0,473.0,475.0,474.0,470.0,472.0,469.0,465.0,473.0,470.0,460.0,504.0,480.0,536.0,545.0,565.0,562.0,694.0,664.0
120,505.0,491.0,494.0,488.0,488.0,478.0,485.0,485.0,485.0,477.0,491.0,572.0,496.0,493.0,490.0,486.0,491.0,485.0,489.0,490.0,488.0,486.0,495.0,511.0,484.0,492.0,484.0,488.0,484.0,488.0,485.0,494.0,513.0,545.0,582.0,690.0,492.0,490.0,482.0,487.0,489.0,496.0,546.0,587.0,647.0,656.0,666.0,684.0,1923.0,1724.0,1654.0,1783.0,1557.0,1635.0,1412.0,1368.0,1351.0,1331.0,1345.0,1337.0,887.0,887.0,1160.0,1199.0,1388.0,1365.0,1356.0,1459.0,1488.0,1358.0,1305.0,1656.0,493.0,460.0,526.0,479.0,479.0,482.0,480.0,472.0,474.0,483.0,472.0,492.0,468.0,464.0,519.0,501.0,540.0,549.0,576.0,560.0,709.0,693.0
140,514.0,510.0,507.0,503.0,486.0,491.0,494.0,495.0,487.0,481.0,536.0,826.0,501.0,508.0,501.0,500.0,495.0,493.0,495.0,495.0,498.0,489.0,508.0,581.0,488.0,498.0,495.0,491.0,489.0,489.0,488.0,501.0,528.0,574.0,630.0,843.0,505.0,501.0,493.0,501.0,504.0,516.0,581.0,649.0,727.0,736.0,768.0,789.0,2276.0,2047.0,1958.0,2105.0,1836.0,1941.0,1671.0,1612.0,1582.0,1567.0,1584.0,1579.0,1050.0,1042.0,1556.0,1605.0,1963.0,1979.0,1979.0,2164.0,2220.0,1999.0,1918.0,2514.0,501.0,460.0,534.0,487.0,486.0,488.0,484.0,482.0,479.0,488.0,483.0,553.0,472.0,466.0,532.0,512.0,537.0,550.0,578.0,571.0,737.0,721.0
160,541.0,532.0,534.0,522.0,511.0,499.0,507.0,504.0,503.0,531.0,1180.0,1697.0,512.0,514.0,520.0,515.0,519.0,506.0,510.0,503.0,518.0,507.0,616.0,833.0,505.0,513.0,504.0,511.0,501.0,511.0,503.0,515.0,547.0,626.0,733.0,1140.0,523.0,514.0,512.0,509.0,523.0,541.0,674.0,765.0,893.0,892.0,937.0,978.0,2561.0,2313.0,2232.0,2357.0,2091.0,2207.0,1917.0,1855.0,1827.0,1804.0,1801.0,1799.0,1376.0,1321.0,2081.0,2172.0,2807.0,2858.0,2886.0,3194.0,3293.0,2927.0,2794.0,3695.0,516.0,460.0,541.0,508.0,503.0,499.0,491.0,492.0,489.0,497.0,502.0,750.0,473.0,465.0,569.0,534.0,543.0,547.0,583.0,576.0,774.0,760.0
180,611.0,588.0,575.0,566.0,527.0,530.0,535.0,525.0,698.0,1724.0,4206.0,4296.0,534.0,542.0,542.0,532.0,529.0,527.0,533.0,533.0,623.0,940.0,2275.0,2344.0,517.0,524.0,526.0,524.0,518.0,524.0,520.0,536.0,612.0,780.0,996.0,1750.0,555.0,530.0,525.0,541.0,551.0,646.0,1001.0,1097.0,1444.0,1351.0,1465.0,1580.0,2789.0,2536.0,2429.0,2609.0,2276.0,2408.0,2088.0,2001.0,1994.0,1961.0,1962.0,1959.0,2020.0,1900.0,2958.0,3139.0,4159.0,4273.0,4325.0,4813.0,4953.0,4327.0,4136.0,5503.0,542.0,463.0,557.0,531.0,512.0,516.0,507.0,513.0,511.0,738.0,710.0,1742.0,473.0,471.0,597.0,570.0,547.0,552.0,594.0,588.0,834.0,824.0
