time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,14.5,13.5,4.5,0.5,-1.5,3.5,1.5,-1.5,9.5,-2.5,7.5,-1.5,4.5,23.5,18.5,15.5,14.5,12.5,15.5,9.5,8.5,5.5,6.5,8.5,-2.5,18.5,14.5,18.5,1.5,10.5,3.5,6.5,4.5,6.5,7.5,3.5,10.5,10.5,14.5,10.5,2.5,4.5,8.5,15.5,9.5,2.5,8.5,2.5,613.5,576.5,555.5,811.5,525.5,505.5,444.5,450.5,429.5,374.5,335.5,285.5,-2.5,7.5,14.5,11.5,7.5,1.5,5.5,6.5,0.5,6.5,-1.5,1.5,6.5,6.5,73.5,4.5,1.5,-0.5,-2.5,1.5,-1.5,7.5,1.5,-6.5,,,14.5,7.5,,,27,19,163,61
20,18.5,17.5,14.5,11.5,10.5,2.5,10.5,7.5,8.5,3.5,9.5,12.5,23.5,21.5,24.5,16.5,18.5,12.5,17.5,14.5,17.5,20.5,17.5,8.5,13.5,14.5,14.5,15.5,11.5,17.5,14.5,10.5,13.5,14.5,12.5,12.5,18.5,13.5,17.5,11.5,17.5,9.5,20.5,15.5,19.5,13.5,13.5,15.5,468.5,416.5,370.5,401.5,364.5,390.5,316.5,300.5,284.5,281.5,286.5,272.5,-4.5,14.5,14.5,15.5,16.5,6.5,16.5,12.5,14.5,12.5,12.5,10.5,11.5,11.5,66.5,8.5,9.5,8.5,12.5,9.5,12.5,8.5,2.5,5.5,,,19.5,8.5,,,27,12,78,53
40,19.5,11.5,10.5,10.5,4.5,5.5,-1.5,3.5,9.5,1.5,6.5,6.5,19.5,16.5,13.5,15.5,9.5,13.5,13.5,12.5,15.5,8.5,15.5,10.5,4.5,11.5,12.5,4.5,8.5,10.5,7.5,11.5,17.5,24.5,19.5,32.5,11.5,13.5,8.5,12.5,8.5,11.5,18.5,16.5,18.5,18.5,23.5,22.5,572.5,494.5,445.5,520.5,434.5,465.5,375.5,353.5,347.5,338.5,339.5,341.5,5.5,26.5,28.5,34.5,35.5,29.5,26.5,36.5,40.5,32.5,24.5,43.5,3.5,3.5,54.5,13.5,3.5,4.5,7.5,2.5,10.5,9.5,2.5,-0.5,,,20.5,2.5,,,25,17,88,65
60,19.5,13.5,13.5,11.5,4.5,5.5,9.5,5.5,9.5,0.5,5.5,2.5,16.5,19.5,10.5,6.5,13.5,12.5,14.5,14.5,14.5,10.5,11.5,8.5,11.5,15.5,16.5,11.5,10.5,9.5,9.5,16.5,28.5,33.5,41.5,55.5,14.5,10.5,9.5,14.5,6.5,13.5,27.5,34.5,32.5,44.5,46.5,45.5,695.5,608.5,559.5,634.5,517.5,557.5,451.5,423.5,414.5,401.5,406.5,411.5,58.5,68.5,71.5,72.5,90.5,84.5,82.5,95.5,97.5,85.5,77.5,113.5,7.5,7.5,53.5,6.5,3.5,9.5,5.5,13.5,5.5,3.5,1.5,3.5,,,28.5,10.5,,,23,20,102,71
80,22,21,22,14,10,10,2,3,10,6,20,10,21,22,19,15,16,13,15,16,17,12,12,13,14,16,16,14,13,9,12,19,42,44,59,97,18,12,16,16,11,20,42,50,73,73,83,88,877,764,715,795,652,699,577,543,530,512,531,531,140,143,177,190,221,209,205,229,235,202,189,282,17,17,57,14,10,7,5,4,1,11,4,7,,,32,21,,,23.5,19.5,122.5,96.5
100,27,16,23,17,9,10,10,2,5,12,14,25,24,24,15,17,19,16,15,16,15,10,17,11,8,19,16,15,12,12,13,23,36,57,80,138,20,13,14,17,18,25,55,85,116,124,138,142,1131,983,915,1003,845,893,729,689,677,672,675,682,276,268,370,390,488,466,453,508,524,452,426,614,15,15,56,11,8,10,9,5,7,4,0,8,,,39,15,,,24.5,21.5,153.5,123.5
120,39,25,28,22,22,12,19,19,19,11,25,106,30,27,24,20,25,19,23,24,22,20,29,45,18,26,18,22,18,22,19,28,47,79,116,224,26,24,16,21,23,30,80,121,181,190,200,218,1457,1258,1188,1317,1091,1169,946,902,885,865,879,871,421,421,694,733,922,899,890,993,1022,892,839,1190,27,27,60,13,13,16,14,6,8,17,6,26,,,53,35,,,31.5,15.5,164.5,148.5
140,45,41,38,34,17,22,25,26,18,12,67,357,32,39,32,31,26,24,26,26,29,20,39,112,19,29,26,22,20,20,19,32,59,105,161,374,36,32,24,32,35,47,112,180,258,267,299,320,1807,1578,1489,1636,1367,1472,1202,1143,1113,1098,1115,1110,581,573,1087,1136,1494,1510,1510,1695,1751,1530,1449,2045,32,32,65,18,17,19,15,13,10,19,14,84,,,63,43,,,34.5,27.5,193.5,177.5
160,72,63,65,53,42,30,38,35,34,62,711,1228,43,45,51,46,50,37,41,34,49,38,147,364,36,44,35,42,32,42,34,46,78,157,264,671,54,45,43,40,54,72,205,296,424,423,468,509,2092,1844,1763,1888,1622,1738,1448,1386,1358,1335,1332,1330,907,852,1612,1703,2338,2389,2417,2725,2824,2458,2325,3226,47,47,72,39,34,30,22,23,20,28,33,281,,,100,65,,,38,31,229,215
180,139,116,103,94,55,58,63,53,226,1252,3734,3824,62,70,70,60,57,55,61,61,151,468,1803,1872,45,52,54,52,46,52,48,64,140,308,524,1278,83,58,53,69,79,174,529,625,972,879,993,1108,2317,2064,1957,2137,1804,1936,1616,1529,1522,1489,1490,1487,1548,1428,2486,2667,3687,3801,3853,4341,4481,3855,3664,5031,70,70,85,59,40,44,35,41,39,266,238,1270,,,125,98,,,44.5,38.5,284.5,274.5
