time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,49.5,12.5,26.5,30.5,36.5,19.5,33.5,12.5,17.5,12.5,8.5,18.5,70.5,99.5,66.5,45.5,70.5,50.5,65.5,54.5,54.5,47.5,49.5,42.5,19.5,65.5,65.5,57.5,45.5,37.5,40.5,34.5,32.5,26.5,30.5,28.5,45.5,65.5,28.5,64.5,51.5,54.5,36.5,43.5,36.5,35.5,53.5,32.5,2206.5,2257.5,2219.5,3166.5,2091.5,2028.5,1804.5,1792.5,1779.5,1513.5,1376.5,1190.5,-6.5,58.5,60.5,59.5,39.5,50.5,45.5,40.5,36.5,36.5,21.5,17.5,55.5,-29.5,308.5,38.5,29.5,20.5,24.5,9.5,2.5,29.5,6.5,8.5,,,51.5,18.5,,,80.0,44.0,618.0,221.0
20,54.0,39.0,51.0,28.0,11.0,31.0,13.0,0.0,37.0,-6.0,13.0,16.0,79.0,76.0,59.0,47.0,69.0,41.0,57.0,52.0,52.0,39.0,46.0,17.0,22.0,44.0,54.0,47.0,27.0,37.0,34.0,24.0,32.0,35.0,44.0,50.0,61.0,53.0,44.0,35.0,39.0,35.0,26.0,54.0,28.0,44.0,35.0,35.0,1837.0,1652.0,1440.0,1585.0,1449.0,1563.0,1274.0,1164.0,1123.0,1140.0,1120.0,1062.0,-4.0,63.0,36.0,50.0,48.0,53.0,51.0,49.0,47.0,36.0,21.0,47.0,36.0,-29.0,251.0,49.0,28.0,36.0,7.0,18.0,38.0,33.0,12.0,2.0,,,81.0,11.0,,,71.0,52.0,290.0,192.0
40,56.5,33.5,21.5,19.5,6.5,-2.5,22.5,7.5,21.5,-11.5,9.5,-16.5,51.5,37.5,53.5,44.5,39.5,33.5,35.5,33.5,25.5,24.5,31.5,10.5,33.5,48.5,41.5,31.5,22.5,8.5,17.5,40.5,43.5,68.5,87.5,120.5,49.5,37.5,35.5,27.5,31.5,31.5,52.5,64.5,62.5,76.5,80.5,103.5,2282.5,2012.5,1819.5,2097.5,1726.5,1881.5,1480.5,1420.5,1402.5,1354.5,1368.5,1359.5,58.5,108.5,89.5,124.5,150.5,113.5,134.5,131.5,134.5,121.5,104.5,178.5,29.5,-31.5,217.5,29.5,28.5,3.5,9.5,9.5,14.5,9.5,-7.5,1.5,,,93.5,44.5,,,86.0,57.0,316.0,249.0
60,39.0,53.0,42.0,23.0,15.0,10.0,11.0,-4.0,40.0,-4.0,33.0,29.0,57.0,59.0,66.0,54.0,31.0,33.0,55.0,35.0,36.0,30.0,54.0,30.0,30.0,48.0,74.0,36.0,35.0,34.0,44.0,78.0,110.0,118.0,164.0,237.0,86.0,59.0,26.0,37.0,48.0,51.0,85.0,113.0,153.0,147.0,174.0,187.0,2796.0,2448.0,2265.0,2554.0,2102.0,2260.0,1846.0,1731.0,1678.0,1671.0,1673.0,1682.0,234.0,289.0,312.0,334.0,366.0,371.0,371.0,395.0,437.0,370.0,326.0,521.0,58.0,-26.0,225.0,44.0,19.0,15.0,10.0,19.0,4.0,30.0,-3.0,6.0,,,93.0,45.0,,,88.0,64.0,400.0,309.0
80,81.5,55.5,55.5,28.5,43.5,26.5,30.5,14.5,27.5,9.5,2.5,31.5,75.5,71.5,81.5,60.5,57.5,36.5,61.5,52.5,44.5,39.5,46.5,26.5,38.5,63.5,54.5,51.5,12.5,42.5,36.5,62.5,117.5,174.5,233.5,390.5,75.5,48.5,51.5,31.5,53.5,55.5,152.5,212.5,275.5,308.5,327.5,367.5,3525.5,3083.5,2849.5,3201.5,2624.5,2811.5,2286.5,2179.5,2129.5,2114.5,2124.5,2143.5,587.5,593.5,732.5,769.5,917.5,854.5,862.5,968.5,1000.5,850.5,789.5,1161.5,54.5,-23.5,222.5,49.5,42.5,30.5,-0.5,29.5,3.5,33.5,25.5,21.5,,,142.5,70.5,,,82.0,56.0,487.0,383.0
100,87.0,66.0,48.0,61.0,28.0,21.0,29.0,35.0,35.0,26.0,39.0,97.0,66.0,82.0,72.0,66.0,64.0,54.0,52.0,58.0,60.0,46.0,41.0,44.0,55.0,69.0,83.0,49.0,39.0,52.0,47.0,74.0,160.0,223.0,332.0,584.0,87.0,62.0,69.0,67.0,65.0,77.0,229.0,340.0,456.0,504.0,537.0,624.0,4559.0,3962.0,3705.0,4122.0,3399.0,3650.0,2981.0,2774.0,2720.0,2697.0,2714.0,2771.0,1101.0,1125.0,1560.0,1648.0,2010.0,1928.0,1915.0,2134.0,2226.0,1886.0,1780.0,2604.0,72.0,-33.0,212.0,46.0,45.0,44.0,32.0,14.0,27.0,33.0,20.0,39.0,,,167.0,88.0,,,120.0,68.0,594.0,504.0
120,128.0,104.0,103.0,75.0,53.0,43.0,46.0,29.0,54.0,49.0,102.0,468.0,93.0,113.0,100.0,85.0,96.0,60.0,70.0,78.0,79.0,46.0,78.0,184.0,58.0,74.0,75.0,84.0,67.0,83.0,64.0,87.0,176.0,307.0,442.0,912.0,117.0,90.0,83.0,82.0,87.0,130.0,329.0,507.0,702.0,729.0,812.0,912.0,5847.0,5102.0,4804.0,5275.0,4395.0,4707.0,3835.0,3670.0,3577.0,3480.0,3531.0,3594.0,1707.0,1729.0,2868.0,3013.0,3801.0,3781.0,3702.0,4142.0,4270.0,3710.0,3508.0,5003.0,89.0,-23.0,242.0,68.0,64.0,44.0,50.0,22.0,43.0,42.0,45.0,110.0,,,235.0,121.0,,,109.5,73.5,681.5,623.5
140,181.0,166.0,137.0,157.0,65.0,78.0,108.0,59.0,75.0,78.0,276.0,1562.0,124.0,135.0,123.0,121.0,113.0,98.0,138.0,104.0,119.0,86.0,143.0,457.0,88.0,116.0,105.0,108.0,91.0,101.0,89.0,122.0,250.0,409.0,679.0,1556.0,152.0,128.0,116.0,118.0,134.0,181.0,500.0,741.0,1040.0,1104.0,1206.0,1318.0,7225.0,6326.0,6034.0,6535.0,5529.0,5885.0,4867.0,4621.0,4535.0,4402.0,4461.0,4540.0,2377.0,2370.0,4358.0,4597.0,6165.0,6222.0,6256.0,6960.0,7250.0,6343.0,5991.0,8393.0,142.0,-29.0,259.0,108.0,90.0,85.0,74.0,65.0,65.0,55.0,53.0,379.0,,,272.0,189.0,,,126.0,95.0,762.0,706.0
160,303.5,254.5,261.5,214.5,134.5,128.5,155.5,94.5,174.5,306.5,3359.5,5413.5,165.5,206.5,198.5,188.5,136.5,157.5,181.5,145.5,180.5,171.5,725.5,1620.5,141.5,173.5,140.5,146.5,128.5,152.5,144.5,192.5,318.5,643.5,1093.5,2813.5,221.5,189.5,165.5,192.5,195.5,302.5,835.5,1230.5,1751.5,1782.5,1926.5,2142.5,8312.5,7323.5,7033.5,7565.5,6587.5,6920.5,5853.5,5578.5,5479.5,5362.5,5346.5,5407.5,3720.5,3536.5,6575.5,6993.5,9603.5,9865.5,9966.5,11161.5,11547.5,10124.5,9618.5,13332.5,204.5,-21.5,292.5,160.5,129.5,128.5,98.5,113.5,105.5,129.5,160.5,1242.5,,,401.5,274.5,,,135.0,122.0,895.0,845.0
180,521.5,449.5,452.5,398.5,229.5,217.5,280.5,241.5,1018.5,5747.5,16169.5,16236.5,224.5,308.5,259.5,261.5,246.5,211.5,261.5,261.5,642.5,2162.5,8075.5,8263.5,194.5,226.5,219.5,171.5,186.5,230.5,197.5,269.5,585.5,1299.5,2235.5,5306.5,327.5,268.5,237.5,272.5,328.5,730.5,2278.5,2663.5,4148.5,3848.5,4266.5,4792.5,9410.5,8207.5,7845.5,8496.5,7225.5,7666.5,6515.5,6198.5,6049.5,5953.5,5999.5,6018.5,6362.5,5923.5,10307.5,10915.5,15245.5,15800.5,15886.5,17815.5,18514.5,15935.5,15065.5,20856.5,299.5,-17.5,346.5,251.5,195.5,186.5,164.5,175.5,191.5,1281.5,1147.5,5579.5,,,540.5,404.5,,,190.5,166.5,1163.5,1135.5
