time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,0.042,0.08,0.035,0.038,0.021,0.004,-0.003,0.004,0.044,-0.00065,0.018,0.022,-0.001,0.039,0.00095,0.024,0.036,0.002,-0.00045,0.00015,0.00045,0.006,0.008,0.009,0.07,0.045,0.032,0.033,-0.003,0.029,0.005,0.035,0.007,-0.003,0.002,0.018,0.034,0.007,0.009,0.097,0.009,0.005,-0.00065,0.025,-0.001,0.023,0.019,0.014,0.028,0.014,0.014,0.044,0.037,0.018,0.017,0.027,0.023,0.015,0.022,0.011,0.006,0.014,0.008,0.001,0.004,0.002,0.037,0.004,0.00085,0.003,0.001,0.006,0.015,-0.002,0.828,0.002,-0.002,-0.001,0.011,0.002,0.001,0.017,0.007,0.008,,,0.218,0.09,,,0.007,0.006,0.033,0.024
20,0.021,0.039,0.019,0.021,0.014,0.012,0.014,0.007,0.013,0.012,0.021,0.018,0.014,0.017,0.015,0.014,0.014,0.009,0.014,0.009,0.015,0.011,0.014,0.016,0.01,0.014,0.012,0.013,0.012,0.018,0.011,0.016,0.012,0.012,0.011,0.018,0.019,0.013,0.013,0.017,0.016,0.016,0.015,0.012,0.016,0.012,0.012,0.014,0.025,0.016,0.015,0.019,0.017,0.02,0.017,0.018,0.016,0.014,0.015,0.018,0.017,0.014,0.01,0.013,0.013,0.015,0.015,0.012,0.015,0.013,0.01,0.023,0.02,-0.004,0.01,0.018,0.014,0.015,0.017,0.013,0.016,0.012,0.06,0.017,,,0.098,0.075,,,0.014,0.019,0.013,0.019
40,0.026,0.042,0.024,0.024,0.014,0.015,0.016,0.009,0.015,0.013,0.024,0.021,0.015,0.02,0.017,0.016,0.016,0.012,0.015,0.012,0.017,0.013,0.017,0.02,0.014,0.015,0.015,0.014,0.014,0.021,0.014,0.017,0.014,0.014,0.015,0.02,0.026,0.018,0.017,0.021,0.019,0.018,0.017,0.014,0.016,0.016,0.014,0.018,0.03,0.02,0.019,0.025,0.019,0.023,0.02,0.02,0.019,0.016,0.017,0.021,0.02,0.018,0.013,0.016,0.016,0.016,0.016,0.016,0.017,0.014,0.014,0.024,0.027,-0.003,0.014,0.023,0.017,0.017,0.019,0.015,0.016,0.014,0.015,0.02,,,0.126,0.09,,,0.017,0.018,0.012,0.019
60,0.044,0.056,0.038,0.037,0.022,0.022,0.025,0.016,0.022,0.02,0.031,0.028,0.023,0.031,0.025,0.026,0.023,0.019,0.023,0.018,0.025,0.019,0.024,0.024,0.023,0.023,0.021,0.02,0.02,0.03,0.021,0.024,0.021,0.019,0.02,0.027,0.037,0.026,0.026,0.032,0.027,0.026,0.024,0.02,0.023,0.019,0.021,0.025,0.039,0.028,0.027,0.033,0.026,0.031,0.024,0.026,0.024,0.022,0.023,0.026,0.029,0.024,0.02,0.022,0.02,0.023,0.022,0.02,0.022,0.018,0.017,0.029,0.036,-0.002,0.02,0.028,0.021,0.024,0.026,0.021,0.021,0.019,0.019,0.024,,,0.16,0.11,,,0.018,0.031,0.038,0.02
80,0.073,0.082,0.062,0.058,0.035,0.033,0.038,0.025,0.034,0.031,0.045,0.039,0.036,0.047,0.043,0.04,0.036,0.029,0.036,0.03,0.038,0.03,0.036,0.03,0.036,0.037,0.032,0.031,0.031,0.043,0.032,0.035,0.029,0.03,0.028,0.038,0.058,0.04,0.038,0.05,0.042,0.042,0.036,0.031,0.033,0.032,0.033,0.035,0.055,0.041,0.039,0.051,0.038,0.043,0.035,0.036,0.032,0.031,0.033,0.036,0.043,0.036,0.027,0.029,0.032,0.031,0.03,0.105,0.098,0.026,0.024,0.039,0.056,-0.003,0.031,0.045,0.032,0.036,0.041,0.033,0.03,0.032,0.026,0.034,,,0.208,0.145,,,0.025,0.052,0.014,0.021
100,0.12,0.13,0.106,0.094,0.056,0.056,0.065,0.045,0.058,0.052,0.071,0.06,0.058,0.079,0.074,0.069,0.063,0.053,0.065,0.052,0.067,0.054,0.058,0.05,0.06,0.064,0.057,0.054,0.055,0.074,0.053,0.058,0.048,0.047,0.045,0.056,0.099,0.073,0.062,0.082,0.071,0.068,0.061,0.05,0.055,0.051,0.052,0.057,0.086,0.065,0.063,0.092,0.059,0.065,0.054,0.054,0.078,0.047,0.05,0.05,0.071,0.059,0.042,0.05,0.049,0.046,0.045,0.047,0.048,0.038,0.034,0.052,0.091,-0.003,0.048,0.074,0.056,0.061,0.055,0.053,0.048,0.053,0.039,0.05,,,0.296,0.21,,,0.034,0.04,0.016,0.025
120,0.204,0.206,0.177,0.16,0.098,0.102,0.113,0.083,0.102,0.095,0.118,0.098,0.102,0.137,0.129,0.12,0.112,0.095,0.11,0.097,0.119,0.092,0.096,0.079,0.103,0.11,0.098,0.093,0.094,0.13,0.092,0.103,0.085,0.08,0.078,0.09,0.17,0.127,0.11,0.136,0.126,0.12,0.104,0.088,0.097,0.086,0.089,0.095,0.136,0.109,0.104,0.117,0.1,0.107,0.088,0.09,0.083,0.078,0.081,0.083,0.115,0.099,0.069,0.076,0.076,0.074,0.11,0.156,0.13,0.061,0.054,0.083,0.15,-0.001,0.087,0.125,0.098,0.103,0.089,0.089,0.081,0.086,0.063,0.083,,,0.404,0.311,,,0.052,0.059,0.021,0.027
140,0.309,0.309,0.283,0.264,0.176,0.174,0.205,0.147,0.184,0.166,0.196,0.165,0.174,0.231,0.223,0.21,0.194,0.163,0.196,0.172,0.209,0.164,0.171,0.135,0.17,0.193,0.172,0.162,0.165,0.216,0.163,0.175,0.143,0.135,0.132,0.144,0.272,0.214,0.191,0.227,0.213,0.206,0.177,0.147,0.161,0.145,0.152,0.16,0.222,0.19,0.174,0.194,0.164,0.179,0.182,0.141,0.135,0.128,0.132,0.133,0.189,0.201,0.112,0.122,0.124,0.112,0.14,0.113,0.113,0.095,0.153,0.11,0.247,-0.003,0.144,0.207,0.163,0.175,0.142,0.152,0.132,0.148,0.104,0.129,,,0.523,0.414,,,0.087,0.101,0.028,0.035
160,0.42,0.423,0.385,0.36,0.267,0.271,0.288,0.234,0.274,0.253,0.3,0.255,0.278,0.33,0.327,0.311,0.293,0.264,0.294,0.27,0.307,0.258,0.264,0.221,0.273,0.289,0.276,0.26,0.268,0.325,0.261,0.278,0.24,0.227,0.224,0.237,0.373,0.318,0.336,0.333,0.32,0.313,0.291,0.261,0.261,0.248,0.25,0.257,0.328,0.292,0.37,0.377,0.264,0.28,0.297,0.278,0.226,0.218,0.221,0.213,0.282,0.274,0.187,0.201,0.203,0.179,0.17,0.176,0.178,0.147,0.128,0.166,0.345,-0.002,0.238,0.31,0.256,0.276,0.235,0.246,0.218,0.249,0.173,0.208,,,0.633,0.523,,,0.098,0.157,0.016,0.004
180,0.515,0.525,0.476,0.455,0.354,0.354,0.379,0.308,0.359,0.329,0.373,0.316,0.36,0.442,0.434,0.413,0.39,0.35,0.386,0.356,0.407,0.342,0.346,0.3,0.351,0.383,0.366,0.35,0.357,0.427,0.355,0.367,0.329,0.316,0.311,0.319,0.485,0.421,0.385,0.436,0.443,0.409,0.368,0.33,0.347,0.329,0.338,0.342,0.431,0.389,0.372,0.405,0.434,0.377,0.332,0.326,0.313,0.364,0.309,0.311,0.38,0.365,0.283,0.296,0.339,0.353,0.25,0.257,0.259,0.287,0.235,0.244,0.456,0.0004,0.333,0.406,0.352,0.464,0.327,0.334,0.31,0.407,0.33,0.298,,,0.784,0.643,,,0.203,0.256,0.05,0.051
