time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,1944.0,1907.0,1921.0,1925.0,1931.0,1914.0,1928.0,1907.0,1912.0,1907.0,1903.0,1913.0,1965.0,1994.0,1961.0,1940.0,1965.0,1945.0,1960.0,1949.0,1949.0,1942.0,1944.0,1937.0,1914.0,1960.0,1960.0,1952.0,1940.0,1932.0,1935.0,1929.0,1927.0,1921.0,1925.0,1923.0,1940.0,1960.0,1923.0,1959.0,1946.0,1949.0,1931.0,1938.0,1931.0,1930.0,1948.0,1927.0,4101.0,4152.0,4114.0,5061.0,3986.0,3923.0,3699.0,3687.0,3674.0,3408.0,3271.0,3085.0,1888.0,1953.0,1955.0,1954.0,1934.0,1945.0,1940.0,1935.0,1931.0,1931.0,1916.0,1912.0,1950.0,1865.0,2203.0,1933.0,1924.0,1915.0,1919.0,1904.0,1897.0,1924.0,1901.0,1903.0,1901.0,1888.0,1946.0,1913.0,2223.0,2251.0,2317.0,2281.0,2855.0,2458.0
20,1880.0,1865.0,1877.0,1854.0,1837.0,1857.0,1839.0,1826.0,1863.0,1820.0,1839.0,1842.0,1905.0,1902.0,1885.0,1873.0,1895.0,1867.0,1883.0,1878.0,1878.0,1865.0,1872.0,1843.0,1848.0,1870.0,1880.0,1873.0,1853.0,1863.0,1860.0,1850.0,1858.0,1861.0,1870.0,1876.0,1887.0,1879.0,1870.0,1861.0,1865.0,1861.0,1852.0,1880.0,1854.0,1870.0,1861.0,1861.0,3663.0,3478.0,3266.0,3411.0,3275.0,3389.0,3100.0,2990.0,2949.0,2966.0,2946.0,2888.0,1822.0,1889.0,1862.0,1876.0,1874.0,1879.0,1877.0,1875.0,1873.0,1862.0,1847.0,1873.0,1862.0,1797.0,2077.0,1875.0,1854.0,1862.0,1833.0,1844.0,1864.0,1859.0,1838.0,1828.0,1819.0,1833.0,1907.0,1837.0,2140.0,2168.0,2225.0,2206.0,2444.0,2346.0
40,1883.0,1860.0,1848.0,1846.0,1833.0,1824.0,1849.0,1834.0,1848.0,1815.0,1836.0,1810.0,1878.0,1864.0,1880.0,1871.0,1866.0,1860.0,1862.0,1860.0,1852.0,1851.0,1858.0,1837.0,1860.0,1875.0,1868.0,1858.0,1849.0,1835.0,1844.0,1867.0,1870.0,1895.0,1914.0,1947.0,1876.0,1864.0,1862.0,1854.0,1858.0,1858.0,1879.0,1891.0,1889.0,1903.0,1907.0,1930.0,4109.0,3839.0,3646.0,3924.0,3553.0,3708.0,3307.0,3247.0,3229.0,3181.0,3195.0,3186.0,1885.0,1935.0,1916.0,1951.0,1977.0,1940.0,1961.0,1958.0,1961.0,1948.0,1931.0,2005.0,1856.0,1795.0,2044.0,1856.0,1855.0,1830.0,1836.0,1836.0,1841.0,1836.0,1819.0,1828.0,1832.0,1821.0,1920.0,1871.0,2131.0,2147.0,2225.0,2196.0,2455.0,2388.0
60,1863.0,1877.0,1866.0,1847.0,1839.0,1834.0,1835.0,1820.0,1864.0,1820.0,1857.0,1853.0,1881.0,1883.0,1890.0,1878.0,1855.0,1857.0,1879.0,1859.0,1860.0,1854.0,1878.0,1854.0,1854.0,1872.0,1898.0,1860.0,1859.0,1858.0,1868.0,1902.0,1934.0,1942.0,1988.0,2061.0,1910.0,1883.0,1850.0,1861.0,1872.0,1875.0,1909.0,1937.0,1977.0,1971.0,1998.0,2011.0,4620.0,4272.0,4089.0,4378.0,3926.0,4084.0,3670.0,3555.0,3502.0,3495.0,3497.0,3506.0,2058.0,2113.0,2136.0,2158.0,2190.0,2195.0,2195.0,2219.0,2261.0,2194.0,2150.0,2345.0,1882.0,1798.0,2049.0,1868.0,1843.0,1839.0,1834.0,1843.0,1828.0,1854.0,1821.0,1830.0,1836.0,1812.0,1917.0,1869.0,2115.0,2151.0,2221.0,2197.0,2533.0,2442.0
80,1909.0,1883.0,1883.0,1856.0,1871.0,1854.0,1858.0,1842.0,1855.0,1837.0,1830.0,1859.0,1903.0,1899.0,1909.0,1888.0,1885.0,1864.0,1889.0,1880.0,1872.0,1867.0,1874.0,1854.0,1866.0,1891.0,1882.0,1879.0,1840.0,1870.0,1864.0,1890.0,1945.0,2002.0,2061.0,2218.0,1903.0,1876.0,1879.0,1859.0,1881.0,1883.0,1980.0,2040.0,2103.0,2136.0,2155.0,2195.0,5353.0,4911.0,4677.0,5029.0,4452.0,4639.0,4114.0,4007.0,3957.0,3942.0,3952.0,3971.0,2415.0,2421.0,2560.0,2597.0,2745.0,2682.0,2690.0,2796.0,2828.0,2678.0,2617.0,2989.0,1882.0,1804.0,2050.0,1877.0,1870.0,1858.0,1827.0,1857.0,1831.0,1861.0,1853.0,1849.0,1835.0,1820.0,1970.0,1898.0,2141.0,2153.0,2229.0,2203.0,2634.0,2530.0
100,1924.0,1903.0,1885.0,1898.0,1865.0,1858.0,1866.0,1872.0,1872.0,1863.0,1876.0,1934.0,1903.0,1919.0,1909.0,1903.0,1901.0,1891.0,1889.0,1895.0,1897.0,1883.0,1878.0,1881.0,1892.0,1906.0,1920.0,1886.0,1876.0,1889.0,1884.0,1911.0,1997.0,2060.0,2169.0,2421.0,1924.0,1899.0,1906.0,1904.0,1902.0,1914.0,2066.0,2177.0,2293.0,2341.0,2374.0,2461.0,6396.0,5799.0,5542.0,5959.0,5236.0,5487.0,4818.0,4611.0,4557.0,4534.0,4551.0,4608.0,2938.0,2962.0,3397.0,3485.0,3847.0,3765.0,3752.0,3971.0,4063.0,3723.0,3617.0,4441.0,1909.0,1804.0,2049.0,1883.0,1882.0,1881.0,1869.0,1851.0,1864.0,1870.0,1857.0,1876.0,1850.0,1824.0,2004.0,1925.0,2120.0,2158.0,2259.0,2207.0,2733.0,2643.0
120,1965.0,1941.0,1940.0,1912.0,1890.0,1880.0,1883.0,1866.0,1891.0,1886.0,1939.0,2305.0,1930.0,1950.0,1937.0,1922.0,1933.0,1897.0,1907.0,1915.0,1916.0,1883.0,1915.0,2021.0,1895.0,1911.0,1912.0,1921.0,1904.0,1920.0,1901.0,1924.0,2013.0,2144.0,2279.0,2749.0,1954.0,1927.0,1920.0,1919.0,1924.0,1967.0,2166.0,2344.0,2539.0,2566.0,2649.0,2749.0,7684.0,6939.0,6641.0,7112.0,6232.0,6544.0,5672.0,5507.0,5414.0,5317.0,5368.0,5431.0,3544.0,3566.0,4705.0,4850.0,5638.0,5618.0,5539.0,5979.0,6107.0,5547.0,5345.0,6840.0,1926.0,1814.0,2079.0,1905.0,1901.0,1881.0,1887.0,1859.0,1880.0,1879.0,1882.0,1947.0,1849.0,1825.0,2072.0,1958.0,2131.0,2152.0,2251.0,2215.0,2823.0,2765.0
140,2024.0,2009.0,1980.0,2000.0,1908.0,1921.0,1951.0,1902.0,1918.0,1921.0,2119.0,3405.0,1967.0,1978.0,1966.0,1964.0,1956.0,1941.0,1981.0,1947.0,1962.0,1929.0,1986.0,2300.0,1931.0,1959.0,1948.0,1951.0,1934.0,1944.0,1932.0,1965.0,2093.0,2252.0,2522.0,3399.0,1995.0,1971.0,1959.0,1961.0,1977.0,2024.0,2343.0,2584.0,2883.0,2947.0,3049.0,3161.0,9068.0,8169.0,7877.0,8378.0,7372.0,7728.0,6710.0,6464.0,6378.0,6245.0,6304.0,6383.0,4220.0,4213.0,6201.0,6440.0,8008.0,8065.0,8099.0,8803.0,9093.0,8186.0,7834.0,10236.0,1985.0,1814.0,2102.0,1951.0,1933.0,1928.0,1917.0,1908.0,1908.0,1898.0,1896.0,2222.0,1841.0,1845.0,2115.0,2032.0,2159.0,2161.0,2286.0,2255.0,2922.0,2866.0
160,2148.0,2099.0,2106.0,2059.0,1979.0,1973.0,2000.0,1939.0,2019.0,2151.0,5204.0,7258.0,2010.0,2051.0,2043.0,2033.0,1981.0,2002.0,2026.0,1990.0,2025.0,2016.0,2570.0,3465.0,1986.0,2018.0,1985.0,1991.0,1973.0,1997.0,1989.0,2037.0,2163.0,2488.0,2938.0,4658.0,2066.0,2034.0,2010.0,2037.0,2040.0,2147.0,2680.0,3075.0,3596.0,3627.0,3771.0,3987.0,10157.0,9168.0,8878.0,9410.0,8432.0,8765.0,7698.0,7423.0,7324.0,7207.0,7191.0,7252.0,5565.0,5381.0,8420.0,8838.0,11448.0,11710.0,11811.0,13006.0,13392.0,11969.0,11463.0,15177.0,2049.0,1823.0,2137.0,2005.0,1974.0,1973.0,1943.0,1958.0,1950.0,1974.0,2005.0,3087.0,1847.0,1842.0,2246.0,2119.0,2173.0,2175.0,2309.0,2296.0,3069.0,3019.0
180,2372.0,2300.0,2303.0,2249.0,2080.0,2068.0,2131.0,2092.0,2869.0,7598.0,18020.0,18087.0,2075.0,2159.0,2110.0,2112.0,2097.0,2062.0,2112.0,2112.0,2493.0,4013.0,9926.0,10114.0,2045.0,2077.0,2070.0,2022.0,2037.0,2081.0,2048.0,2120.0,2436.0,3150.0,4086.0,7157.0,2178.0,2119.0,2088.0,2123.0,2179.0,2581.0,4129.0,4514.0,5999.0,5699.0,6117.0,6643.0,11261.0,10058.0,9696.0,10347.0,9076.0,9517.0,8366.0,8049.0,7900.0,7804.0,7850.0,7869.0,8213.0,7774.0,12158.0,12766.0,17096.0,17651.0,17737.0,19666.0,20365.0,17786.0,16916.0,22707.0,2150.0,1833.0,2197.0,2102.0,2046.0,2037.0,2015.0,2026.0,2042.0,3132.0,2998.0,7430.0,1862.0,1839.0,2391.0,2255.0,2143.0,2184.0,2354.0,2330.0,3327.0,3299.0
