time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,14.0,28.0,18.0,16.0,12.0,23.0,11.0,23.0,24.0,27.0,18.0,36.0,53.0,72.0,47.0,40.0,65.0,51.0,38.0,51.0,49.0,51.0,41.0,48.0,37.0,53.0,36.0,31.0,43.0,42.0,47.0,27.0,37.0,45.0,23.0,47.0,39.0,38.0,37.0,34.0,35.0,43.0,32.0,38.0,33.0,40.0,25.0,43.0,21.0,36.0,27.0,17.0,31.0,31.0,22.0,28.0,28.0,39.0,15.0,32.0,20.0,18.0,25.0,26.0,26.0,36.0,20.0,21.0,30.0,35.0,21.0,10.0,20.0,32.0,20.0,48.0,36.0,27.0,30.0,23.0,19.0,38.0,30.0,18.0,,,20.0,1.0,,,26.5,29.5,658.5,822.5
20,16.0,9.0,13.0,14.0,10.0,27.0,11.0,28.0,25.0,15.0,13.0,25.0,55.0,63.0,34.0,48.0,41.0,49.0,42.0,54.0,28.0,40.0,51.0,38.0,34.0,39.0,43.0,35.0,29.0,40.0,40.0,42.0,34.0,31.0,40.0,33.0,40.0,35.0,29.0,37.0,35.0,37.0,26.0,35.0,34.0,37.0,30.0,35.0,20.0,34.0,37.0,30.0,37.0,31.0,31.0,49.0,64.0,90.0,74.0,86.0,28.0,44.0,26.0,32.0,27.0,29.0,37.0,29.0,42.0,30.0,25.0,15.0,35.0,27.0,22.0,41.0,36.0,25.0,30.0,31.0,30.0,37.0,34.0,35.0,,,26.0,9.0,,,37.0,23.0,493.0,553.0
40,11.5,13.5,10.5,14.5,14.5,11.5,8.5,20.5,14.5,6.5,9.5,18.5,40.5,43.5,32.5,32.5,35.5,24.5,24.5,34.5,35.5,21.5,39.5,39.5,32.5,30.5,20.5,36.5,24.5,34.5,31.5,46.5,31.5,35.5,21.5,31.5,26.5,34.5,24.5,25.5,12.5,27.5,18.5,21.5,35.5,39.5,47.5,59.5,18.5,24.5,24.5,25.5,30.5,39.5,65.5,151.5,260.5,305.5,295.5,322.5,28.5,34.5,24.5,20.5,27.5,26.5,41.5,42.5,49.5,45.5,40.5,66.5,35.5,31.5,31.5,24.5,25.5,23.5,20.5,17.5,33.5,53.5,54.5,79.5,,,13.5,11.5,,,23.0,27.0,671.0,723.0
60,12.5,9.5,9.5,12.5,4.5,-5.5,-0.5,4.5,-1.5,1.5,2.5,13.5,35.5,41.5,26.5,35.5,25.5,32.5,24.5,30.5,24.5,16.5,25.5,32.5,31.5,19.5,21.5,16.5,29.5,31.5,31.5,34.5,23.5,25.5,21.5,20.5,27.5,29.5,23.5,12.5,12.5,27.5,16.5,18.5,43.5,68.5,81.5,111.5,21.5,13.5,14.5,21.5,22.5,21.5,77.5,229.5,494.5,626.5,621.5,654.5,20.5,30.5,21.5,12.5,17.5,22.5,58.5,66.5,104.5,94.5,102.5,102.5,23.5,21.5,12.5,17.5,26.5,17.5,26.5,25.5,25.5,71.5,111.5,181.5,,,16.5,7.5,,,32.5,37.5,875.5,971.5
80,14.5,14.5,18.5,9.5,14.5,11.5,7.5,9.5,15.5,12.5,10.5,13.5,37.5,47.5,41.5,30.5,36.5,35.5,36.5,38.5,32.5,25.5,37.5,44.5,34.5,37.5,20.5,22.5,38.5,30.5,24.5,26.5,42.5,35.5,25.5,30.5,21.5,31.5,27.5,24.5,21.5,33.5,17.5,21.5,42.5,85.5,112.5,174.5,20.5,16.5,32.5,24.5,27.5,26.5,82.5,251.5,691.5,1015.5,1042.5,1166.5,32.5,31.5,20.5,14.5,13.5,37.5,82.5,127.5,191.5,190.5,204.5,205.5,32.5,22.5,24.5,17.5,29.5,24.5,17.5,19.5,38.5,81.5,146.5,312.5,,,15.5,3.5,,,47.0,36.0,1081.0,1214.0
100,31.0,20.0,10.0,18.0,19.0,20.0,24.0,22.0,15.0,11.0,13.0,43.0,40.0,54.0,35.0,41.0,36.0,40.0,36.0,51.0,39.0,29.0,59.0,92.0,37.0,34.0,33.0,30.0,35.0,36.0,35.0,42.0,40.0,38.0,34.0,64.0,35.0,42.0,22.0,24.0,21.0,24.0,29.0,36.0,64.0,112.0,159.0,267.0,28.0,32.0,32.0,31.0,36.0,45.0,88.0,273.0,835.0,1492.0,1638.0,1935.0,35.0,36.0,25.0,28.0,33.0,52.0,129.0,228.0,320.0,314.0,350.0,358.0,43.0,48.0,33.0,34.0,31.0,37.0,33.0,25.0,42.0,105.0,219.0,576.0,,,25.0,14.0,,,48.5,41.5,1289.5,1425.5
120,36.0,33.0,28.0,24.0,17.0,35.0,20.0,23.0,23.0,30.0,38.0,124.0,66.0,55.0,40.0,53.0,58.0,44.0,52.0,49.0,51.0,41.0,73.0,344.0,50.0,52.0,45.0,32.0,36.0,46.0,50.0,53.0,51.0,45.0,53.0,141.0,50.0,46.0,38.0,30.0,38.0,42.0,47.0,46.0,78.0,150.0,216.0,438.0,32.0,50.0,49.0,36.0,32.0,46.0,96.0,290.0,977.0,2015.0,2445.0,3136.0,50.0,47.0,39.0,42.0,41.0,73.0,195.0,345.0,467.0,488.0,531.0,538.0,46.0,53.0,42.0,38.0,29.0,43.0,37.0,36.0,57.0,136.0,363.0,1050.0,,,36.0,25.0,,,58.0,52.0,1531.0,1734.0
140,40.5,40.5,39.5,40.5,42.5,44.5,32.5,41.5,24.5,38.5,76.5,429.5,72.5,73.5,63.5,66.5,64.5,80.5,67.5,66.5,66.5,53.5,190.5,1148.5,56.5,67.5,55.5,53.5,57.5,67.5,61.5,58.5,64.5,56.5,105.5,395.5,62.5,56.5,49.5,52.5,55.5,42.5,62.5,59.5,100.5,231.5,382.5,831.5,51.5,44.5,49.5,56.5,58.5,71.5,110.5,310.5,1144.5,2635.5,3453.5,4762.5,58.5,46.5,49.5,47.5,64.5,102.5,308.5,520.5,724.5,741.5,792.5,817.5,68.5,66.5,59.5,60.5,52.5,54.5,52.5,52.5,70.5,208.5,663.5,2010.5,,,47.5,39.5,,,84.0,82.0,1943.0,2206.0
160,86.0,78.0,69.0,66.0,79.0,79.0,83.0,71.0,72.0,174.0,1154.0,2513.0,105.0,111.0,105.0,86.0,101.0,94.0,92.0,95.0,114.0,252.0,2341.0,4417.0,95.0,100.0,91.0,78.0,77.0,92.0,85.0,94.0,109.0,177.0,829.0,2307.0,93.0,89.0,72.0,79.0,76.0,79.0,91.0,91.0,172.0,494.0,815.0,1665.0,78.0,87.0,79.0,79.0,89.0,82.0,135.0,360.0,1484.0,3632.0,4881.0,7077.0,82.0,87.0,86.0,80.0,93.0,177.0,558.0,898.0,1260.0,1266.0,1371.0,1395.0,93.0,80.0,75.0,81.0,85.0,92.0,83.0,91.0,116.0,427.0,1406.0,3762.0,,,69.0,60.0,,,99.0,103.0,2518.0,2794.0
180,136.0,131.0,115.0,120.0,117.0,125.0,115.0,129.0,246.0,2033.0,6080.0,8002.0,168.0,178.0,167.0,161.0,156.0,172.0,169.0,219.0,621.0,3708.0,9829.0,11840.0,150.0,142.0,141.0,134.0,146.0,145.0,147.0,174.0,328.0,1747.0,6286.0,8778.0,124.0,126.0,116.0,123.0,112.0,118.0,129.0,136.0,355.0,1112.0,1794.0,3341.0,106.0,116.0,108.0,118.0,124.0,130.0,168.0,517.0,2368.0,5385.0,6901.0,10166.0,135.0,141.0,133.0,124.0,154.0,392.0,1480.0,2199.0,3167.0,3011.0,3281.0,3297.0,133.0,128.0,125.0,110.0,120.0,120.0,114.0,135.0,220.0,1001.0,2945.0,6558.0,,,116.0,83.0,,,141.5,157.5,3350.5,3740.5
