time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,0.147,0.16,0.123,0.135,0.124,0.115,0.12,0.146,0.141,0.143,0.131,0.123,0.121,0.179,0.118,0.125,0.136,0.123,0.118,0.129,0.122,0.132,0.158,0.154,0.144,0.162,0.141,0.12,0.123,0.119,0.119,0.118,0.123,0.124,0.143,0.124,0.125,0.156,0.135,0.124,0.119,0.118,0.12,0.12,0.119,0.127,0.124,0.124,0.156,0.122,0.163,0.119,0.124,0.122,0.124,0.122,0.118,0.155,0.123,0.13,0.155,0.128,0.122,0.122,0.122,0.125,0.122,0.121,0.117,0.119,0.12,0.127,0.126,0.136,0.118,0.161,0.159,0.125,0.129,0.136,0.174,0.133,0.144,0.138,0.124,0.122,0.133,0.125,0.122,0.121,0.162,0.143,0.162,0.16
20,0.135,0.137,0.132,0.133,0.133,0.129,0.133,0.132,0.129,0.13,0.135,0.14,0.132,0.136,0.131,0.133,0.135,0.133,0.134,0.134,0.131,0.131,0.145,0.14,0.134,0.135,0.132,0.132,0.132,0.134,0.133,0.133,0.134,0.133,0.135,0.137,0.133,0.132,0.133,0.133,0.132,0.131,0.135,0.133,0.133,0.134,0.132,0.139,0.134,0.131,0.131,0.132,0.133,0.134,0.133,0.134,0.133,0.135,0.132,0.136,0.14,0.131,0.132,0.132,0.132,0.136,0.134,0.133,0.133,0.131,0.134,0.138,0.137,0.147,0.133,0.134,0.136,0.135,0.137,0.133,0.133,0.135,0.138,0.141,0.122,0.12,0.134,0.136,0.121,0.119,0.137,0.17,0.145,0.146
40,0.138,0.139,0.134,0.135,0.136,0.132,0.136,0.135,0.133,0.133,0.139,0.144,0.136,0.138,0.134,0.136,0.138,0.136,0.137,0.136,0.135,0.134,0.149,0.144,0.139,0.139,0.133,0.136,0.135,0.138,0.137,0.136,0.138,0.134,0.138,0.139,0.137,0.136,0.136,0.134,0.134,0.135,0.138,0.135,0.136,0.136,0.135,0.14,0.138,0.134,0.133,0.135,0.134,0.135,0.134,0.135,0.134,0.137,0.136,0.138,0.147,0.134,0.135,0.135,0.136,0.139,0.136,0.136,0.135,0.134,0.137,0.141,0.141,0.149,0.138,0.137,0.139,0.138,0.142,0.138,0.136,0.138,0.142,0.144,0.122,0.12,0.137,0.138,0.121,0.119,0.143,0.18,0.151,0.151
60,0.147,0.147,0.144,0.144,0.145,0.141,0.145,0.144,0.142,0.142,0.149,0.152,0.145,0.146,0.142,0.142,0.146,0.144,0.145,0.146,0.142,0.141,0.158,0.152,0.147,0.145,0.141,0.143,0.144,0.145,0.145,0.143,0.144,0.142,0.145,0.147,0.146,0.144,0.143,0.143,0.143,0.143,0.145,0.145,0.145,0.143,0.143,0.15,0.144,0.142,0.14,0.142,0.144,0.143,0.141,0.14,0.142,0.143,0.141,0.143,0.155,0.143,0.142,0.141,0.143,0.147,0.146,0.143,0.143,0.141,0.145,0.149,0.15,0.157,0.146,0.146,0.148,0.146,0.15,0.145,0.143,0.146,0.149,0.153,0.123,0.12,0.146,0.146,0.128,0.119,0.15,0.184,0.158,0.161
80,0.164,0.166,0.158,0.159,0.16,0.159,0.16,0.16,0.159,0.157,0.166,0.17,0.16,0.163,0.16,0.159,0.163,0.161,0.162,0.163,0.159,0.155,0.174,0.168,0.164,0.163,0.157,0.159,0.16,0.162,0.162,0.16,0.163,0.159,0.16,0.164,0.163,0.16,0.159,0.159,0.156,0.16,0.161,0.159,0.16,0.16,0.159,0.164,0.16,0.222,0.154,0.158,0.159,0.207,0.205,0.155,0.154,0.153,0.153,0.153,0.172,0.159,0.157,0.158,0.159,0.167,0.268,0.155,0.159,0.156,0.16,0.163,0.168,0.173,0.162,0.161,0.164,0.163,0.166,0.162,0.158,0.163,0.165,0.169,0.122,0.121,0.16,0.161,0.123,0.119,0.168,0.204,0.178,0.178
100,0.196,0.191,0.188,0.186,0.191,0.187,0.19,0.189,0.188,0.185,0.195,0.202,0.188,0.194,0.189,0.19,0.193,0.195,0.193,0.197,0.189,0.182,0.208,0.197,0.193,0.192,0.184,0.186,0.189,0.19,0.19,0.193,0.192,0.185,0.188,0.191,0.187,0.188,0.184,0.186,0.184,0.188,0.189,0.186,0.188,0.19,0.187,0.19,0.188,0.185,0.179,0.184,0.185,0.188,0.181,0.18,0.229,0.177,0.166,0.168,0.199,0.186,0.186,0.183,0.188,0.191,0.188,0.18,0.189,0.182,0.186,0.187,0.195,0.201,0.189,0.191,0.19,0.191,0.194,0.19,0.185,0.189,0.19,0.194,0.123,0.121,0.189,0.184,0.123,0.126,0.2,0.233,0.203,0.21
120,0.243,0.242,0.233,0.235,0.245,0.241,0.242,0.244,0.242,0.238,0.248,0.257,0.238,0.241,0.241,0.24,0.246,0.244,0.241,0.245,0.237,0.23,0.262,0.25,0.244,0.239,0.231,0.235,0.24,0.243,0.239,0.241,0.24,0.234,0.233,0.236,0.234,0.237,0.228,0.234,0.23,0.236,0.237,0.237,0.237,0.233,0.232,0.231,0.238,0.232,0.322,0.235,0.236,0.251,0.289,0.271,0.212,0.206,0.193,0.19,0.249,0.236,0.336,0.229,0.233,0.384,0.42,0.297,0.232,0.225,0.228,0.232,0.248,0.248,0.236,0.235,0.234,0.24,0.247,0.24,0.231,0.239,0.234,0.235,0.123,0.121,0.232,0.23,0.128,0.119,0.253,0.289,0.25,0.257
140,0.33,0.322,0.318,0.317,0.332,0.33,0.327,0.33,0.326,0.315,0.331,0.337,0.32,0.328,0.328,0.326,0.332,0.333,0.332,0.339,0.324,0.309,0.354,0.327,0.329,0.324,0.314,0.317,0.325,0.331,0.328,0.326,0.33,0.313,0.315,0.311,0.314,0.318,0.303,0.312,0.305,0.366,0.322,0.317,0.323,0.312,0.303,0.302,0.315,0.406,0.382,0.311,0.314,0.407,0.361,0.294,0.278,0.264,0.236,0.224,0.334,0.32,0.316,0.31,0.316,0.323,0.314,0.292,0.312,0.3,0.306,0.301,0.329,0.326,0.313,0.315,0.314,0.321,0.326,0.323,0.308,0.313,0.307,0.298,0.122,0.12,0.31,0.299,0.136,0.132,0.334,0.381,0.327,0.338
160,0.42,0.418,0.413,0.417,0.429,0.43,0.423,0.424,0.423,0.413,0.429,0.427,0.42,0.429,0.427,0.427,0.438,0.437,0.433,0.441,0.43,0.408,0.456,0.42,0.431,0.424,0.42,0.421,0.424,0.436,0.426,0.428,0.428,0.417,0.414,0.412,0.414,0.417,0.4,0.418,0.454,0.44,0.423,0.418,0.419,0.428,0.401,0.395,0.412,0.411,0.396,0.41,0.47,0.529,0.391,0.394,0.371,0.372,0.308,0.28,0.432,0.423,0.415,0.406,0.416,0.454,0.409,0.384,0.41,0.395,0.398,0.392,0.421,0.421,0.407,0.408,0.412,0.418,0.424,0.415,0.402,0.41,0.399,0.391,0.121,0.119,0.402,0.392,0.162,0.118,0.427,0.508,0.414,0.429
180,0.526,0.521,0.514,0.516,0.53,0.533,0.524,0.535,0.531,0.51,0.519,0.522,0.518,0.532,0.539,0.532,0.54,0.544,0.538,0.544,0.535,0.504,0.546,0.5,0.535,0.53,0.513,0.52,0.528,0.543,0.54,0.536,0.538,0.517,0.51,0.502,0.509,0.512,0.493,0.515,0.504,0.531,0.523,0.521,0.522,0.51,0.502,0.483,0.511,0.515,0.492,0.512,0.52,0.521,0.486,0.487,0.465,0.44,0.392,0.353,0.533,0.516,0.52,0.501,0.515,0.53,0.51,0.479,0.51,0.488,0.488,0.483,0.52,0.52,0.505,0.507,0.506,0.522,0.522,0.515,0.5,0.508,0.489,0.481,0.123,0.12,0.5,0.486,0.147,0.138,0.544,0.632,0.514,0.526
