time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,22.0,35.0,19.0,-2.0,21.0,6.0,5.0,6.0,-1.0,4.0,27.0,5.0,-155.0,47.0,72.0,86.0,65.0,96.0,80.0,73.0,92.0,80.0,100.0,85.0,80.0,109.0,109.0,83.0,75.0,91.0,96.0,87.0,85.0,90.0,82.0,68.0,51.0,64.0,78.0,82.0,70.0,53.0,58.0,60.0,55.0,47.0,59.0,81.0,67.0,70.0,57.0,69.0,37.0,50.0,59.0,66.0,57.0,78.0,46.0,51.0,42.0,67.0,73.0,44.0,58.0,58.0,69.0,66.0,47.0,53.0,61.0,52.0,9.0,32.0,67.0,27.0,50.0,38.0,13.0,32.0,54.0,31.0,41.0,49.0,,,77.0,44.0,,,44.0,108.0,1042.0,829.0
20,29.0,32.0,42.0,37.0,16.0,47.0,14.0,15.0,7.0,6.0,31.0,17.0,-162.0,37.0,74.0,70.0,72.0,80.0,64.0,41.0,61.0,76.0,96.0,73.0,63.0,65.0,95.0,69.0,56.0,73.0,73.0,67.0,66.0,81.0,95.0,73.0,52.0,40.0,67.0,67.0,40.0,48.0,57.0,55.0,65.0,45.0,62.0,60.0,64.0,80.0,73.0,56.0,53.0,62.0,79.0,110.0,98.0,111.0,100.0,120.0,75.0,54.0,64.0,49.0,61.0,55.0,52.0,43.0,39.0,44.0,66.0,57.0,59.0,37.0,37.0,41.0,34.0,21.0,29.0,21.0,42.0,48.0,61.0,51.0,,,67.0,28.0,,,67.0,96.0,942.0,870.0
40,30.0,30.0,35.0,22.0,20.0,24.0,-3.0,15.0,1.0,4.0,9.0,16.0,-151.0,44.0,65.0,69.0,56.0,61.0,62.0,48.0,44.0,73.0,65.0,63.0,68.0,59.0,48.0,67.0,58.0,63.0,67.0,43.0,54.0,58.0,68.0,54.0,72.0,18.0,63.0,45.0,32.0,53.0,55.0,42.0,86.0,104.0,121.0,115.0,41.0,57.0,42.0,35.0,37.0,121.0,254.0,388.0,390.0,451.0,467.0,494.0,49.0,73.0,57.0,40.0,49.0,40.0,86.0,82.0,93.0,82.0,111.0,97.0,40.0,42.0,39.0,30.0,26.0,4.0,17.0,41.0,68.0,120.0,129.0,114.0,,,56.0,27.0,,,51.0,93.0,1268.0,1187.0
60,43.5,33.5,33.5,20.5,17.5,20.5,23.5,26.5,32.5,36.5,45.5,48.5,-145.5,66.5,67.5,67.5,76.5,79.5,66.5,47.5,58.5,62.5,86.5,77.5,57.5,77.5,84.5,65.5,53.5,85.5,63.5,63.5,61.5,70.5,77.5,69.5,79.5,41.5,68.5,56.5,53.5,57.5,55.5,69.5,142.5,178.5,221.5,223.5,61.5,46.5,47.5,35.5,55.5,138.5,436.5,778.5,819.5,1014.5,1041.5,1056.5,62.5,66.5,65.5,58.5,46.5,80.5,95.5,172.5,182.5,221.5,226.5,233.5,37.5,34.5,53.5,19.5,38.5,18.5,22.5,48.5,145.5,194.5,203.5,257.5,,,80.5,52.5,,,69.5,78.5,1709.5,1657.5
80,44.0,42.0,28.0,16.0,18.0,15.0,25.0,21.0,22.0,21.0,40.0,32.0,-145.0,58.0,79.0,56.0,60.0,70.0,83.0,39.0,65.0,55.0,52.0,78.0,69.0,68.0,82.0,68.0,51.0,72.0,68.0,61.0,76.0,53.0,73.0,70.0,61.0,24.0,49.0,60.0,35.0,60.0,59.0,92.0,161.0,236.0,258.0,321.0,63.0,37.0,67.0,51.0,48.0,142.0,449.0,985.0,1379.0,1787.0,1848.0,1920.0,63.0,53.0,59.0,50.0,42.0,87.0,161.0,286.0,356.0,375.0,407.0,426.0,60.0,38.0,46.0,21.0,22.0,6.0,23.0,49.0,156.0,267.0,303.0,351.0,,,77.0,50.0,,,78.5,80.5,2096.5,2112.5
100,49.5,58.5,54.5,31.5,43.5,35.5,46.5,49.5,24.5,51.5,44.5,81.5,-124.5,68.5,95.5,76.5,63.5,87.5,65.5,53.5,101.5,88.5,112.5,154.5,91.5,71.5,94.5,88.5,84.5,66.5,77.5,77.5,67.5,72.5,91.5,111.5,88.5,62.5,90.5,83.5,73.5,60.5,77.5,98.5,178.5,296.5,364.5,433.5,75.5,60.5,71.5,64.5,67.5,151.5,506.5,1167.5,2004.5,2938.5,3084.5,3223.5,86.5,56.5,71.5,85.5,51.5,108.5,256.5,438.5,567.5,636.5,687.5,729.5,59.5,66.5,50.5,44.5,56.5,45.5,25.5,80.5,193.5,327.5,418.5,516.5,,,65.5,46.5,,,80.0,98.0,2559.0,2594.0
120,68.0,70.0,49.0,53.0,40.0,42.0,36.0,51.0,40.0,54.0,78.0,272.0,-130.0,72.0,87.0,88.0,47.0,74.0,80.0,60.0,79.0,96.0,122.0,462.0,89.0,92.0,88.0,72.0,66.0,66.0,108.0,80.0,75.0,55.0,94.0,246.0,88.0,61.0,77.0,89.0,50.0,60.0,92.0,104.0,201.0,381.0,446.0,583.0,74.0,65.0,67.0,73.0,74.0,150.0,491.0,1255.0,2587.0,4414.0,4857.0,5096.0,81.0,73.0,79.0,84.0,78.0,109.0,360.0,668.0,841.0,925.0,971.0,1038.0,53.0,43.0,54.0,49.0,51.0,36.0,33.0,66.0,212.0,386.0,500.0,718.0,,,77.0,56.0,,,115.0,125.0,3113.0,3127.0
140,103.5,104.5,123.5,97.5,98.5,78.5,100.5,92.5,80.5,114.5,213.5,1096.5,-91.5,108.5,147.5,129.5,98.5,120.5,144.5,83.5,114.5,145.5,262.5,1581.5,138.5,118.5,133.5,149.5,116.5,118.5,130.5,118.5,106.5,111.5,185.5,702.5,133.5,82.5,116.5,106.5,99.5,95.5,123.5,135.5,256.5,501.5,664.5,884.5,132.5,115.5,126.5,103.5,112.5,175.5,520.5,1268.5,3065.5,6192.5,7191.5,7615.5,133.5,117.5,98.5,105.5,129.5,179.5,580.5,1013.5,1256.5,1369.5,1465.5,1517.5,147.5,112.5,116.5,100.5,96.5,72.5,72.5,107.5,261.5,560.5,795.5,1191.5,,,132.5,104.5,,,156.5,165.5,3885.5,3993.5
160,191.0,172.0,181.0,187.0,165.0,174.0,170.0,175.0,215.0,866.0,3464.0,6387.0,-19.0,176.0,186.0,197.0,176.0,166.0,161.0,125.0,184.0,438.0,1564.0,5834.0,196.0,184.0,187.0,173.0,166.0,188.0,194.0,180.0,178.0,260.0,1003.0,3719.0,185.0,133.0,193.0,189.0,156.0,154.0,172.0,193.0,323.0,857.0,1193.0,1622.0,172.0,173.0,164.0,157.0,158.0,241.0,538.0,1355.0,3597.0,8135.0,10032.0,10724.0,193.0,179.0,181.0,151.0,169.0,312.0,1028.0,1696.0,2090.0,2205.0,2350.0,2421.0,157.0,148.0,160.0,140.0,165.0,127.0,135.0,153.0,429.0,968.0,1381.0,2202.0,,,175.0,155.0,,,210.0,231.0,4969.0,5055.0
180,262.5,246.5,272.5,255.5,231.5,242.5,254.5,265.5,637.5,6699.5,14276.5,18025.5,80.5,275.5,301.5,261.5,261.5,259.5,280.5,222.5,755.5,6660.5,11328.5,18004.5,271.5,249.5,278.5,251.5,243.5,232.5,262.5,269.5,473.5,2821.5,9826.5,15254.5,238.5,182.5,225.5,224.5,197.5,184.5,237.5,278.5,610.5,1798.5,2558.5,3340.5,241.5,211.5,224.5,219.5,198.5,289.5,593.5,1530.5,4453.5,10698.5,13498.5,14672.5,273.5,247.5,268.5,229.5,280.5,642.5,2797.5,4239.5,4870.5,5181.5,5492.5,5599.5,210.5,185.5,193.5,180.5,196.5,175.5,205.5,245.5,735.5,2065.5,2993.5,4443.5,,,209.5,173.5,,,309.5,326.5,6721.5,6727.5
