time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,0.018,0.053,0.022,0.024,0.007,0.016,0.028,0.009,0.03,0.022,0.006,0.026,0.029,0.0008,0.024,0.028,0.011,0.044,0.036,-0.0005,0.0001,0.006,0.004,0.03,0.032,0.001,0.015,0.022,0.019,-0.003,0.019,0.006,0.036,0.004,0.001,0.0001,0.027,0.021,0.021,0.019,0.009,0.016,0.021,0.014,-1.39e-17,0.009,0.002,0.025,0.042,0.019,0.02,0.02,0.022,0.029,0.012,0.036,0.004,0.013,0.009,0.026,0.016,0.011,0.018,0.017,0.016,0.02,0.024,0.021,0.012,0.002,0.004,0.013,0.029,0.017,0.036,0.025,0.025,0.052,-0.0003,0.039,0.009,0.006,0.005,0.016,,,0.006,0.015,,,0.021,0.014,0.031,0.032
20,0.022,0.022,0.015,0.016,0.017,0.019,0.017,0.016,0.016,0.019,0.022,0.025,0.016,0.015,0.013,0.014,0.013,0.012,0.014,0.01,0.014,0.015,0.021,0.024,0.016,0.013,0.012,0.013,0.012,0.01,0.011,0.013,0.012,0.009,0.012,0.017,0.015,0.009,0.013,0.012,0.012,0.012,0.017,0.014,0.013,0.013,0.011,0.019,0.023,0.013,0.014,0.011,0.013,0.016,0.014,0.016,0.013,0.016,0.018,0.024,0.015,0.014,0.012,0.015,0.014,0.015,0.018,0.013,0.012,0.015,0.017,0.021,0.016,0.015,0.014,0.014,0.028,0.016,0.016,0.015,0.017,0.016,0.019,0.021,,,0.016,0.017,,,0.015,0.018,0.022,0.022
40,0.025,0.025,0.019,0.019,0.018,0.021,0.019,0.018,0.018,0.02,0.024,0.028,0.016,0.017,0.016,0.016,0.014,0.014,0.016,0.01,0.015,0.016,0.02,0.024,0.018,0.014,0.014,0.015,0.012,0.012,0.012,0.014,0.014,0.012,0.014,0.021,0.017,0.013,0.016,0.015,0.013,0.013,0.018,0.016,0.014,0.015,0.012,0.02,0.026,0.014,0.016,0.013,0.015,0.017,0.017,0.017,0.015,0.016,0.018,0.023,0.017,0.016,0.015,0.017,0.016,0.016,0.02,0.016,0.016,0.016,0.018,0.022,0.02,0.018,0.018,0.017,0.017,0.019,0.018,0.017,0.018,0.016,0.022,0.023,,,0.019,0.019,,,0.022,0.024,0.03,0.029
60,0.034,0.033,0.029,0.029,0.026,0.029,0.029,0.026,0.026,0.029,0.033,0.037,0.024,0.024,0.023,0.022,0.02,0.019,0.024,0.015,0.021,0.024,0.026,0.031,0.025,0.021,0.021,0.022,0.019,0.019,0.019,0.02,0.02,0.019,0.022,0.027,0.025,0.02,0.023,0.021,0.02,0.019,0.026,0.022,0.022,0.021,0.018,0.027,0.035,0.024,0.023,0.02,0.02,0.022,0.023,0.063,0.019,0.021,0.022,0.027,0.027,0.023,0.024,0.024,0.022,0.024,0.028,0.022,0.021,0.022,0.025,0.028,0.026,0.025,0.025,0.026,0.025,0.026,0.025,0.035,0.025,0.023,0.028,0.029,,,0.026,0.026,,,0.033,0.04,0.037,0.038
80,0.052,0.052,0.048,0.047,0.044,0.046,0.048,0.042,0.044,0.045,0.051,0.054,0.038,0.039,0.037,0.037,0.033,0.034,0.035,0.024,0.033,0.037,0.038,0.044,0.04,0.035,0.036,0.036,0.032,0.032,0.034,0.035,0.034,0.033,0.037,0.044,0.039,0.03,0.039,0.035,0.033,0.033,0.039,0.072,0.035,0.033,0.03,0.04,0.051,0.037,0.038,0.032,0.033,0.034,0.034,0.091,0.027,0.03,0.032,0.036,0.042,0.037,0.039,0.039,0.037,0.039,0.044,0.07,0.034,0.034,0.039,0.041,0.043,0.039,0.038,0.04,0.036,0.04,0.038,0.036,0.037,0.036,0.039,0.043,,,0.039,0.041,,,0.053,0.054,0.052,0.05
100,0.089,0.087,0.084,0.081,0.076,0.082,0.081,0.078,0.076,0.08,0.086,0.09,0.066,0.063,0.065,0.063,0.058,0.059,0.061,0.045,0.058,0.064,0.064,0.072,0.069,0.063,0.064,0.063,0.057,0.055,0.058,0.06,0.059,0.056,0.06,0.069,0.068,0.052,0.064,0.06,0.058,0.056,0.066,0.06,0.056,0.055,0.052,0.061,0.079,0.064,0.065,0.056,0.095,0.107,0.099,0.052,0.04,0.043,0.042,0.051,0.069,0.063,0.066,0.062,0.172,0.116,0.07,0.06,0.058,0.057,0.061,0.064,0.066,0.062,0.063,0.061,0.064,0.062,0.063,0.069,0.06,0.059,0.062,0.063,,,0.064,0.062,,,0.087,0.09,0.079,0.078
120,0.15,0.146,0.149,0.143,0.132,0.138,0.14,0.135,0.13,0.138,0.145,0.15,0.111,0.112,0.113,0.11,0.104,0.104,0.105,0.078,0.103,0.107,0.107,0.117,0.115,0.11,0.117,0.11,0.1,0.1,0.106,0.105,0.102,0.098,0.106,0.114,0.116,0.092,0.112,0.102,0.096,0.098,0.111,0.102,0.101,0.097,0.089,0.101,0.13,0.208,0.175,0.099,0.099,0.131,0.156,0.15,0.066,0.067,0.066,0.068,0.121,0.182,0.202,0.153,0.107,0.131,0.191,0.099,0.099,0.099,0.102,0.103,0.112,0.105,0.106,0.104,0.104,0.105,0.104,0.107,0.103,0.1,0.1,0.103,,,0.105,0.109,,,0.133,0.137,0.11,0.105
140,0.247,0.242,0.244,0.238,0.223,0.23,0.236,0.223,0.221,0.223,0.239,0.236,0.187,0.191,0.2,0.193,0.179,0.182,0.187,0.135,0.175,0.187,0.179,0.186,0.193,0.196,0.2,0.189,0.174,0.177,0.182,0.18,0.179,0.17,0.176,0.186,0.189,0.157,0.19,0.178,0.168,0.17,0.187,0.172,0.17,0.163,0.151,0.163,0.212,0.192,0.192,0.161,0.168,0.168,0.163,0.147,0.108,0.109,0.099,0.099,0.206,0.188,0.196,0.178,0.178,0.182,0.194,0.198,0.167,0.168,0.168,0.169,0.185,0.175,0.178,0.172,0.173,0.175,0.171,0.165,0.169,0.165,0.162,0.163,,,0.174,0.175,,,0.235,0.255,0.197,0.194
160,0.34,0.34,0.338,0.336,0.321,0.333,0.332,0.328,0.322,0.331,0.342,0.337,0.269,0.297,0.305,0.296,0.286,0.289,0.292,0.228,0.281,0.293,0.285,0.291,0.299,0.295,0.31,0.301,0.278,0.284,0.293,0.287,0.285,0.279,0.279,0.284,0.294,0.26,0.295,0.279,0.267,0.266,0.287,0.271,0.272,0.264,0.246,0.258,0.316,0.297,0.339,0.367,0.307,0.273,0.35,0.344,0.184,0.17,0.154,0.155,0.312,0.293,0.335,0.328,0.314,0.33,0.401,0.276,0.269,0.268,0.273,0.265,0.283,0.274,0.273,0.276,0.275,0.275,0.266,0.262,0.266,0.26,0.257,0.254,,,0.271,0.273,,,0.328,0.368,0.29,0.284
180,0.437,0.438,0.442,0.434,0.42,0.428,0.43,0.421,0.408,0.414,0.412,0.398,0.352,0.381,0.397,0.386,0.362,0.377,0.379,0.311,0.364,0.376,0.361,0.36,0.386,0.386,0.406,0.389,0.367,0.38,0.387,0.382,0.384,0.368,0.373,0.373,0.383,0.338,0.386,0.371,0.357,0.36,0.384,0.365,0.359,0.348,0.332,0.345,0.411,0.388,0.392,0.36,0.355,0.361,0.353,0.323,0.269,0.254,0.231,0.228,0.404,0.387,0.397,0.39,0.4,0.377,0.4,0.36,0.35,0.346,0.433,0.349,0.372,0.357,0.358,0.472,0.455,0.356,0.351,0.361,0.386,0.343,0.335,0.334,,,0.36,0.358,,,0.429,0.487,0.393,0.378
