time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,512.0,515.0,513.0,510.0,511.0,504.0,507.0,505.0,507.0,504.0,509.0,515.0,459.0,515.0,529.0,522.0,518.0,527.0,523.0,515.0,524.0,529.0,525.0,527.0,524.0,521.0,526.0,527.0,522.0,523.0,531.0,531.0,530.0,526.0,524.0,528.0,520.0,513.0,517.0,524.0,522.0,519.0,519.0,512.0,509.0,521.0,516.0,526.0,520.0,525.0,523.0,517.0,519.0,515.0,514.0,517.0,512.0,516.0,517.0,517.0,519.0,515.0,524.0,516.0,518.0,511.0,515.0,523.0,512.0,515.0,519.0,514.0,512.0,509.0,518.0,510.0,514.0,510.0,508.0,503.0,514.0,510.0,515.0,513.0,498.0,504.0,517.0,510.0,494.0,505.0,508.0,518.0,753.0,707.0
20,499.0,488.0,491.0,492.0,491.0,490.0,486.0,490.0,490.0,489.0,491.0,484.0,444.0,491.0,511.0,504.0,497.0,506.0,501.0,498.0,501.0,505.0,501.0,503.0,506.0,500.0,507.0,500.0,502.0,502.0,503.0,505.0,502.0,497.0,504.0,495.0,502.0,495.0,497.0,503.0,499.0,498.0,498.0,494.0,499.0,501.0,498.0,498.0,500.0,500.0,496.0,505.0,498.0,497.0,498.0,505.0,500.0,508.0,507.0,512.0,499.0,495.0,501.0,500.0,499.0,502.0,500.0,493.0,500.0,494.0,497.0,493.0,490.0,488.0,497.0,490.0,497.0,487.0,486.0,485.0,493.0,495.0,490.0,490.0,485.0,487.0,502.0,493.0,464.0,487.0,495.0,498.0,703.0,692.0
40,490.0,489.0,496.0,492.0,490.0,493.0,482.0,491.0,489.0,491.0,494.0,487.0,449.0,498.0,499.0,498.0,497.0,504.0,503.0,495.0,496.0,504.0,504.0,505.0,499.0,497.0,499.0,497.0,497.0,501.0,498.0,496.0,496.0,495.0,501.0,503.0,497.0,488.0,500.0,496.0,497.0,494.0,502.0,497.0,499.0,511.0,508.0,512.0,500.0,496.0,493.0,494.0,495.0,503.0,542.0,576.0,567.0,589.0,598.0,599.0,495.0,497.0,497.0,494.0,493.0,496.0,493.0,500.0,504.0,506.0,505.0,510.0,493.0,490.0,495.0,491.0,486.0,476.0,483.0,487.0,503.0,511.0,510.0,508.0,477.0,484.0,494.0,485.0,476.0,483.0,491.0,495.0,787.0,773.0
60,494.0,492.0,495.0,493.0,490.0,490.0,488.0,490.0,487.0,487.0,483.0,494.0,445.0,495.0,502.0,497.0,499.0,502.0,499.0,497.0,498.0,497.0,505.0,506.0,499.0,494.0,504.0,502.0,497.0,497.0,499.0,500.0,499.0,497.0,500.0,500.0,496.0,489.0,497.0,497.0,490.0,491.0,491.0,505.0,516.0,530.0,527.0,536.0,492.0,491.0,498.0,493.0,494.0,513.0,579.0,666.0,677.0,717.0,726.0,738.0,504.0,498.0,502.0,494.0,488.0,499.0,508.0,526.0,524.0,526.0,535.0,535.0,494.0,494.0,489.0,489.0,492.0,481.0,485.0,492.0,510.0,526.0,533.0,537.0,478.0,479.0,497.0,494.0,468.0,483.0,490.0,499.0,892.0,879.0
80,499.0,496.0,497.0,493.0,494.0,491.0,486.0,489.0,487.0,490.0,491.0,493.0,449.0,496.0,507.0,508.0,495.0,506.0,500.0,502.0,499.0,500.0,508.0,505.0,503.0,502.0,500.0,495.0,498.0,499.0,501.0,502.0,499.0,506.0,503.0,510.0,498.0,490.0,502.0,498.0,492.0,500.0,503.0,503.0,523.0,538.0,555.0,564.0,502.0,507.0,502.0,500.0,492.0,515.0,604.0,730.0,816.0,914.0,921.0,945.0,496.0,496.0,500.0,498.0,494.0,505.0,526.0,553.0,566.0,579.0,583.0,585.0,500.0,496.0,488.0,491.0,492.0,485.0,488.0,498.0,522.0,547.0,556.0,567.0,485.0,479.0,501.0,498.0,470.0,487.0,499.0,498.0,1006.0,1000.0
100,498.0,496.0,500.0,497.0,491.0,500.0,497.0,496.0,499.0,486.0,505.0,511.0,451.0,502.0,510.0,503.0,506.0,503.0,507.0,497.0,504.0,502.0,511.0,528.0,508.0,505.0,504.0,508.0,506.0,508.0,502.0,498.0,505.0,506.0,503.0,521.0,506.0,497.0,505.0,497.0,498.0,497.0,503.0,511.0,529.0,562.0,574.0,588.0,507.0,500.0,504.0,501.0,499.0,525.0,605.0,778.0,975.0,1192.0,1233.0,1271.0,500.0,495.0,497.0,501.0,502.0,504.0,552.0,595.0,623.0,638.0,659.0,663.0,496.0,500.0,498.0,495.0,500.0,497.0,492.0,504.0,530.0,559.0,580.0,610.0,477.0,480.0,508.0,494.0,473.0,480.0,502.0,508.0,1115.0,1128.0
120,505.0,506.0,507.0,502.0,497.0,500.0,503.0,505.0,507.0,504.0,507.0,549.0,459.0,504.0,514.0,511.0,510.0,514.0,513.0,499.0,511.0,508.0,517.0,590.0,512.0,515.0,511.0,515.0,506.0,505.0,514.0,511.0,507.0,508.0,515.0,545.0,509.0,507.0,509.0,506.0,506.0,509.0,507.0,514.0,536.0,583.0,603.0,641.0,512.0,503.0,505.0,508.0,509.0,529.0,614.0,794.0,1139.0,1567.0,1677.0,1730.0,505.0,510.0,505.0,506.0,502.0,513.0,568.0,649.0,693.0,720.0,739.0,745.0,505.0,503.0,501.0,502.0,500.0,498.0,494.0,503.0,538.0,589.0,609.0,666.0,478.0,484.0,509.0,500.0,473.0,490.0,508.0,516.0,1248.0,1257.0
140,519.0,518.0,514.0,519.0,510.0,513.0,514.0,517.0,509.0,511.0,537.0,734.0,468.0,515.0,520.0,520.0,520.0,519.0,522.0,511.0,516.0,522.0,551.0,849.0,519.0,513.0,520.0,515.0,517.0,520.0,519.0,518.0,514.0,521.0,530.0,651.0,518.0,510.0,514.0,514.0,506.0,519.0,515.0,520.0,545.0,612.0,655.0,711.0,519.0,521.0,511.0,510.0,523.0,533.0,617.0,805.0,1259.0,2000.0,2258.0,2350.0,518.0,515.0,522.0,509.0,514.0,536.0,622.0,745.0,796.0,820.0,845.0,861.0,511.0,511.0,512.0,511.0,514.0,505.0,505.0,512.0,555.0,627.0,670.0,775.0,491.0,487.0,519.0,515.0,480.0,493.0,522.0,527.0,1441.0,1478.0
160,534.0,535.0,536.0,529.0,528.0,528.0,530.0,528.0,531.0,660.0,1236.0,1944.0,483.0,531.0,538.0,539.0,527.0,534.0,537.0,520.0,537.0,574.0,814.0,1816.0,534.0,532.0,532.0,537.0,523.0,529.0,532.0,526.0,528.0,539.0,696.0,1295.0,538.0,521.0,532.0,530.0,521.0,527.0,529.0,537.0,568.0,696.0,779.0,878.0,536.0,528.0,527.0,520.0,536.0,545.0,619.0,826.0,1387.0,2505.0,2954.0,3123.0,533.0,536.0,537.0,526.0,537.0,564.0,735.0,894.0,978.0,1021.0,1051.0,1085.0,523.0,525.0,526.0,522.0,525.0,521.0,521.0,529.0,579.0,714.0,822.0,1007.0,483.0,489.0,528.0,525.0,479.0,495.0,533.0,545.0,1715.0,1731.0
180,560.0,562.0,566.0,555.0,547.0,549.0,558.0,563.0,632.0,2013.0,3852.0,4803.0,510.0,556.0,566.0,557.0,554.0,559.0,553.0,539.0,664.0,1968.0,3070.0,4732.0,556.0,555.0,556.0,552.0,547.0,550.0,555.0,564.0,608.0,1120.0,2725.0,4070.0,541.0,540.0,544.0,542.0,536.0,544.0,545.0,556.0,633.0,932.0,1110.0,1309.0,543.0,546.0,549.0,542.0,542.0,561.0,639.0,870.0,1585.0,3123.0,3826.0,4082.0,557.0,552.0,550.0,552.0,552.0,640.0,1151.0,1487.0,1634.0,1720.0,1793.0,1815.0,546.0,535.0,540.0,538.0,539.0,529.0,539.0,545.0,668.0,985.0,1205.0,1552.0,491.0,492.0,545.0,536.0,481.0,491.0,563.0,572.0,2120.0,2153.0
