time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,1984.0,1997.0,1981.0,1960.0,1983.0,1968.0,1967.0,1968.0,1961.0,1966.0,1989.0,1967.0,1807.0,2009.0,2034.0,2048.0,2027.0,2058.0,2042.0,2035.0,2054.0,2042.0,2062.0,2047.0,2042.0,2071.0,2071.0,2045.0,2037.0,2053.0,2058.0,2049.0,2047.0,2052.0,2044.0,2030.0,2013.0,2026.0,2040.0,2044.0,2032.0,2015.0,2020.0,2022.0,2017.0,2009.0,2021.0,2043.0,2029.0,2032.0,2019.0,2031.0,1999.0,2012.0,2021.0,2028.0,2019.0,2040.0,2008.0,2013.0,2004.0,2029.0,2035.0,2006.0,2020.0,2020.0,2031.0,2028.0,2009.0,2015.0,2023.0,2014.0,1971.0,1994.0,2029.0,1989.0,2012.0,2000.0,1975.0,1994.0,2016.0,1993.0,2003.0,2011.0,1951.0,1973.0,2039.0,2006.0,1926.0,1960.0,1987.0,2051.0,2985.0,2772.0
20,1927.0,1930.0,1940.0,1935.0,1914.0,1945.0,1912.0,1913.0,1905.0,1904.0,1929.0,1915.0,1736.0,1935.0,1972.0,1968.0,1970.0,1978.0,1962.0,1939.0,1959.0,1974.0,1994.0,1971.0,1961.0,1963.0,1993.0,1967.0,1954.0,1971.0,1971.0,1965.0,1964.0,1979.0,1993.0,1971.0,1950.0,1938.0,1965.0,1965.0,1938.0,1946.0,1955.0,1953.0,1963.0,1943.0,1960.0,1958.0,1962.0,1978.0,1971.0,1954.0,1951.0,1960.0,1977.0,2008.0,1996.0,2009.0,1998.0,2018.0,1973.0,1952.0,1962.0,1947.0,1959.0,1953.0,1950.0,1941.0,1937.0,1942.0,1964.0,1955.0,1957.0,1935.0,1935.0,1939.0,1932.0,1919.0,1927.0,1919.0,1940.0,1946.0,1959.0,1949.0,1888.0,1908.0,1965.0,1926.0,1870.0,1912.0,1958.0,1987.0,2833.0,2761.0
40,1927.0,1927.0,1932.0,1919.0,1917.0,1921.0,1894.0,1912.0,1898.0,1901.0,1906.0,1913.0,1746.0,1941.0,1962.0,1966.0,1953.0,1958.0,1959.0,1945.0,1941.0,1970.0,1962.0,1960.0,1965.0,1956.0,1945.0,1964.0,1955.0,1960.0,1964.0,1940.0,1951.0,1955.0,1965.0,1951.0,1969.0,1915.0,1960.0,1942.0,1929.0,1950.0,1952.0,1939.0,1983.0,2001.0,2018.0,2012.0,1938.0,1954.0,1939.0,1932.0,1934.0,2018.0,2151.0,2285.0,2287.0,2348.0,2364.0,2391.0,1946.0,1970.0,1954.0,1937.0,1946.0,1937.0,1983.0,1979.0,1990.0,1979.0,2008.0,1994.0,1937.0,1939.0,1936.0,1927.0,1923.0,1901.0,1914.0,1938.0,1965.0,2017.0,2026.0,2011.0,1904.0,1890.0,1953.0,1924.0,1871.0,1891.0,1932.0,1974.0,3149.0,3068.0
60,1935.0,1925.0,1925.0,1912.0,1909.0,1912.0,1915.0,1918.0,1924.0,1928.0,1937.0,1940.0,1746.0,1958.0,1959.0,1959.0,1968.0,1971.0,1958.0,1939.0,1950.0,1954.0,1978.0,1969.0,1949.0,1969.0,1976.0,1957.0,1945.0,1977.0,1955.0,1955.0,1953.0,1962.0,1969.0,1961.0,1971.0,1933.0,1960.0,1948.0,1945.0,1949.0,1947.0,1961.0,2034.0,2070.0,2113.0,2115.0,1953.0,1938.0,1939.0,1927.0,1947.0,2030.0,2328.0,2670.0,2711.0,2906.0,2933.0,2948.0,1954.0,1958.0,1957.0,1950.0,1938.0,1972.0,1987.0,2064.0,2074.0,2113.0,2118.0,2125.0,1929.0,1926.0,1945.0,1911.0,1930.0,1910.0,1914.0,1940.0,2037.0,2086.0,2095.0,2149.0,1884.0,1899.0,1972.0,1944.0,1853.0,1902.0,1947.0,1956.0,3587.0,3535.0
80,1951.0,1949.0,1935.0,1923.0,1925.0,1922.0,1932.0,1928.0,1929.0,1928.0,1947.0,1939.0,1762.0,1965.0,1986.0,1963.0,1967.0,1977.0,1990.0,1946.0,1972.0,1962.0,1959.0,1985.0,1976.0,1975.0,1989.0,1975.0,1958.0,1979.0,1975.0,1968.0,1983.0,1960.0,1980.0,1977.0,1968.0,1931.0,1956.0,1967.0,1942.0,1967.0,1966.0,1999.0,2068.0,2143.0,2165.0,2228.0,1970.0,1944.0,1974.0,1958.0,1955.0,2049.0,2356.0,2892.0,3286.0,3694.0,3755.0,3827.0,1970.0,1960.0,1966.0,1957.0,1949.0,1994.0,2068.0,2193.0,2263.0,2282.0,2314.0,2333.0,1967.0,1945.0,1953.0,1928.0,1929.0,1913.0,1930.0,1956.0,2063.0,2174.0,2210.0,2258.0,1915.0,1899.0,1984.0,1957.0,1874.0,1931.0,1981.0,1983.0,3999.0,4015.0
100,1954.0,1963.0,1959.0,1936.0,1948.0,1940.0,1951.0,1954.0,1929.0,1956.0,1949.0,1986.0,1780.0,1973.0,2000.0,1981.0,1968.0,1992.0,1970.0,1958.0,2006.0,1993.0,2017.0,2059.0,1996.0,1976.0,1999.0,1993.0,1989.0,1971.0,1982.0,1982.0,1972.0,1977.0,1996.0,2016.0,1993.0,1967.0,1995.0,1988.0,1978.0,1965.0,1982.0,2003.0,2083.0,2201.0,2269.0,2338.0,1980.0,1965.0,1976.0,1969.0,1972.0,2056.0,2411.0,3072.0,3909.0,4843.0,4989.0,5128.0,1991.0,1961.0,1976.0,1990.0,1956.0,2013.0,2161.0,2343.0,2472.0,2541.0,2592.0,2634.0,1964.0,1971.0,1955.0,1949.0,1961.0,1950.0,1930.0,1985.0,2098.0,2232.0,2323.0,2421.0,1909.0,1900.0,1970.0,1951.0,1864.0,1928.0,1976.0,1994.0,4455.0,4490.0
120,1994.0,1996.0,1975.0,1979.0,1966.0,1968.0,1962.0,1977.0,1966.0,1980.0,2004.0,2198.0,1796.0,1998.0,2013.0,2014.0,1973.0,2000.0,2006.0,1986.0,2005.0,2022.0,2048.0,2388.0,2015.0,2018.0,2014.0,1998.0,1992.0,1992.0,2034.0,2006.0,2001.0,1981.0,2020.0,2172.0,2014.0,1987.0,2003.0,2015.0,1976.0,1986.0,2018.0,2030.0,2127.0,2307.0,2372.0,2509.0,2000.0,1991.0,1993.0,1999.0,2000.0,2076.0,2417.0,3181.0,4513.0,6340.0,6783.0,7022.0,2007.0,1999.0,2005.0,2010.0,2004.0,2035.0,2286.0,2594.0,2767.0,2851.0,2897.0,2964.0,1979.0,1969.0,1980.0,1975.0,1977.0,1962.0,1959.0,1992.0,2138.0,2312.0,2426.0,2644.0,1936.0,1916.0,2003.0,1982.0,1874.0,1946.0,2025.0,2035.0,5023.0,5037.0
140,2023.0,2024.0,2043.0,2017.0,2018.0,1998.0,2020.0,2012.0,2000.0,2034.0,2133.0,3016.0,1828.0,2028.0,2067.0,2049.0,2018.0,2040.0,2064.0,2003.0,2034.0,2065.0,2182.0,3501.0,2058.0,2038.0,2053.0,2069.0,2036.0,2038.0,2050.0,2038.0,2026.0,2031.0,2105.0,2622.0,2053.0,2002.0,2036.0,2026.0,2019.0,2015.0,2043.0,2055.0,2176.0,2421.0,2584.0,2804.0,2052.0,2035.0,2046.0,2023.0,2032.0,2095.0,2440.0,3188.0,4985.0,8112.0,9111.0,9535.0,2053.0,2037.0,2018.0,2025.0,2049.0,2099.0,2500.0,2933.0,3176.0,3289.0,3385.0,3437.0,2067.0,2032.0,2036.0,2020.0,2016.0,1992.0,1992.0,2027.0,2181.0,2480.0,2715.0,3111.0,1920.0,1919.0,2052.0,2024.0,1886.0,1949.0,2074.0,2083.0,5803.0,5911.0
160,2113.0,2094.0,2103.0,2109.0,2087.0,2096.0,2092.0,2097.0,2137.0,2788.0,5386.0,8309.0,1903.0,2098.0,2108.0,2119.0,2098.0,2088.0,2083.0,2047.0,2106.0,2360.0,3486.0,7756.0,2118.0,2106.0,2109.0,2095.0,2088.0,2110.0,2116.0,2102.0,2100.0,2182.0,2925.0,5641.0,2107.0,2055.0,2115.0,2111.0,2078.0,2076.0,2094.0,2115.0,2245.0,2779.0,3115.0,3544.0,2094.0,2095.0,2086.0,2079.0,2080.0,2163.0,2460.0,3277.0,5519.0,10057.0,11954.0,12646.0,2115.0,2101.0,2103.0,2073.0,2091.0,2234.0,2950.0,3618.0,4012.0,4127.0,4272.0,4343.0,2079.0,2070.0,2082.0,2062.0,2087.0,2049.0,2057.0,2075.0,2351.0,2890.0,3303.0,4124.0,1919.0,1925.0,2097.0,2077.0,1912.0,1960.0,2146.0,2167.0,6905.0,6991.0
180,2198.0,2182.0,2208.0,2191.0,2167.0,2178.0,2190.0,2201.0,2573.0,8635.0,16212.0,19961.0,2016.0,2211.0,2237.0,2197.0,2197.0,2195.0,2216.0,2158.0,2691.0,8596.0,13264.0,19940.0,2207.0,2185.0,2214.0,2187.0,2179.0,2168.0,2198.0,2205.0,2409.0,4757.0,11762.0,17190.0,2174.0,2118.0,2161.0,2160.0,2133.0,2120.0,2173.0,2214.0,2546.0,3734.0,4494.0,5276.0,2177.0,2147.0,2160.0,2155.0,2134.0,2225.0,2529.0,3466.0,6389.0,12634.0,15434.0,16608.0,2209.0,2183.0,2204.0,2165.0,2216.0,2578.0,4733.0,6175.0,6806.0,7117.0,7428.0,7535.0,2146.0,2121.0,2129.0,2116.0,2132.0,2111.0,2141.0,2181.0,2671.0,4001.0,4929.0,6379.0,1918.0,1953.0,2145.0,2109.0,1907.0,1946.0,2236.0,2253.0,8648.0,8654.0
200,2409.0,2372.0,2392.0,2333.0,2340.0,2354.0,2379.0,2501.0,5597.0,21576.0,32275.0,35267.0,2262.0,2398.0,2411.0,2392.0,2360.0,2385.0,2449.0,2338.0,6312.0,26561.0,32339.0,39554.0,2371.0,2362.0,2374.0,2343.0,2319.0,2326.0,2359.0,2468.0,3619.0,14790.0,31304.0,36822.0,2254.0,2203.0,2276.0,2247.0,2233.0,2241.0,2264.0,2333.0,2899.0,5109.0,6513.0,7751.0,2278.0,2262.0,2266.0,2245.0,2224.0,2319.0,2641.0,3806.0,8564.0,17172.0,20561.0,21973.0,2341.0,2297.0,2316.0,2283.0,2380.0,3250.0,7502.0,10619.0,11895.0,12507.0,12980.0,13409.0,2270.0,2245.0,2237.0,2209.0,2235.0,2222.0,2217.0,2309.0,3174.0,5472.0,7119.0,9578.0,1931.0,1927.0,2242.0,2227.0,1877.0,1973.0,2385.0,2437.0,10983.0,11087.0
220,2573.0,2569.0,2563.0,2530.0,2517.0,2541.0,2593.0,2913.0,12555.0,40580.0,52541.0,55098.0,2539.0,2688.0,2743.0,2695.0,2669.0,2728.0,2850.0,3007.0,20096.0,52887.0,56090.0,62067.0,2582.0,2565.0,2593.0,2568.0,2533.0,2534.0,2664.0,2986.0,7315.0,36736.0,56550.0,59675.0,2422.0,2320.0,2400.0,2383.0,2357.0,2335.0,2403.0,2523.0,3484.0,7012.0,9166.0,10919.0,2403.0,2415.0,2389.0,2328.0,2352.0,2446.0,2803.0,4302.0,10899.0,23553.0,28653.0,30537.0,2510.0,2498.0,2492.0,2487.0,2675.0,4101.0,11205.0,16883.0,19078.0,19970.0,20772.0,21387.0,2393.0,2381.0,2372.0,2362.0,2357.0,2352.0,2375.0,2483.0,3964.0,7686.0,10155.0,13643.0,1964.0,1962.0,2376.0,2357.0,1913.0,1983.0,2544.0,2664.0,14548.0,14564.0
240,2810.0,2780.0,2778.0,2747.0,2723.0,2744.0,2831.0,3294.0,20803.0,62843.0,76039.0,76773.0,2811.0,2991.0,3027.0,2993.0,2947.0,3028.0,3254.0,4110.0,42137.0,84020.0,84989.0,89430.0,2824.0,2802.0,2811.0,2809.0,2773.0,2798.0,2890.0,3428.0,11426.0,66446.0,86009.0,86422.0,2552.0,2474.0,2551.0,2536.0,2502.0,2514.0,2568.0,2762.0,4325.0,9731.0,12767.0,15241.0,2565.0,2537.0,2528.0,2478.0,2524.0,2605.0,3030.0,5246.0,14927.0,31690.0,38249.0,40920.0,2685.0,2649.0,2703.0,2659.0,2896.0,4689.0,13647.0,22466.0,26150.0,27672.0,29169.0,30378.0,2532.0,2509.0,2508.0,2504.0,2517.0,2493.0,2523.0,2728.0,5002.0,10543.0,14108.0,19086.0,1967.0,1964.0,2529.0,2479.0,1924.0,2000.0,2771.0,2907.0,19227.0,19030.0
260,3006.0,2985.0,2961.0,2956.0,2918.0,2959.0,3058.0,3623.0,27609.0,89629.0,103361.0,101519.0,3068.0,3293.0,3316.0,3292.0,3266.0,3354.0,3614.0,5120.0,67429.0,119236.0,116946.0,120315.0,3062.0,3035.0,3071.0,3018.0,2986.0,3060.0,3148.0,3859.0,15004.0,99625.0,118793.0,116979.0,2738.0,2625.0,2732.0,2686.0,2689.0,2691.0,2752.0,3080.0,5471.0,13467.0,17854.0,21171.0,2745.0,2728.0,2721.0,2660.0,2662.0,2793.0,3399.0,6961.0,21554.0,44830.0,52924.0,56183.0,2902.0,2885.0,2902.0,2869.0,3129.0,5170.0,15417.0,26896.0,32163.0,34505.0,36586.0,38187.0,2726.0,2663.0,2677.0,2676.0,2713.0,2687.0,2720.0,3040.0,6452.0,14450.0,19726.0,26318.0,1959.0,1969.0,2654.0,2643.0,1914.0,1997.0,2959.0,3127.0,24649.0,23999.0
280,3225.0,3172.0,3181.0,3169.0,3154.0,3143.0,3274.0,4066.0,35717.0,114486.0,137183.0,132082.0,3440.0,3660.0,3683.0,3643.0,3614.0,3736.0,4086.0,5979.0,91404.0,157362.0,152264.0,154335.0,3301.0,3298.0,3291.0,3250.0,3241.0,3285.0,3446.0,4363.0,18969.0,137519.0,154761.0,149884.0,2891.0,2797.0,2879.0,2847.0,2813.0,2852.0,2920.0,3350.0,6314.0,15874.0,21847.0,25908.0,2896.0,2850.0,2863.0,2814.0,2833.0,2953.0,3728.0,8545.0,31792.0,64277.0,73482.0,77246.0,3115.0,3063.0,3056.0,3036.0,3370.0,5629.0,17628.0,31616.0,38803.0,42261.0,44580.0,47034.0,2879.0,2843.0,2861.0,2840.0,2859.0,2818.0,2892.0,3303.0,7373.0,16855.0,23512.0,32994.0,1969.0,1973.0,2828.0,2806.0,1915.0,2006.0,3168.0,3360.0,27938.0,26707.0
