Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s
A01,Sample X1,A,1.073,1.03,1.018,10189,10104,10010,5277,5215,5236,2585,2550,2538
A02,Sample X2,A,1.054,1.018,1.024,10363,10293,10236,5391,5367,5328,2624,2599,2585
A03,Sample X3,A,1.044,0.991,1.002,10504,10434,10384,5460,5423,5384,2663,2639,2625
A04,Sample X4,A,1.051,1.002,1.009,10614,10539,10464,5522,5477,5479,2705,2670,2644
A05,Sample X5,A,1.04,1.001,1.021,10847,10738,10741,5604,5587,5582,2728,2708,2695
A06,Sample X6,A,1.075,0.979,1.008,11000,10872,10841,5711,5667,5650,2790,2745,2734
A07,Sample X7,A,1.366,1.31,1.313,10622,10521,10496,5546,5477,5466,2681,2672,2645
A08,Sample X8,A,1.323,1.228,1.234,10796,10744,10695,5614,5577,5571,2731,2715,2689
A09,Sample X9,A,1.258,1.208,1.218,10849,10721,10689,5623,5561,5572,2728,2716,2694
A10,Sample X10,A,1.229,1.224,1.2,10910,10775,10724,5679,5614,5566,2747,2725,2710
A11,Sample X11,A,1.296,1.219,1.203,10952,10834,10724,5684,5639,5595,2774,2740,2706
A12,Sample X12,A,1.278,1.122,1.156,10920,10796,10707,5664,5598,5565,2742,2720,2708
B01,Sample X13,A,1.141,1.104,1.09,12016,11893,11856,6269,6167,6161,3040,3025,2994
B02,Sample X14,A,1.093,1.101,1.102,39032,38443,38300,20287,20020,19876,9800,9672,9613
B03,Sample X15,A,1.075,1.081,1.084,57000,56427,56345,29661,29416,29177,14328,14186,14113
