Well,Content,Group,Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 2)
Well,Content,Group,0,0,0,0
A01,Sample X1,A,1.487,4950,2583,1268
A02,Sample X2,A,1.435,5522,2872,1408
A03,Sample X3,A,1.378,5562,2909,1429
A04,Sample X4,A,1.373,5628,2935,1433
A05,Sample X5,A,1.373,5672,3003,1453
A06,Sample X6,A,1.321,5609,2923,1431
A07,Sample X7,A,1.463,5024,2598,1279
A08,Sample X8,A,1.411,5647,2947,1435
A09,Sample X9,A,1.371,6290,3264,1602
A10,Sample X10,A,1.381,6793,3558,1731
A11,Sample X11,A,1.359,7051,3690,1799
A12,Sample X12,A,1.347,7162,3735,1830
B01,Sample X13,A,1.351,5758,3004,1463
B02,Sample X14,A,1.283,24629,12768,6234
B03,Sample X15,A,1.266,29048,15097,7313
B04,Sample X16,A,1.242,33200,17268,8426
B05,Sample X17,A,1.224,35425,18385,8956
B06,Sample X18,A,1.195,34660,17996,8764
B07,Sample X19,A,1.289,4420,2293,1116
B08,Sample X20,A,1.114,5299,2779,1347
B09,Sample X21,A,1.096,7034,3667,1801
B10,Sample X22,A,1.118,8887,4618,2257
B11,Sample X23,A,1.03,8978,4668,2266
B12,Sample X24,A,1.037,10289,5374,2606
C01,Sample X25,A,1.362,6694,3498,1701
C02,Sample X26,A,1.3,59438,30909,14978
C03,Sample X27,A,1.267,91173,47214,22919
C04,Sample X28,A,1.253,105364,54942,26604
C05,Sample X29,A,1.265,112199,58362,28275
C06,Sample X30,A,1.22,122814,64164,31212
C07,Sample X31,A,1.333,4474,2315,1134
C08,Sample X32,A,1.266,9715,5052,2445
C09,Sample X33,A,1.202,17049,8882,4298
C10,Sample X34,A,1.188,21579,11170,5396
C11,Sample X35,A,1.113,23642,12230,5919
C12,Sample X36,A,1.079,26436,13761,6727
D01,Sample X37,A,1.407,7436,3867,1894
D02,Sample X38,A,1.382,88736,46314,22544
D03,Sample X39,A,1.364,153013,80671,39050
D04,Sample X40,A,1.315,180797,94967,46074
D05,Sample X41,A,1.272,186059,97478,47467
D06,Sample X42,A,1.24,186401,98158,47575
D07,Sample X43,A,1.319,4494,2326,1136
D08,Sample X44,A,1.251,12260,6390,3088
D09,Sample X45,A,1.216,22030,11424,5501
D10,Sample X46,A,1.182,29831,15524,7455
D11,Sample X47,A,1.151,35212,18293,8837
D12,Sample X48,A,1.094,37468,19595,9546
E01,Sample X49,A,1.255,6502,3386,1655
E02,Sample X50,A,1.281,91492,47869,23265
E03,Sample X51,A,1.293,136910,71360,34845
E04,Sample X52,A,1.194,161628,84577,41235
E05,Sample X53,A,1.22,175918,92281,44931
E06,Sample X54,A,1.166,177379,93258,45114
E07,Sample X55,A,1.338,4552,2381,1146
E08,Sample X56,A,1.288,14809,7687,3732
E09,Sample X57,A,1.265,26701,13868,6715
E10,Sample X58,A,1.21,34407,17854,8659
E11,Sample X59,A,1.208,41158,21373,10331
E12,Sample X60,A,1.173,47543,24830,12219
F01,Sample X61,A,1.365,7562,3927,1917
F02,Sample X62,A,1.343,114796,59795,29406
F03,Sample X63,A,1.341,192464,101416,49612
F04,Sample X64,A,1.292,222711,117354,57588
F05,Sample X65,A,1.267,230196,121219,59454
F06,Sample X66,A,1.257,243750,129068,63336
F07,Sample X67,A,1.554,5239,2725,1319
F08,Sample X68,A,1.534,33172,17272,8402
F09,Sample X69,A,1.58,60120,31323,15196
F10,Sample X70,A,1.593,81963,42696,20806
F11,Sample X71,A,1.523,88749,46225,22480
F12,Sample X72,A,1.368,84593,44287,21725
H03,Blank B,A,0.046,2600,1364,663
H04,Blank B,A,0.048,2612,1361,665
H05,Negative control N,A,1.578,4339,2244,1097
H06,Negative control N,A,1.897,4735,2467,1198
H07,Blank B,B,0.049,2613,1362,660
H08,Blank B,B,0.048,2613,1358,665
H09,Negative control N,B,2.081,5153,2669,1299
H10,Negative control N,B,1.866,4938,2576,1250
H11,Positive control P,B,2.004,119077,62293,30416
H12,Positive control P,B,1.849,122684,63839,31386
