Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.53,1.548,3970,4003,2044,2073,1000,1010
A02,Sample X2,A,1.474,1.501,3924,3987,2025,2058,987,1006
A03,Sample X3,A,1.447,1.465,3870,3934,1998,2036,971,996
A04,Sample X4,A,1.401,1.444,3822,3915,1980,2007,964,981
A05,Sample X5,A,1.385,1.437,3784,3849,1956,1990,946,968
A06,Sample X6,A,1.341,1.395,3781,3820,1929,1967,931,957
A07,Sample X7,A,1.513,1.543,3989,4050,2058,2088,996,1011
A08,Sample X8,A,1.455,1.492,4530,4646,2359,2405,1140,1162
A09,Sample X9,A,1.421,1.47,4980,5057,2558,2618,1232,1274
A10,Sample X10,A,1.413,1.461,5391,5561,2776,2885,1345,1383
A11,Sample X11,A,1.381,1.439,5543,5726,2859,2933,1375,1423
A12,Sample X12,A,1.322,1.373,5319,5481,2754,2826,1324,1364
B01,Sample X13,A,1.538,1.567,4125,4178,2157,2193,1038,1066
B02,Sample X14,A,1.52,1.517,4639,4739,2420,2454,1169,1196
B03,Sample X15,A,1.488,1.484,4556,4666,2358,2411,1140,1173
B04,Sample X16,A,1.489,1.462,4513,4643,2350,2408,1140,1165
B05,Sample X17,A,1.468,1.438,4401,4497,2274,2322,1109,1134
B06,Sample X18,A,1.428,1.41,4288,4435,2219,2291,1075,1103
B07,Sample X19,A,1.618,1.598,4057,4167,2111,2147,1021,1049
B08,Sample X20,A,1.594,1.578,5183,5339,2675,2744,1293,1332
B09,Sample X21,A,1.558,1.544,6240,6429,3216,3322,1557,1596
B10,Sample X22,A,1.553,1.54,7093,7314,3652,3797,1765,1822
B11,Sample X23,A,1.521,1.519,7783,8014,3992,4145,1924,1997
B12,Sample X24,A,1.408,1.452,7262,7409,3730,3849,1798,1862
C01,Sample X25,A,1.564,1.6,4236,4296,2194,2228,1055,1084
C02,Sample X26,A,1.548,1.548,5182,5299,2665,2737,1291,1312
C03,Sample X27,A,1.531,1.536,5087,5203,2622,2691,1271,1309
C04,Sample X28,A,1.497,1.495,5030,5165,2579,2676,1261,1289
C05,Sample X29,A,1.486,1.474,4972,5071,2554,2623,1244,1272
C06,Sample X30,A,1.456,1.433,4932,5042,2521,2602,1238,1260
C07,Sample X31,A,1.652,1.619,4144,4181,2121,2153,1037,1046
C08,Sample X32,A,1.591,1.562,5484,5608,2835,2895,1369,1405
C09,Sample X33,A,1.579,1.546,7030,7207,3599,3712,1758,1807
C10,Sample X34,A,1.554,1.538,8303,8583,4289,4407,2070,2152
C11,Sample X35,A,1.513,1.512,9258,9537,4766,4931,2313,2381
C12,Sample X36,A,1.385,1.447,24536,25223,12607,13008,6048,6285
D01,Sample X37,A,1.516,1.556,4351,4458,2268,2291,1095,1115
D02,Sample X38,A,1.507,1.514,13162,13689,6779,7045,3280,3397
D03,Sample X39,A,1.511,1.51,15198,15791,7804,8080,3760,3922
D04,Sample X40,A,1.499,1.484,15880,16617,8157,8526,3944,4090
D05,Sample X41,A,1.467,1.443,16371,17075,8393,8751,4064,4240
D06,Sample X42,A,1.435,1.424,18938,19761,9728,10113,4681,4880
D07,Sample X43,A,1.608,1.58,4066,4148,2106,2149,1024,1040
D08,Sample X44,A,1.559,1.526,18874,19571,9714,10110,4683,4837
