Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.06,0.99,3608,3561,1889,1854,929,897
A02,Sample X2,A,1.065,1.027,3573,3535,1861,1847,912,898
A03,Sample X3,A,1.06,0.993,3515,3481,1841,1812,890,885
A04,Sample X4,A,1.065,1.015,3564,3521,1853,1823,897,891
A05,Sample X5,A,1.049,0.998,3503,3466,1826,1809,894,882
A06,Sample X6,A,1.028,0.984,3461,3424,1808,1780,877,872
A07,Sample X7,A,1.241,1.196,4014,3985,2094,2074,1022,1008
A08,Sample X8,A,1.229,1.189,4063,4067,2114,2109,1032,1021
A09,Sample X9,A,1.21,1.185,4019,4025,2102,2083,1023,1012
A10,Sample X10,A,1.202,1.157,3997,4004,2084,2051,1025,1006
A11,Sample X11,A,1.198,1.179,3989,3991,2099,2076,1006,1011
A12,Sample X12,A,1.179,1.142,3989,3932,2088,2051,1017,1009
B01,Sample X13,A,1.26,1.221,4085,4059,2141,2105,1041,1030
B02,Sample X14,A,1.238,1.248,4600,4569,2377,2365,1157,1159
B03,Sample X15,A,1.241,1.249,5051,5024,2643,2627,1286,1276
B04,Sample X16,A,1.24,1.234,5393,5362,2819,2800,1365,1355
B05,Sample X17,A,1.225,1.238,5285,5239,2766,2735,1342,1329
B06,Sample X18,A,1.228,1.232,5206,5197,2704,2680,1318,1302
B07,Sample X19,A,1.134,1.148,3670,3650,1913,1901,931,920
B08,Sample X20,A,1.128,1.141,4112,4113,2165,2130,1050,1034
B09,Sample X21,A,1.135,1.127,4437,4408,2291,2281,1114,1109
B10,Sample X22,A,1.115,1.115,4731,4672,2449,2434,1199,1180
B11,Sample X23,A,1.072,1.088,4690,4664,2423,2407,1175,1166
B12,Sample X24,A,1.061,1.018,3521,3514,1837,1824,900,888
C01,Sample X25,A,1.16,1.132,3814,3746,1975,1957,969,951
C02,Sample X26,A,1.157,1.144,3869,3815,2023,1996,976,972
C03,Sample X27,A,1.153,1.151,3756,3766,1950,1942,954,941
C04,Sample X28,A,1.174,1.171,3791,3802,1988,1979,960,955
C05,Sample X29,A,1.163,1.16,3751,3735,1938,1941,945,940
C06,Sample X30,A,1.156,1.118,3657,3605,1888,1893,933,915
C07,Sample X31,A,1.193,1.17,3734,3721,1933,1933,946,936
C08,Sample X32,A,1.184,1.16,3773,3766,1958,1956,955,947
C09,Sample X33,A,1.145,1.166,3732,3760,1920,1937,948,947
C10,Sample X34,A,1.141,1.138,3739,3734,1924,1927,939,934
C11,Sample X35,A,1.101,1.106,3726,3692,1935,1919,937,934
C12,Sample X36,A,1.091,1.046,11422,11133,5929,5781,2899,2814
D01,Sample X37,A,1.173,1.118,3792,3768,1981,1952,960,944
D02,Sample X38,A,1.143,1.166,4082,4062,2133,2115,1033,1029
D03,Sample X39,A,1.1,1.087,3730,3728,1925,1936,942,940
D04,Sample X40,A,1.151,1.159,4370,4352,2285,2254,1109,1105
D05,Sample X41,A,1.147,1.081,4309,4325,2260,2246,1088,1088
D06,Sample X42,A,1.124,1.085,9714,9639,5076,5039,2492,2445
D07,Sample X43,A,1.196,1.152,4039,4029,2121,2096,1028,1023
D08,Sample X44,A,1.177,1.162,18538,18495,9682,9576,4742,4647
D09,Sample X45,A,1.162,1.153,26228,25999,13621,13465,6658,6550
D10,Sample X46,A,1.144,1.128,33529,33205,17436,17289,8519,8344
D11,Sample X47,A,1.11,1.132,37099,36655,19324,18984,9370,9220
D12,Sample X48,A,1.12,1.059,46236,45362,24088,23463,11783,11361
E01,Sample X49,A,1.142,1.097,3757,3701,1965,1943,952,937
E02,Sample X50,A,1.132,1.161,8957,8825,4662,4603,2275,2226
E03,Sample X51,A,1.152,1.142,16448,16237,8581,8433,4164,4106
E04,Sample X52,A,1.138,1.138,20208,19999,10524,10376,5145,5042
E05,Sample X53,A,1.109,1.14,21682,21524,11244,11222,5512,5427
E06,Sample X54,A,1.099,1.119,27807,27686,14460,14348,7084,6955
E07,Sample X55,A,1.217,1.232,4366,4320,2277,2246,1110,1093
E08,Sample X56,A,1.213,1.217,25770,25543,13460,13144,6562,6420
E09,Sample X57,A,1.201,1.216,47904,47424,24942,24561,12206,11960
E10,Sample X58,A,1.187,1.19,51102,50342,26624,26178,12997,12704
E11,Sample X59,A,1.16,1.193,55844,54685,29073,28473,14169,13884
E12,Sample X60,A,1.163,1.121,78308,76073,40771,39793,19892,19245
F01,Sample X61,A,1.152,1.059,4022,3956,2100,2068,1017,995
F02,Sample X62,A,1.148,1.095,27770,27207,14448,14093,7058,6874
F03,Sample X63,A,1.166,1.118,68446,67656,35761,35149,17464,17101
F04,Sample X64,A,1.138,1.091,107245,106058,56066,55154,27409,26869
F05,Sample X65,A,1.13,1.07,117112,116220,61244,60347,30008,29313
F06,Sample X66,A,1.125,1.053,119347,118283,62504,61361,30535,29896
F07,Sample X67,A,1.139,1.098,4011,3995,2087,2080,1015,1001
F08,Sample X68,A,1.137,1.076,27159,26623,14188,13805,6954,6695
F09,Sample X69,A,1.127,1.058,40701,39504,21102,20507,10334,9958
F10,Sample X70,A,1.099,1.03,59297,58041,30949,30146,15231,14642
F11,Sample X71,A,1.085,1.046,66427,64580,34658,33631,16986,16329
F12,Sample X72,A,1.105,1.009,83082,80536,43387,41950,21167,20305
H03,Blank B,A,0.051,0.05,2089,2052,1085,1065,533,522
H04,Blank B,A,0.051,0.051,2095,2055,1095,1067,532,527
H05,Negative control N,A,1.216,1.183,3670,3627,1907,1887,920,911
H06,Negative control N,A,1.232,1.186,3739,3719,1944,1927,954,936
H07,Blank B,B,0.053,0.052,2097,2073,1095,1071,531,521
H08,Blank B,B,0.05,0.05,2102,2078,1084,1078,539,521
H09,Negative control N,B,1.222,1.163,4098,4051,2121,2099,1036,1033
H10,Negative control N,B,1.291,1.208,4065,4013,2123,2090,1025,1019
H11,Positive control P,B,1.243,1.193,51217,49298,26602,25667,12967,12489
H12,Positive control P,B,1.172,1.125,49180,47402,25664,24657,12589,12013
