Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 4),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 3),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2),Raw Data (485 2)
Well,Content,Group,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h 
A01,Sample X1,A,0.145,0.147,0.147,0.153,0.164,0.18,0.209,0.265,0.35,0.435,0.536,0.634,0.768,0.915,0.987,1.043,1.095,1.149,1.198,1.243,1.283,1.302,1.335,1.357,1.355,1.374,1.386,1.4,1.403,1.411,1.414,1.42,1.422,1.425,1.447,1.439,1.434,1.431,1.42,1.428,1.426,1.423,1.427,1.418,1.426,1.436,1.408,1.405,1.399,1.4,1.391,1.39,1.392,1.374,1.385,1.376,1.365,1.361,1.358,1.352,1.342,1.346,1.333,1.332,1.325,1.316,1.312,1.461,1.307,1.293,1.306,1.283,1.286,2474,2420,2384,2400,2413,2436,2427,2441,2490,2543,2584,2715,2859,3026,3183,3352,3524,3706,3877,4056,4208,4330,4543,4632,4712,4793,4933,4982,5060,5144,5226,5242,5339,5382,5410,5496,5583,5646,5660,5709,5763,5820,5818,5872,5936,5986,6042,6060,6130,6177,6217,6255,6304,6390,6465,6500,6531,6630,6682,6710,6775,6837,6836,6911,6925,7020,7074,7116,7198,7195,7218,7296,7337,1272,1241,1234,1232,1241,1239,1238,1252,1272,1298,1340,1386,1466,1542,1634,1719,1806,1898,1990,2070,2155,2226,2316,2362,2408,2462,2516,2571,2582,2637,2655,2695,2733,2782,2792,2828,2850,2886,2900,2926,2944,2955,2984,3002,3020,3052,3080,3113,3118,3147,3194,3204,3253,3255,3286,3324,3386,3374,3401,3441,3459,3493,3504,3538,3575,3580,3606,3640,3663,3688,3713,3731,3749,607,595,595,590,592,590,591,602,602,630,636,669,692,736,782,816,856,904,947,987,1032,1066,1095,1129,1148,1172,1200,1218,1240,1255,1267,1291,1312,1314,1334,1357,1352,1370,1384,1396,1418,1416,1430,1438,1447,1462,1467,1489,1498,1505,1516,1535,1554,1566,1577,1584,1602,1616,1627,1644,1656,1656,1682,1688,1690,1705,1717,1744,1748,1760,1775,1779,1792
A02,Sample X2,A,0.142,0.144,0.144,0.151,0.16,0.175,0.203,0.259,0.342,0.429,0.521,0.626,0.741,0.899,0.986,1.042,1.092,1.154,1.197,1.249,1.289,1.314,1.341,1.368,1.37,1.387,1.396,1.411,1.419,1.419,1.425,1.428,1.423,1.432,1.432,1.443,1.442,1.434,1.443,1.449,1.424,1.424,1.422,1.424,1.418,1.417,1.412,1.415,1.405,1.564,1.396,1.394,1.386,1.379,1.38,1.37,1.367,1.368,1.36,1.353,1.358,1.354,1.345,1.423,1.348,1.333,1.327,1.328,1.323,1.37,1.312,1.312,1.3,2484,2429,2432,2406,2427,2444,2414,2476,2502,2523,2600,2708,2842,2982,3181,3334,3466,3672,3846,3994,4176,4361,4467,4580,4701,4779,4873,4918,5003,5074,5155,5229,5268,5342,5370,5439,5477,5532,5552,5605,5665,5723,5764,5768,5811,5902,5914,5947,6020,6085,6137,6144,6232,6269,6312,6377,6434,6498,6512,6585,6605,6675,6728,6765,6811,6828,6864,6939,6986,7006,7078,7093,7155,1278,1240,1249,1238,1230,1252,1245,1260,1280,1300,1332,1387,1463,1530,1623,1702,1789,1878,1955,2058,2128,2232,2280,2334,2384,2445,2505,2526,2566,2605,2645,2674,2690,2736,2779,2796,2802,2839,2860,2871,2910,2915,2954,2951,2971,2996,3035,3063,3062,3106,3114,3158,3171,3205,3237,3258,3299,3334,3344,3364,3424,3409,3414,3483,3498,3501,3537,3570,3584,3590,3625,3634,3647,618,602,592,590,595,593,597,595,606,619,632,666,687,736,783,815,851,892,934,970,1014,1063,1090,1118,1144,1180,1196,1206,1234,1256,1256,1273,1298,1309,1317,1324,1348,1344,1370,1378,1393,1392,1396,1419,1433,1437,1445,1459,1478,1476,1487,1508,1526,1528,1547,1560,1571,1599,1600,1604,1620,1627,1637,1658,1661,1678,1687,1689,1708,1707,1730,1749,1771
A03,Sample X3,A,0.141,0.147,0.142,0.148,0.158,0.175,0.202,0.257,0.344,0.43,0.524,0.62,0.715,0.861,0.956,1.029,1.075,1.125,1.184,1.226,1.273,1.299,1.331,1.348,1.337,1.355,1.373,1.389,1.384,1.394,1.408,1.416,1.411,1.426,1.426,1.44,1.426,1.42,1.42,1.418,1.416,1.413,1.41,1.409,1.412,1.403,1.402,1.406,1.399,1.4,1.397,1.388,1.392,1.383,1.38,1.381,1.368,1.37,1.365,1.357,1.347,1.352,1.337,1.329,1.333,1.311,1.336,1.314,1.302,1.295,1.293,1.3,1.303,2498,2453,2434,2406,2415,2418,2454,2465,2473,2538,2617,2718,2857,2994,3152,3293,3444,3633,3811,3961,4112,4288,4402,4535,4656,4724,4812,4875,4986,5058,5126,5172,5211,5318,5351,5398,5474,5490,5574,5612,5638,5681,5706,5738,5845,5871,5870,5915,6029,6064,6137,6163,6228,6288,6345,6379,6449,6509,6577,6649,6695,6680,6709,6834,6886,6894,6947,6997,7035,7075,7114,7184,7213,1279,1252,1233,1241,1234,1237,1250,1260,1274,1304,1332,1398,1440,1525,1607,1683,1773,1851,1930,2038,2116,2198,2252,2334,2381,2415,2486,2516,2559,2598,2612,2660,2675,2724,2745,2788,2794,2805,2850,2860,2900,2908,2930,2952,2990,2993,3040,3026,3066,3090,3125,3149,3206,3210,3252,3286,3320,3347,3378,3361,3410,3430,3476,3485,3507,3534,3548,3581,3614,3624,3640,3682,3692,610,600,594,594,584,591,605,594,609,624,643,662,689,731,774,800,844,880,919,968,1005,1050,1082,1111,1132,1162,1184,1204,1218,1240,1261,1266,1289,1302,1314,1320,1335,1352,1374,1370,1374,1388,1408,1412,1412,1432,1447,1460,1466,1481,1496,1518,1524,1537,1561,1566,1581,1598,1608,1618,1624,1651,1662,1670,1677,1692,1692,1704,1715,1745,1752,1751,1761
A04,Sample X4,A,0.14,0.141,0.14,0.145,0.157,0.173,0.201,0.258,0.344,0.427,0.515,0.599,0.691,0.841,0.931,1.02,1.066,1.119,1.163,1.225,1.24,1.278,1.327,1.314,1.325,1.332,1.364,1.358,1.382,1.391,1.376,1.405,1.416,1.407,1.424,1.392,1.39,1.405,1.403,1.399,1.399,1.38,1.373,1.369,1.4,1.4,1.373,1.377,1.358,1.359,1.347,1.346,1.346,1.337,1.333,1.33,1.314,1.308,1.302,1.296,1.292,1.29,1.314,1.305,1.296,1.295,1.287,1.283,1.277,1.282,1.281,1.279,1.326,2489,2409,2400,2384,2429,2420,2430,2440,2487,2563,2606,2687,2832,2944,3115,3272,3439,3549,3719,3905,4095,4234,4360,4466,4603,4678,4780,4836,4938,5001,5105,5150,5200,5290,5322,5395,5456,5510,5568,5619,5641,5680,5696,5758,5811,5844,5900,5988,6032,6124,6142,6173,6228,6336,6358,6422,6536,6561,6607,6675,6696,6800,6823,6920,6926,6971,7002,7048,7116,7128,7188,7216,7222,1272,1252,1233,1244,1233,1237,1237,1248,1288,1300,1342,1391,1439,1512,1600,1682,1748,1829,1902,1988,2071,2174,2258,2288,2340,2395,2446,2494,2532,2575,2619,2632,2665,2698,2751,2746,2775,2834,2848,2870,2896,2915,2932,2940,2967,2986,3050,3063,3068,3123,3126,3170,3200,3248,3270,3298,3328,3365,3389,3408,3434,3455,3512,3488,3526,3564,3562,3626,3618,3647,3655,3695,3708,610,593,591,588,591,596,595,599,604,617,643,652,690,721,760,784,828,863,905,943,988,1028,1058,1094,1127,1154,1172,1193,1210,1230,1244,1273,1284,1290,1316,1320,1334,1344,1359,1358,1376,1390,1400,1413,1422,1429,1454,1460,1476,1494,1489,1519,1531,1543,1554,1572,1592,1602,1628,1625,1648,1649,1674,1676,1698,1697,1708,1715,1726,1741,1747,1770,1780
A05,Sample X5,A,0.142,0.142,0.141,0.145,0.156,0.169,0.198,0.253,0.334,0.421,0.503,0.582,0.666,0.788,0.908,1.008,1.045,1.102,1.152,1.21,1.24,1.266,1.329,1.309,1.315,1.307,1.347,1.343,1.324,1.364,1.349,1.359,1.353,1.346,1.331,1.316,1.318,1.332,1.312,1.328,1.316,1.319,1.299,1.271,1.28,1.264,1.284,1.295,1.278,1.278,1.277,1.269,1.245,1.247,1.232,1.24,1.218,1.204,1.199,1.217,1.198,1.197,1.179,1.154,1.16,1.17,1.146,1.137,1.117,1.129,1.105,1.119,1.107,2535,2448,2426,2439,2416,2428,2454,2463,2514,2547,2603,2701,2834,2928,3097,3230,3405,3515,3707,3875,4040,4174,4354,4455,4545,4600,4747,4800,4863,4934,4984,5074,5141,5233,5280,5278,5384,5462,5438,5550,5580,5607,5604,5652,5721,5787,5793,5898,5946,5984,6066,6127,6160,6258,6328,6341,6432,6488,6552,6602,6604,6718,6697,6708,6800,6821,6888,6945,6922,6998,7061,7080,7138,1302,1240,1237,1241,1250,1240,1245,1254,1270,1308,1329,1399,1437,1510,1578,1670,1744,1814,1910,1977,2066,2150,2232,2288,2332,2383,2420,2468,2500,2551,2579,2613,2640,2678,2684,2709,2748,2776,2798,2827,2832,2854,2901,2912,2946,2947,2991,3019,3029,3081,3101,3131,3164,3200,3233,3257,3311,3333,3343,3374,3364,3416,3453,3463,3469,3501,3531,3530,3565,3581,3624,3640,3634,622,604,594,595,592,585,601,607,616,624,642,660,699,726,752,790,822,860,900,947,987,1028,1059,1086,1118,1142,1153,1179,1190,1220,1240,1253,1266,1288,1281,1295,1312,1319,1338,1348,1368,1377,1388,1398,1399,1404,1420,1433,1458,1467,1485,1492,1517,1530,1540,1551,1568,1586,1598,1610,1618,1628,1637,1658,1656,1664,1678,1700,1709,1714,1724,1734,1743
A06,Sample X6,A,0.136,0.139,0.139,0.146,0.156,0.172,0.2,0.261,0.342,0.415,0.493,0.562,0.63,0.751,0.866,0.953,0.998,1.042,1.081,1.134,1.168,1.186,1.228,1.237,1.239,1.219,1.231,1.223,1.231,1.231,1.214,1.211,1.198,1.199,1.172,1.152,1.14,1.134,1.113,1.111,1.088,1.082,1.063,1.05,1.03,1.022,1.017,0.997,1.001,0.989,0.962,0.955,0.951,0.935,0.928,0.917,0.904,0.892,0.881,0.868,0.868,0.857,0.834,0.826,0.826,0.825,0.814,0.812,0.788,0.781,0.777,0.766,0.769,2503,2448,2427,2436,2431,2441,2461,2469,2528,2561,2648,2712,2828,2943,3084,3254,3384,3522,3701,3842,4005,4154,4316,4404,4524,4647,4698,4780,4850,4931,4986,5032,5104,5098,5187,5214,5276,5300,5374,5399,5472,5510,5521,5562,5585,5615,5678,5772,5751,5804,5876,5906,5949,6027,6032,6131,6172,6247,6262,6273,6288,6351,6429,6480,6460,6562,6589,6614,6621,6674,6730,6736,6810,1290,1262,1251,1239,1258,1247,1256,1264,1285,1303,1348,1396,1427,1513,1578,1646,1726,1813,1887,1960,2048,2138,2201,2271,2306,2366,2405,2444,2467,2522,2545,2577,2612,2624,2652,2680,2702,2696,2747,2768,2776,2797,2809,2840,2860,2864,2902,2914,2956,2978,2969,3030,3050,3087,3102,3121,3149,3178,3215,3212,3246,3265,3291,3301,3314,3339,3342,3386,3381,3424,3451,3446,3462,622,599,596,597,597,601,597,600,612,623,646,658,688,718,750,784,817,852,900,939,970,1012,1038,1078,1106,1127,1142,1168,1190,1208,1211,1226,1248,1251,1275,1288,1287,1305,1308,1324,1323,1338,1347,1348,1372,1382,1387,1395,1406,1425,1425,1442,1454,1469,1483,1489,1508,1513,1518,1535,1537,1559,1572,1580,1589,1589,1598,1605,1630,1631,1636,1634,1652
A07,Sample X37,A,0.164,0.148,0.142,0.153,0.164,0.175,0.205,0.267,0.335,0.42,0.507,0.605,0.704,0.872,0.955,1.003,1.066,1.128,1.178,1.223,1.294,1.294,1.328,1.35,1.369,1.369,1.389,1.4,1.404,1.405,1.398,1.407,1.412,1.411,1.416,1.419,1.413,1.409,1.409,1.405,1.402,1.402,1.39,1.392,1.393,1.406,1.396,1.387,1.384,1.377,1.376,1.361,1.36,1.356,1.347,1.346,1.337,1.331,1.322,1.322,1.312,1.305,1.307,1.292,1.295,1.273,1.284,1.266,1.263,1.257,1.25,1.264,1.24,2531,2450,2446,2418,2421,2442,2462,2463,2509,2544,2596,2723,2852,2975,3172,3321,3462,3659,3806,3985,4138,4312,4459,4565,4659,4784,4887,4968,5017,5090,5144,5236,5262,5320,5395,5414,5544,5545,5547,5612,5654,5703,5745,5778,5776,5847,5844,5909,5978,6054,6106,6122,6214,6188,6288,6332,6424,6482,6454,6517,6553,6626,6668,6685,6757,6790,6822,6900,6898,6966,7015,7054,7112,1288,1258,1251,1244,1252,1266,1251,1259,1282,1302,1331,1397,1456,1541,1623,1702,1769,1862,1969,2041,2135,2212,2286,2340,2393,2465,2496,2552,2569,2625,2660,2688,2700,2722,2754,2791,2808,2836,2862,2870,2922,2930,2927,2957,2967,3006,3014,3030,3058,3102,3114,3139,3175,3204,3222,3253,3281,3294,3321,3353,3360,3394,3414,3410,3448,3487,3494,3514,3543,3562,3584,3581,3612,625,604,603,595,597,597,603,612,612,624,644,666,692,727,775,807,843,887,934,969,1011,1042,1082,1113,1142,1162,1193,1217,1230,1247,1267,1278,1291,1308,1313,1326,1342,1356,1363,1376,1380,1395,1396,1407,1422,1427,1436,1444,1461,1470,1478,1494,1502,1515,1537,1552,1565,1570,1585,1598,1602,1620,1626,1640,1639,1648,1662,1690,1686,1696,1700,1721,1718
A08,Sample X38,A,0.136,0.14,0.14,0.146,0.156,0.171,0.202,0.253,0.33,0.418,0.496,0.604,0.687,0.847,0.954,0.994,1.056,1.12,1.169,1.219,1.264,1.287,1.315,1.345,1.362,1.358,1.379,1.383,1.393,1.402,1.4,1.396,1.4,1.404,1.407,1.401,1.404,1.394,1.401,1.393,1.397,1.392,1.387,1.391,1.38,1.383,1.376,1.37,1.365,1.364,1.351,1.35,1.342,1.334,1.336,1.33,1.324,1.31,1.312,1.311,1.296,1.295,1.292,1.283,1.272,1.263,1.265,1.255,1.249,1.246,1.232,1.229,1.22,2508,2467,2440,2415,2442,2442,2447,2462,2522,2554,2623,2743,2853,3022,3249,3380,3562,3754,3964,4105,4296,4448,4616,4737,4832,4915,5022,5093,5200,5239,5300,5374,5413,5500,5538,5591,5611,5693,5725,5782,5820,5861,5875,5910,5964,6021,6019,6091,6162,6156,6232,6290,6332,6372,6402,6539,6540,6607,6657,6695,6723,6782,6832,6854,6884,6917,6990,6990,7054,7128,7162,7242,7211,1292,1269,1247,1242,1264,1256,1265,1266,1299,1316,1336,1392,1471,1542,1660,1738,1835,1916,2004,2126,2222,2284,2335,2419,2480,2536,2580,2615,2653,2681,2728,2755,2791,2810,2855,2867,2864,2893,2945,2958,2985,2990,3008,3032,3032,3062,3097,3122,3123,3185,3166,3198,3258,3264,3301,3318,3355,3386,3394,3416,3458,3475,3497,3511,3540,3558,3582,3612,3643,3635,3666,3684,3681,624,601,595,594,600,606,596,602,612,625,639,666,700,736,784,826,866,910,962,1010,1056,1088,1119,1154,1176,1208,1230,1245,1273,1292,1298,1306,1339,1346,1349,1369,1367,1393,1393,1414,1426,1432,1441,1457,1458,1465,1472,1490,1505,1508,1525,1543,1557,1566,1582,1581,1594,1616,1616,1630,1654,1649,1670,1679,1690,1702,1692,1718,1724,1743,1747,1754,1772
A09,Sample X39,A,0.142,0.139,0.14,0.145,0.155,0.169,0.197,0.247,0.324,0.417,0.478,0.585,0.651,0.79,0.921,0.984,1.034,1.096,1.146,1.203,1.256,1.275,1.32,1.344,1.352,1.349,1.369,1.378,1.395,1.396,1.391,1.4,1.406,1.408,1.418,1.415,1.423,1.42,1.419,1.411,1.424,1.406,1.4,1.401,1.404,1.401,1.404,1.391,1.397,1.39,1.387,1.378,1.37,1.37,1.36,1.351,1.34,1.343,1.334,1.324,1.313,1.312,1.302,1.297,1.291,1.286,1.274,1.266,1.266,1.265,1.254,1.258,1.248,2540,2445,2437,2428,2413,2445,2442,2465,2511,2535,2624,2711,2860,3016,3197,3412,3590,3828,3971,4212,4404,4499,4698,4858,4992,5078,5192,5311,5342,5427,5449,5598,5626,5711,5754,5811,5835,5910,5937,5994,6071,6085,6127,6179,6188,6251,6260,6327,6352,6469,6483,6515,6588,6640,6731,6773,6831,6915,6956,7011,7003,7072,7137,7164,7218,7217,7297,7342,7401,7438,7419,7490,7504,1292,1263,1249,1252,1237,1257,1246,1260,1298,1304,1338,1394,1460,1535,1640,1735,1832,1925,2046,2144,2231,2329,2413,2485,2550,2596,2650,2699,2721,2781,2818,2832,2895,2918,2918,2964,2979,3035,3044,3068,3090,3117,3098,3150,3176,3164,3220,3233,3265,3297,3327,3347,3373,3408,3446,3489,3489,3535,3551,3566,3610,3633,3629,3682,3686,3712,3746,3749,3760,3783,3821,3815,3851,616,592,592,593,596,594,608,608,616,620,638,665,698,737,778,817,878,920,971,1024,1068,1115,1144,1184,1213,1240,1254,1297,1314,1330,1341,1353,1380,1398,1401,1424,1434,1442,1460,1468,1480,1487,1497,1492,1511,1520,1528,1549,1553,1570,1584,1605,1604,1621,1642,1659,1668,1692,1710,1709,1718,1741,1742,1752,1757,1757,1772,1787,1792,1804,1810,1822,1838
