Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
,Time,,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h 
A01,Sample X1,A,0.128,0.142,0.143,0.149,0.162,0.189,0.225,0.292,0.384,0.467,0.567,0.665,0.81,0.95,1.031,1.075,1.128,1.176,1.22,1.264,1.297,1.313,1.338,1.364,1.386,1.403,1.403,1.408,1.414,1.41,1.417,1.428,1.421,1.431,1.434,1.429,1.45,1.434,1.438,1.443,1.459,1.454,1.472,1.428,1.439,1.476,1.457,1.454,1.45,1.416,1.423,1.455,1.438,1.43,1.4,1.412,1.392,1.375,1.393,1.38,1.386,1.368,1.367,1.373,1.359,1.36,1.359,1.344,1.323,1.324,2205,2157,2151,2135,2153,2183,2213,2257,2284,2356,2442,2541,2716,2896,3084,3224,3410,3614,3782,3942,4112,4262,4376,4460,4613,4688,4757,4828,4913,4978,5039,5097,5164,5202,5282,5351,5378,5409,5487,5526,5619,5686,5738,5738,5821,5862,5927,5984,6059,6089,6134,6212,6259,6303,6336,6419,6430,6517,6579,6628,6673,6726,6752,6815,6875,6901,6943,6973,7041,7064,1165,1114,1111,1114,1132,1140,1140,1156,1189,1221,1274,1335,1395,1501,1605,1690,1772,1849,1969,2050,2133,2207,2278,2321,2379,2426,2484,2502,2549,2571,2612,2622,2670,2718,2745,2772,2802,2820,2859,2869,2903,2936,2965,2985,3028,3047,3073,3131,3155,3150,3200,3212,3254,3258,3295,3328,3357,3384,3400,3419,3467,3488,3523,3529,3562,3584,3605,3624,3674,3667,574,547,545,549,554,560,562,571,583,597,617,656,683,730,778,824,866,903,954,997,1033,1073,1103,1133,1165,1191,1208,1220,1248,1258,1274,1291,1311,1324,1335,1352,1368,1377,1398,1402,1422,1444,1453,1457,1479,1491,1503,1518,1526,1543,1561,1579,1587,1592,1615,1624,1643,1650,1664,1678,1695,1706,1722,1728,1745,1749,1761,1768,1787,1800
A02,Sample X2,A,0.145,0.144,0.147,0.153,0.166,0.191,0.234,0.301,0.396,0.49,0.583,0.686,0.826,0.97,1.046,1.089,1.143,1.198,1.24,1.285,1.317,1.336,1.375,1.388,1.395,1.415,1.419,1.423,1.431,1.429,1.429,1.427,1.432,1.439,1.438,1.44,1.431,1.424,1.435,1.43,1.42,1.415,1.418,1.408,1.406,1.407,1.4,1.404,1.396,1.406,1.391,1.379,1.38,1.377,1.367,1.371,1.356,1.36,1.364,1.347,1.38,1.369,1.364,1.375,1.362,1.354,1.352,1.338,1.378,1.363,2224,2139,2135,2156,2157,2179,2193,2230,2308,2350,2432,2578,2707,2915,3047,3218,3368,3552,3751,3897,4076,4227,4368,4477,4518,4621,4704,4793,4863,4901,4971,5037,5056,5139,5170,5206,5290,5294,5383,5407,5446,5483,5508,5587,5639,5646,5773,5780,5850,5873,5903,5955,5984,6045,6093,6132,6211,6245,6276,6316,6375,6379,6426,6466,6559,6576,6618,6630,6702,6747,1169,1122,1112,1122,1126,1136,1140,1162,1199,1226,1286,1333,1410,1505,1602,1657,1776,1862,1943,2036,2123,2192,2259,2322,2357,2415,2440,2483,2517,2546,2581,2605,2611,2672,2668,2706,2733,2763,2782,2797,2834,2835,2890,2882,2931,2935,2974,2994,3024,3049,3066,3077,3108,3140,3152,3177,3205,3221,3253,3263,3304,3336,3353,3379,3381,3404,3440,3456,3474,3494,575,552,546,548,549,555,557,565,583,598,614,654,693,733,779,815,855,900,943,992,1026,1059,1098,1135,1153,1174,1200,1210,1227,1244,1262,1272,1289,1299,1306,1328,1331,1342,1358,1368,1374,1386,1400,1404,1429,1434,1445,1459,1471,1486,1496,1510,1516,1534,1539,1557,1567,1574,1580,1607,1613,1636,1636,1643,1651,1661,1679,1684,1690,1700
A03,Sample X3,A,0.144,0.136,0.139,0.144,0.156,0.18,0.217,0.28,0.374,0.458,0.561,0.653,0.777,0.925,1.016,1.07,1.119,1.178,1.219,1.259,1.296,1.326,1.354,1.37,1.384,1.39,1.406,1.416,1.43,1.419,1.43,1.435,1.43,1.434,1.435,1.436,1.427,1.428,1.43,1.439,1.418,1.418,1.429,1.417,1.426,1.408,1.406,1.401,1.392,1.397,1.384,1.381,1.383,1.379,1.358,1.358,1.346,1.351,1.336,1.335,1.319,1.32,1.307,1.31,1.311,1.294,1.29,1.285,1.281,1.272,2220,2125,2117,2139,2155,2148,2185,2198,2272,2324,2411,2553,2664,2823,3017,3156,3294,3480,3654,3811,3994,4155,4295,4395,4514,4587,4660,4771,4814,4920,4952,4969,5050,5110,5124,5186,5234,5301,5340,5361,5435,5489,5517,5559,5612,5631,5715,5727,5755,5834,5850,5901,5970,5980,6052,6103,6146,6152,6188,6264,6338,6344,6408,6423,6491,6509,6538,6573,6618,6643,1159,1109,1107,1113,1107,1127,1143,1151,1179,1209,1251,1324,1384,1464,1574,1649,1725,1808,1891,2003,2065,2139,2229,2296,2340,2379,2419,2461,2491,2546,2583,2590,2619,2654,2675,2690,2722,2757,2778,2795,2820,2842,2855,2887,2921,2935,2949,2983,2990,3020,3041,3071,3106,3107,3147,3150,3184,3211,3247,3249,3297,3297,3332,3351,3356,3382,3415,3407,3447,3452,577,545,543,544,549,554,557,560,587,590,614,643,676,710,762,797,834,871,927,967,1007,1051,1088,1111,1134,1160,1186,1203,1224,1231,1256,1263,1278,1296,1303,1306,1325,1343,1348,1364,1362,1378,1401,1409,1407,1425,1435,1450,1467,1468,1485,1494,1503,1513,1525,1540,1563,1560,1569,1593,1597,1608,1619,1623,1640,1643,1663,1659,1671,1685
A04,Sample X4,A,0.15,0.137,0.139,0.145,0.156,0.179,0.217,0.28,0.372,0.46,0.556,0.644,0.76,0.896,1,1.048,1.099,1.158,1.208,1.245,1.284,1.312,1.348,1.363,1.362,1.384,1.391,1.396,1.404,1.407,1.429,1.417,1.433,1.431,1.438,1.439,1.418,1.412,1.418,1.423,1.406,1.403,1.403,1.396,1.392,1.384,1.39,1.379,1.378,1.372,1.345,1.35,1.35,1.337,1.327,1.31,1.307,1.307,1.284,1.284,1.284,1.271,1.27,1.263,1.252,1.245,1.247,1.229,1.223,1.213,2240,2126,2118,2133,2128,2164,2187,2208,2259,2335,2411,2520,2642,2812,2975,3111,3267,3439,3611,3765,3971,4117,4261,4364,4485,4542,4657,4714,4792,4837,4925,4973,5037,5090,5132,5210,5265,5256,5345,5373,5418,5468,5549,5571,5595,5649,5684,5765,5798,5891,5906,5947,6012,6012,6104,6117,6193,6247,6304,6328,6326,6398,6449,6492,6516,6561,6613,6645,6716,6726,1173,1110,1110,1101,1108,1124,1135,1150,1167,1209,1257,1303,1385,1460,1539,1631,1706,1790,1868,1968,2044,2133,2221,2273,2332,2380,2404,2453,2500,2530,2566,2572,2638,2643,2669,2708,2721,2754,2765,2814,2817,2838,2876,2898,2892,2929,2957,2983,3001,3050,3059,3083,3102,3137,3170,3186,3195,3221,3289,3267,3310,3331,3359,3371,3382,3409,3430,3467,3468,3472,577,545,538,546,544,550,558,555,570,585,609,641,672,710,757,791,825,868,910,954,997,1046,1072,1099,1128,1156,1179,1197,1220,1234,1249,1271,1275,1297,1302,1315,1332,1334,1346,1354,1367,1390,1395,1408,1415,1424,1441,1449,1468,1473,1486,1503,1517,1530,1547,1545,1572,1577,1587,1600,1609,1621,1635,1644,1654,1654,1673,1688,1701,1695
A05,Sample X5,A,0.123,0.137,0.139,0.142,0.156,0.179,0.213,0.277,0.368,0.452,0.541,0.635,0.739,0.873,0.996,1.043,1.101,1.152,1.196,1.251,1.284,1.308,1.366,1.362,1.37,1.39,1.388,1.404,1.407,1.414,1.433,1.427,1.431,1.43,1.439,1.442,1.415,1.417,1.418,1.426,1.403,1.407,1.404,1.39,1.39,1.398,1.39,1.381,1.373,1.364,1.344,1.352,1.33,1.337,1.311,1.307,1.308,1.292,1.279,1.282,1.279,1.276,1.264,1.266,1.26,1.241,1.236,1.227,1.22,1.209,2196,2129,2137,2130,2138,2169,2179,2213,2259,2315,2388,2514,2634,2808,2961,3095,3268,3409,3568,3757,3923,4076,4220,4345,4459,4555,4620,4718,4817,4886,4909,5006,5038,5117,5179,5212,5235,5301,5362,5378,5463,5511,5524,5617,5626,5694,5740,5776,5855,5865,5952,5968,6028,6090,6135,6182,6255,6258,6347,6344,6412,6472,6490,6536,6571,6559,6654,6673,6731,6780,1159,1123,1112,1114,1111,1119,1129,1152,1172,1204,1245,1312,1372,1449,1548,1627,1681,1782,1847,1955,2034,2121,2205,2257,2321,2359,2401,2442,2494,2534,2559,2588,2631,2673,2668,2695,2734,2760,2786,2813,2819,2837,2889,2893,2924,2961,2982,3006,3032,3048,3089,3126,3136,3163,3180,3223,3224,3267,3270,3287,3314,3346,3359,3375,3420,3438,3465,3458,3507,3498,569,544,543,538,545,550,557,563,574,588,598,637,670,705,752,781,813,858,900,942,991,1029,1064,1094,1124,1147,1179,1198,1218,1230,1255,1263,1282,1286,1303,1319,1327,1336,1354,1361,1377,1389,1398,1420,1421,1443,1453,1468,1475,1490,1501,1520,1526,1533,1549,1567,1572,1589,1599,1607,1604,1626,1642,1645,1664,1674,1684,1687,1702,1706
A06,Sample X6,A,0.141,0.138,0.14,0.144,0.157,0.18,0.216,0.283,0.378,0.459,0.544,0.635,0.73,0.867,0.983,1.054,1.099,1.147,1.206,1.245,1.276,1.31,1.346,1.349,1.347,1.366,1.374,1.375,1.388,1.38,1.4,1.389,1.4,1.39,1.378,1.392,1.383,1.356,1.362,1.366,1.335,1.326,1.332,1.363,1.358,1.357,1.353,1.328,1.325,1.323,1.293,1.284,1.271,1.267,1.237,1.23,1.228,1.231,1.206,1.212,1.192,1.189,1.172,1.177,1.163,1.167,1.162,1.129,1.147,1.146,2204,2130,2111,2134,2142,2160,2176,2216,2262,2318,2399,2507,2617,2775,2953,3086,3237,3378,3561,3725,3924,4036,4196,4301,4407,4501,4587,4693,4742,4802,4902,4968,5027,5075,5108,5164,5207,5281,5312,5355,5420,5456,5503,5580,5614,5651,5718,5796,5824,5867,5932,5981,5992,6071,6099,6157,6223,6202,6274,6328,6383,6442,6458,6514,6501,6512,6585,6616,6684,6701,1171,1109,1102,1110,1116,1113,1130,1156,1169,1203,1246,1311,1357,1433,1523,1603,1677,1750,1832,1938,2024,2120,2183,2243,2290,2333,2385,2410,2467,2503,2559,2569,2601,2620,2660,2672,2683,2714,2755,2791,2805,2820,2833,2873,2917,2928,2950,2992,3025,3039,3065,3105,3127,3163,3169,3208,3210,3245,3266,3297,3309,3353,3360,3370,3394,3398,3461,3460,3466,3475,568,545,544,537,544,547,554,561,575,586,601,639,667,704,744,779,816,853,898,944,978,1018,1060,1082,1112,1133,1158,1183,1204,1219,1228,1250,1275,1276,1292,1323,1315,1338,1348,1354,1361,1381,1393,1408,1420,1436,1443,1453,1466,1486,1495,1513,1516,1538,1541,1558,1571,1572,1581,1598,1606,1618,1617,1640,1656,1656,1675,1678,1685,1710
A07,Sample X7,A,0.157,0.138,0.14,0.143,0.154,0.172,0.204,0.261,0.348,0.439,0.536,0.638,0.762,0.916,1.015,1.054,1.098,1.153,1.222,1.251,1.293,1.327,1.364,1.381,1.424,1.428,1.436,1.452,1.476,1.449,1.457,1.456,1.467,1.458,1.465,1.479,1.469,1.45,1.456,1.454,1.444,1.434,1.464,1.446,1.442,1.417,1.431,1.416,1.422,1.425,1.408,1.41,1.4,1.411,1.392,1.411,1.383,1.384,1.44,1.369,1.381,1.425,1.44,1.46,1.454,1.444,1.457,1.393,1.416,1.398,2227,2151,2146,2137,2161,2145,2177,2203,2248,2306,2381,2496,2600,2782,2986,3115,3278,3480,3635,3806,3975,4115,4251,4384,4485,4575,4690,4726,4808,4859,4944,4975,5035,5081,5147,5172,5254,5273,5294,5394,5419,5460,5503,5551,5615,5622,5705,5703,5798,5810,5853,5914,5974,6003,6051,6113,6139,6180,6236,6298,6283,6347,6423,6473,6493,6557,6570,6603,6619,6663,1170,1113,1108,1106,1114,1123,1135,1150,1163,1189,1232,1293,1367,1445,1537,1631,1704,1797,1885,1990,2062,2160,2216,2273,2322,2387,2406,2462,2498,2528,2561,2584,2624,2640,2658,2705,2718,2751,2759,2792,2826,2838,2868,2879,2909,2900,2958,2960,2985,3036,3041,3086,3079,3109,3126,3169,3185,3210,3237,3254,3265,3303,3317,3361,3391,3396,3402,3429,3446,3470,572,541,538,544,549,544,554,556,567,586,597,633,663,707,751,793,829,871,916,965,1004,1041,1080,1103,1139,1156,1176,1208,1220,1236,1252,1261,1276,1294,1302,1312,1315,1338,1359,1368,1371,1389,1397,1398,1413,1426,1435,1448,1455,1472,1486,1492,1510,1511,1529,1538,1553,1566,1573,1586,1597,1611,1611,1633,1641,1654,1669,1655,1681,1691
A08,Sample X8,A,0.179,0.2,0.2,0.194,0.214,0.236,0.266,0.321,0.407,0.501,0.595,0.698,0.811,0.958,1.075,1.107,1.159,1.222,1.278,1.312,1.366,1.372,1.426,1.43,1.473,1.481,1.477,1.518,1.529,1.502,1.519,1.537,1.542,1.538,1.508,1.528,1.525,1.509,1.515,1.508,1.497,1.5,1.521,1.505,1.498,1.495,1.494,1.483,1.476,1.475,1.459,1.445,1.44,1.432,1.439,1.43,1.434,1.43,1.434,1.417,1.426,1.42,1.411,1.423,1.409,1.386,1.406,1.371,1.375,1.373,2207,2114,2119,2106,2119,2145,2162,2171,2233,2282,2368,2490,2599,2767,2969,3112,3263,3439,3651,3815,3997,4120,4262,4392,4522,4585,4641,4756,4820,4885,4916,4965,5096,5137,5157,5229,5254,5327,5356,5380,5424,5461,5511,5588,5617,5652,5704,5734,5786,5805,5902,5945,5958,6008,6073,6121,6170,6227,6275,6316,6330,6384,6440,6458,6489,6537,6592,6647,6675,6659,1155,1104,1107,1102,1104,1102,1124,1140,1168,1189,1228,1284,1354,1439,1539,1624,1710,1804,1894,1990,2083,2152,2231,2289,2338,2386,2427,2467,2504,2552,2568,2588,2621,2647,2684,2695,2731,2760,2761,2791,2826,2840,2878,2885,2922,2943,2956,2996,3011,3031,3066,3073,3105,3124,3160,3171,3196,3209,3258,3256,3303,3311,3341,3363,3373,3412,3439,3435,3470,3478,568,540,534,532,542,543,548,549,564,581,601,629,659,701,754,798,830,865,923,964,1008,1039,1080,1107,1140,1167,1186,1200,1219,1238,1262,1274,1283,1300,1306,1319,1334,1340,1341,1363,1374,1386,1395,1400,1414,1426,1443,1459,1456,1485,1489,1500,1507,1524,1530,1551,1560,1575,1587,1590,1609,1620,1627,1639,1650,1654,1669,1676,1687,1682
A09,Sample X9,A,0.152,0.137,0.139,0.143,0.152,0.174,0.204,0.261,0.346,0.431,0.529,0.636,0.743,0.889,0.993,1.042,1.094,1.15,1.197,1.247,1.282,1.307,1.353,1.354,1.4,1.414,1.409,1.42,1.444,1.419,1.443,1.451,1.46,1.448,1.461,1.454,1.463,1.437,1.461,1.444,1.45,1.455,1.458,1.44,1.444,1.456,1.438,1.432,1.428,1.446,1.41,1.414,1.405,1.406,1.396,1.393,1.386,1.384,1.388,1.361,1.359,1.366,1.364,1.356,1.346,1.318,1.34,1.314,1.311,1.306,2231,2109,2108,2078,2128,2124,2146,2175,2231,2289,2366,2475,2606,2790,2983,3147,3285,3464,3648,3844,3990,4154,4309,4408,4539,4597,4712,4779,4892,4935,4959,5070,5108,5147,5220,5239,5304,5359,5405,5428,5489,5513,5593,5620,5643,5722,5746,5800,5838,5908,5964,6025,5997,6071,6169,6173,6227,6322,6354,6428,6431,6454,6504,6561,6558,6614,6691,6702,6772,6792,1160,1096,1103,1097,1094,1109,1116,1134,1164,1188,1227,1287,1362,1437,1553,1635,1716,1823,1896,1993,2090,2173,2225,2293,2361,2404,2434,2492,2530,2566,2589,2624,2649,2688,2692,2725,2761,2786,2810,2817,2854,2884,2879,2918,2953,2949,2986,3019,3046,3067,3074,3116,3138,3153,3187,3206,3244,3274,3301,3324,3342,3347,3359,3400,3421,3449,3468,3475,3503,3522,573,537,536,535,535,543,550,559,567,569,605,628,666,701,750,795,832,879,926,964,1011,1054,1084,1105,1150,1166,1193,1214,1222,1249,1256,1286,1292,1309,1315,1328,1337,1353,1362,1376,1385,1398,1417,1422,1431,1439,1454,1473,1479,1487,1502,1514,1521,1542,1543,1574,1579,1580,1600,1616,1626,1636,1651,1658,1673,1672,1690,1693,1705,1724
