Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h 
A01,Sample X1,A,0.197,0.158,0.166,0.189,0.233,0.303,0.398,0.515,0.634,0.787,0.986,1.142,1.252,1.356,1.469,1.56,1.666,1.738,1.797,1.839,1.893,1.904,1.901,1.874,1.874,1.935,1.943,1.924,1.902,1.867,1.868,1.851,1.837,1.809,1.78,1.826,1.733,1.732,1.704,1.68,1.654,1.624,1.598,1.563,1.533,1.498,1.474,1.439,1.415,1.35,1.313,1.277,1.235,1.19,1.148,1.114,1.069,1.02,0.978,0.923,0.88,1974,1909,1894,1889,1884,1903,1946,2015,2106,2254,2418,2603,2837,3050,3294,3484,3712,3972,4140,4379,4594,4800,4935,5034,5144,5264,5372,5514,5568,5712,5831,5952,6078,6211,6288,6458,6579,6748,6942,6976,7098,7292,7467,7645,7831,7956,8088,8173,8333,8428,8568,8575,8745,8748,8581,8455,8227,8305,8086,7897,7707,1029,992,984,983,987,989,1012,1050,1103,1177,1263,1363,1467,1584,1698,1824,1937,2051,2164,2274,2384,2469,2564,2599,2670,2715,2786,2853,2912,2978,3018,3080,3142,3220,3294,3352,3415,3493,3576,3609,3691,3781,3874,3959,4035,4137,4197,4230,4265,4382,4448,4484,4496,4566,4415,4390,4289,4270,4183,4069,4018,502,481,484,478,484,484,495,510,539,567,621,661,717,770,822,886,942,1006,1052,1108,1168,1216,1250,1276,1303,1331,1357,1394,1421,1444,1469,1512,1531,1574,1591,1624,1661,1700,1733,1769,1799,1827,1866,1892,1938,1980,2026,2039,2065,2135,2150,2184,2205,2213,2173,2164,2133,2092,2065,1992,1956
A02,Sample X2,A,0.186,0.157,0.162,0.182,0.224,0.284,0.381,0.494,0.618,0.767,0.953,1.155,1.258,1.362,1.493,1.56,1.633,1.714,1.788,1.836,1.872,1.921,1.96,1.959,1.952,1.956,1.913,1.894,1.878,1.832,1.827,1.833,1.858,1.84,1.857,1.884,1.854,1.861,1.96,1.812,1.816,1.796,1.829,1.812,2.541,1.772,1.79,1.864,1.745,1.735,1.736,1.705,1.702,1.686,1.688,1.664,1.663,1.658,1.636,1.616,1.616,2001,1947,1932,1931,1944,1940,1978,2040,2127,2243,2402,2602,2812,2994,3216,3404,3585,3799,4015,4220,4375,4570,4764,4883,5005,5069,5153,5239,5295,5374,5451,5519,5620,5707,5850,5924,6038,6201,6243,6394,6502,6638,6746,6889,7020,7192,7353,7473,7534,7718,7829,7987,8152,8263,8422,8511,8610,8772,8831,9035,9168,1052,1013,999,991,1011,1004,1033,1044,1102,1168,1253,1355,1461,1552,1668,1768,1874,1974,2089,2177,2286,2370,2473,2536,2568,2626,2662,2703,2737,2779,2838,2901,2925,2968,3044,3081,3146,3191,3255,3311,3372,3446,3496,3584,3654,3734,3811,3877,3929,4021,4070,4114,4206,4286,4371,4417,4475,4536,4586,4676,4727,513,493,493,494,495,496,507,512,541,578,614,659,707,759,809,862,920,963,1010,1059,1113,1157,1203,1236,1263,1276,1307,1323,1339,1364,1376,1396,1421,1447,1471,1503,1530,1557,1586,1619,1650,1680,1712,1749,1779,1810,1855,1883,1913,1955,1983,2007,2044,2091,2134,2153,2177,2227,2235,2281,2312
A03,Sample X3,A,0.231,0.146,0.154,0.172,0.209,0.267,0.362,0.472,0.594,0.736,0.915,1.107,1.218,1.335,1.459,1.562,1.654,1.736,1.83,1.851,1.902,1.941,1.974,1.996,1.98,1.955,1.935,1.891,1.879,1.831,1.812,1.787,1.775,1.762,1.729,1.721,1.702,1.683,1.677,1.667,1.636,1.638,1.621,1.615,1.602,1.598,1.63,1.617,1.632,1.62,1.626,1.622,1.62,1.615,1.616,1.605,1.595,1.59,1.59,1.578,1.566,2069,1958,1978,1959,2029,2141,2253,2395,2566,2803,3124,3527,3892,4315,4779,5303,5831,6386,6931,7442,7957,8424,8922,9323,9502,9635,9745,9792,9882,9905,10030,10055,10157,10235,10289,10361,10440,10548,10665,10726,10905,10976,11100,11285,11410,11700,11990,12282,12606,12750,12476,12995,13151,13381,13453,13645,13818,14106,14189,14511,14716,1081,1019,1019,1023,1050,1101,1169,1246,1335,1455,1607,1822,2030,2258,2490,2756,3045,3331,3607,3858,4129,4365,4655,4791,4935,4990,5056,5101,5113,5149,5180,5211,5266,5312,5352,5370,5435,5485,5538,5572,5640,5683,5756,5835,5920,6044,6212,6358,6518,6626,6470,6720,6840,6925,6994,7098,7182,7316,7387,7499,7603,527,502,498,500,516,535,569,606,651,710,792,880,983,1089,1206,1337,1470,1607,1751,1881,1999,2115,2251,2349,2389,2424,2450,2473,2490,2501,2529,2554,2540,2571,2592,2612,2634,2664,2689,2702,2733,2767,2813,2841,2883,2934,3033,3103,3175,3243,3142,3268,3324,3374,3405,3438,3486,3555,3560,3625,3723
A04,Sample X4,A,0.251,0.151,0.156,0.178,0.219,0.282,0.382,0.5,0.606,0.76,0.945,1.146,1.265,1.362,1.49,1.592,1.687,1.797,1.841,1.888,1.923,1.996,2.022,2.025,2.005,1.989,1.973,1.926,1.893,1.873,1.833,1.756,1.73,1.712,1.659,1.636,1.615,1.593,1.582,1.573,1.556,1.548,1.532,1.517,1.509,1.501,1.504,1.486,1.504,1.508,1.494,1.487,1.488,1.48,1.476,1.478,1.464,1.463,1.458,1.457,1.449,2101,2023,1998,1999,2011,2073,2127,2276,2561,3010,3547,4202,4943,5786,6682,7685,8598,9515,10198,10851,11371,11925,12371,12617,12847,12918,13002,13075,13262,13277,13339,13469,13527,13631,13695,13746,13803,13996,14132,14117,14278,14451,14541,14629,14762,14888,14984,15125,15431,15334,15554,15627,15758,15946,16058,16164,16268,16502,16529,16679,16739,1120,1049,1036,1031,1044,1071,1105,1177,1340,1588,1835,2199,2589,2981,3472,3980,4504,4931,5313,5647,5896,6149,6407,6599,6665,6686,6779,6820,6867,6912,6958,6963,7035,7066,7068,7157,7184,7217,7292,7358,7421,7511,7524,7589,7666,7712,7824,7824,7941,7992,8038,8107,8176,8261,8344,8395,8474,8512,8544,8604,8650,545,514,511,515,514,523,547,581,651,764,891,1064,1259,1437,1676,1932,2177,2385,2583,2718,2857,2991,3119,3182,3220,3251,3293,3318,3328,3361,3381,3388,3400,3419,3447,3465,3495,3532,3547,3576,3598,3630,3654,3693,3716,3767,3795,3794,3880,3880,3908,3929,3981,4007,4035,4090,4112,4150,4184,4198,4220
A05,Sample X5,A,0.208,0.15,0.158,0.182,0.218,0.289,0.393,0.509,0.638,0.788,0.99,1.18,1.247,1.387,1.511,1.615,1.711,1.799,1.862,1.894,1.944,2.008,2.004,2.006,1.971,1.938,1.918,1.863,1.835,1.803,1.778,1.754,1.724,1.692,1.666,1.646,1.623,1.606,1.591,1.575,1.569,1.547,1.542,1.524,1.517,1.518,1.509,1.499,1.49,1.476,1.463,1.458,1.451,1.442,1.434,1.448,1.436,1.425,1.43,1.428,1.412,1976,1926,1889,1903,1900,1924,1959,2006,2092,2229,2410,2577,2791,2994,3203,3357,3581,3760,3952,4109,4233,4390,4497,4561,4635,4682,4778,4846,4903,4967,5049,5110,5159,5232,5341,5419,5502,5618,5633,5742,5871,5934,6048,6144,6246,6343,6419,6523,6635,6730,6812,6905,6981,7098,7182,7259,7336,7403,7506,7524,7575,1037,999,980,981,979,998,1012,1043,1102,1178,1251,1341,1456,1563,1667,1760,1865,1970,2054,2126,2213,2292,2334,2374,2399,2442,2472,2501,2543,2580,2611,2652,2671,2720,2772,2800,2853,2905,2917,2983,3046,3093,3124,3203,3236,3284,3327,3386,3446,3485,3551,3598,3641,3673,3719,3761,3804,3835,3878,3917,3938,509,485,479,487,485,486,501,511,535,568,612,653,714,758,808,862,907,956,998,1046,1075,1118,1140,1156,1173,1180,1203,1222,1235,1259,1277,1299,1310,1322,1347,1359,1392,1407,1429,1452,1474,1510,1516,1546,1575,1591,1622,1649,1674,1688,1722,1749,1776,1797,1810,1832,1852,1868,1885,1898,1925
A12,Blank B,A,0.122,0.122,0.12,0.121,0.119,0.12,0.12,0.121,0.121,0.119,0.12,0.121,0.121,0.12,0.12,0.121,0.121,0.12,0.121,0.121,0.121,0.12,0.121,0.12,0.12,0.119,0.121,0.12,0.12,0.12,0.119,0.12,0.12,0.122,0.121,0.12,0.119,0.12,0.12,0.12,0.12,0.121,0.12,0.119,0.12,0.12,0.12,0.119,0.12,0.12,0.121,0.127,0.12,0.12,0.123,0.121,0.122,0.127,0.122,0.121,0.122,1863,1775,1773,1767,1743,1751,1740,1747,1752,1753,1741,1734,1761,1768,1762,1780,1769,1786,1785,1798,1787,1798,1816,1825,1834,1847,1870,1873,1893,1895,1909,1918,1945,1930,1968,1984,1977,1999,2025,2022,2047,2061,2043,2074,2084,2086,2108,2134,2143,2127,2174,2177,2170,2194,2225,2210,2230,2226,2240,2237,2243,974,930,922,917,910,915,905,915,916,910,920,909,907,911,913,922,922,924,931,920,935,933,941,951,955,959,962,980,981,994,998,1004,1014,1007,1020,1032,1026,1041,1049,1048,1059,1063,1077,1075,1084,1087,1099,1103,1114,1117,1120,1124,1131,1143,1149,1155,1158,1160,1162,1159,1162,470,454,453,448,449,446,447,447,448,442,445,447,447,450,450,451,452,449,454,456,458,461,464,460,464,469,475,474,482,484,486,477,492,491,500,495,499,508,512,514,512,516,519,518,524,530,530,539,539,545,542,548,550,553,558,559,567,563,566,567,568
B01,Sample X6,A,0.127,0.158,0.166,0.184,0.222,0.282,0.374,0.493,0.602,0.722,0.882,1.087,1.243,1.359,1.465,1.55,1.644,1.726,1.786,1.824,1.885,1.907,1.91,1.877,1.895,1.863,1.816,1.8,1.781,2.821,1.887,2.009,1.887,1.89,1.858,1.866,1.837,1.806,1.806,1.765,1.851,1.842,1.704,1.679,1.66,1.635,1.622,1.568,1.601,1.506,1.515,1.444,1.414,1.39,1.383,1.296,1.407,1.738,1.516,1.21,1.136,1952,1914,1876,1862,1882,1899,1921,1990,2095,2228,2400,2588,2845,3074,3347,3583,3843,4135,4414,4672,4930,5139,5366,5478,5600,5677,5792,5907,5983,6100,6287,6435,6480,6598,6760,6887,6977,7142,7254,7363,7512,7655,7793,7938,8069,8251,8380,8513,8635,8860,8956,9068,9158,9270,9319,9360,9374,9426,9413,9101,8941,1022,984,973,971,986,981,1010,1041,1085,1166,1242,1362,1480,1610,1742,1858,2006,2151,2299,2427,2543,2680,2773,2844,2891,2956,3023,3079,3113,3195,3256,3330,3375,3447,3495,3569,3630,3716,3771,3825,3906,3975,4086,4122,4189,4277,4319,4421,4445,4589,4633,4692,4753,4807,4851,4844,4876,4847,4891,4766,4653,493,479,478,475,479,480,488,509,532,562,615,660,720,788,842,909,970,1047,1116,1183,1242,1305,1353,1375,1410,1438,1461,1492,1524,1544,1584,1612,1640,1668,1699,1726,1770,1794,1828,1865,1909,1924,1964,1992,2016,2068,2108,2130,2135,2223,2251,2260,2284,2288,2350,2347,2381,2390,2377,2331,2266
B02,Sample X7,A,0.187,0.144,0.15,0.166,0.191,0.24,0.317,0.42,0.55,0.665,0.806,0.988,1.193,1.31,1.434,1.505,1.59,1.67,1.736,1.755,1.809,1.845,1.884,1.914,1.891,1.874,1.841,1.814,1.794,1.751,1.714,1.696,1.677,1.624,1.597,1.597,1.568,1.557,1.545,1.928,3.247,3.774,3.698,3.579,3.492,2.676,2.995,3.083,3.974,1.629,1.68,1.672,1.677,1.699,1.688,1.685,1.686,1.685,1.681,1.766,1.671,2032,1914,1909,1898,1928,1950,1984,2041,2097,2241,2385,2603,2843,3142,3377,3661,3930,4225,4520,4785,5048,5282,5525,5734,5858,5936,6031,6156,6211,6314,6408,6505,6565,6642,6754,6843,6989,7111,7198,7450,7687,7869,8075,8287,8515,8831,9027,9169,9355,8730,8940,8886,9018,8964,9128,9254,9356,9496,9546,10108,9862,1046,1009,993,983,998,1012,1029,1055,1095,1171,1248,1344,1472,1615,1771,1897,2053,2186,2349,2479,2609,2742,2857,2969,3019,3092,3148,3180,3210,3270,3304,3351,3433,3444,3503,3560,3649,3668,3735,3858,3972,4068,4211,4315,4431,4582,4696,4746,4859,4510,4599,4599,4693,4656,4719,4791,4828,4916,4917,5274,5094,514,490,487,485,488,497,505,520,537,571,606,655,726,792,856,924,994,1074,1140,1209,1267,1336,1385,1446,1474,1503,1523,1546,1571,1594,1615,1633,1654,1690,1700,1728,1760,1789,1820,1888,1931,1978,2050,2094,2145,2238,2281,2323,2359,2211,2245,2236,2272,2274,2302,2334,2350,2380,2405,2551,2467
B03,Sample X8,A,0.242,0.147,0.15,0.166,0.194,0.238,0.313,0.414,0.524,0.635,0.791,0.984,1.163,1.273,1.405,1.523,1.619,1.727,1.837,1.936,2.022,2.249,2.393,2.476,2.506,2.515,2.514,2.492,2.482,2.444,2.451,2.417,2.425,2.419,2.386,2.374,2.35,2.346,2.279,2.316,2.206,2.248,2.24,2.182,2.203,1.981,2.096,2.116,2.066,1.862,2.015,1.816,1.998,1.894,1.892,1.924,1.874,1.841,1.769,1.692,1.708,2040,1971,1922,1997,2153,2417,2792,3163,3631,4148,5030,6368,8147,10096,12457,15523,19090,23038,26903,30336,33634,36385,38902,40532,41607,41859,42323,42363,42729,42651,42864,42965,43120,43163,43397,43472,43810,43945,44308,44451,44642,44891,45165,45421,46044,46022,46281,46697,47049,47339,47642,47815,48287,48840,49289,49661,49644,50431,51894,52131,52756,1061,1010,1009,1027,1114,1266,1452,1649,1859,2168,2597,3284,4192,5224,6484,8030,9906,11861,13991,15737,17350,18850,20184,20987,21467,21771,21956,22036,22095,22206,22189,22260,22332,22415,22529,22547,22715,22863,22901,22975,23066,23282,23414,23571,23791,23956,24077,24151,24409,24545,24644,24751,25055,25277,25518,25717,25834,26314,26904,27039,27357,522,497,498,506,543,612,709,796,908,1062,1267,1594,2038,2535,3101,3863,4791,5745,6701,7618,8438,9134,9767,10202,10418,10552,10642,10693,10754,10750,10787,10816,10841,10893,10919,10973,11001,11064,11099,11173,11183,11254,11398,11383,11568,11599,11639,11730,11797,11853,11974,12041,12184,12317,12411,12424,12502,12711,13000,13142,13286
