Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
,Time,,0,272,0,272,0,272,0,272
A01,Sample X1,A,1.56,1.462,3447,3472,1772,1817,862,877
A02,Sample X2,A,1.653,1.613,6262,6377,3209,3312,1563,1601
A03,Sample X3,A,1.616,1.563,7949,8195,4116,4227,1981,2050
A04,Sample X4,A,1.547,1.483,3473,3514,1783,1810,866,886
A05,Sample X5,A,1.696,1.67,3862,3930,2007,2043,964,985
A06,Sample X6,A,1.71,1.663,3933,3970,2032,2062,975,990
A07,Sample X7,A,1.693,1.653,3955,4000,2039,2068,991,1011
A08,Sample X8,A,1.545,1.508,3551,3609,1858,1874,890,912
A09,Sample X9,A,1.71,1.683,3885,3941,2008,2051,980,995
A10,Sample X10,A,1.704,1.67,4007,4078,2097,2104,1006,1030
A11,Sample X11,A,1.734,1.703,4070,4123,2105,2129,1013,1034
A12,Blank B,A,0.048,0.048,1781,1804,928,929,453,454
B01,Sample X12,A,1.616,1.522,3842,3901,1998,2019,964,986
B02,Sample X13,A,1.609,1.557,18932,19844,9762,10187,4666,4932
B03,Sample X14,A,1.658,1.629,8953,9250,4635,4784,2215,2312
B04,Sample X15,A,1.556,1.538,3632,3669,1864,1900,904,918
B05,Sample X16,A,1.753,1.684,3845,3931,1999,2026,969,992
B06,Sample X17,A,1.775,1.691,4207,4241,2175,2208,1055,1072
B07,Sample X18,A,1.706,1.679,4236,4302,2189,2235,1054,1076
B08,Sample X19,A,1.596,1.557,3619,3687,1879,1903,898,921
B09,Sample X20,A,1.808,1.766,4307,4407,2212,2272,1074,1100
B10,Sample X21,A,1.795,1.748,4329,4406,2235,2288,1078,1096
B11,Sample X22,A,1.803,1.784,4247,4287,2201,2220,1056,1082
B12,Negative control N,A,1.992,1.942,4160,4169,2162,2158,1036,1048
C01,Sample X23,A,1.56,1.526,3641,3722,1877,1922,915,928
C02,Sample X24,A,1.657,1.608,12048,12729,6247,6548,2990,3160
C03,Sample X25,A,1.526,1.492,9063,9389,4691,4826,2254,2344
C04,Sample X26,A,1.483,1.454,3420,3491,1764,1795,852,870
C05,Sample X27,A,1.632,1.611,3947,4002,2045,2069,987,1009
C06,Sample X28,A,1.632,1.578,3936,4025,2049,2070,981,1003
C07,Sample X29,A,1.669,1.618,4068,4133,2113,2128,1020,1044
C08,Sample X30,A,1.439,1.424,4261,4376,2198,2245,1065,1092
C09,Sample X31,A,1.627,1.591,6928,7145,3608,3701,1751,1803
C10,Sample X32,A,1.679,1.65,4726,4867,2461,2505,1187,1221
C11,Sample X33,A,1.685,1.663,4845,4910,2493,2536,1208,1233
C12,Negative control N,A,1.663,1.641,3579,3649,1856,1890,905,926
D01,Sample X34,A,1.56,1.534,4141,4190,2133,2184,1026,1048
D02,Sample X35,A,1.615,1.544,25515,26943,13206,13806,6331,6680
D03,Sample X36,A,1.481,1.431,35852,38256,18458,19623,8844,9429
D04,Sample X37,A,1.403,1.355,4225,4344,2181,2225,1056,1087
D05,Sample X38,A,1.557,1.523,17703,18454,9140,9554,4403,4594
