Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
,Time,,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min,24 h 
A01,Sample X1,A,0.123,0.141,0.143,0.145,0.153,0.167,0.194,0.239,0.316,0.408,0.52,0.637,0.788,0.955,1.095,1.196,1.304,1.412,1.511,1.594,1.685,1.752,1.822,1.858,1.913,1.951,1.986,1.989,1.996,1.99,1.972,1.963,1.971,1.937,1.955,1.911,1.911,1.91,1.88,1.868,1.859,1.833,1.813,1.801,1.816,1.784,1.752,1.728,1.728,1.705,1.684,1.665,1.656,1.621,1.601,1.591,1.567,1.551,1.54,1.508,1.486,1.463,1.444,1.41,1.4,1.366,1.32,1.301,1.284,1.252,1.238,1.202,1.168,1910,1879,1875,1892,1914,1925,1936,1975,2038,2131,2319,2703,3142,3673,4297,4957,5765,6694,7607,8606,9532,10373,11107,11677,12279,12895,13362,13789,13939,14267,14576,14894,14769,15063,15211,15552,15530,15806,16016,16118,16340,16701,16748,16956,17192,17374,17494,17476,17683,17835,17864,18227,18388,18555,18558,19124,19050,19174,19213,19667,19768,19679,19614,19473,19788,20292,20581,20534,20757,20886,20936,20838,20802,1001,983,982,988,995,1007,1015,1030,1060,1115,1214,1385,1640,1887,2213,2560,2979,3450,3954,4443,4923,5384,5744,6064,6355,6674,6912,7111,7241,7385,7574,7705,7638,7849,7901,8131,8088,8153,8306,8383,8483,8660,8664,8761,8887,8993,9022,9032,9144,9198,9234,9362,9468,9539,9552,9944,9813,10029,9920,10125,10240,10181,10085,10023,10171,10418,10672,10650,10747,10827,10855,10810,10746,498,485,477,486,487,496,498,505,520,545,585,676,795,916,1067,1240,1440,1675,1932,2176,2409,2610,2794,2943,3094,3243,3372,3471,3516,3591,3691,3754,3732,3842,3851,3971,3936,3962,4067,4084,4141,4213,4217,4269,4325,4352,4389,4382,4454,4463,4487,4572,4607,4631,4650,4776,4742,4800,4785,4899,4879,4900,4854,4777,4873,4934,5047,5053,5119,5232,5259,5200,5266
A02,Sample X2,A,0.153,0.142,0.142,0.145,0.156,0.17,0.199,0.244,0.319,0.419,0.544,0.656,0.817,1.023,1.151,1.264,1.383,1.492,1.566,1.653,1.747,1.815,1.855,1.892,1.94,1.966,1.97,1.955,1.936,1.894,1.879,1.868,1.829,1.806,1.797,1.766,1.762,1.74,1.733,1.722,1.706,1.706,1.686,1.687,1.681,1.674,1.661,1.683,1.708,1.678,1.683,1.644,1.642,1.63,1.623,1.67,3.07,3.096,3.086,3.024,3.046,3.155,3.317,3.426,3.227,1.672,1.685,1.707,1.708,1.729,1.714,1.695,1.713,1953,1888,1871,1890,1924,1929,1953,1994,2043,2149,2383,2797,3278,3914,4666,5461,6463,7602,8712,9699,10751,11726,12438,13145,13796,14398,14667,14858,14898,15008,15199,15208,15243,15406,15508,15653,15674,15789,15850,15980,16196,16329,16473,16636,17039,17240,17479,17874,18925,19274,20990,21809,22555,23079,23467,24410,35127,35333,34236,34880,35484,35695,34941,35835,36322,27220,29870,25113,28226,26756,24088,28285,26588,1020,983,983,998,1007,1008,1026,1035,1069,1126,1241,1440,1686,2009,2421,2833,3340,3913,4494,5042,5538,6029,6484,6803,7139,7448,7607,7728,7736,7777,7816,7885,7974,8000,8055,8107,8150,8217,8278,8326,8396,8490,8576,8645,8838,8996,9075,9304,9792,10013,10851,11403,11676,11932,12238,12681,18231,18307,17757,18035,18355,18422,18035,18505,18755,14055,15338,12962,14529,13883,12508,14595,13781,512,486,485,490,489,493,503,512,527,550,604,703,819,974,1167,1371,1602,1901,2188,2433,2683,2914,3149,3309,3474,3645,3709,3756,3782,3773,3815,3842,3861,3901,3915,3957,3967,4001,4018,4045,4077,4123,4168,4203,4297,4353,4432,4527,4765,4888,5292,5522,5678,5823,5902,6157,8791,8828,8559,8715,8836,8853,8732,9002,9083,6711,7346,6273,6982,6629,6074,7052,6626
A03,Sample X3,A,0.122,0.139,0.142,0.143,0.15,0.168,0.197,0.239,0.319,0.424,0.549,0.665,0.826,1.024,1.156,1.26,1.382,1.496,1.582,1.663,1.753,1.819,1.867,1.901,1.939,1.965,1.956,1.935,1.916,1.88,1.86,1.828,1.786,1.757,1.736,1.718,1.698,1.674,1.653,1.643,1.624,1.614,1.594,1.587,1.573,1.572,1.557,1.558,1.553,1.536,1.535,1.548,1.562,1.549,1.542,1.556,1.554,1.556,1.55,1.547,1.544,1.536,1.542,1.538,1.52,1.53,1.527,1.52,1.509,1.496,3.754,3.756,3.775,1919,1901,1898,1872,1895,1924,1964,1985,2050,2148,2378,2781,3283,3927,4702,5493,6489,7714,8820,9788,10796,11669,12354,12970,13664,14050,14259,14495,14563,14601,14636,14651,14821,14839,14980,15072,15065,15162,15306,15330,15435,15525,15563,15696,15848,15954,16173,16368,16508,16736,17152,17781,18369,18648,19114,19509,19802,20019,20257,20477,20803,21076,21481,21746,21927,22248,22576,23050,23479,23933,26486,26721,26993,999,983,976,985,991,993,1022,1030,1066,1136,1240,1431,1694,2025,2418,2840,3357,3954,4537,5071,5595,6045,6425,6742,7049,7292,7408,7525,7535,7588,7656,7654,7696,7706,7768,7808,7835,7867,7920,7983,8011,8059,8130,8177,8232,8337,8373,8465,8564,8697,8898,9263,9536,9730,9971,10149,10315,10429,10510,10602,10771,10904,11093,11294,11370,11559,11739,11991,12205,12429,13735,13877,14055,489,483,483,483,486,493,494,505,522,548,601,699,820,986,1177,1379,1635,1912,2207,2469,2699,2922,3119,3274,3427,3554,3614,3663,3670,3692,3717,3718,3743,3775,3775,3813,3823,3828,3857,3887,3901,3919,3933,3977,4000,4041,4068,4124,4194,4238,4321,4485,4642,4702,4830,4962,4998,5061,5095,5185,5275,5322,5428,5478,5533,5633,5706,5828,5917,6032,6674,6757,6814
A04,Sample X4,A,0.121,0.134,0.138,0.138,0.148,0.164,0.19,0.235,0.306,0.406,0.528,0.637,0.796,0.994,1.13,1.233,1.351,1.466,1.55,1.638,1.715,1.784,1.842,1.879,1.933,1.963,1.966,1.951,1.93,1.897,1.874,1.845,1.821,1.791,1.764,1.75,1.722,1.704,1.684,1.67,1.651,1.639,1.624,1.62,1.596,1.592,1.578,1.567,1.566,1.546,1.535,1.537,1.538,1.521,1.523,1.515,1.502,1.499,1.494,1.491,1.489,1.478,1.487,1.489,1.492,1.492,1.482,1.486,1.483,1.48,1.484,1.479,1.473,1885,1886,1872,1891,1881,1924,1950,1989,2040,2159,2377,2757,3256,3899,4680,5485,6459,7658,8733,9789,10888,11944,12792,13610,14289,14887,15262,15498,15539,15610,15678,15770,15820,15842,15989,16017,16053,16133,16227,16247,16345,16337,16459,16536,16525,16719,16722,16798,16932,16938,17071,17253,17356,17408,17567,17763,17832,17906,18004,18049,18153,18322,18413,18706,18957,19202,19337,19527,19619,19719,19942,20008,20208,982,984,974,982,985,996,1017,1035,1068,1130,1234,1441,1695,2000,2416,2826,3341,3927,4523,5077,5654,6209,6629,7047,7393,7716,7915,8006,8054,8097,8142,8189,8180,8261,8291,8313,8350,8340,8387,8462,8489,8501,8523,8591,8609,8687,8675,8762,8787,8836,8840,8968,9011,9077,9124,9163,9244,9301,9302,9377,9451,9504,9546,9710,9841,9972,10084,10114,10210,10264,10347,10405,10429,482,482,488,483,481,495,501,505,523,548,603,697,816,981,1170,1370,1618,1910,2188,2473,2725,2981,3226,3409,3590,3766,3852,3910,3906,3951,3956,3966,3995,4014,4029,4045,4059,4067,4079,4089,4117,4133,4142,4176,4206,4203,4234,4253,4260,4305,4302,4367,4374,4388,4431,4468,4489,4538,4543,4567,4584,4617,4618,4728,4798,4845,4883,4923,4948,4987,5032,5051,5083
A05,Sample X5,A,0.121,0.137,0.139,0.142,0.149,0.166,0.194,0.242,0.327,0.416,0.523,0.636,0.791,0.931,1.055,1.153,1.227,1.327,1.416,1.518,1.588,1.66,1.75,1.789,1.863,1.929,1.96,1.962,1.972,1.94,1.932,1.926,1.926,1.85,1.85,1.858,1.828,1.824,1.801,1.768,1.749,1.778,1.789,1.789,1.768,1.79,1.765,1.742,1.759,1.753,1.739,1.728,1.734,1.728,1.714,1.732,1.751,1.723,1.694,1.714,1.726,1.715,1.706,1.732,1.708,1.695,1.749,1.695,1.705,1.692,1.696,1.691,1.685,1898,1872,1842,1886,1896,1920,1938,1979,2029,2138,2376,2801,3336,4090,4862,5694,6721,8065,9516,11156,12834,14552,16446,18186,19992,21707,22822,23390,23823,23962,24013,24276,24324,24501,24678,24743,24938,25149,25080,25116,25225,25460,25855,26100,26253,26488,26441,26609,26854,26871,27214,27238,27516,27390,27654,27811,27981,28022,28452,28450,28350,28793,28592,29055,29171,29469,29672,29764,29916,30225,30217,30425,30407,993,986,971,994,982,1003,1006,1018,1059,1127,1217,1440,1740,2104,2512,2948,3456,4166,4919,5763,6604,7527,8488,9375,10304,11238,11810,12128,12392,12471,12475,12593,12612,12755,12811,12902,12878,13070,13042,13091,13101,13221,13440,13548,13628,13780,13761,13868,13988,14013,14063,14191,14366,14323,14361,14467,14549,14591,14777,14734,14702,14910,14866,15069,15128,15261,15410,15583,15595,15678,15687,15820,15827,485,474,486,485,483,486,497,499,519,544,595,704,840,1017,1215,1423,1673,2014,2388,2795,3209,3644,4109,4566,5009,5438,5705,5880,5999,6041,6111,6117,6144,6203,6235,6284,6293,6338,6372,6361,6378,6456,6533,6597,6645,6687,6705,6721,6813,6786,6826,6881,6951,6952,7008,7009,7062,7107,7177,7181,7178,7263,7252,7342,7365,7436,7484,7517,7580,7664,7616,7652,7709
A06,Sample X6,A,0.116,0.135,0.14,0.14,0.15,0.167,0.195,0.24,0.313,0.414,0.534,0.646,0.79,0.958,1.103,1.195,1.304,1.42,1.511,1.594,1.661,1.726,1.798,1.857,1.924,1.968,1.955,1.942,1.913,1.877,1.859,1.816,1.776,1.748,1.724,1.692,1.663,1.628,1.61,1.602,1.568,1.555,1.549,1.535,1.509,1.506,1.475,1.46,1.451,1.44,1.43,1.421,1.416,1.402,1.406,1.388,1.386,1.365,1.361,1.365,1.348,2.222,2.31,2.4,1.972,2.36,2.646,2.701,2.817,2.938,2.865,2.824,2.893,1896,1901,1890,1881,1919,1919,1942,2001,2072,2232,2521,3129,4391,6721,9407,12811,18358,26169,34662,44360,54125,64171,74490,84313,93125,100152,103765,105666,106231,106545,107155,107319,107886,108041,108675,109038,109337,108915,109668,109819,110160,110720,110925,111831,111898,111963,112182,113401,114052,114012,114821,115602,116084,116604,116995,118097,118967,121015,122225,123777,124169,141887,145227,148467,149507,150040,151876,153160,153504,154179,155087,156385,156810,991,979,973,980,985,1002,1023,1042,1083,1165,1296,1629,2276,3437,4856,6559,9440,13331,17810,22811,27927,33237,38431,43639,48241,51955,53936,54760,55226,55441,55707,55899,56004,56277,56415,56707,56791,56762,56997,57430,57502,57858,57822,57835,58212,58312,58483,58715,58995,59429,59547,59949,60398,60602,61027,61419,62247,63073,63717,64459,64744,73764,75456,77429,77568,78434,79011,79710,79985,80407,81086,81581,81507,490,481,481,483,484,488,496,510,526,566,634,793,1095,1645,2328,3148,4491,6402,8600,11043,13474,16073,18596,21082,23397,25296,26288,26751,26943,26921,27144,27318,27343,27338,27414,27611,27637,27725,27803,27866,27950,28006,28158,28264,28295,28412,28478,28576,28732,28939,28915,29175,29280,29435,29592,29923,30200,30671,31007,31309,31419,35740,36643,37566,37767,38115,38461,38889,38988,38992,39358,39516,39618
A07,Sample X7,A,0.145,0.137,0.138,0.141,0.151,0.167,0.193,0.239,0.322,0.418,0.538,0.644,0.788,0.965,1.11,1.206,1.314,1.423,1.505,1.599,1.674,1.737,1.797,1.86,1.92,1.965,1.977,1.962,1.927,1.888,1.874,1.829,1.798,1.776,1.756,1.71,1.673,1.647,1.63,1.61,1.588,1.573,1.548,1.544,1.513,1.507,1.486,1.476,1.466,1.445,1.434,1.429,1.426,1.404,1.404,1.392,1.38,1.372,1.359,1.364,1.357,1.343,1.351,1.343,1.42,1.432,1.413,1.422,1.407,1.394,1.404,1.405,1.39,1913,1891,1872,1880,1887,1928,1959,2016,2103,2242,2540,3191,4503,6829,9491,12857,18426,25776,34039,42873,51727,60454,69016,77237,84410,89591,91450,92689,92183,92017,92373,92060,92171,92111,92460,92057,92123,91818,91507,91385,91051,91059,90917,91390,91010,90985,90795,91241,91488,91138,91442,92133,91760,91829,92453,92484,92636,92874,92881,92863,93629,94014,94659,96715,149993,154459,155975,158252,158281,159772,161363,162450,163312,994,986,983,979,990,1003,1021,1049,1074,1159,1309,1649,2316,3479,4901,6599,9430,13242,17457,22027,26662,31237,35762,40021,43807,46631,47653,48204,48078,47864,47983,47813,47825,47941,48145,47966,47821,47644,47627,47553,47548,47331,47324,47410,47452,47430,47259,47547,47512,47571,47583,47744,47786,47833,48012,48154,48245,48127,48170,48591,48656,48903,49316,50315,78006,80636,81340,82748,82769,83411,84274,84678,85057,488,477,481,477,488,499,498,515,529,570,636,799,1105,1674,2355,3160,4509,6341,8429,10656,12878,15127,17280,19369,21224,22539,23196,23378,23340,23409,23324,23281,23274,23279,23377,23320,23236,23287,23203,23134,23156,23096,23069,23080,23052,23072,23063,23094,23107,23100,23184,23138,23317,23294,23301,23385,23486,23396,23504,23620,23682,23708,24021,24519,37836,39145,39772,40030,40245,40641,40946,41154,41461
A08,Sample X8,A,0.121,0.136,0.14,0.141,0.152,0.164,0.191,0.234,0.307,0.4,0.517,0.628,0.768,0.942,1.097,1.193,1.318,1.433,1.518,1.626,1.694,1.778,1.857,1.93,1.986,2.044,2.062,2.06,2.031,1.992,1.988,1.945,1.911,1.878,1.856,1.82,1.787,1.753,1.728,1.718,1.696,1.672,1.646,1.644,1.627,1.604,1.584,1.58,1.629,1.603,1.586,1.598,1.601,1.582,1.572,1.571,1.548,1.54,1.525,1.53,1.516,1.505,1.507,1.504,1.485,1.478,1.47,1.483,1.463,1.455,1.463,1.451,1.436,1904,1882,1878,1895,1903,1916,1951,2015,2087,2269,2548,3192,4502,6962,10001,13650,19751,28450,38965,51618,65791,81371,98194,114684,131289,144193,149712,152350,152646,152430,152896,152738,152632,152751,152819,152428,152450,152303,152044,152123,151455,151948,151482,152123,152535,152466,152336,153141,157871,157879,157998,159320,160088,159730,160011,160091,160520,160183,160276,160212,160439,160696,161140,161207,162158,162639,164482,164581,164950,164807,165224,165615,165667,1001,982,981,975,994,1004,1014,1041,1088,1165,1314,1653,2316,3554,5131,7031,10096,14576,20027,26592,33860,41890,50743,59484,67976,74967,77922,79308,79564,79538,79772,79617,79328,79659,79770,79719,79522,79187,79407,79316,79076,79090,79243,79301,79440,79619,79610,79843,82499,82101,82248,83435,83449,83194,83552,83710,83644,83832,83848,83785,83859,84074,83817,84338,84301,85190,85443,86103,85949,86260,86426,86956,86761,489,485,481,482,482,492,500,517,533,565,643,802,1108,1717,2458,3353,4839,7001,9611,12799,16356,20290,24528,28813,32866,36454,38065,38652,38805,38775,38811,38725,38833,38804,38862,38806,38637,38726,38598,38645,38671,38514,38570,38670,38722,38795,38747,38878,40038,40041,40144,40729,40677,40652,40791,40697,40665,40791,40810,40849,40849,40845,40935,40973,41019,41441,41619,41943,41862,41958,42182,42159,42157
A12,Blank B,A,0.124,0.124,0.124,0.143,0.123,0.144,0.123,0.125,0.123,0.124,0.125,0.122,0.125,0.124,0.123,0.124,0.124,0.125,0.125,0.124,0.125,0.124,0.124,0.126,0.125,0.124,0.125,0.125,0.125,0.126,0.125,0.124,0.125,0.125,0.126,0.125,0.126,0.125,0.125,0.125,0.125,0.126,0.125,0.126,0.126,0.125,0.124,0.123,0.124,0.125,0.124,0.125,0.125,0.122,0.124,0.125,0.124,0.124,0.124,0.123,0.124,0.124,0.124,0.125,0.124,0.124,0.122,0.148,0.123,0.123,0.124,0.123,0.134,1791,1715,1715,1745,1728,1726,1731,1761,1760,1782,1777,1768,1767,1781,1777,1786,1801,1795,1813,1812,1828,1837,1832,1842,1878,1852,1885,1902,1891,1927,1933,1941,1965,1985,1988,2021,2019,2058,2054,2072,2090,2105,2112,2100,2132,2140,2148,2159,2191,2213,2208,2233,2250,2214,2264,2250,2263,2262,2281,2283,2279,2286,2308,2296,2327,2350,2352,2384,2387,2412,2400,2421,2428,932,890,891,898,900,897,904,910,908,918,916,925,928,928,917,923,933,931,937,940,941,950,954,960,968,978,984,991,983,1003,1007,1018,1024,1039,1052,1051,1053,1059,1076,1082,1085,1089,1094,1108,1113,1132,1122,1121,1132,1138,1142,1150,1159,1157,1174,1168,1184,1184,1202,1195,1192,1200,1195,1220,1215,1225,1225,1230,1245,1245,1249,1266,1268,455,432,435,444,444,446,446,449,440,453,452,452,453,455,455,457,454,463,460,455,468,468,469,469,475,480,472,481,487,486,490,492,497,507,506,511,514,517,522,527,528,531,538,540,542,543,549,550,554,557,560,559,558,561,573,572,575,578,577,579,587,584,588,593,593,598,601,601,607,614,611,614,616
