Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
,Time,,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min
A01,Sample X1,A,0.158,0.145,0.147,0.15,0.157,0.17,0.195,0.234,0.301,0.376,0.48,0.587,0.7,0.854,1.031,1.14,1.227,1.309,1.42,1.52,1.597,1.662,1.76,1.801,1.832,1.846,1.844,1.857,1.84,1.825,1.794,1.762,1.737,1.72,1.681,1.646,1.611,1.594,1.551,1.528,1.486,1.473,1.452,1.42,1.358,1.344,1.293,1.268,1.22,1.165,1.135,1.095,1.053,1.01,0.972,0.922,0.862,0.825,0.778,0.703,0.627,0.542,0.453,0.356,0.245,0.13,1880,1820,1814,1816,1830,1869,1918,2000,2109,2207,2397,2638,2945,3374,3899,4452,5052,5608,6317,7091,7958,8813,9733,10588,11355,11964,12441,12779,13037,13276,13544,13722,13938,14192,14335,14562,14743,15069,15197,15563,15852,16039,16134,16158,16191,16041,16043,16027,15974,15887,15840,15777,15631,15339,15268,15005,14683,14555,14258,13762,13335,12694,12217,11514,10746,10038,981,945,941,949,963,970,1001,1039,1096,1160,1253,1375,1536,1765,2028,2313,2590,2900,3284,3654,4108,4554,5053,5521,5907,6218,6485,6659,6794,6904,7017,7119,7244,7318,7436,7520,7632,7770,7887,7984,8162,8226,8342,8391,8427,8433,8422,8366,8323,8260,8287,8180,8144,8005,7926,7789,7671,7616,7360,7191,6891,6610,6373,5974,5583,5189,481,459,462,464,465,479,492,508,534,564,606,670,740,849,983,1117,1263,1411,1596,1793,1997,2230,2454,2677,2878,3024,3163,3241,3302,3353,3423,3471,3544,3560,3621,3659,3708,3785,3831,3854,3937,3987,4001,4051,4064,4071,4111,4160,4143,4150,4161,4119,4103,4009,3988,3904,3815,3737,3631,3518,3391,3249,3096,2936,2743,2548
A02,Sample X2,A,0.157,0.141,0.144,0.145,0.152,0.163,0.183,0.216,0.276,0.344,0.454,0.555,0.673,0.814,1.017,1.15,1.266,1.374,1.508,1.612,1.718,1.814,1.9,1.96,2.05,2.082,2.114,2.149,2.135,2.135,2.119,2.06,2.057,2.044,2.039,2.031,1.997,1.981,1.97,1.962,1.966,1.944,1.945,1.92,1.918,1.902,1.877,1.871,1.846,1.855,1.831,1.817,1.821,1.8,1.773,1.806,1.752,1.741,1.723,1.712,1.704,1.671,1.657,1.649,1.653,1.624,1817,1807,1800,1811,1827,1867,1963,2159,2369,2646,3021,3621,4524,5848,7758,9981,12294,14868,18025,21321,24510,27097,29556,31160,33138,34703,35516,36053,36548,36840,37249,37587,37764,38105,38478,38530,38992,39422,39755,40106,40265,40364,40965,41211,41764,41649,42312,42311,42734,43120,43105,43158,43164,43873,44190,44136,44674,44811,44612,44870,44755,44993,45122,45109,44712,44996,959,947,931,936,950,982,1033,1114,1225,1374,1565,1863,2338,3010,3998,5147,6294,7626,9289,11005,12653,14001,15273,16225,17225,17958,18475,18716,19027,19238,19369,19555,19654,19856,19969,20109,20293,20559,20636,20877,21069,21060,21327,21469,21786,21636,21993,22015,22252,22515,22427,22485,22485,22806,22786,22853,23063,23251,23126,23110,23250,23428,23379,23362,23216,23194,470,457,451,456,460,475,507,543,599,661,757,901,1122,1451,1921,2483,3039,3669,4478,5322,6131,6781,7415,7846,8347,8738,8963,9130,9241,9314,9418,9494,9577,9650,9710,9778,9895,9990,10066,10137,10185,10288,10420,10426,10582,10538,10705,10702,10824,10902,10916,10935,10931,11057,11087,11107,11148,11298,11249,11259,11328,11316,11183,11304,11239,11201
A03,Sample X3,A,0.13,0.14,0.143,0.145,0.152,0.166,0.187,0.226,0.29,0.366,0.49,0.583,0.722,0.88,1.078,1.173,1.305,1.42,1.543,1.642,1.756,1.835,1.924,1.983,2.062,2.087,2.123,2.148,2.132,2.131,2.104,2.07,2.297,2.057,2.01,2.049,2.241,2.036,3.434,2.709,3.505,3.496,3.768,1.92,2.922,2.5,2.612,1.969,1.889,1.884,1.885,1.897,3.009,2.02,1.878,1.905,1.885,1.865,1.862,1.876,1.855,1.88,1.845,1.846,1.843,1.844,1819,1786,1795,1794,1820,1888,1968,2126,2352,2619,3009,3637,4548,5909,7794,9832,11950,14442,17172,19608,21770,23621,25357,26531,27739,28624,29228,29685,31278,32519,34162,31195,35197,35567,35107,35840,36472,36981,37603,37592,38237,38661,39029,38572,39182,39295,39639,39446,38976,40043,40080,39233,40557,40300,39527,40581,40556,40124,40190,40315,40678,38987,40283,40479,40150,39212,949,931,930,936,940,975,1033,1103,1217,1352,1561,1874,2350,3040,4029,5049,6163,7436,8850,10165,11296,12291,13074,13790,14340,14889,15138,15380,16227,16900,17779,16209,18267,18442,18256,18655,18892,19103,19568,19533,19934,19996,20275,19987,20366,20465,20534,20520,20316,20745,20873,20391,21058,20967,20594,21085,21027,20786,20862,20884,21104,20208,20794,20972,20781,20235,461,459,455,456,460,471,509,541,592,657,758,908,1123,1464,1935,2418,2971,3595,4279,4926,5456,5940,6336,6668,6994,7205,7348,7524,7875,8189,8648,7895,8859,8913,8834,9046,9177,9288,9490,9505,9660,9723,9866,9677,9899,9900,10009,9943,9857,10095,10100,9879,10230,10217,9993,10198,10186,10133,10164,10104,10243,9772,10066,10147,10096,9863
A04,Sample X4,A,0.162,0.139,0.14,0.141,0.149,0.162,0.182,0.219,0.275,0.355,0.465,0.575,0.693,0.85,1.056,1.161,1.271,1.392,1.492,1.606,1.7,1.77,1.857,1.919,1.999,2.023,2.036,2.044,2.014,2.004,1.985,1.946,1.936,1.916,1.895,1.883,1.865,1.841,1.841,1.834,1.815,1.815,1.846,1.832,1.808,1.832,1.814,1.832,1.83,1.816,1.817,1.816,1.799,1.793,1.821,1.792,1.758,3.9,4.018,3.003,2.476,3.235,3.708,4.192,2.704,4.026,1809,1786,1778,1782,1806,1865,1973,2139,2355,2641,3030,3618,4472,5771,7636,9661,11818,14570,17966,21436,24631,27199,29468,31214,32858,33866,34539,34917,35124,35074,35329,35483,35524,35717,35699,35702,36007,36135,36143,36195,36549,36832,37503,39283,37678,38267,38814,39171,39393,39845,40229,40675,41541,41011,43032,43623,45857,64374,67068,66403,65952,67216,66607,66899,66025,69105,959,925,930,930,944,964,1031,1111,1231,1373,1579,1866,2317,2986,3971,4940,6089,7559,9244,11009,12733,14085,15292,16290,17077,17661,17887,18198,18203,18350,18364,18465,18494,18521,18581,18586,18674,18786,18800,18877,18947,19185,19510,20527,19606,20016,20180,20371,20545,20799,20944,21123,21558,21273,22322,22709,23834,33462,34876,34376,34130,34909,34490,34641,34318,35868,476,452,453,452,463,477,500,538,590,666,761,895,1109,1433,1896,2386,2946,3631,4464,5347,6134,6813,7397,7899,8299,8538,8745,8827,8810,8887,8941,8941,8981,9016,9000,9043,9064,9110,9125,9145,9211,9324,9445,9952,9535,9717,9762,9914,9980,10102,10175,10268,10498,10389,10863,11009,11576,16276,16906,16669,16533,16971,16707,16817,16677,17413
A05,Sample X5,A,0.162,0.14,0.141,0.144,0.152,0.164,0.192,0.238,0.315,0.404,0.523,0.632,0.78,0.962,1.111,1.201,1.327,1.429,1.533,1.632,1.711,1.788,1.848,1.912,1.974,2.016,2.047,2.041,2.037,2.011,1.966,1.978,1.965,1.933,1.918,1.896,1.9,1.877,1.89,1.861,1.867,1.864,1.852,1.859,1.814,1.8,1.814,1.839,1.844,1.814,1.822,1.824,1.841,1.845,1.907,1.845,1.88,1.866,1.901,1.88,1.849,1.881,1.854,1.854,1.914,1.902,1854,1772,1774,1773,1795,1822,1877,1965,2061,2186,2348,2680,3142,3816,4590,5492,6824,8660,10896,13482,16346,19080,21688,24010,26769,29022,30506,31041,31452,31600,31832,31969,32109,32470,32367,32574,32651,32572,32705,32896,33048,33161,33299,33632,33489,33681,33979,34067,34221,34257,34546,34699,35364,35633,36036,36190,35966,36024,36051,36132,36180,36093,36025,35850,36113,35954,973,918,914,922,925,945,991,1018,1073,1134,1230,1382,1612,1972,2376,2833,3518,4483,5626,6960,8447,9848,11242,12459,13783,15012,15793,16231,16385,16456,16586,16678,16721,16793,16843,16897,16942,16997,17031,17100,17181,17322,17339,17407,17449,17487,17559,17762,17760,17802,17935,18018,18385,18545,18686,18816,18552,18733,18572,18697,18714,18749,18633,18659,18728,18688,480,453,454,453,458,461,483,496,526,548,596,677,783,952,1157,1365,1707,2174,2716,3365,4083,4774,5445,6060,6707,7301,7695,7898,7943,8006,8039,8099,8118,8207,8184,8213,8265,8257,8272,8340,8370,8417,8416,8508,8465,8505,8566,8632,8666,8685,8727,8779,8964,8998,9080,9133,9071,9111,9066,9081,9101,9138,9042,9081,9055,9080
A06,Sample X6,A,0.206,0.152,0.142,0.143,0.151,0.166,0.192,0.241,0.313,0.409,0.537,0.65,0.785,0.968,1.122,1.216,1.351,1.462,1.577,1.666,1.746,1.801,1.899,1.941,1.959,1.972,1.969,1.962,1.912,1.885,1.849,1.812,1.792,1.755,1.724,1.706,1.688,1.652,1.641,1.635,1.612,1.59,1.587,1.578,1.548,1.564,1.551,1.555,1.627,1.616,1.619,1.602,1.576,1.57,1.605,1.556,1.562,1.568,1.554,1.565,1.54,1.55,1.539,1.524,1.523,1.537,1866,1794,1781,1784,1811,1861,1978,2126,2358,2623,3053,3617,4602,6182,8107,10265,13295,17511,22415,27410,32254,37094,41464,44714,47769,50025,51182,51453,51690,51698,51771,51704,51889,51711,51650,51471,51777,51775,51991,52201,52431,52816,53399,53893,54069,55400,56328,57232,52733,53497,53812,54138,54318,54788,54840,55228,55275,55214,55519,55485,55599,55808,55932,55831,56224,56359,977,929,922,923,933,968,1027,1124,1228,1355,1552,1869,2391,3161,4151,5287,6858,9029,11583,14122,16616,19062,21366,23183,24735,25826,26563,26812,26803,26877,26963,26850,26892,26872,26774,26816,26971,26918,27000,27139,27217,27470,27720,28001,28131,28861,29196,29738,27439,27892,27958,28062,28332,28357,28579,28625,28696,28854,28826,28836,28893,28956,28854,28993,29230,29204,473,457,454,457,460,473,502,541,596,659,755,906,1148,1529,2003,2553,3305,4351,5576,6830,8058,9309,10369,11225,12004,12576,12921,13020,13042,13027,13082,13032,13085,13066,13042,13058,13041,13072,13137,13189,13208,13326,13510,13603,13647,14011,14247,14509,13338,13563,13591,13706,13717,13800,13887,13954,13979,13955,13971,14036,14025,14040,14067,14123,14163,14199
A07,Sample X7,A,0.125,0.157,0.141,0.143,0.15,0.164,0.192,0.236,0.313,0.413,0.537,0.641,0.786,0.981,1.134,1.237,1.376,1.492,1.592,1.683,1.75,1.804,1.868,1.915,1.958,1.966,1.959,1.944,1.904,1.884,1.846,1.807,1.787,1.752,1.732,1.707,1.688,1.657,1.654,1.64,1.623,1.595,1.591,1.579,1.54,1.537,1.532,1.572,1.543,1.531,1.521,1.584,1.564,1.565,1.59,1.556,1.564,1.562,1.564,1.562,1.53,1.534,1.494,1.486,1.497,1.465,1819,1762,1780,1792,1814,1865,1978,2140,2357,2633,3004,3594,4561,6169,8025,10168,13163,17370,22067,26906,31562,36080,39800,42886,45556,47266,48023,48521,48417,48322,48609,48473,48628,48691,48713,48695,48873,49144,49004,49118,49323,49594,49969,50383,50759,51131,51813,53199,53921,54966,56190,55226,56716,57382,58062,58594,59776,61074,63555,66822,68877,70871,72157,72478,72532,73784,950,921,924,922,944,969,1034,1113,1225,1353,1542,1859,2382,3183,4138,5268,6781,8914,11355,13833,16307,18663,20613,22143,23534,24452,24895,25123,25092,25196,25192,25144,25264,25344,25198,25378,25439,25523,25514,25490,25709,25873,26046,26135,26278,26661,27045,27712,28125,28537,29202,28714,29393,29740,30162,30419,30926,31658,32926,34761,35630,36825,37507,37612,37756,38098,469,450,450,454,458,472,501,540,595,655,757,907,1146,1531,1995,2532,3284,4287,5466,6685,7860,8973,9993,10768,11440,11923,12113,12218,12305,12213,12244,12202,12259,12331,12300,12309,12344,12397,12413,12431,12423,12601,12616,12737,12821,12958,13096,13449,13657,13904,14233,13906,14262,14516,14709,14792,15044,15399,16030,16850,17318,17854,18169,18296,18363,18607
A08,Sample X8,A,0.122,0.138,0.141,0.143,0.149,0.164,0.19,0.231,0.299,0.392,0.52,0.631,0.766,0.944,1.118,1.215,1.337,1.461,1.565,1.645,1.733,1.792,1.881,1.914,1.968,1.99,2.005,2.007,1.961,1.933,1.901,1.862,1.834,1.811,1.78,1.746,1.746,1.694,1.707,1.69,1.675,1.644,1.631,1.636,1.646,1.681,1.667,1.678,1.65,1.648,1.63,1.616,1.626,1.615,1.591,1.579,1.577,1.556,1.56,1.543,1.52,1.52,1.52,1.492,1.507,1.484,1799,1782,1786,1773,1788,1877,1995,2164,2391,2682,3049,3705,4672,6256,8286,10537,13783,18429,24022,30026,36052,41903,47813,52858,57664,60759,63011,63864,63904,64238,64199,64501,64532,64778,64983,65019,65591,66142,66584,67962,68641,69804,70599,73023,66137,66792,67430,68205,68048,68529,68670,68757,68904,69308,69453,69612,69868,70220,70226,70314,70611,70732,71120,71655,72183,73056,931,916,921,923,930,969,1038,1130,1250,1392,1596,1911,2401,3207,4248,5416,7106,9523,12377,15415,18601,21606,24771,27484,29752,31687,32651,33161,33176,33404,33493,33566,33672,33706,33721,33860,34119,34330,34715,35370,35759,36231,36673,38046,34449,34826,35133,35455,35374,35622,35674,35749,35821,35904,36163,36248,36284,36328,36323,36485,36602,36954,36870,37168,37453,37838,464,454,450,449,457,472,502,552,604,672,772,930,1166,1546,2052,2632,3424,4567,5983,7460,8963,10470,11969,13271,14469,15355,15867,16114,16206,16205,16205,16276,16314,16415,16443,16483,16599,16737,16864,17103,17352,17574,17841,18424,16720,16907,17025,17188,17239,17312,17336,17368,17412,17474,17559,17615,17616,17650,17661,17806,17797,17970,17857,18059,18218,18466
A12,Blank B,A,0.129,0.126,0.125,0.126,0.125,0.125,0.125,0.125,0.125,0.126,0.126,0.126,0.126,0.127,0.127,0.127,0.127,0.128,0.126,0.128,0.126,0.126,0.127,0.128,0.127,0.127,0.127,0.127,0.128,0.126,0.126,0.127,0.128,0.129,0.129,0.128,0.127,0.129,0.128,0.128,0.128,0.127,0.128,0.127,0.127,0.127,0.127,0.128,0.127,0.128,0.127,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.128,0.127,0.127,0.128,0.127,0.128,0.128,0.127,1739,1651,1658,1656,1662,1684,1685,1677,1691,1690,1721,1713,1732,1718,1758,1749,1740,1754,1767,1772,1774,1802,1819,1821,1860,1871,1891,1916,1945,1960,1992,2021,2036,2089,2089,2097,2108,2137,2169,2171,2181,2200,2219,2218,2247,2258,2274,2296,2296,2295,2283,2313,2324,2332,2339,2350,2336,2332,2342,2354,2359,2354,2348,2351,2350,2340,912,860,860,862,867,877,874,866,892,887,894,892,897,908,909,902,908,914,908,920,935,933,947,945,963,969,989,989,1015,1027,1032,1050,1054,1076,1093,1091,1097,1113,1120,1126,1131,1143,1153,1150,1173,1173,1175,1192,1186,1185,1201,1211,1212,1207,1213,1223,1217,1220,1216,1210,1225,1219,1222,1223,1223,1220,446,419,417,421,424,428,424,429,426,432,429,435,437,440,442,444,447,450,452,452,458,457,460,473,469,472,482,491,491,498,505,513,519,520,524,530,535,543,550,554,553,559,561,562,566,572,571,581,583,591,583,584,588,589,598,590,595,597,599,595,592,599,595,601,600,601
