Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,22 h 8 min,22 h 28 min,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,22 h 8 min,22 h 28 min,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,22 h 8 min,22 h 28 min,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,22 h 8 min,22 h 28 min
A01,Sample X1,A,0.154,0.151,3.54,0.162,0.18,0.216,0.289,0.407,0.516,0.652,0.807,1.071,1.126,1.184,1.188,1.207,1.259,1.303,1.366,1.409,1.427,1.432,1.493,1.516,1.545,1.556,1.558,1.567,1.605,1.586,1.6,1.59,1.579,1.602,1.564,1.599,1.581,1.593,1.571,1.582,1.581,1.56,1.569,1.547,1.556,1.554,1.23,0.978,1965,1846,1846,1829,1845,1863,1866,1919,1989,2131,2419,2718,3042,3390,3727,4036,4289,4512,4723,4884,5054,5216,5328,5464,5555,5670,5742,5897,5951,6041,6129,6168,6249,6319,6389,6417,6497,6540,6661,6691,6731,6804,6892,6943,6994,7002,7925,8375,1023,972,951,951,958,958,981,1001,1041,1107,1245,1414,1572,1745,1931,2095,2208,2341,2442,2551,2621,2697,2783,2829,2907,2954,3022,3056,3097,3142,3187,3190,3240,3286,3321,3339,3372,3401,3443,3493,3518,3519,3568,3575,3616,3636,4124,4353,498,469,469,474,469,471,483,493,500,544,610,694,768,847,936,1007,1087,1140,1192,1233,1270,1303,1357,1375,1415,1457,1476,1490,1513,1527,1537,1557,1582,1598,1623,1629,1641,1662,1672,1697,1718,1723,1742,1751,1776,1782,2000,2108
A02,Sample X2,A,0.152,0.157,5.952,0.162,0.187,0.222,0.282,0.39,0.506,0.628,0.761,0.991,1.139,1.15,1.207,1.204,1.286,1.29,1.36,1.407,1.446,1.423,1.486,1.54,1.51,1.531,1.552,1.552,1.587,1.579,1.57,1.547,1.556,1.561,1.555,1.563,1.548,1.567,1.551,1.567,1.569,1.543,1.548,1.529,1.541,1.535,1.292,0.994,1864,1807,1786,1799,1798,1810,1821,1881,1934,2129,2690,3341,3849,4397,4999,5493,5854,6094,6325,6500,6691,6787,6901,7062,7134,7216,7295,7428,7489,7521,7603,7645,7711,7773,7807,7848,7945,7965,8060,8083,8100,8179,8245,8249,8315,8359,9886,9527,972,941,923,932,922,939,950,972,1017,1106,1400,1736,2008,2290,2591,2850,3035,3161,3277,3361,3443,3525,3573,3644,3702,3751,3799,3840,3877,3915,3953,3955,4001,4047,4086,4102,4111,4143,4169,4185,4209,4254,4275,4318,4326,4358,5129,4935,482,462,461,457,457,460,473,478,493,534,681,839,968,1103,1248,1374,1466,1537,1590,1638,1678,1707,1740,1770,1796,1825,1857,1870,1881,1901,1905,1931,1946,1959,1977,1984,2005,2023,2038,2039,2064,2077,2086,2093,2100,2107,2511,2392
A03,Sample X3,A,0.185,0.154,5.952,0.156,0.174,0.215,0.277,0.372,0.482,0.609,0.739,0.946,1.118,1.167,1.211,1.203,1.28,1.302,1.39,1.411,1.462,1.434,1.493,1.551,1.532,1.546,1.591,1.61,1.595,1.603,1.587,1.565,1.574,1.615,1.568,1.622,1.57,1.574,1.566,1.586,1.587,1.551,1.57,1.549,1.548,1.558,1.206,0.975,1918,1810,1816,1801,1796,1801,1845,1860,1948,2269,3788,6372,8381,10061,12303,14346,15779,16845,17401,17846,18227,18449,18797,18932,19102,19303,19533,19742,19804,19798,19967,20238,20261,20341,20553,20598,20788,20812,21128,20940,21154,21014,21197,21298,21371,21321,28829,25901,998,940,933,929,939,934,957,978,1025,1169,1942,3266,4327,5196,6402,7431,8150,8715,9036,9209,9389,9572,9707,9797,9920,9984,10098,10200,10290,10332,10326,10486,10554,10520,10612,10672,10790,10774,10930,10833,10983,10920,10958,11017,11096,11022,15029,13404,489,462,458,459,460,453,465,479,501,568,932,1563,2075,2530,3103,3578,3949,4209,4371,4459,4565,4657,4723,4752,4812,4851,4904,4956,4986,5006,5032,5089,5113,5122,5176,5204,5226,5262,5296,5270,5337,5322,5339,5330,5371,5375,7368,6474
A04,Sample X4,A,0.152,0.302,5.952,0.141,0.15,0.177,0.215,0.288,0.392,0.485,0.618,0.749,0.942,1.039,1.098,1.129,1.189,1.252,1.297,1.346,1.372,1.407,1.424,1.465,1.502,1.512,1.531,1.543,1.579,1.575,1.598,1.587,1.582,1.62,1.586,1.668,1.598,1.604,1.587,1.613,1.601,1.593,1.585,1.586,1.585,1.551,1.279,1.088,1878,1788,1773,1757,1770,1774,1791,1833,1875,2126,3276,9539,20905,32269,42108,53697,63564,71814,77713,81402,83973,85224,86919,88184,88669,89054,90051,90825,91033,91710,92540,92386,93319,93680,94165,94310,94510,95158,95228,95173,95143,95177,95186,95515,95052,95144,134709,110599,986,934,916,919,923,924,932,948,975,1102,1655,4871,10779,16624,21653,27638,33000,37267,40197,42144,43341,44458,45079,45544,45856,46318,46835,47239,47373,47566,48018,48110,48399,48520,48754,48995,49165,49335,49292,49455,49587,49616,49634,49462,49608,49266,70904,57476,475,463,454,453,456,452,455,461,474,533,785,2313,5142,7982,10508,13487,15826,17952,19465,20405,20998,21424,21763,22019,22272,22448,22664,22987,23057,23127,23341,23406,23409,23647,23654,23829,23893,23936,24016,24023,24065,24141,24092,24040,24120,23891,34884,27758
A05,Sample X5,A,0.152,0.151,5.952,0.152,0.168,0.203,0.252,0.35,0.465,0.576,0.692,0.828,0.998,1.165,1.225,1.183,1.248,1.308,1.387,1.384,1.417,1.45,1.463,1.509,1.563,1.559,1.605,1.646,1.632,1.619,1.615,1.649,1.643,1.636,1.644,1.685,1.632,1.687,1.607,1.633,1.642,1.606,1.604,1.613,1.615,1.576,1.31,1.121,1873,1803,1785,1794,1780,1798,1810,1852,1984,3006,10288,29198,53720,74351,95777,115760,131605,144225,152475,158847,163338,165615,168512,170464,171754,172152,174413,176117,175928,176957,177854,178288,178461,180383,180608,181294,181462,182600,183055,183428,183060,182935,182869,183157,183010,183302,260000,210494,979,941,920,930,929,935,943,969,1035,1520,5179,14938,27671,38347,49582,60193,68429,75354,79680,82488,84688,86079,87795,89040,89381,89751,91085,91604,92318,92543,93097,92956,93373,94341,94372,94590,95106,95208,95402,95732,95960,95745,95262,95778,95525,95479,140159,110278,483,464,453,453,458,461,462,477,506,730,2435,7123,13119,18456,24012,29143,33038,36250,38493,39900,40936,41764,42360,43025,43438,43805,44169,44538,44912,44998,45297,45407,45556,45633,45980,46211,46270,46489,46497,46636,46659,46478,46516,46475,46444,46507,69290,53517
A06,Sample X6,A,0.155,0.14,5.952,0.149,0.164,0.192,0.241,0.331,0.436,0.544,0.661,0.768,0.922,1.064,1.162,1.258,1.277,1.315,1.369,1.405,1.426,1.445,1.492,1.562,1.531,1.567,1.575,1.578,1.597,1.636,1.595,1.615,1.655,1.695,1.697,1.723,1.689,1.717,1.621,1.64,1.63,1.634,1.623,1.643,1.606,1.593,1.35,1.33,1879,1814,1798,1788,1807,1790,1834,1865,2128,7330,24551,54081,89901,131778,177596,223873,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,984,942,933,928,947,936,950,962,1079,3704,12305,27763,46724,68203,92631,117228,142169,162450,177177,190620,200130,208819,217052,221292,228489,232005,234071,238591,241703,244560,245620,247395,249385,254647,256401,254241,256170,257695,259305,260000,259584,259708,259674,259989,260000,260000,260000,260000,482,463,458,458,455,457,462,471,526,1727,5802,13258,22628,33084,44841,57068,69541,79109,86673,92611,98125,102254,106053,108533,112765,114409,115297,117810,119409,120351,121187,122110,123458,125877,127261,125816,126976,127395,128281,129805,129021,128525,128912,129939,129668,129936,192612,187948
A07,Sample X7,A,0.154,0.146,5.952,0.153,0.172,0.204,0.26,0.351,0.459,0.57,0.68,0.768,0.885,1.016,1.14,1.301,1.35,1.404,1.429,1.474,1.489,1.504,1.533,1.547,1.562,1.587,1.62,1.641,1.664,1.645,1.642,1.63,1.653,1.654,1.64,1.86,1.928,1.675,1.701,1.699,1.702,1.652,1.939,1.828,1.67,1.642,1.227,1.987,1883,1821,1800,1790,1804,1809,1844,1908,4000,18173,42890,75730,113305,154203,200134,255530,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,982,944,930,928,937,946,959,982,1965,9200,21872,38873,58311,80863,104472,134142,162749,195561,223527,245030,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,483,466,456,460,463,467,467,486,905,4312,10378,18598,28192,39189,51291,65614,80119,95923,109815,120941,130932,139409,147154,154754,160660,166614,172909,177408,180747,183063,186705,189500,192761,194018,194905,198462,199956,201456,202460,204164,205216,207179,207936,208591,209140,208198,260000,260000
A08,Sample X8,A,0.19,0.148,5.952,0.152,0.169,0.198,0.247,0.341,0.454,0.551,0.663,0.742,0.845,0.964,1.084,1.215,1.325,1.41,1.452,1.482,1.51,1.518,1.545,1.545,1.56,1.559,1.593,1.607,1.642,1.645,1.661,1.63,1.643,1.639,1.618,1.642,1.623,1.67,1.656,1.638,1.621,1.604,1.627,1.633,1.605,1.615,1.299,1.068,1881,1814,1785,1779,1800,1788,1830,1903,3730,16607,39566,70043,104581,143265,184716,230682,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,971,943,934,927,928,940,960,999,1847,8300,20196,35670,53634,73943,96485,120877,148975,177416,208290,237806,259785,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,479,461,455,453,462,457,465,483,847,3890,9583,16984,25876,35810,46814,59195,72827,86977,102797,117457,129870,140285,149681,156861,164675,171487,178352,184782,190643,196271,201058,204506,208186,211089,211908,216014,218586,222670,225454,229370,231155,231306,235714,244233,240616,241127,260000,260000
A09,Sample X9,A,0.154,0.138,5.952,0.153,0.172,0.205,0.259,0.356,0.476,0.568,0.682,0.764,0.862,0.951,1.069,1.181,1.293,1.404,1.493,1.527,1.604,1.605,1.626,1.646,1.643,1.657,1.689,1.724,1.725,1.717,1.741,1.745,1.777,1.782,1.766,1.763,1.78,1.752,1.786,1.774,1.752,1.771,1.767,1.758,1.748,1.723,1.439,1.266,1870,1801,1780,1789,1799,1822,1892,2226,6538,21942,45614,74759,109407,146243,186197,229450,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,975,941,922,928,933,945,996,1151,3232,11069,23340,38689,56406,75852,97060,120260,143754,171223,197857,226652,256800,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,473,456,453,454,458,463,473,557,1494,5183,11028,18432,27056,36712,47053,58480,70516,84101,97415,112034,126837,140865,153413,164661,175627,184525,195284,204032,211187,218711,226747,234317,241664,247007,249940,253196,255768,259265,259858,260000,260000,260000,260000,260000,260000,260000,260000,260000
