Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h 
A01,Sample X1,A,0.164,0.158,0.168,0.191,0.233,0.305,0.416,0.522,0.649,0.777,0.959,1.105,1.182,1.242,1.344,1.393,1.427,1.399,1.412,1.487,1.478,1.505,1.524,1.463,1.521,1.474,1.498,1.454,1.448,1.452,1.476,1.433,1.437,1.442,1.44,1.433,1.426,1.431,1.43,1.459,1.419,1.432,1.406,1.408,1.424,1.404,1.398,1.397,1.39,1.379,1.387,1.372,1.388,1.376,1.362,1.353,1.356,1.326,2660,2546,2562,2572,2611,2661,2703,2797,2997,3322,3649,3939,4254,4575,4780,5042,5228,5405,5569,5734,5863,6012,6168,6297,6399,6533,6591,6708,6806,6889,6949,7092,7202,7296,7371,7490,7571,7642,7763,7831,7925,8036,8134,8227,8359,8412,8527,8623,8756,8812,8885,9063,9096,9201,9374,9440,9518,9665,1376,1332,1331,1355,1364,1378,1413,1458,1538,1716,1896,2060,2215,2348,2484,2619,2719,2808,2889,2983,3065,3123,3196,3268,3331,3361,3412,3496,3516,3582,3646,3661,3741,3763,3823,3856,3918,3956,4003,4062,4133,4162,4218,4265,4319,4371,4419,4476,4535,4588,4623,4689,4717,4769,4840,4890,4924,4975,680,647,648,658,671,669,691,707,755,831,915,1002,1077,1145,1212,1272,1319,1364,1410,1445,1491,1526,1554,1587,1615,1650,1670,1695,1724,1755,1769,1798,1817,1841,1861,1889,1924,1925,1964,1977,2008,2038,2062,2075,2108,2119,2162,2178,2218,2246,2248,2289,2306,2316,2360,2376,2408,2431
A02,Sample X2,A,0.139,0.137,0.138,0.144,0.152,0.175,0.211,0.268,0.362,0.449,0.555,0.653,0.791,0.94,1.044,1.1,1.14,1.194,1.237,1.282,1.337,1.33,1.402,1.429,1.436,1.453,1.464,1.499,1.502,1.512,1.494,1.475,1.498,1.502,1.491,1.503,1.496,1.502,1.528,1.487,1.522,1.492,1.482,1.475,1.47,1.459,1.514,1.46,1.468,1.446,1.513,1.494,1.454,1.479,1.486,1.429,1.452,1.425,2567,2456,2467,2485,2506,2516,2543,2583,2618,2741,3106,5026,8801,14274,17691,20711,23630,26261,28016,29515,30470,31114,31546,32147,32409,32846,33375,33499,33925,34010,34023,34398,34784,34833,35345,35354,35712,35928,35993,36108,36143,36423,36355,36669,36754,37022,36929,36939,37016,37282,37221,37380,37450,37416,37542,37500,37608,37635,1349,1277,1282,1285,1300,1319,1318,1342,1354,1430,1616,2545,4506,7344,9191,10670,12281,13588,14565,15254,15782,16135,16380,16698,16816,17058,17311,17376,17571,17658,17682,17879,17990,18167,18351,18371,18511,18628,18745,18684,18819,18874,18948,18901,19113,19076,19221,19272,19247,19345,19335,19404,19443,19393,19385,19558,19598,19592,667,635,625,625,633,641,644,653,672,695,782,1230,2166,3499,4411,5168,5922,6542,7043,7396,7632,7797,7951,8024,8167,8304,8386,8464,8534,8563,8630,8655,8783,8827,8904,8935,9000,9057,9079,9121,9149,9182,9174,9224,9243,9262,9313,9348,9345,9389,9400,9418,9454,9436,9466,9433,9456,9530
A03,Sample X3,A,0.136,0.132,0.133,0.138,0.147,0.166,0.199,0.254,0.341,0.435,0.536,0.649,0.803,0.957,1.065,1.113,1.169,1.217,1.236,1.298,1.332,1.328,1.389,1.438,1.422,1.432,1.438,1.47,1.5,1.488,1.472,1.47,1.466,1.496,1.503,1.504,1.502,1.492,1.514,1.49,1.488,1.487,1.476,1.465,1.484,1.457,1.448,1.453,1.473,1.441,1.467,1.448,1.454,1.458,1.428,1.414,1.439,1.429,2549,2456,2461,2469,2504,2502,2534,2557,2613,2695,2819,3213,3705,4253,4620,5108,5543,5887,6201,6463,6640,6860,7031,7133,7289,7366,7444,7594,7656,7765,7799,7894,7995,8035,8123,8249,8344,8364,8452,8558,8580,8638,8742,8838,8931,8970,9022,9127,9206,9306,9373,9393,9483,9525,9639,9684,9811,9861,1339,1281,1280,1283,1296,1302,1314,1332,1361,1394,1463,1658,1912,2182,2421,2635,2849,3056,3212,3342,3468,3529,3650,3702,3748,3840,3882,3960,3972,4005,4067,4102,4153,4222,4234,4268,4325,4355,4401,4447,4474,4531,4546,4584,4610,4633,4697,4732,4753,4808,4848,4859,4925,4975,4988,5021,5073,5092,657,626,630,627,629,642,642,651,663,675,723,807,933,1054,1169,1273,1389,1488,1553,1618,1680,1724,1769,1797,1837,1865,1893,1913,1948,1959,1986,1996,2024,2045,2056,2084,2095,2104,2154,2147,2168,2201,2206,2218,2244,2272,2285,2305,2323,2335,2367,2371,2403,2408,2432,2450,2474,2487
A04,Sample X4,A,0.135,0.253,0.136,0.143,0.152,0.178,0.207,0.266,0.36,0.45,0.56,0.684,0.838,1.02,1.132,1.154,1.201,1.208,1.275,1.293,1.332,1.377,1.418,1.43,1.475,1.493,1.538,1.527,1.558,1.577,1.576,1.555,1.58,1.57,1.57,1.561,1.568,1.57,1.578,1.572,1.586,1.577,1.548,1.561,1.563,1.539,1.561,1.543,1.525,1.494,1.508,1.482,1.512,1.506,1.503,1.466,1.467,1.502,2554,2465,2461,2483,2496,2501,2543,2573,2644,2824,3961,10413,24382,43678,62459,74330,86883,95708,102915,108771,113370,116506,118527,120221,122125,123111,124196,125470,126539,126784,127840,128816,129309,130115,130955,132087,132194,132924,132702,132615,133303,133677,133960,134050,134035,134146,134718,133935,134370,134523,134479,134684,134561,134393,133561,134229,134031,133713,1336,1289,1286,1289,1289,1308,1316,1329,1360,1465,2003,5236,12484,22354,32276,38516,44929,49733,53623,56494,58847,60618,61803,62762,63276,63924,64839,65280,66149,66412,66680,67080,67606,67916,68455,68555,69118,68883,69435,69334,69683,69722,69521,69841,70171,69794,70035,70199,69833,70089,70103,69869,70204,69888,69637,70060,69504,69574,659,626,625,629,628,641,638,651,661,703,962,2459,5945,10674,15373,18606,21794,23987,25900,27385,28495,29277,29726,30363,30673,31202,31531,31858,32126,32168,32400,32619,32866,33052,33178,33380,33543,33610,33765,33777,33817,33821,33785,33974,34147,33994,33936,34081,34130,34119,34061,34048,34154,34015,33915,33910,33846,33926
A05,Sample X5,A,0.128,0.15,0.155,0.168,0.197,0.249,0.334,0.445,0.561,0.667,0.809,0.989,1.079,1.161,1.216,1.242,1.327,1.392,1.424,1.502,1.494,1.636,1.522,1.536,1.682,1.527,1.607,1.596,1.54,1.584,1.632,1.514,1.539,1.518,1.489,1.492,1.51,1.46,1.5,1.5,1.467,1.451,1.478,1.463,1.461,1.451,1.456,1.435,1.472,1.42,1.42,1.412,1.422,1.418,1.396,1.404,1.38,1.369,2577,2474,2465,2481,2536,2549,2583,2658,2834,3488,4702,5919,6538,7221,7844,8331,8558,8940,9116,9264,9454,9612,9710,9813,9877,9928,10037,10137,10149,10300,10404,10492,10568,10594,10667,10750,10845,10886,10990,11116,11119,11242,11316,11396,11504,11565,11632,11710,11826,11834,11936,11993,12100,12210,12261,12265,12342,12460,1349,1284,1290,1294,1306,1323,1341,1380,1478,1802,2440,3062,3390,3742,4052,4303,4470,4594,4714,4796,4881,4980,5054,5087,5129,5129,5205,5252,5292,5360,5397,5413,5496,5532,5557,5589,5634,5684,5726,5776,5824,5847,5902,5901,6002,6029,6037,6073,6116,6124,6218,6232,6289,6334,6375,6392,6432,6459,658,629,623,631,641,645,661,668,713,861,1172,1478,1642,1800,1978,2072,2164,2244,2286,2327,2378,2422,2435,2472,2504,2504,2540,2541,2579,2611,2631,2627,2677,2679,2705,2720,2735,2748,2773,2804,2823,2840,2864,2877,2899,2920,2926,2973,2968,2985,3011,3043,3040,3074,3071,3092,3104,3151
A06,Sample X6,A,0.14,0.154,0.163,0.182,0.217,0.281,0.387,0.497,0.61,0.71,0.825,0.97,1.08,1.15,1.211,1.259,1.326,1.37,1.416,1.434,1.448,1.492,1.458,1.453,1.508,1.469,1.459,1.442,1.399,1.522,1.749,2.142,1.454,2.553,2.006,2.423,2.88,2.974,3.344,3.297,3.389,3.346,3.359,3.344,3.333,3.424,3.365,3.421,3.415,3.161,3.566,3.55,3.563,3.393,3.558,3.555,3.35,3.479,2577,2459,2461,2476,2527,2554,2632,3074,7601,24851,52671,87835,117430,138221,161720,179468,193744,206368,216709,223195,235645,242856,251542,258953,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,1340,1285,1282,1292,1297,1333,1350,1563,3775,12501,26952,45127,61095,71520,84220,93731,101521,107690,113295,116697,123299,127289,132387,136565,140311,144986,148216,153103,155311,158959,161296,164742,167852,172386,175238,178097,182278,185602,193722,198271,210098,222042,231882,240164,242540,256604,254764,259649,259982,260000,260000,260000,260000,256955,260000,260000,254954,260000,655,629,627,629,642,644,659,753,1768,5911,12834,21579,29341,34718,40796,45375,49236,52214,55209,56741,60121,61975,64745,66741,69199,71208,72945,75358,75952,77876,79245,81071,81893,85148,86036,87970,89362,91403,95486,97749,103210,109229,113904,117981,119707,126897,126374,129745,129498,131919,130766,132038,132654,126851,134198,132059,126102,133930
A07,Sample X7,A,0.128,0.135,0.135,0.144,0.154,0.178,0.22,0.289,0.389,0.48,0.586,0.706,0.838,0.975,1.063,1.1,1.154,1.277,1.276,1.289,1.379,1.34,1.384,1.466,1.46,1.448,1.463,1.517,1.526,1.534,1.506,1.508,1.482,1.523,1.528,1.535,1.519,1.512,1.51,1.503,1.498,1.512,1.487,1.496,1.501,1.478,1.483,1.467,1.473,1.427,1.448,1.485,1.457,1.436,1.423,1.454,1.421,1.409,2531,2428,2436,2459,2475,2502,2552,2573,2631,2829,3601,7366,14113,22176,26342,30657,34479,37940,40017,41635,42747,43455,44221,44489,44809,45273,45550,46005,46235,46502,46743,46844,47381,47668,48218,48450,48636,48650,49184,49202,49305,49573,49611,50002,50037,50440,50463,50422,50658,50533,50863,51146,51062,51202,51063,51308,51555,51519,1330,1267,1261,1270,1284,1292,1316,1324,1358,1463,1861,3794,7289,11403,13688,15971,17930,19645,20835,21625,22206,22688,22830,23051,23292,23536,23699,23831,24000,24175,24317,24412,24540,24741,24916,25028,25236,25353,25448,25480,25678,25836,25755,25996,25940,26018,26069,26244,26301,26316,26431,26453,26495,26499,26515,26598,26823,26670,651,620,620,624,626,635,640,647,665,707,885,1791,3460,5495,6553,7696,8612,9487,10024,10451,10712,10953,11081,11189,11255,11482,11567,11553,11648,11733,11748,11844,11979,12027,12129,12182,12254,12320,12373,12414,12407,12484,12546,12569,12646,12630,12704,12749,12739,12799,12778,12814,12820,12892,12858,12904,12985,12960
A08,Sample X8,A,0.135,0.135,0.135,0.142,0.149,0.17,0.203,0.258,0.342,0.437,0.527,0.625,0.714,0.821,0.982,1.108,1.226,1.341,1.398,1.423,1.472,1.434,1.472,1.515,1.535,1.547,1.584,1.575,1.632,1.629,1.63,1.63,1.631,1.623,1.624,1.633,1.612,1.605,1.623,1.611,1.614,1.589,1.608,1.602,1.582,1.578,1.578,1.58,1.564,1.566,1.542,1.515,1.513,1.523,1.513,1.501,1.48,1.504,2543,2442,2433,2447,2475,2483,2500,2554,2607,3714,12891,31959,58690,91017,127086,166616,212752,254837,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,1315,1272,1261,1269,1283,1303,1305,1324,1354,1850,6439,16083,29924,46823,65873,86717,110942,134098,154238,175544,194195,208204,221356,231698,242109,250530,257807,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,656,619,621,619,622,625,639,648,660,868,2999,7597,14274,22567,31971,41835,53519,64675,75286,85598,94450,102168,108521,113645,119057,123459,127497,131495,135931,137989,140724,142031,144228,145873,147060,148160,149218,150661,151981,153475,153837,155074,156007,156202,156889,157036,157403,157497,157294,158414,158014,158955,159039,158537,159296,158788,158462,158694
A09,Sample X9,A,0.149,0.139,0.14,0.149,0.162,0.192,0.244,0.326,0.427,0.523,0.617,0.71,0.806,0.912,1.062,1.179,1.296,1.397,1.443,1.474,1.537,1.514,1.587,1.585,1.602,1.589,1.594,1.574,1.622,1.624,1.632,1.646,1.636,1.662,1.662,1.626,1.658,1.624,1.619,1.616,1.602,1.626,1.61,1.597,1.588,1.612,1.579,1.581,1.563,1.59,1.548,1.541,1.544,1.528,1.521,1.499,1.498,1.486,2560,2464,2435,2464,2488,2495,2552,2612,3740,14007,34173,61669,94727,131931,172088,216805,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,1330,1273,1271,1272,1297,1295,1329,1353,1869,6950,17377,31408,48782,68140,89646,112866,139395,165375,189304,216203,238021,256699,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,663,624,625,629,622,636,641,659,875,3231,8193,15025,23515,32908,43478,54960,68122,80487,92558,105452,117112,125950,134979,142370,149306,155874,162292,167560,174443,178741,182867,185947,188662,191552,195766,192789,193249,196094,201986,201801,202425,202749,206505,204793,209431,208099,207609,209717,209692,210371,211524,210240,210997,210087,211459,210297,210075,212721
