PBAD-rJ-mC,AraC-PBAD-rJ-mC,AraC-PBAD-mC,PCymRC-rJ-mC,CymRC-PCymRC-rJ-mC,RhaS-PRhaB-rJ-mC,PCin-rJ-mC,PPhlF-rJ-mC,PSalTTC-rJ-mC,PVanCC-rJ-mC,PTac-rJ-mC,PTet*-rJ-mC,PTtg-rJ-mC,PCymRC-rJ-mC.2,CymRC-PCymRC-rJ-mC.2
0.129066156,0.072497118,0.019377995,0.062466576,0.002881096,0.00164493,4.25E-05,0.017883372,0.108904412,0.022202417,0.034354352,0.004587096,0.0098244,0.004389801,0.001735341
0.113543827,0.064288188,0.012862068,0.069354259,0.002962632,0.000242772,0.647472488,0.018145929,0.107540288,0.039998778,0.074262606,0.188772326,0.015231692,0.017900094,0.004332647
0.119179833,0.066201209,0.019150959,0.059294815,0.004311408,0.004193702,2.041850879,0.015219977,0.117573021,0.104996517,0.140738165,0.60265858,0.030237929,0.08768933,0.005898403
0.113376206,0.067245697,0.018938989,0.06704706,0.004284396,0.003144197,3.887645567,0.033068144,0.134804174,0.402141568,0.426253597,2.427177569,0.067752426,0.420980381,0.034216579
0.122915948,0.07047915,0.021073761,0.113162833,0.006835086,0.000174986,5.583990538,0.028821098,0.205849167,1.902755529,1.089297421,7.125288667,0.194262313,1.874583916,0.171875661
0.142848939,0.076832508,0.025877665,0.237734056,6.16E-05,0.001258542,7.887981863,0.084618581,0.592691323,5.352084846,3.799265571,8.315949793,0.513137298,5.420916185,0.625788219
0.211435638,0.126316009,0.03176035,0.41190835,0.001258542,0.001562519,8.264710866,0.405748293,2.235164094,6.102177825,6.726166073,9.241001497,0.896784082,5.745619087,1.532252697
0.805740215,0.476468635,0.071343481,0.758601442,0.002926568,0.002793053,9.384960204,1.235255148,5.635278892,8.43284249,8.081484176,8.051291674,1.46780615,5.227849089,2.224459136
6.321629191,3.110801186,1.080803457,1.580773303,0.145986354,0.00811763,9.622098118,2.327226141,7.788712956,9.671233202,9.911447681,8.048859509,2.272264589,5.218800232,2.683211271
11.51379554,8.698760653,3.857942897,3.61085073,2.361839548,0.234646624,8.285010936,2.94451681,8.6873893,8.749071837,9.261266546,7.723299696,2.638414704,6.015153924,2.786909724
11.36463527,11.57479527,6.058454665,8.230397665,6.149326409,1.393008272,8.020685197,3.383282739,9.215349922,8.833103732,9.179444503,6.819867457,2.413800274,5.962821006,3.395024123
12.57450611,12.97523286,5.679659245,9.874812463,7.080689887,3.070426374,7.607798261,3.816910156,10.12488684,8.869487541,9.298629933,5.647014972,0.137973383,6.702225136,3.341371897
