time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,-1872.6,-1335.0,-957.62,-2584.98,-1494.56,-706.64,-1338.21,-2590.15,-2521.38,5814.66,-1815.9,-2574.43,-1945.49,-2051.74,-2609.42,-1242.81,-2254.83,-904.92,-888.57,-2454.93,-1512.01
20,-111472.87,-101857.14,-115319.15,-176923.08,-150312.5,-19090.91,-83076.92,-147027.03,-97555.56,-158750.0,-114228.19,-116470.59,-114340.66,-101400.0,-75000.0,-96779.66,-63888.89,-86296.3,-106716.42,-2501.085,-144242.42
40,-2898.82,-52.68,-2150.28,-1037.58,-1473.96,-187.51,-1932.2,-746.74,-132.47,-21.74,-2805.49,-4298.33,-2503.91,-2818.06,-1241.48,-1972.72,-3265.15,-2374.09,-3187.92,-2547.24,-582.61
60,3138.83,5731.4,1840.2,7547.82,14246.72,5528.77,5009.96,11042.55,7404.82,8267.51,1988.54,605.83,1624.17,2523.43,3845.04,4889.5,4310.61,4421.67,1152.18,1796.47,-611.87
80,-1173.22,1253.5,-74.98,585.91,644.16,561.43,1316.4,1878.79,2130.57,-313.09,-1573.18,-2189.54,-1764.31,-139.91,-913.65,427.9,-18.79,-2622.53,-1646.27,-1786.1,-47.5
100,-241.7,1065.8,258.85,559.17,1789.93,934.26,541.78,1392.63,512.45,-120.82,-70.33,-676.32,-632.02,577.95,151.05,699.42,189.93,89.28,-437.02,-257.12,172.38
120,289.43,1056.19,475.16,543.16,735.07,436.85,564.11,866.09,391.13,271.03,-23.43,161.2,-106.69,250.2,384.82,267.32,-1.16,-26.99,-10.16,-309.49,36.96
140,34.78,593.46,492.1,739.48,1031.69,293.02,860.6,753.62,437.91,71.78,318.15,99.13,62.06,270.7,400.24,655.03,159.55,194.26,-467.08,-215.61,460.94
160,74.36,391.82,274.42,198.87,356.32,186.3,238.07,216.83,258.37,244.07,160.88,160.15,87.04,220.61,114.32,127.28,82.86,150.21,-15.33,-6.32,213.0
180,157.83,263.99,179.28,150.85,285.16,158.72,128.55,151.64,200.14,129.93,48.57,54.41,82.27,136.61,-44.95,59.35,171.32,111.86,88.97,14.39,73.51
200,185.78,188.23,199.19,170.39,263.1,134.03,97.58,126.67,198.35,352.45,45.76,69.66,91.86,133.31,97.78,154.94,171.23,168.45,180.49,72.4,172.36
220,217.73,238.64,233.4,113.25,257.09,204.04,133.61,153.39,233.81,365.35,121.03,114.41,118.22,227.37,187.11,207.48,215.51,188.22,129.17,110.77,255.01
240,258.58,291.52,245.71,154.6,379.71,231.03,144.05,159.2,279.51,432.18,134.77,171.16,95.98,189.15,198.61,275.22,251.93,215.08,147.81,142.46,255.59
260,328.51,369.29,263.11,166.49,371.68,270.29,116.32,189.5,314.48,643.6,160.37,167.76,172.99,230.5,308.94,393.41,316.19,162.76,209.42,130.43,290.17
280,361.3,495.06,273.39,145.91,411.79,330.55,113.32,233.38,375.76,725.91,202.53,210.49,195.13,335.33,444.05,503.64,403.64,341.33,376.12,162.77,367.87
300,409.47,580.79,339.24,157.39,462.47,417.79,155.72,264.7,443.62,804.9,245.38,274.81,256.28,415.6,534.28,585.97,302.62,253.43,325.15,234.77,359.68
320,467.77,689.19,438.28,261.92,551.88,456.45,257.09,312.35,520.52,860.44,313.36,288.27,287.1,520.79,622.1,707.54,534.25,324.79,434.65,269.16,514.74
340,382.41,696.19,441.78,230.5,558.09,488.97,247.67,280.7,509.21,848.46,268.8,283.3,262.9,471.68,629.95,701.02,557.14,474.19,422.55,268.1,553.55
360,459.51,721.71,471.77,246.63,597.39,477.72,265.72,313.93,534.35,841.44,309.73,277.54,270.56,465.28,634.3,737.17,550.15,504.49,378.74,224.86,553.61
380,473.51,755.01,457.0,225.34,577.45,535.63,279.72,288.6,542.86,855.57,294.51,265.54,300.88,401.67,645.37,786.63,599.41,490.41,412.54,248.46,548.79
400,443.81,798.82,477.38,269.86,609.22,541.34,295.23,310.14,564.1,857.27,325.73,275.53,281.5,527.02,712.58,785.77,613.79,497.63,375.45,263.22,605.67
420,487.08,875.19,537.07,309.67,634.21,569.23,337.42,333.55,614.0,868.88,352.85,328.27,320.23,499.25,717.16,869.3,683.11,555.41,443.2,297.42,641.73
440,508.2,865.99,543.34,290.0,647.34,614.19,359.63,351.3,662.96,859.17,401.6,291.49,285.61,538.19,752.92,842.68,696.19,549.3,481.39,303.91,650.66
460,520.49,899.23,553.37,343.48,663.67,602.71,390.58,348.05,659.95,899.68,384.31,294.36,343.4,506.15,766.59,889.52,706.41,561.69,499.86,307.34,654.63
480,537.13,878.4,556.3,320.51,629.06,582.15,387.66,341.77,680.62,875.82,384.6,332.28,313.69,550.56,747.5,846.4,690.16,574.53,494.95,290.22,625.38
500,537.08,935.6,567.08,343.7,666.64,612.92,398.87,374.99,659.33,904.11,440.57,331.15,346.96,578.67,488.59,594.19,724.39,613.49,464.21,330.55,667.06
520,525.03,908.69,521.02,312.53,651.56,608.73,395.26,354.92,701.46,873.55,460.52,310.97,317.01,556.36,770.18,888.68,739.6,535.26,386.84,137.84,674.63
540,576.04,898.04,556.93,351.14,662.51,625.88,431.12,357.0,706.18,892.89,465.44,318.18,372.2,567.15,775.36,912.63,701.08,629.19,539.2,304.46,679.0
560,564.65,890.92,554.94,322.28,692.49,620.61,419.6,374.26,704.28,883.37,452.02,307.2,362.53,548.73,792.56,911.11,714.17,612.78,530.48,293.32,681.84
580,513.15,962.34,568.69,369.5,686.0,656.58,448.91,383.35,740.12,898.52,432.94,344.37,368.72,568.22,831.48,988.95,612.59,405.14,560.46,295.5,722.35
600,550.35,949.55,547.61,356.82,684.37,683.92,480.26,377.22,697.45,869.0,423.67,320.81,384.2,532.95,803.05,923.26,736.28,614.66,544.63,308.95,715.23
620,572.53,930.41,600.66,399.79,713.92,685.2,451.82,392.1,742.27,900.55,401.58,357.12,387.83,516.86,801.06,944.25,749.0,631.13,377.25,135.52,735.74
640,539.95,916.19,591.13,386.98,707.37,649.78,450.36,360.17,740.9,860.66,437.8,313.33,390.91,535.86,786.26,952.37,759.0,685.65,517.93,296.3,737.51
660,592.96,983.8,654.33,396.53,717.92,696.59,445.26,360.55,730.86,876.76,395.13,334.94,399.78,574.31,845.23,952.72,847.11,684.97,614.54,383.34,754.52
680,612.52,1021.01,667.81,419.24,711.9,693.6,486.89,428.18,763.14,943.57,432.6,351.51,421.58,619.55,644.59,436.15,840.72,725.28,632.16,316.27,765.07
700,647.71,1039.15,696.11,420.84,754.07,739.42,510.55,436.13,803.09,978.24,432.01,375.42,451.36,609.86,879.09,1000.11,858.79,698.78,598.73,280.69,791.76
720,626.84,1001.95,661.72,402.37,748.36,716.07,477.73,410.67,788.62,941.01,470.91,369.99,450.9,601.95,855.88,1034.89,872.1,696.06,653.14,398.69,783.15
740,688.64,1093.8,709.21,472.92,805.3,780.08,518.96,481.18,860.22,984.41,494.42,394.55,502.37,673.03,916.05,1047.96,866.09,757.49,678.04,437.23,858.56
760,690.03,1055.07,712.89,437.03,801.12,730.95,502.15,405.3,834.82,970.72,470.12,355.29,470.66,626.37,888.78,1043.18,895.15,712.62,677.05,401.25,815.85
780,680.64,1064.26,685.63,412.65,797.07,762.61,486.17,461.23,832.58,958.91,450.03,358.77,439.5,626.91,883.4,1042.18,857.13,673.07,581.79,328.77,799.38
800,657.05,1041.61,685.83,474.73,766.25,761.32,501.46,432.2,838.31,983.79,447.67,350.58,438.02,635.9,885.65,1049.26,882.57,705.78,505.46,389.84,814.63
