time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med,gfp_med,gfp_low
0,557.13,1290.37,2239.97,555.49,161.96,7194.8,19.73,1342.93,651.35,7692.96,1358.55,1094.75,1921.84,-13.34,7835.82,272.37,563.09,5600.53,630.43,1567.16,3538.95,13625.29,4894.64,2207.41,939.27,712.53,5000.0,712.53,-136.78,15015.31,-583.42,368.01,1686.09,624.94,207.62,-264.95,3417.22,302.49,441.88,551.05,-142.52,4744.91,37.31,875.82,1240.08,603.12,-223.88,256.87,274.85,-697.51,478.31,632.43,-42.97,608.1,405.27,-592.75,1457.87,777.0,1207.91,-468.27,-269.44,-812.83,1688.28,826.48,350.79,1628.92,843.95,5669.15,2992.07,2451.21,7835.82,-423.11,-21.32,2215.99,-307.04,1035.82,411.58,2684.31,263.57,978.68,177.59,127.49,-412.77,172.27,-111.55,48.21,3226.45,528.13,3811.43,392.21,1236017.64,882835.82,44324.46
20,-542.23,3282.06,-428.2,10604.5,571.85,22807.3,1268.83,3949.0,994.11,10672.68,41.73,208.75,-808.09,33.3,3004.08,1608.73,2112.95,5727.77,1059.04,6027.33,15994.11,45604.5,947.27,-525.08,-1093.22,-19077.32,-461.14,2070.57,-735.21,7814.84,526.13,5.46,129.86,5114.99,1818.28,3.33,44.04,-43.99,779.82,-208.9,2201.44,2565.54,3017.92,837.31,36172.68,7857.46,-42577.32,3587.06,-774.74,-68577.32,-794.37,-130.51,-1704.84,1172.68,-545.23,-930.98,-1339.7,10499.6,-1327.32,1215.78,-1077.32,-1030.93,73.28,-974.76,-159.02,1403.26,877.23,2565.54,6118.33,9822.68,-7577.32,-1501.09,-1712.18,4602.17,-1366.94,644.9,-1903.56,478.24,-1507.36,-1542.84,-408.01,2422.68,-1287.0,-1430.37,-1266.34,-753.22,2110.18,-608.82,5756.01,-834.2,744153.45,1185657.97,59382.02
40,-17738.1,-11071.43,-18218.49,-142142.86,-14457.5,866428.57,-5664.45,-15150.38,-65793.65,-1285.71,-10714.29,-20052.12,-19211.24,-18571.43,5228.57,-13571.43,-1864.11,716428.57,20178.57,-42321.43,-35793.65,-38201.06,-12355.21,-19916.81,-20420.17,-30159.66,-20038.82,-9152.82,-19020.15,-14247.1,-8449.48,-19692.64,-36263.74,-10515.87,-32215.5,-20752.9,-9371.43,-18667.58,-17448.98,-17919.25,-9797.84,27337.66,-23194.17,50178.57,-41285.71,-36904.76,-33071.43,-14850.5,-20904.76,-30679.86,-20848.21,-11729.32,-21790.05,-14196.43,-15150.38,-20387.07,-345.62,-43883.93,-33571.43,-17552.91,-20714.29,-18333.33,-19297.92,-16739.75,-16656.53,-10162.34,-15184.33,65000.0,-38571.43,-53071.43,-26768.15,-21082.54,-21593.41,-43988.1,-21909.8,-12919.25,-20817.81,-17438.1,-18888.89,-20029.76,-66648.35,-14904.76,-15150.38,-21789.82,-20772.79,-20947.85,-16746.03,-13321.43,-161571.43,-12844.16,-796071.43,-1184682.54,20012.98
60,292.4,1129.92,-416.35,1528.03,-289.84,5709.06,-308.98,716.64,-500.61,3928.76,-800.68,-775.56,-904.18,-400.09,694.0,-412.07,1369.0,2028.51,1255.36,1522.17,1908.56,5819.82,-702.63,-342.99,-1567.25,16601.92,-1268.36,782.59,-989.65,1061.63,606.12,-1049.79,-608.5,2471.88,1704.83,-1418.52,2009.57,-552.9,-856.47,-637.09,271.95,-95.2,-486.19,-964.01,4767.28,3209.06,6467.26,-472.63,-1424.17,12144.25,-1548.4,-405.8,-1810.17,1157.54,-1350.11,-1222.75,-1457.92,3625.73,698.19,-1050.19,-1351.56,-1285.21,-915.94,-377.38,-737.01,-584.8,-1557.68,543.97,1403.51,632.53,-8887.09,-1955.41,-1925.69,876.59,-1954.96,-1316.8,-1860.81,-616.69,-1822.3,-1446.73,-1612.36,420.6,-1771.7,-1996.85,-1590.04,-1256.09,56.08,-197.33,1724.69,-894.34,1540173.35,879115.93,40242.49
80,893.87,1088.03,523.48,1256.46,734.64,1467.51,790.95,871.5,386.93,677.51,310.73,777.12,389.56,656.07,521.32,495.28,826.92,947.41,783.74,641.29,803.36,637.04,755.13,200.51,274.69,990.25,505.61,611.56,673.85,896.08,420.15,638.32,356.39,795.92,418.99,532.41,2804.61,383.3,50.97,90.69,429.49,502.11,935.83,-42.32,934.02,-7.59,14.51,546.1,-96.82,434.87,148.64,-149.53,13.04,26.53,350.68,-53.78,-114.54,478.16,-196.46,476.81,228.89,115.77,184.88,259.78,-294.67,353.46,196.29,381.65,254.46,234.59,3757.48,121.69,-190.41,117.38,-5.17,239.91,-259.67,440.09,222.41,187.91,103.02,484.95,-144.96,138.14,-78.85,-73.6,992.27,567.79,1021.24,460.24,264299.63,230116.84,26061.38
100,296.48,691.65,243.26,517.13,338.69,412.05,258.9,234.05,265.78,377.38,46.54,428.42,176.08,294.82,-65.46,64.95,187.12,69.88,-131.8,298.12,72.28,113.69,243.16,386.01,-31.43,618.65,168.81,42.3,316.13,150.1,151.35,-11.33,98.19,327.71,-175.27,228.78,998.83,54.72,-90.03,-72.09,-91.86,-142.3,81.84,10.74,54.69,-0.76,-115.86,394.18,-159.84,159.23,-289.84,19.59,-135.81,28.35,-307.01,-401.0,-168.58,-192.48,-271.87,132.21,-268.61,-194.17,-2.94,-96.66,-111.24,-40.66,25.37,-196.91,-111.12,-153.8,1317.69,0.76,-117.04,199.99,-297.76,-23.7,-440.85,-114.61,-151.24,-175.41,-164.45,-53.75,-133.32,66.61,-166.69,30.73,20.08,366.92,134.74,-33.85,182127.03,177959.21,19091.74
120,440.23,451.96,364.32,634.32,306.94,411.25,268.61,425.45,388.69,503.13,281.15,294.58,457.72,418.44,462.87,321.96,401.19,370.38,292.45,262.81,197.31,341.94,358.9,279.1,301.77,528.52,340.58,431.53,430.13,573.8,308.93,365.2,219.81,359.98,221.54,309.93,2049.79,202.97,324.47,90.5,253.39,240.2,304.66,61.18,216.62,178.27,267.32,364.65,265.43,349.44,257.97,110.44,93.98,166.7,74.99,46.93,30.86,254.17,49.19,270.99,189.6,110.44,239.1,100.34,58.87,213.95,28.76,136.61,67.43,249.71,578.99,282.94,168.5,229.13,48.91,72.25,152.72,311.0,191.17,73.57,-1.4,109.98,140.36,170.07,172.88,328.8,429.23,306.63,301.48,87.26,166455.74,178599.27,15931.9
140,309.85,267.8,189.23,296.77,120.25,340.51,132.27,140.83,185.76,270.19,138.64,197.32,122.14,-100.5,226.38,108.92,177.14,149.63,189.66,208.85,98.23,114.01,210.9,214.72,56.35,256.67,135.52,203.34,447.39,262.97,198.36,101.32,103.32,145.56,159.15,109.62,1329.06,94.95,75.41,185.34,143.04,33.73,127.87,21.25,158.7,165.28,86.27,237.9,31.47,194.46,99.45,94.48,64.07,31.19,119.11,25.53,-27.91,89.7,-26.78,46.62,75.85,48.06,116.28,16.49,29.79,-24.61,121.39,21.19,88.68,125.54,429.33,66.9,30.77,110.19,-37.27,117.27,-30.78,154.41,45.46,-20.12,26.2,5.23,99.2,-4.65,43.31,146.26,232.21,98.08,271.01,65.95,136904.93,148712.48,12767.33
160,122.69,189.25,155.98,137.11,110.12,211.03,112.44,235.97,155.16,202.31,125.68,205.43,166.41,169.5,92.76,108.63,83.85,137.82,132.32,96.85,109.2,120.98,147.3,227.79,137.68,123.23,148.87,152.51,209.02,127.11,75.14,146.09,94.48,69.13,113.77,165.51,350.66,114.15,143.1,48.9,83.5,78.96,51.69,17.12,76.94,9.52,76.59,97.22,33.44,24.33,62.01,32.81,32.8,34.15,57.41,73.62,76.05,4.13,44.08,79.98,108.17,71.96,63.99,33.81,40.89,39.18,93.33,79.66,69.97,35.0,50.25,22.69,146.23,168.52,11.46,21.17,15.98,-1.75,59.34,53.02,54.88,20.25,85.67,95.83,74.85,81.22,221.24,92.64,109.26,52.85,98759.14,99375.15,10737.28
180,350.43,951.76,961.68,116.6,1968.13,2495.19,57.76,1057.56,177.61,734.31,55.26,114.26,135.01,827.54,29.81,1.3,45.03,136.4,80.6,79.89,64.22,104.28,92.31,1438.79,413.46,258.27,1159.52,241.11,38.29,229.58,107.14,40.71,11.28,805.36,26.52,198.03,368.16,1124.6,62.56,62.81,325.13,1912.25,911.33,1617.73,278.96,1039.65,342.68,87.94,51.09,90.05,98.55,-18.27,-7.48,29.65,555.3,688.06,1271.15,72.48,320.48,1912.94,384.63,1141.87,1251.18,1428.51,1140.82,2044.57,626.77,671.75,1176.13,-24.94,21.88,325.91,1029.6,-102.36,-30.7,263.59,412.04,241.82,252.02,773.25,-15.2,-43.21,-48.9,159.27,167.44,154.44,173.26,86.1,108.28,32.7,81340.39,81676.58,10397.21
