time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med,gfp_med,gfp_low
0,-5725.813333333333,-4804.306666666666,736.6266666666666,2.273333333333388,-2242.38,33.74666666666659,-2099.286666666667,-1762.5633333333335,-1861.0533333333333,686.1333333333332,-1883.6633333333332,-1273.48,-5018.816666666667,1424.08,2356.5099999999998,177.34000000000006,-982.1033333333334,229.71000000000004,-819.0866666666667,598.0466666666667,1886.7166666666665,12493.613333333335,1153.8133333333335,-1002.9500000000002,5039.746666666667,-482.4800000000002,2947.186666666667,615.5699999999999,-1728.2300000000002,3978.286666666667,-2224.6566666666668,-1157.39,-1546.3033333333335,-1533.5833333333333,-1540.6866666666665,-2135.673333333333,1139.5299999999997,-899.3133333333332,-249.94000000000003,-1698.53,-1202.4133333333332,728.9633333333333,-1564.0366666666666,-392.2033333333332,42.46333333333329,-1034.67,-905.32,-2078.27,-1327.2933333333333,11574.293333333335,-1157.1833333333334,-190.77666666666678,-1963.3466666666666,913.3166666666666,-1341.6366666666668,-1341.6466666666668,-1513.0533333333333,839.64,-337.7799999999999,-2240.1433333333334,-1183.0133333333333,-872.3899999999999,-733.1,-678.2199999999999,-876.5533333333334,-897.0066666666667,-432.5166666666666,525.9200000000001,227.69666666666672,4344.12,972.9499999999998,-2656.0533333333333,-1698.6066666666666,2640.8766666666666,-2099.7966666666666,-403.6133333333333,-2083.69,-179.09333333333325,-1833.87,-861.1533333333333,-1794.6733333333334,-495.8633333333334,-2268.52,-2532.91,-1852.033333333333,-1992.3533333333332,580.87,-488.76,1693.03,-312.65,786282.0433333333,835317.5366666666,29610.68333333333
20,3402.0166666666664,8508.863333333335,3255.803333333333,4422.61,3703.52,8165.616666666668,-19320.54333333333,14887.323333333334,-953.6533333333333,-5673.843333333333,3034.9233333333327,2484.2033333333334,2640.473333333334,5735.420000000001,14132.91666666667,-55389.91333333333,-4033.2533333333326,-11557.963333333335,-3723.640000000001,2935.813333333333,7233.456666666666,18145.18333333333,5721.44,2045.3666666666668,2534.223333333333,-3288.8333333333335,2999.5166666666664,-2238.143333333334,2589.7799999999997,-394.1566666666667,5870.986666666668,3233.1699999999996,9852.543333333333,2342.463333333333,-3336.0699999999997,2438.2033333333334,3208.6533333333336,4987.493333333333,4266.11,5738.63,18023.95666666667,-23430.13,-9456.286666666665,25.639999999999947,12494.896666666667,4079.2533333333326,-10757.859999999999,3782.6266666666666,1986.2700000000002,-20857.643333333337,2169.5066666666667,-20645.850000000002,1932.32,13404.300000000001,8412.806666666667,1787.8799999999999,437.2466666666666,3030.986666666667,1033.06,2900.26,2219.7566666666667,3503.866666666667,3584.5866666666666,4219.713333333333,5259.426666666667,4678.58,5675.350000000001,2638.3166666666666,3768.9133333333334,6298.69,1856.9933333333336,1746.8966666666665,1666.0466666666664,52.29333333333326,1725.05,5455.993333333333,1481.2033333333331,7900.760000000001,2890.2999999999997,1938.5999999999997,-20772.263333333332,-4912.71,2321.85,1459.7266666666667,2194.5099999999998,1994.3533333333332,4035.466666666667,4621.243333333334,27786.446666666667,82068.63333333332,260556.25666666668,503356.69333333336,36659.00666666667
40,-6026.11,-2808.9233333333336,-6127.363333333334,-45903.83666666667,-5312.123333333333,289242.49,-2205.0933333333337,-5341.32,-22464.083333333332,1.5033333333333303,-4222.26,-7222.876666666667,-6741.25,-6091.056666666666,2006.7166666666665,-4336.5233333333335,-548.0733333333333,238668.28,6774.386666666666,-13787.496666666668,-11215.283333333333,-12131.436666666666,-4123.196666666667,-7305.346666666668,-7294.906666666666,-7473.416666666667,-7201.276666666668,-2137.5733333333333,-7036.126666666667,-4134.0633333333335,-3722.1499999999996,-7330.683333333333,-12814.906666666668,-3352.396666666667,-10702.053333333335,-7749.600000000001,-2626.3866666666668,-6472.996666666667,-6090.326666666667,-5754.496666666666,-3298.59,8935.003333333334,-7872.356666666667,16938.856666666667,-13761.89,-11423.373333333335,-10670.123333333335,-5694.246666666666,-7423.259999999999,-5356.593333333333,-7636.596666666665,-3257.023333333333,-7993.02,-4075.97,-5836.223333333332,-7402.593333333333,-660.2666666666667,-14630.089999999998,-9220.023333333333,-6361.966666666667,-7689.990000000001,-6519.3,-6344.293333333334,-6045.066666666667,-6038.169999999999,-3946.84,-5771.433333333333,21065.056666666667,-12607.609999999999,-17666.57333333333,-19780.86,-7766.2733333333335,-7840.260000000001,-13641.873333333331,-8044.3533333333335,-4480.043333333334,-7847.286666666667,-6248.25,-7181.329999999999,-7283.536666666666,-22901.456666666665,-5219.913333333334,-5842.623333333333,-8305.283333333333,-7394.426666666666,-7584.676666666666,-5879.47,-4458.456666666667,-53530.86666666667,-4489.47,45886.23333333333,-33571.00000000002,19059.12
60,34.27666666666666,1129.8266666666666,-351.04333333333335,2638.5466666666666,-381.90333333333336,3262.0433333333335,245.28666666666666,758.6633333333333,-170.72333333333336,2734.8266666666664,-847.6733333333333,-559.7333333333332,-843.4766666666666,-140.45000000000002,191.80666666666664,-0.81666666666667,434.45666666666665,1020.2766666666666,509.7633333333333,1047.6033333333335,1070.32,2660.41,-560.12,-425.6266666666667,-1080.9666666666667,9324.313333333334,-967.9999999999999,712.7866666666667,-801.1033333333334,779.8966666666669,-217.39666666666665,-789.0433333333334,-712.4899999999999,4743.036666666667,-69.85666666666667,-889.4966666666666,359.0033333333333,-282.9,-758.2366666666667,-8.7599999999998,-179.20666666666662,290.3633333333333,-297.18666666666667,-53.09666666666666,1952.1266666666663,1832.4433333333334,5437.306666666667,-369.40333333333336,-1201.45,6154.083333333333,-1189.3300000000002,85.86333333333333,-1297.0633333333335,533.0266666666666,-1091.7066666666667,-1243.6333333333332,-1128.9566666666667,-39350.176666666666,-218.89333333333332,-675.2133333333335,-1077.47,-1043.61,-630.48,-433.74,-603.5733333333334,-149.49000000000004,-903.6666666666666,364.37000000000006,423.75,1160.5233333333333,-168.97000000000017,-1131.5966666666666,-1373.89,611.5033333333333,-1489.2533333333333,-352.16333333333336,-1505.51,-432.12000000000006,-1322.6499999999999,-976.7733333333334,-1281.1533333333332,476.34666666666675,-1392.14,-1061.4666666666665,-1186.5333333333335,-1176.03,-352.91,-216.26999999999998,656.4133333333334,-122.69000000000004,823058.9500000002,635594.3333333334,26553.25
80,486.2633333333333,606.7533333333333,306.4166666666667,1222.6200000000001,1.6899999999999977,724.8533333333334,457.6566666666667,477.69666666666666,396.13000000000005,731.3233333333334,-105.75,206.04333333333338,28.82333333333334,315.56,571.7066666666666,292.5066666666666,1025.1433333333332,651.5166666666667,313.7,748.94,1053.26,932.89,276.1033333333333,-217.13333333333335,-83.2,1878.4066666666668,29.459999999999997,166.57999999999998,22.463333333333356,552.1566666666668,142.21666666666667,71.23,-120.22666666666667,968.4433333333333,-88.92333333333333,-115.98666666666668,930.4533333333334,110.44333333333334,-97.01666666666667,300.09000000000003,391.74333333333334,326.78,528.0033333333334,40.826666666666675,625.3933333333333,516.98,1940.1800000000003,102.08999999999999,-427.1233333333334,1162.3799999999999,-370.4633333333333,13.313333333333338,-359.09666666666664,-219.15333333333334,-53.44999999999999,-565.2466666666667,-113.00999999999999,961.4033333333333,-114.86666666666667,-51.05333333333332,-344.24333333333334,-221.39333333333335,-73.55999999999999,-107.84333333333335,-485.2666666666667,-204.36333333333334,-207.74333333333334,-33.58333333333335,104.98000000000002,1089.5166666666667,3268.2099999999996,-345.3233333333333,-590.9699999999999,245.15666666666667,-468.4766666666667,-280.3566666666666,-542.0866666666667,-278.1666666666667,-192.74333333333334,-433.5733333333333,-215.24666666666667,-54.15333333333334,-633.3133333333334,-462.98333333333335,-356.1033333333333,-445.6433333333334,26.77333333333333,124.08333333333331,198.42999999999998,123.45666666666665,503865.4199999999,980234.3733333334,21952.78
100,451.99666666666667,580.3133333333334,318.55333333333334,731.6433333333333,338.09666666666664,492.6833333333334,204.34,292.55333333333334,285.40333333333336,527.41,-6.360000000000004,265.17333333333335,139.12666666666667,315.13333333333327,215.20000000000002,234.85,360.2833333333333,275.57666666666665,325.55,473.12999999999994,257.1466666666667,344.8233333333333,68.38333333333334,244.36333333333332,56.68333333333334,660.1366666666667,211.87333333333333,407.51,102.81666666666666,394.97,143.79,-75.06,105.21333333333335,378.09999999999997,-115.78666666666668,204.85333333333332,530.35,172.01333333333335,44.32,281.1933333333333,219.24666666666667,179.53666666666666,37.050000000000004,284.91333333333336,172.87666666666667,18.616666666666664,11.646666666666667,249.4433333333333,-70.82666666666667,328.45666666666665,-81.78666666666666,221.41333333333333,-136.07666666666668,136.42666666666665,-48.26333333333333,-226.82333333333335,-31.460000000000004,159.67666666666665,-199.60666666666665,97.07000000000001,-109.35000000000001,-100.09666666666665,-12.1,-63.14333333333335,-51.080000000000005,-96.39333333333333,35.85,27.196666666666662,148.29666666666665,105.25666666666667,780.1933333333333,42.76666666666667,-115.59666666666668,138.67333333333332,-216.41666666666666,19.573333333333334,-345.21000000000004,18.956666666666667,-81.19666666666667,-173.42666666666665,41.14333333333334,282.8066666666667,-280.1566666666667,29.159999999999986,-55.79,-74.23333333333333,64.42999999999999,269.4066666666667,121.89,98.24000000000001,193389.67,218101.87666666668,16541.50333333333
120,417.6933333333333,501.0533333333333,334.74333333333334,562.5300000000001,256.0066666666666,361.6366666666667,375.07666666666665,307.0,277.7633333333334,470.42333333333335,96.38666666666666,282.2033333333333,216.65666666666667,344.64333333333326,352.09666666666664,247.48666666666665,458.15000000000003,322.33666666666664,296.70000000000005,287.73,178.86333333333332,268.2866666666667,178.53666666666663,308.91333333333336,180.42999999999998,494.34666666666664,220.68666666666664,414.7266666666667,272.67,447.8033333333333,330.98333333333335,161.00333333333333,150.74666666666667,324.29333333333335,128.65,161.18333333333334,894.9666666666667,211.54333333333332,160.98333333333332,271.33666666666664,145.42,253.92333333333332,197.84666666666666,109.01333333333334,209.74333333333334,101.85000000000001,278.6766666666667,253.68666666666664,124.76,160.47666666666666,112.09333333333335,116.93666666666665,75.36,225.9333333333333,17.159999999999993,-109.22333333333331,-35.45,272.06666666666666,23.55666666666666,181.07666666666663,143.29666666666665,55.94666666666666,128.31000000000003,100.62333333333332,154.17333333333335,120.91333333333334,-1.8833333333333335,-43.69,-7.966666666666659,162.44000000000003,513.1833333333334,100.63,86.64,207.1833333333333,24.97333333333334,47.696666666666665,55.10666666666666,81.32000000000001,108.82333333333334,3.2666666666666657,-44.52333333333333,36.080000000000005,-16.566666666666663,53.093333333333334,109.41666666666667,119.93,282.25,265.62666666666667,187.17,195.89000000000001,187346.70666666667,192660.97666666665,14737.616666666667
140,273.66,293.18333333333334,197.57000000000002,362.1666666666667,220.20000000000002,289.88666666666666,148.54333333333332,168.08333333333334,181.07000000000002,212.40666666666667,123.50333333333333,161.08,131.23999999999998,141.55999999999997,164.58333333333334,124.35000000000001,184.15,164.87333333333333,104.09666666666668,198.77666666666667,118.46333333333332,96.31333333333333,128.13333333333333,117.87666666666667,193.90666666666667,227.34333333333333,198.54999999999998,261.43666666666667,326.56666666666666,273.2166666666667,166.83666666666667,111.07,46.50333333333333,107.51666666666667,98.85333333333334,127.33666666666666,643.0666666666667,135.65666666666667,110.80666666666666,229.89,177.45666666666668,114.78333333333335,161.85000000000002,58.71333333333334,138.03,89.64333333333333,63.44666666666666,146.87333333333333,60.120000000000005,174.85333333333332,177.5633333333333,212.09,95.52666666666666,81.42333333333333,106.14,-31.02666666666667,-18.033333333333335,63.24666666666666,19.166666666666664,98.77666666666669,78.78,87.92666666666668,172.58666666666667,85.42,86.98666666666668,56.99333333333334,63.82,68.85333333333334,10.23333333333334,26.603333333333328,264.17,84.27333333333333,31.866666666666664,147.25666666666666,30.116666666666664,172.4333333333333,7.013333333333335,94.05333333333333,37.47,-5.160000000000006,56.85,2.58,83.19333333333333,18.583333333333332,97.76333333333334,87.70666666666666,173.20333333333335,222.82666666666668,233.30666666666664,87.26333333333332,159927.81333333332,166527.30666666667,12453.543333333333
160,172.70666666666668,225.88666666666666,196.89333333333332,158.2466666666667,132.41333333333333,199.79666666666665,180.0,158.85333333333332,164.32666666666665,160.69333333333336,129.17,156.84,149.21666666666667,191.31333333333336,137.35,118.20333333333333,114.77333333333333,114.74000000000001,122.08333333333333,110.82666666666667,112.05999999999999,117.58,131.63333333333333,183.21333333333334,126.46666666666665,168.62666666666667,195.13,173.20000000000002,275.05,174.35333333333332,108.48333333333335,129.87666666666667,65.56666666666666,148.60333333333332,160.58666666666667,146.92666666666665,226.88333333333333,117.04333333333334,144.97333333333333,185.36666666666667,112.95,110.82333333333334,123.86333333333333,65.31666666666668,99.73666666666666,91.30000000000001,120.45,126.58,75.27333333333333,92.54,142.47,154.87666666666667,104.59666666666665,88.54666666666667,26.526666666666667,65.73333333333333,75.99333333333334,65.56333333333333,33.17333333333333,95.31333333333333,107.18666666666667,70.94,127.17666666666668,98.72999999999998,59.10666666666666,52.61333333333334,73.55,78.73666666666666,80.44666666666666,74.84333333333333,132.42333333333332,59.13666666666666,73.47,128.64333333333335,74.72,112.50333333333333,35.34666666666667,40.75333333333334,49.83666666666667,54.56,35.64,91.82666666666667,31.2,61.00333333333334,81.94,53.870000000000005,196.28666666666666,139.78333333333333,129.62333333333333,121.88333333333333,131245.69,143801.37333333332,10714.76
180,215.44000000000003,424.07,383.41,88.44666666666667,715.48,901.8666666666667,78.93,424.04999999999995,119.92333333333335,303.9633333333333,54.696666666666665,86.45333333333333,121.49000000000001,337.76666666666665,88.44,58.24,57.620000000000005,84.29666666666667,63.22999999999999,75.07333333333334,78.79666666666667,81.11,54.663333333333334,546.29,199.61333333333332,163.42,458.5366666666667,160.95666666666668,86.13999999999999,136.12333333333333,89.99333333333334,49.80666666666667,20.533333333333335,327.6933333333333,73.24,102.68333333333334,205.9,402.75333333333333,59.21333333333333,115.20333333333333,145.21,657.0500000000001,328.9733333333333,542.2933333333333,147.16333333333333,340.6966666666667,137.76666666666668,69.38666666666667,72.26,89.03333333333332,72.71666666666667,51.60333333333333,32.74333333333333,92.39333333333333,226.73666666666668,212.24666666666664,497.9866666666667,50.75666666666667,112.11,671.5133333333334,158.61666666666667,393.4633333333333,448.2433333333334,514.6733333333333,397.8966666666666,704.7366666666667,245.13666666666666,247.80666666666664,430.9466666666667,14.566666666666668,87.02333333333333,135.00666666666666,367.82,16.136666666666667,-8.656666666666668,111.55999999999999,137.24333333333334,94.74666666666667,73.16000000000001,276.8433333333333,13.29,-28.816666666666666,-15.416666666666666,72.68,77.83666666666667,74.74333333333333,128.41666666666666,84.18666666666667,88.80666666666667,37.559999999999995,102884.09000000001,108728.78333333333,9941.343333333332
