time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med,gfp_med,gfp_low,gfp_low
0,52965.47,-26064.84,107.58,-255.31,82.22,1928.93,-1100.43,-1348.48,-1520.12,-541.03,-1895.1,-1189.84,10555.32,23601.83,-1443.62,-1061.72,-629.81,-665.61,-503.43,-1866.38,-1215.76,822.01,-1229.49,-670.9,291.15,-43398.17,-1170.45,-417.4,-1377.97,-456.99,-1152.18,-1827.1,-1587.82,201.83,-2087.49,-1592.0,-135.01,-1908.81,-884.8,-294.72,-1420.15,-2171.18,-1348.17,-995.57,-1332.95,-661.33,-1168.44,-1779.91,-1122.31,2201.83,-1748.68,-918.17,-1908.81,-1101.87,-2407.6,-1331.13,-2237.95,173.26,-2559.01,-1955.38,-1314.84,-936.63,-811.96,-937.85,-1655.75,-456.99,-1902.11,-687.89,-1659.04,-386.12,-1859.71,-1081.1,-1230.34,1839.93,-2799.09,-1227.63,-2054.08,-1150.11,-1810.87,-1693.62,-2221.7,1499.79,-2307.26,-2057.96,-2365.91,-898.17,112.47,215939.58,319629.35,65514.73,20538.57
20,592.08,1803.71,132.26,1724.0,559.57,3234.11,616.94,314.91,359.73,2849.55,-324.72,235.0,-405.06,-212.62,515.96,382.17,1110.96,992.56,1562.91,829.71,1260.55,2662.11,671.92,67.13,-230.89,3625.41,-9.68,411.13,-292.72,1407.37,110.13,-155.08,-36.56,1069.86,-278.24,-110.65,-448.66,-338.73,-109.28,457.47,360.57,-277.54,239.76,906.11,1431.17,1101.6,375.41,426.18,-783.33,1958.75,-441.25,497.33,-886.22,163.87,-115.59,-326.97,-239.84,2212.37,-690.83,-431.19,-1003.23,-519.57,-184.11,-608.46,-161.2,-566.08,-698.26,144.4,1178.6,517.3,-92.54,-55.14,-823.74,1598.39,-586.41,-263.48,-1083.11,109.28,-733.56,-22.13,-689.1,117.95,-677.54,-498.67,-787.85,-320.72,-347.97,123820.22,131297.83,24457.74,13856.87
40,835.42,1389.57,536.95,1613.34,913.46,1802.51,1149.15,266.11,831.13,2401.56,-313.43,804.19,-133.49,163.03,582.35,703.28,877.22,607.87,867.1,628.59,1112.86,275.78,155.0,462.58,-504.13,-38.68,-481.25,-41.82,-517.24,-630.02,710.56,-334.99,-1111.55,908.3,-546.55,472.46,-354.01,15.55,-435.66,51.96,57.11,66.11,-548.87,-22.04,115.32,-404.93,-379.19,112.27,-408.16,616.93,-336.39,-392.01,-453.46,-826.8,-325.04,-688.25,-765.27,316.62,-238.62,-582.66,-471.26,-211.01,-486.02,-331.11,-405.26,-422.13,-392.01,-47.02,206.68,5.43,-1278.69,96.52,-669.22,-956.11,-572.48,-434.78,-596.99,-603.69,-462.83,-511.66,-1282.2,-859.95,-530.58,-33.6,-639.49,38.79,206.68,143005.24,149978.47,32082.12,18796.62
60,1143.33,4488.98,639.99,2428.6,801.48,2132.31,1333.39,1493.79,964.27,2658.62,394.26,568.03,442.51,596.18,805.85,473.75,1177.14,801.48,1100.18,1545.67,1468.15,1577.18,1056.54,1225.72,549.14,5727.41,62.76,243.47,431.62,-248.77,-83.58,279.01,-109.63,-431.08,33.14,301.48,444.34,588.0,237.84,573.54,608.65,-370.19,-15.03,845.44,1059.76,588.0,-198.52,463.5,37.03,724.56,155.65,540.12,-12.3,-280.15,144.83,156.51,-70.86,-95.43,171.85,262.47,138.83,224.01,483.3,-272.59,132.06,-22.31,-442.42,-392.07,-350.04,-559.97,-497.03,125.1,222.32,292.28,3.5,354.24,-306.63,-575.09,-161.21,-58.86,-442.42,-1209.76,107.29,274.85,227.49,198.31,426.48,155460.02,175791.33,40003.5,23442.67
80,647.47,1925.18,765.29,1184.62,1254.59,902.04,970.72,689.57,1133.64,1324.59,323.15,700.04,562.0,287.66,559.76,771.89,1055.0,891.75,674.28,1309.32,663.68,821.83,218.74,828.18,286.91,554.81,341.2,940.02,125.62,446.85,525.11,159.46,396.92,1004.71,-125.57,139.1,265.86,-101.44,398.46,231.77,101.93,211.57,223.6,-92.79,374.45,44.9,-69.35,520.55,243.84,175.68,171.32,236.29,-64.82,-250.66,-9.93,311.66,-164.94,305.3,188.69,383.87,20.16,168.93,167.47,250.86,337.0,244.63,40.71,461.88,-240.81,174.62,-30.54,604.92,91.74,-58.99,78.22,40.34,-148.58,113.9,-38.43,-30.78,-216.06,366.01,-166.99,259.8,179.93,360.39,228.16,110014.47,124732.91,25643.57,19107.81
100,555.98,993.77,403.13,531.36,294.55,432.1,268.1,135.09,273.42,593.03,-64.86,393.15,477.57,123.04,166.11,506.91,326.43,88.01,235.33,163.05,96.33,235.39,53.71,105.58,189.0,253.83,6.02,280.15,-101.76,66.45,156.48,106.18,-250.61,-132.42,-295.16,-64.83,-201.51,11.23,155.6,-185.53,-244.38,63.88,176.83,-32.05,-119.8,82.34,-219.55,305.84,86.58,-18.4,266.96,198.05,-396.43,-268.65,-465.55,-319.66,-615.22,-330.36,-364.49,-64.63,56.95,-231.07,32.83,-22.13,-303.08,-200.45,-304.28,-174.2,65.86,-216.49,-410.64,0.07,35.13,-128.86,-385.27,-140.51,-264.81,-535.64,-306.81,-490.5,-383.36,-348.73,-493.0,-98.58,90.54,256.02,24.7,126109.52,149922.1,22996.57,19919.17
120,379.43,323.54,479.97,346.85,302.19,258.13,308.2,108.67,58.59,311.9,103.57,126.78,58.7,95.29,108.13,84.59,214.47,32.66,35.25,14.55,268.85,90.3,33.56,147.77,25.79,286.83,71.91,126.96,-50.39,-111.5,220.62,-47.05,-156.79,58.29,-252.13,86.54,124.9,-150.43,103.48,-182.73,-97.57,38.46,-50.39,-130.44,-159.25,78.07,-109.91,201.74,-45.47,-27.18,-74.6,-73.99,-85.26,-323.66,44.38,-121.14,-257.11,-26.17,-221.72,-8.62,-12.52,-231.1,-24.01,-241.07,-98.07,-88.12,-181.85,-296.38,-177.06,-177.8,-361.02,62.17,-31.51,-322.45,-139.74,-473.85,-144.45,-94.39,-136.25,-225.07,-259.39,-260.18,-88.06,-152.87,-58.64,-6.54,47.51,120551.12,118490.74,16830.98,14610.62
140,270.77,337.72,280.84,252.54,253.12,239.34,255.53,309.5,152.53,352.67,132.06,176.56,119.24,116.7,176.83,133.54,243.38,208.07,241.45,156.92,91.9,137.1,126.45,217.37,147.17,141.27,19.21,103.36,141.24,34.97,48.57,52.49,-12.9,-61.05,29.66,-45.58,164.48,123.96,160.32,-9.93,163.73,101.11,36.1,237.46,93.26,74.65,95.77,141.08,141.62,209.0,21.24,249.82,82.14,-56.12,-1.37,-53.66,-26.97,20.63,-96.13,37.94,0.67,-45.68,103.89,102.93,57.07,131.87,20.79,-0.34,164.61,5.1,10.79,-27.14,16.67,-61.51,-126.81,146.37,-123.5,-118.51,110.31,-65.51,-81.45,-33.08,-101.47,26.28,85.21,38.5,64.09,97885.71,104833.53,12657.11,11705.42
160,207.89,224.95,190.18,138.64,141.54,146.48,140.42,98.19,53.36,200.82,91.32,131.86,152.69,64.67,126.51,98.29,132.09,77.77,106.45,59.88,101.5,91.66,53.11,106.65,123.84,42.26,29.12,123.46,87.05,26.17,105.34,24.32,16.84,22.25,-51.04,24.59,22.01,104.3,72.66,45.55,121.37,114.87,130.86,37.39,79.74,55.41,74.0,126.59,43.96,174.24,109.32,75.16,-22.7,-17.92,164.27,-11.47,-43.18,41.11,5.17,82.45,6.07,52.71,-23.37,-76.49,-87.75,21.01,0.91,-3.55,-10.99,94.32,-63.7,31.14,-13.34,44.96,-48.97,-47.38,1.03,-33.95,13.99,-20.92,-26.78,-10.45,-106.32,-14.64,-4.02,84.42,20.48,96039.47,96448.88,10313.98,9786.29
180,119.66,127.84,167.82,96.78,62.58,174.3,102.01,93.87,109.71,154.7,99.01,85.16,87.09,75.38,87.32,117.22,97.23,7.54,137.24,183.44,1816.7,143.91,63.96,116.35,17.41,46.06,6.6,63.27,41.35,5.55,67.99,50.38,9.19,29.5,4.4,41.11,94.39,55.45,11.46,48.81,105.04,68.62,32.6,73.79,605.41,85.92,85.61,140.39,71.83,119.96,50.5,90.53,50.61,19.21,28.86,8.98,10.04,1.54,-16.65,40.78,44.19,2.76,47.77,-9.42,66.31,52.24,7.9,73.87,6.02,-29.66,-29.11,26.48,39.3,61.17,-7.04,6.62,-10.26,-50.49,-28.09,-9.22,4.75,-58.75,-34.21,25.45,29.85,83.73,12.71,82795.59,81868.87,9593.85,9779.83
200,112.36,122.92,107.83,123.6,93.52,211.97,188.58,93.06,192.38,92.19,117.17,110.87,96.01,64.39,50.68,54.5,143.59,365.63,1530.35,4024.46,7758.87,2288.76,373.47,248.58,796.63,450.61,14.29,29.48,6.48,20.25,28.16,30.5,7.04,7.95,27.4,40.57,1177.64,82.18,1110.93,419.61,1662.4,1750.71,609.39,2761.0,3175.81,59.25,396.74,370.4,39.94,788.36,374.24,309.76,66.29,158.09,127.83,36.68,679.25,75.8,219.6,70.83,28.63,-41.01,11.5,40.06,16.85,15.42,141.26,67.92,125.18,196.47,14.18,474.01,19.51,11.62,229.43,5.67,-9.47,1.32,18.44,-20.49,27.2,-90.21,-56.09,37.05,35.99,46.98,-20.34,75430.88,75339.11,9985.45,10266.64
220,114.67,128.89,148.55,75.29,72.63,711.76,531.25,87.83,383.01,112.34,211.03,90.4,85.76,111.21,20.53,69.53,240.65,886.31,3039.17,9916.62,15395.07,4748.83,1173.23,406.83,2693.68,1459.25,6.89,30.16,-31.69,19.3,30.33,22.29,-36.46,131.62,100.29,79.28,3604.44,888.25,3502.88,842.7,5020.41,3767.71,3056.44,6034.54,5600.42,33.58,1317.89,887.76,94.03,2625.7,865.22,824.01,1016.79,439.76,724.01,150.0,1792.05,226.07,655.79,67.18,-9.74,-3.06,33.3,50.99,308.04,71.84,645.06,1222.68,3047.92,1604.98,356.04,1308.64,149.4,177.87,1000.85,-3.78,18.33,117.42,-59.14,92.58,328.79,-50.83,-32.97,47.16,76.09,23.4,37.82,68190.75,68727.66,11619.1,11728.74
240,254.32,281.98,348.95,157.78,183.69,1338.15,1047.94,206.43,703.88,187.42,447.82,106.71,207.88,265.1,107.19,174.23,452.41,1571.44,4157.81,17182.82,22284.85,8072.28,2025.8,569.16,5665.62,2526.05,123.19,114.38,70.63,186.83,376.32,80.77,50.9,348.09,377.16,287.89,6435.13,1861.69,5955.51,1288.04,8472.14,5612.32,5304.85,9467.21,7568.07,111.88,2658.73,1652.57,341.4,4675.44,1313.6,1361.64,2233.01,785.0,1612.12,453.96,2902.21,409.96,1032.17,137.35,67.55,132.33,99.45,285.31,1108.33,469.47,1165.1,3742.05,6725.95,3696.94,1253.95,2381.31,806.87,741.22,2346.16,162.79,223.61,531.98,-9.01,564.59,1022.78,-42.46,13.98,111.29,148.43,117.08,93.79,65967.69,70329.82,12872.87,13310.08
260,309.36,384.29,510.69,160.13,215.33,2064.14,1705.53,274.22,989.87,181.49,844.75,127.97,353.27,449.66,103.74,196.99,549.72,2177.23,4988.91,23919.56,28358.95,10891.59,2616.2,702.21,7872.46,3430.31,187.79,177.97,58.77,324.21,835.4,154.26,79.69,641.98,697.19,478.18,8939.39,3060.43,7992.8,1686.49,11241.66,7553.78,7425.73,12099.16,9182.34,133.18,3696.64,2131.29,488.58,6649.33,1705.11,1710.92,3753.56,1087.14,2388.06,693.28,3667.26,490.44,1312.02,155.88,64.67,217.79,169.38,443.98,2046.0,788.19,1623.43,5694.33,10278.42,5182.15,2038.62,3112.35,1409.11,1257.53,3161.07,521.92,437.09,814.05,13.34,1002.62,1423.78,-32.99,5.88,108.62,134.24,98.36,90.58,71965.2,74543.4,14460.99,14527.49
280,327.49,430.42,709.98,162.21,258.46,2906.22,2413.0,298.11,1300.58,192.59,1285.62,166.51,537.96,673.11,131.8,205.74,600.65,2456.19,6129.83,29941.32,34695.67,13527.18,3332.41,819.1,9910.62,4655.2,215.67,230.32,50.42,445.28,1285.77,204.56,98.86,1021.46,1097.36,684.13,11791.25,3864.33,9595.21,2201.89,13964.8,9436.42,9196.07,14481.21,10923.03,125.15,4563.55,2648.79,610.48,8818.6,2189.82,2300.46,5096.86,1344.96,3429.58,859.73,4889.32,589.67,1659.82,161.3,58.96,274.16,160.34,593.05,3075.98,1072.97,2070.37,7120.31,12661.9,6451.45,2637.51,3697.1,1888.48,1693.71,4031.03,989.52,561.58,921.32,16.08,1362.75,1914.9,-26.95,10.69,101.79,139.28,93.04,81.8,77933.87,82977.91,15289.36,15472.37
300,437.29,524.3,1015.74,124.46,261.87,3736.03,3111.04,385.39,1672.93,144.76,1703.64,175.18,681.59,865.31,127.89,262.23,723.3,2604.89,7461.94,37658.0,42368.8,17178.08,4188.09,916.79,13128.37,5827.98,290.54,258.97,5.48,555.39,1761.41,206.31,63.75,1348.01,1441.4,832.69,16298.74,4853.4,12508.36,2810.91,18106.5,11974.67,11607.59,18057.76,13289.04,101.41,5636.37,3400.45,812.56,11630.84,3184.82,3275.96,6428.46,1797.59,4482.82,1179.51,6227.81,623.32,1999.22,203.3,85.49,285.2,136.58,839.75,4359.95,1434.49,2806.02,8973.33,16076.06,8062.06,3152.38,4744.1,2694.66,2112.78,5430.13,1481.85,683.93,1207.41,-20.72,1801.82,2652.35,-60.56,29.81,100.81,210.79,91.78,93.66,93438.61,93695.66,16701.36,17012.23
320,555.62,668.54,1232.95,144.62,387.05,4170.03,3616.39,442.8,1760.61,176.34,1811.58,176.43,798.74,920.44,130.87,296.18,804.68,2684.93,7270.42,41924.88,45760.35,18377.17,4596.13,919.08,14081.74,5847.47,308.12,316.65,42.05,673.26,2026.46,272.22,116.95,1524.88,1512.36,945.57,18249.29,5543.37,13528.65,2782.12,19713.8,13084.19,13567.65,19904.75,13430.7,113.48,6654.92,4232.55,858.66,13491.33,3833.94,3862.83,6988.34,1976.15,5011.56,1298.58,6569.74,681.77,2181.1,238.65,117.54,326.37,178.16,922.08,5084.06,1798.15,3179.32,10379.87,18551.63,9505.38,3780.82,5648.27,3341.53,2607.14,6123.35,1662.97,838.27,1384.47,-58.13,2345.95,3394.03,-45.56,22.74,118.75,169.43,79.89,76.61,101472.27,105648.42,17063.79,17080.66
340,843.53,866.32,1528.67,259.63,522.58,4747.27,3977.78,624.95,1913.35,194.72,1946.66,208.11,944.6,1030.9,164.56,343.76,922.71,2927.27,6953.83,45663.26,46639.75,19592.82,4916.26,897.01,15249.99,5558.01,398.17,405.37,61.81,874.16,2428.64,323.07,162.42,1646.62,1565.2,1092.02,19645.5,6701.63,14596.93,2811.83,20941.9,13644.14,14960.66,21239.05,14383.28,141.9,7551.33,4899.3,1020.99,15804.31,4327.13,4566.81,8239.7,2195.54,5929.11,1561.15,7641.4,805.32,2389.8,275.85,156.27,422.56,244.85,1152.49,5903.07,2289.68,3435.42,11351.5,22097.42,10805.85,4422.64,6784.46,4569.12,3213.24,6935.32,2042.38,1072.88,1728.55,-58.69,2991.26,3950.38,-52.21,53.02,177.58,203.76,180.67,105.31,110429.41,117552.59,17865.31,18121.69
