time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med,gfp_med,gfp_low,gfp_low
0,26406.61666666667,-57777.426666666666,231.48666666666668,-361.45666666666665,382.18,3587.5599999999995,-593.5866666666667,-762.5333333333333,-641.93,-4677.916666666667,-823.1133333333332,-18434.533333333333,5412.0599999999995,1276.6233333333341,209.98000000000002,-434.6466666666667,166.0366666666667,2014.4000000000003,-393.15333333333336,834.13,128.29999999999998,6655.446666666667,1905.993333333333,-271.5733333333334,-56813.55333333334,-24500.683333333334,-276.1366666666667,-192.74666666666667,-308.32,-188.7166666666667,-550.7533333333333,-851.4766666666666,-746.3066666666667,369.3766666666667,-540.3233333333333,210.22666666666677,749.3800000000005,7.843333333333381,-315.2366666666666,187.41666666666666,-207.15333333333334,-416.49666666666667,-711.9066666666668,221.27666666666664,231.0233333333333,352.0933333333334,618.9666666666667,1493.9666666666665,-71.66666666666667,5568.076666666667,371.72666666666663,-62.90666666666667,-889.5300000000001,-898.6733333333333,-892.2133333333335,-617.0300000000001,-628.7833333333333,435.7133333333333,-861.6266666666667,-450.59666666666675,-496.9733333333333,-200.40333333333334,-209.99,100.27666666666664,-727.7533333333334,163.64666666666665,-865.71,-839.6066666666667,-177.10333333333327,1009.4966666666668,151.96333333333328,-501.74666666666667,-911.4133333333333,3032.263333333334,-1304.83,-915.7033333333334,-1157.4399999999998,-263.57,-1183.7299999999998,-913.0299999999999,-1125.6566666666665,575.8566666666667,-1678.9933333333336,-997.9866666666667,-795.0933333333332,-772.1766666666667,-201.43999999999997,262910.99,290221.26,47238.09666666667,23554.213333333337
20,363.99,1825.1433333333334,137.34333333333333,3764.306666666667,635.2833333333333,3131.0699999999997,734.5133333333333,858.5666666666667,357.17333333333335,3721.8733333333334,-311.3966666666667,1088.4866666666667,-342.5933333333333,91.05666666666666,648.44,375.35666666666674,985.63,1244.0666666666666,1068.67,1564.8966666666668,2159.44,2639.5333333333333,416.52666666666664,335.6933333333333,-129.18666666666664,4483.079999999999,-125.12333333333333,418.2633333333333,-103.40666666666668,983.7199999999999,34.583333333333336,-55.216666666666676,-227.76999999999998,2705.11,-240.67666666666665,429.4633333333333,-101.16000000000001,-294.01666666666665,3.839999999999994,289.39000000000004,315.74,537.82,866.0500000000001,1581.1433333333334,1934.266666666667,1898.2700000000002,3494.6966666666667,4083.2466666666664,-669.18,2308.71,-417.42,285.9666666666667,-548.8733333333333,130.46666666666667,-88.55,-197.71000000000004,-280.04,1954.0333333333335,-460.73,338.5166666666667,-903.0333333333333,-262.3366666666667,-91.32333333333334,-435.4533333333334,132.56,-58.22666666666668,0.9533333333333202,21.98666666666664,1701.8999999999999,926.6133333333333,738.7133333333333,9.75,-783.7866666666665,1154.9033333333334,-693.6266666666667,-358.8866666666667,-587.3866666666667,-234.77666666666667,-334.12333333333333,-92.96,-646.4233333333333,-34.06666666666667,-773.6133333333333,-319.66333333333336,-579.1333333333333,-600.7866666666667,-458.20666666666665,148768.18000000002,135129.88,27652.98,13541.099999999999
40,2927.633333333333,-10377.803333333335,2593.816666666667,786.9933333333335,-15480.116666666667,612.8733333333333,-689.5433333333334,-33211.426666666666,-618.3233333333334,-14294.480000000001,4605.0233333333335,-2932.626666666667,2324.9733333333334,2442.4733333333334,4505.099999999999,4051.01,-2158.85,-261.6000000000001,-816.6533333333333,699.3833333333333,4453.62,5150.22,12089.783333333335,5279.99,1585.1466666666668,10492.533333333333,1411.706666666667,2100.4733333333334,1625.54,-3495.876666666667,-7094.82,2405.1233333333334,-2037.3133333333335,28011.410000000003,-2203.3700000000003,4889.846666666667,1697.2933333333333,1888.8933333333334,3645.2666666666664,3311.3933333333334,-12721.953333333333,-2073.2933333333335,-1318.5833333333333,-265.53666666666663,2305.07,1929.9733333333331,13173.346666666666,20337.293333333335,1101.5066666666667,2741.0099999999998,984.2633333333333,-8592.593333333332,1440.7933333333333,3554.3933333333334,10681.613333333333,1109.1633333333334,-437.93666666666667,306.03999999999996,-52.703333333333326,4823.076666666667,446.9166666666666,1906.8400000000001,2850.313333333333,842.9333333333333,8262.16,-4175.400000000001,-6261.77,1346.7933333333333,1286.1766666666665,1214.7833333333333,499.37999999999994,2205.523333333333,793.8699999999999,341.84666666666664,723.0133333333333,86942.14666666667,1774.6933333333334,5518.306666666666,7308.3966666666665,1333.7633333333333,-7466.043333333334,-885.15,3782.2666666666664,3849.0633333333335,989.9366666666666,1082.8033333333333,1736.1499999999999,-198562.87666666668,-169396.19333333336,8356.746666666668,-43259.22666666666
60,427.95666666666665,3062.8266666666664,351.1933333333333,1618.3466666666666,489.2666666666667,1650.5766666666666,724.9833333333335,1352.25,753.5066666666667,1971.5666666666666,261.39,507.19,340.18666666666667,239.6833333333333,561.4300000000001,571.07,834.1333333333333,1022.3133333333334,652.7266666666666,1181.8866666666665,1187.6333333333334,2016.4266666666665,350.59999999999997,514.85,406.81333333333333,3533.3033333333333,-119.57000000000001,303.31333333333333,304.80333333333334,-23.166666666666647,-153.61,179.51,-292.40666666666664,497.68,-322.65333333333336,248.52666666666664,181.46666666666667,273.18,532.7966666666666,292.67,372.8733333333333,-12.733333333333329,171.15333333333334,709.2199999999999,674.23,644.3166666666667,956.1866666666666,949.8233333333334,-15.68,1286.6000000000001,-160.03333333333333,443.2866666666667,-318.72999999999996,-194.85333333333332,3.2466666666666697,-25.916666666666657,-283.09999999999997,185.57333333333335,118.08666666666666,651.19,-115.79666666666667,151.42000000000002,194.77666666666667,-525.9899999999999,100.13333333333333,-46.660000000000004,-220.74666666666667,-126.09000000000002,261.53999999999996,662.2800000000001,260.4966666666667,248.66333333333333,-245.96,773.4499999999999,-105.77999999999999,252.17666666666665,-393.9633333333333,-261.59,-379.48333333333335,-182.34333333333333,-766.2966666666666,-595.4133333333333,-154.25333333333333,80.69000000000001,-12.866666666666674,-110.12,241.84666666666666,159242.77666666664,171870.60666666666,37311.09,23139.26
80,164.83333333333334,1228.7333333333333,502.50333333333333,826.2099999999999,721.37,810.8933333333333,658.8366666666667,532.71,631.6,633.3033333333334,44.23333333333335,202.09666666666666,241.1,115.88333333333334,433.48,415.46,590.1233333333333,596.3066666666666,565.9933333333333,683.0633333333334,549.6033333333334,799.7433333333333,144.70000000000002,410.76666666666665,148.47333333333333,616.8333333333334,130.26333333333332,426.28,-16.99666666666667,392.52333333333337,250.26666666666665,61.793333333333344,20.156666666666656,593.7433333333333,-111.96333333333332,-82.4,115.14,118.05666666666666,364.9766666666667,291.83666666666664,285.06666666666666,435.1166666666666,255.97333333333336,-14.523333333333335,412.35666666666674,197.94333333333336,718.68,584.23,118.75999999999999,682.6700000000001,30.3,183.48333333333335,-262.3566666666666,16.636666666666674,-266.0033333333333,-76.20666666666664,-245.05333333333337,138.99,-182.89333333333335,449.05,-79.91333333333334,46.79333333333333,19.176666666666677,-21.299999999999994,52.76000000000001,125.19333333333333,-94.31666666666668,-156.77333333333334,-54.06,176.38666666666668,455.1333333333334,271.55333333333334,-124.80333333333333,329.33666666666664,-139.94000000000003,-94.70666666666666,-383.99,-7.106666666666665,-86.50666666666666,-189.11666666666667,-429.3866666666667,-4.7666666666666515,-510.28000000000003,135.76999999999998,-54.599999999999994,91.91333333333334,50.1,131238.02666666664,144520.74,26517.696666666667,19846.726666666666
100,269.99666666666667,636.9733333333334,350.1766666666667,349.68,277.20666666666665,539.3233333333334,249.63666666666668,301.92,206.15333333333334,350.18,53.97999999999999,166.08,280.90666666666664,216.89333333333335,272.8733333333333,490.75,290.26666666666665,138.01,169.0666666666667,230.34,265.5466666666667,411.7966666666666,46.23666666666667,97.64,137.6966666666667,338.8833333333334,182.93999999999997,24.419999999999987,26.16333333333333,195.12333333333333,164.43,94.67999999999999,-71.43666666666667,-163.01999999999998,-157.98333333333335,9.473333333333334,169.05666666666667,129.39000000000001,260.5833333333333,60.19,174.0466666666667,259.76666666666665,158.51000000000002,4.1333333333333355,105.94,199.13333333333333,12.346666666666673,471.25,163.46666666666667,385.0166666666667,211.70000000000002,183.64000000000001,-80.82000000000001,92.36333333333334,-105.26333333333334,65.96,-344.81333333333333,-139.04999999999998,-102.01,283.31666666666666,33.34333333333334,189.48666666666668,-131.29666666666665,-19.753333333333348,-62.52333333333333,-72.14,-26.329999999999988,-59.07999999999999,-33.52333333333333,-52.38666666666668,-217.35333333333332,77.54333333333334,-85.57666666666665,-24.05333333333333,-153.95,-95.63,-43.330000000000005,-124.44999999999997,-195.60999999999999,-221.70666666666668,-262.9433333333333,-101.06666666666668,-329.66333333333336,-72.37333333333333,167.38,83.07,28.959999999999997,137959.8266666667,152888.63999999998,22298.910000000003,20015.053333333333
120,187.17333333333332,332.99666666666667,234.4766666666667,305.0833333333333,166.22666666666666,265.09999999999997,267.32666666666665,229.17,142.25666666666666,337.5233333333333,119.26,202.25333333333333,84.14666666666666,74.32000000000001,116.43666666666668,106.82666666666667,260.81333333333333,169.41666666666666,107.61666666666666,133.66,239.20000000000002,223.73000000000002,56.98333333333334,160.92333333333332,0.8033333333333322,257.68666666666667,-128.5533333333333,130.87666666666667,-43.453333333333326,66.51666666666667,19.410000000000007,14.583333333333337,-37.49666666666666,114.5,-149.89,9.833333333333337,93.89333333333333,74.20666666666666,94.89999999999999,-63.25333333333332,71.95666666666666,111.41666666666667,16.113333333333333,90.95,-6.599999999999997,194.9366666666667,221.96333333333334,339.32,-23.36,162.28666666666666,-83.16333333333333,52.09666666666667,-21.85666666666667,-64.77333333333334,-78.0,-81.65666666666665,-186.44333333333336,4.040000000000002,-65.96666666666667,119.14666666666665,-175.04666666666665,-146.04666666666665,16.143333333333334,-102.13666666666666,8.17333333333334,-93.02666666666669,-183.10333333333332,-249.09,-127.85666666666667,-15.680000000000001,-147.14999999999998,200.41333333333333,-140.71,-200.01999999999998,-225.34,-144.49666666666667,-138.99666666666667,-80.90333333333334,-139.50666666666666,-66.83333333333333,-218.06333333333336,-106.43333333333334,-217.01666666666665,-10.99666666666667,-75.66333333333334,-34.483333333333334,-67.97,126849.71333333333,124154.84333333332,17709.00333333333,15338.343333333332
140,151.39666666666665,238.45333333333335,156.10666666666665,225.6833333333333,214.85333333333332,218.68666666666664,208.32666666666668,286.6433333333334,138.47333333333333,321.24,107.33333333333333,159.0,113.17999999999999,119.16666666666667,203.71333333333334,166.62666666666667,241.40333333333334,135.53,142.84333333333333,157.01333333333335,141.82000000000002,181.21333333333334,94.99333333333334,217.03666666666663,100.38999999999999,144.71666666666667,35.68666666666667,76.92333333333333,57.02,106.0,38.97666666666667,105.85333333333334,-4.3566666666666665,30.55,25.986666666666668,49.830000000000005,131.3166666666667,114.61000000000001,208.86666666666665,87.27666666666669,181.94999999999996,137.57666666666668,29.923333333333332,236.7266666666667,159.55666666666667,199.2266666666667,143.11333333333334,303.4766666666667,112.02333333333333,241.51666666666665,91.67333333333333,151.95666666666668,130.42,25.056666666666672,52.78333333333333,43.35333333333333,7.910000000000001,106.69666666666667,-15.903333333333334,185.01666666666665,-26.073333333333334,28.21666666666667,117.73,72.51666666666667,70.8,148.68999999999997,14.413333333333332,-57.78666666666667,65.99000000000001,1.3300000000000007,34.04666666666667,72.69333333333334,-9.82,0.7600000000000003,-67.05666666666666,103.40666666666668,-90.99333333333334,-27.933333333333337,94.16666666666667,-18.916666666666668,-68.54,50.53333333333333,-75.22666666666667,30.343333333333334,38.17666666666667,29.26,15.586666666666668,103486.71666666667,103158.31,12857.76,11990.963333333333
160,113.67666666666666,156.99,133.46,115.15666666666665,127.77333333333333,141.96,150.53666666666666,139.45333333333335,72.5,177.99666666666667,103.13,119.31333333333333,103.71333333333332,43.06333333333333,144.46333333333334,138.23,130.76333333333332,99.04666666666667,78.56333333333333,110.30999999999999,112.01666666666667,111.03333333333335,32.35333333333333,108.70333333333333,84.25000000000001,31.430000000000003,45.693333333333335,91.97666666666667,59.456666666666656,71.75666666666666,101.70333333333333,68.89,9.956666666666665,30.766666666666666,-1.5733333333333333,59.07333333333333,88.92999999999999,173.52666666666667,133.10333333333332,95.27666666666666,172.40333333333334,188.91,231.84666666666666,158.3733333333333,110.72666666666667,123.03333333333335,112.37666666666667,216.7833333333333,43.416666666666664,160.23666666666668,107.47666666666667,119.08333333333333,78.32666666666667,37.53333333333333,129.57000000000002,64.36,-3.853333333333333,30.61333333333333,16.25,133.42333333333332,-22.52333333333333,50.19,57.593333333333334,8.130000000000003,24.58,31.78,-2.150000000000001,18.666666666666668,24.723333333333333,45.599999999999994,5.36333333333333,46.669999999999995,22.836666666666662,77.32,-52.93,60.00333333333333,7.363333333333333,30.203333333333333,52.916666666666664,15.086666666666666,-84.12666666666667,4.176666666666668,-66.65333333333334,22.223333333333333,7.153333333333333,93.8,30.63666666666667,106424.68666666666,102284.58,10866.133333333333,10500.710000000001
180,97.80333333333333,125.09666666666665,112.96,105.96333333333332,77.21333333333332,125.73333333333335,91.21999999999998,113.02666666666669,99.29,113.55666666666667,100.51666666666667,78.09333333333332,93.84333333333332,43.56,106.88999999999999,109.35333333333334,103.22666666666667,43.653333333333336,75.15,108.07333333333332,672.8133333333334,83.96,51.92666666666667,89.89666666666666,192.07333333333335,56.19666666666666,26.146666666666665,44.27333333333333,22.916666666666668,25.919999999999998,54.35333333333333,50.95000000000001,28.78,18.44,23.123333333333335,33.53333333333333,130.5,133.35,88.26666666666667,103.60333333333334,111.39333333333333,82.55666666666666,113.21,112.95666666666666,278.90666666666664,102.49666666666667,121.11000000000001,156.76666666666665,93.83,136.13,106.06,98.11,103.04333333333334,47.49666666666667,88.10000000000001,59.910000000000004,39.35,16.97,32.92,81.24666666666667,29.036666666666665,47.663333333333334,58.223333333333336,45.026666666666664,66.53666666666668,38.413333333333334,11.283333333333333,69.12,45.06333333333333,60.70333333333334,29.813333333333333,46.21666666666666,23.616666666666664,49.303333333333335,-7.919999999999999,74.21,30.066666666666666,-21.63,21.55,10.506666666666666,-23.08666666666667,12.226666666666668,-10.746666666666668,16.906666666666666,48.303333333333335,83.85666666666667,18.643333333333334,97436.11333333333,99351.42333333334,10257.056666666665,10092.003333333334
