code_name,ind1_lvl,ind2_lvl,short_name,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min
A18,0,0,e11x32STPhoRadA,-4645.14,-2291.52,-2303.81,-456.64,-652.46,-386.63,-345.28,-313.65,-274.33,-84.27,-101.89,-95.4,-114.06,-110.69,-74.68,-33.98,-8.25,43.85,23.42,-20.75,1.46,39.44,39.41,-6.33,9.09,90.1,-109.72,-13.56,-20.93,-85.81,-125.42,-62.32,-23.35,26.71,-2.89,16.41,-8.96,64.42,88.12,151.78,157.01,101.39,149.65,163.72,73.61,25.76,142.32,223.28,268.95,175.97,301.95,245.82,194.09,238.61,186.67,265.94,293.91,134.5,338.63,435.68,325.97,303.79,309.9,288.27,401.46,334.21,427.21,424.88,324.84,361.94,298.38,431.04
A18,0,1,e11x32STPhoRadA,-2789.53,-2783.42,-103.16,-639.91,-277.61,-74.74,-181.41,-95.77,-209.06,-114.17,-111.47,-0.99,-7.6,-54.78,-27.37,91.7,159.34,202.76,208.51,253.02,279.0,286.12,319.2,274.14,307.47,323.67,294.66,281.92,315.53,189.64,280.25,257.32,306.54,246.09,234.32,248.89,311.31,331.37,250.53,371.75,389.07,319.94,377.19,401.99,330.26,306.85,412.15,396.71,559.8,426.77,566.31,478.83,467.53,529.97,502.83,455.49,535.53,466.12,563.92,569.73,509.6,524.45,474.57,637.02,635.9,502.51,554.41,663.24,643.44,501.98,613.03,634.16
A18,0,2,e11x32STPhoRadA,-2660.54,-1106.72,-724.23,-691.54,-492.95,154.88,-89.14,-118.34,-157.5,-127.89,-62.96,9.54,78.29,-6.24,8.46,64.43,140.64,168.51,266.05,262.19,241.52,304.97,280.44,297.85,324.53,322.73,317.15,360.41,299.98,262.08,317.38,313.1,384.39,275.08,291.51,290.54,325.23,322.72,324.11,465.8,398.31,373.08,431.4,414.24,369.7,330.7,431.44,397.35,495.23,387.17,526.84,488.82,425.89,462.28,433.06,460.78,510.62,435.07,605.3,581.6,520.16,512.42,455.76,698.08,598.91,501.12,591.13,589.74,610.1,464.5,586.7,518.1
A29,0,0,e15x32NpuSspS2,454.27,-1282.05,-730.44,-78.37,-243.83,-322.37,-94.09,-28.0,-126.02,-62.1,-19.28,2.86,87.09,87.92,114.12,134.17,108.8,136.0,145.58,136.66,158.33,214.46,144.47,157.15,191.96,250.9,208.87,179.87,192.54,116.15,205.04,159.71,211.86,236.35,159.58,187.49,210.06,257.03,214.29,295.87,266.67,256.86,312.84,326.8,226.45,228.85,263.17,277.78,336.87,307.75,367.29,315.39,322.51,366.5,302.12,343.87,430.12,296.7,468.85,494.94,363.75,359.16,348.23,510.21,452.54,373.26,441.76,416.34,436.69,389.17,437.53,438.09
A29,0,1,e15x32NpuSspS2,-1621.26,-170.64,-1145.63,-464.8,-426.43,-218.93,-384.39,-132.1,-143.06,-64.04,-2.44,30.22,67.97,56.6,80.38,122.77,107.36,156.44,161.88,179.79,184.9,217.53,232.86,227.03,252.57,256.28,259.28,243.49,243.15,212.38,307.23,289.12,305.26,275.61,222.0,248.99,309.07,295.66,249.88,334.93,371.49,280.19,367.84,381.78,291.01,288.84,373.98,351.24,376.56,322.77,486.02,373.95,359.43,391.68,418.97,-65.92,491.18,368.95,567.87,531.93,482.82,410.85,440.26,613.15,508.74,471.89,548.87,565.43,548.7,411.81,541.66,524.56
A29,0,2,e15x32NpuSspS2,-811.38,-335.97,-70.56,359.63,-591.27,-67.95,-306.06,-155.9,-68.24,-66.36,41.22,127.15,76.21,31.37,65.13,133.5,128.02,155.34,144.0,152.83,197.81,230.33,234.28,189.22,233.5,295.67,252.82,233.08,257.21,226.22,237.18,290.54,309.56,280.97,230.59,303.73,291.15,244.43,219.94,316.23,312.6,251.4,305.56,338.86,281.48,286.19,278.61,374.12,401.33,337.45,426.3,354.41,300.27,336.29,351.53,386.27,434.65,341.92,462.54,502.5,370.58,439.1,339.1,567.34,470.29,402.34,492.97,474.91,519.46,372.29,464.56,447.8
A76,0,0,e16x33NrdA2,3545.56,1563.13,351.58,-1455.56,393.32,262.73,115.99,40.25,4.22,31.29,7.94,55.57,20.23,30.95,74.07,180.19,224.26,207.43,232.53,255.73,262.28,289.73,307.91,269.64,249.42,271.57,296.28,282.25,218.04,268.12,333.81,331.82,388.22,345.96,339.13,333.02,397.87,300.19,337.83,381.85,426.02,316.2,304.52,370.49,369.08,354.63,330.87,367.75,406.36,447.6,451.73,485.48,399.29,389.05,467.16,512.15,461.39,420.82,493.83,598.73,420.07,521.97,509.38,561.93,532.91,520.18,495.69,497.08,486.99,496.53,458.93,587.78
A76,0,1,e16x33NrdA2,6547.97,575.15,-583.38,502.08,32.88,-268.57,-123.56,-103.3,-62.73,-60.19,-15.29,27.12,39.03,50.77,58.26,116.14,172.47,180.18,191.09,265.18,241.15,278.98,293.04,246.38,245.22,287.29,283.36,320.77,269.14,253.74,317.28,281.82,355.05,354.18,358.02,341.32,393.89,303.29,322.25,412.96,435.41,343.51,420.51,374.79,373.86,342.31,349.29,449.65,392.74,471.82,483.91,467.31,397.12,330.92,455.88,506.39,472.57,403.01,465.05,613.47,480.24,491.49,505.87,593.59,-481.0,425.22,530.34,509.85,509.73,507.97,507.56,580.84
A76,0,2,e16x33NrdA2,147.97,-646.1,-1385.07,-1138.83,-381.38,-248.25,-359.6,-180.43,-155.48,-96.95,-50.36,34.66,32.87,-18.78,16.67,81.19,93.74,187.64,160.95,226.76,186.49,246.39,253.71,227.5,179.34,271.33,261.1,254.46,200.01,220.67,294.55,277.9,313.39,292.1,244.16,263.21,284.91,270.32,311.73,185.28,381.96,335.63,323.75,372.14,358.82,366.51,305.48,395.52,326.75,447.75,427.8,417.41,362.34,307.52,327.45,404.01,340.24,330.18,432.26,514.67,362.82,436.35,426.05,432.41,400.67,397.63,359.46,401.64,397.64,382.88,382.41,450.71
A109,0,0,e20x32gp411,-1730.41,-2240.98,-2785.5,-7.37,-410.63,-323.49,-293.61,-161.5,-210.24,-37.3,22.78,217.12,385.63,448.44,552.72,626.09,619.68,648.97,649.49,675.16,693.11,709.14,688.66,672.32,660.29,651.17,717.33,707.82,625.1,646.95,726.59,700.89,715.26,722.74,737.66,737.42,738.42,723.48,722.21,817.17,809.21,675.84,745.04,739.77,794.73,783.2,702.71,788.39,716.2,805.74,842.17,870.71,752.11,686.09,792.84,845.8,837.45,815.88,830.61,998.13,804.68,805.5,846.4,857.66,846.19,810.27,794.69,838.69,844.45,811.46,766.74,862.15
