time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med_1,gfp_med_2,gfp_low_1,gfp_low_2
0,124609.42,-44451.18,-1968.42,25.01,-1500.2,3844.77,-4072.54,-4204.81,-4483.7,-915.47,-4835.64,-2951.18,20254.24,58882.15,-3254.21,-3818.78,-1790.17,-3059.71,-2262.59,-4707.44,-3622.73,781.23,-4503.39,-3788.84,814.19,-80117.85,-4107.95,439.84,-3117.85,-2676.67,-3411.97,-5374.71,-4583.37,82.15,-4525.62,-5210.36,2829.52,-2869.62,-2502.88,-1635.09,-4051.91,-4559.57,-4717.85,-3377.59,-4241.04,-3381.01,-3996.23,-5711.21,-2945.44,2882.15,-3684.86,-3157.85,-5245.51,-4266.0,-4957.47,-4654.16,-4637.19,-1403.56,-2873.09,-4386.51,-3617.85,-3733.23,-100.61,-2721.02,-3345.12,-3159.87,-3944.62,-2230.0,-617.85,-1491.34,-3292.67,-4093.46,-4551.42,-2165.47,-4892.04,-4862.04,-4246.88,-4009.32,-4731.61,-4765.58,-5176.67,-3832.13,-4117.85,-3324.03,-6182.37,-4401.63,-1202.96,414663.61,605643.62,128974.76,44904.31
20,376.06,4617.92,-49.97,4218.31,2402.39,6567.36,396.4,1924.91,1936.2,6313.99,-409.25,-289.7,-247.77,-711.27,1753.17,1004.89,3592.24,1185.72,1926.06,240.57,3662.54,6442.11,-405.34,-277.93,-536.55,4297.27,-985.5,2057.01,-630.96,1161.02,975.18,-559.14,-1415.49,1953.83,-1229.26,1.34,-839.82,602.35,-252.51,-381.2,144.09,-672.04,-895.69,1562.02,3650.88,2509.39,3301.06,279.5,-1692.84,3509.39,-770.61,-1247.59,-1498.36,-186.58,-413.87,-950.93,48.4,2719.53,-1157.28,-786.21,-1338.53,-1262.61,-284.26,-767.49,-941.1,-866.5,-650.03,910.23,1218.61,419.3,-516.25,-323.94,-1806.99,-1022.14,-1149.07,-19.71,-1814.97,-952.98,-804.71,3.93,-1856.2,1504.41,-1322.6,-1364.09,-1114.76,-1044.08,-48.28,237608.96,250969.16,48606.17,26722.66
40,1248.32,3112.84,1052.66,4872.1,1546.01,3510.03,3740.52,1372.1,1712.53,3795.46,-314.28,1566.86,225.57,-461.84,41.78,341.53,2316.54,1400.54,1515.75,541.5,1452.56,2444.56,794.32,590.09,-311.52,674.85,-728.46,1314.96,-496.24,524.27,1446.17,-950.88,1154.48,1100.91,-887.29,-73.79,-638.37,-320.21,-434.59,-127.9,-337.15,-939.01,313.28,1547.92,2431.62,1702.81,1602.87,-234.74,-436.12,5349.63,-1416.63,141.33,-352.77,-1248.59,139.09,-485.04,-299.66,1917.55,-1327.45,-345.74,-1052.14,-980.84,833.64,-395.76,-678.75,-394.89,-1192.0,2057.41,1674.43,352.87,-305.32,-334.67,-1132.0,1556.5,-1246.83,-1206.1,-1301.93,-1438.47,-699.65,-1199.33,-345.29,1699.02,-952.37,-1336.39,-1572.49,-561.57,-69.76,277710.26,291717.89,61733.9,36473.92
60,802.88,7457.9,-267.9,4564.19,1085.22,3929.55,1234.94,1860.14,558.33,9198.97,-408.29,734.98,-1114.21,-877.5,-137.17,256.4,958.23,487.07,1352.65,1588.23,1670.4,2638.0,-26.49,-2.33,-1006.86,6381.51,-1614.0,251.99,-1583.48,-148.36,500.29,-1349.45,-129.6,2634.74,-1866.02,-1496.27,-848.65,-890.65,-1135.66,-1151.17,-372.35,-917.01,-861.1,563.44,-215.25,3791.0,1141.61,-589.06,-1478.35,4937.07,-1667.1,971.16,-2392.54,-2083.34,-1474.95,-2175.36,-1828.89,-691.8,-2375.1,-1254.42,-1978.59,-915.04,-865.96,-1433.3,201.53,-860.29,-1550.74,-482.29,2846.16,-171.37,817.66,-1380.08,-1880.57,311.3,-2225.99,-1002.63,-2198.07,-2895.57,-1719.65,-1582.49,-2331.22,644.93,-2237.24,-755.24,-1695.22,-1336.74,-595.83,299376.09,340185.8,76400.13,43795.94
80,784.28,2052.06,671.33,1388.7,914.25,964.37,565.93,637.88,597.15,1227.1,-576.24,471.39,-51.19,194.8,153.19,411.99,1492.51,535.37,596.84,672.03,767.33,568.15,-395.07,365.6,-154.98,616.62,-812.29,-170.47,-694.48,-538.84,-286.44,-733.35,-1033.1,-437.86,-777.31,11.99,-618.1,-657.77,-1042.51,-633.75,-885.61,-888.8,-1030.82,55.81,162.37,-438.8,-709.03,-12.22,-589.37,309.08,-530.75,-925.25,-412.39,-1193.25,-1124.37,-834.68,-859.39,918.22,-632.27,-172.34,-668.4,-563.87,-127.92,-413.87,-595.05,-1723.33,-598.97,-592.61,223.63,-459.64,-604.77,-367.47,-972.84,-797.38,-790.55,-1152.65,-856.73,-1098.73,-416.58,-939.36,-1569.48,-1225.19,-1067.74,-647.35,-158.3,-259.41,-442.55,212468.77,243782.1,47699.5,36573.1
100,938.63,1284.8,775.8,318.67,604.45,733.89,792.78,767.59,1.35,1328.76,151.5,256.94,759.8,92.72,760.41,308.58,565.74,-728.48,-156.17,-87.4,298.14,-6.29,-122.93,37.84,-43.78,400.13,-473.77,229.08,-46.26,-851.94,-361.55,-395.75,-627.03,233.89,-402.92,-208.83,20.31,135.6,-161.66,-413.1,-710.63,-285.37,-48.68,290.16,319.75,-36.74,-756.1,-344.41,-844.61,272.63,-528.77,-619.61,-710.96,-540.72,-1104.42,-488.67,-846.73,-599.45,-486.66,-193.88,187.49,75.19,47.38,-677.04,-727.81,-546.28,-961.83,-521.72,-906.26,-641.77,-807.11,64.92,262.24,314.71,-849.87,-1214.21,-682.11,-666.29,-672.53,-973.73,-914.66,-683.86,-903.46,-125.73,7.76,-15.44,307.12,242852.17,292311.73,43945.79,38985.42
120,972.95,885.05,741.41,778.91,988.92,877.64,772.7,648.22,497.19,1080.11,411.42,275.65,193.91,328.6,237.89,533.09,487.79,411.03,403.14,315.56,499.55,338.98,332.77,630.38,337.52,212.87,308.51,682.54,129.85,-206.29,764.98,190.13,-116.37,168.47,-378.61,364.85,134.98,294.12,79.4,265.9,364.47,87.18,181.79,168.22,-39.4,-6.74,167.16,171.72,-88.48,85.08,-100.67,169.15,-234.15,-260.43,-184.0,-155.47,-456.26,-153.94,-135.58,207.39,113.35,431.24,302.34,-334.22,-300.76,-161.26,-130.28,213.88,-87.49,-136.75,-197.26,-143.96,92.37,280.03,95.56,-388.31,-175.31,-133.69,-318.8,-523.81,-280.56,151.82,-273.28,56.16,13.08,252.88,337.79,235412.11,233153.65,33122.7,28429.02
140,657.6,664.31,497.51,458.66,380.04,426.65,503.58,315.19,304.9,566.98,345.56,357.0,466.74,108.61,326.34,539.48,433.33,180.95,114.4,395.39,471.93,96.46,74.37,285.21,211.31,515.34,42.46,348.0,161.35,19.54,299.32,-84.24,36.46,186.81,-166.31,28.85,219.35,318.68,154.42,110.18,92.64,202.78,453.0,329.33,302.28,14.29,-4.01,374.57,169.97,272.25,33.93,90.54,8.11,-175.26,-38.01,3.04,-100.04,-89.34,-215.14,-58.18,-158.96,130.07,10.63,-27.28,46.9,-166.36,-26.0,-98.81,165.91,-165.47,-76.98,289.91,48.55,160.28,-19.7,-30.53,-150.68,-197.93,295.71,100.93,-191.42,-37.92,-44.01,-17.94,-5.66,197.28,240.25,189549.94,204637.06,24567.39,22849.92
160,420.78,576.04,329.09,328.06,360.97,429.99,320.5,257.08,179.23,379.9,215.66,220.78,130.07,114.51,223.91,317.41,189.37,154.87,186.86,354.2,280.39,172.71,38.63,168.34,169.43,159.11,25.38,94.4,84.18,142.66,134.6,166.3,-57.49,-13.65,-53.39,90.04,218.02,196.75,253.26,264.67,130.57,183.6,-5.79,154.03,134.12,240.01,47.52,268.34,54.42,337.89,217.82,104.91,66.58,-14.42,99.01,9.91,-47.46,39.73,-153.41,67.74,0.88,82.31,27.13,-50.65,-101.32,-84.89,-135.48,131.55,-63.44,-75.57,58.23,22.28,-32.73,62.59,2.53,-55.17,-24.83,-106.13,81.48,49.33,-43.48,-36.25,-84.4,28.31,10.29,80.84,10.72,186068.9,188371.75,20222.4,18882.1
180,230.71,374.54,131.41,134.13,163.26,343.48,155.2,158.07,209.83,213.45,76.32,195.49,137.13,71.23,98.05,155.16,210.76,57.68,211.27,326.28,3835.11,282.81,122.27,190.08,118.24,-2.39,8.39,71.79,42.57,-148.36,42.81,-27.99,-34.81,-31.37,-113.15,41.31,236.3,238.88,107.03,112.95,160.15,187.31,129.05,238.06,1250.62,183.87,96.34,258.09,87.81,173.9,60.4,26.53,47.56,19.39,2.28,9.98,-83.78,2.54,-112.83,56.37,-0.98,37.01,92.09,-2.54,15.24,-40.88,-67.4,-165.25,42.71,-19.49,-51.04,101.74,3.52,-32.68,-26.1,-276.24,-80.85,-146.19,-94.78,-38.03,-80.21,-51.04,-80.54,41.85,35.18,101.18,44.68,160969.58,160182.11,18854.49,19115.12
