_id,name,_id_r,_id_n,_id_c,name_r,name_n,name_c,vector,component
G031,pJ2-PBAD-PCin-E11,G001,G007,G019,P11-34-sGFP_A,pJ1-PBAD-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G032,pJ2-PBAD-PCin-E11,G002,G007,G019,P11-34-mCherry_A,pJ1-PBAD-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G033,pJ2-PBAD-PSalTTC-E11,G001,G007,G020,P11-34-sGFP_A,pJ1-PBAD-E11-N_B,pJ1-PSalTTC-E11-C_C*,2A,gate
G034,pJ2-PBAD-PSalTTC-E11,G002,G007,G020,P11-34-mCherry_A,pJ1-PBAD-E11-N_B,pJ1-PSalTTC-E11-C_C*,2A,gate
G035,pJ2-PBAD-PLuxB-E11,G001,G007,G021,P11-34-sGFP_A,pJ1-PBAD-E11-N_B,pJ1-PLuxB-E11-C_C*,2A,gate
G036,pJ2-PBAD-PLuxB-E11,G002,G007,G021,P11-34-mCherry_A,pJ1-PBAD-E11-N_B,pJ1-PLuxB-E11-C_C*,2A,gate
G037,pJ2-PCin-PBAD-E11,G001,G008,G022,P11-34-sGFP_A,pJ1-PCin-E11-N_B,pJ1-PBAD-E11-C_C*,2A,gate
G038,pJ2-PCin-PBAD-E11,G002,G008,G022,P11-34-mCherry_A,pJ1-PCin-E11-N_B,pJ1-PBAD-E11-C_C*,2A,gate
G039,pJ2-PCin-PSalTTC-E11,G001,G008,G020,P11-34-sGFP_A,pJ1-PCin-E11-N_B,pJ1-PSalTTC-E11-C_C*,2A,gate
G040,pJ2-PCin-PSalTTC-E11,G002,G008,G020,P11-34-mCherry_A,pJ1-PCin-E11-N_B,pJ1-PSalTTC-E11-C_C*,2A,gate
G041,pJ2-PCin-PLuxB-E11,G001,G008,G021,P11-34-sGFP_A,pJ1-PCin-E11-N_B,pJ1-PLuxB-E11-C_C*,2A,gate
G042,pJ2-PCin-PLuxB-E11,G002,G008,G021,P11-34-mCherry_A,pJ1-PCin-E11-N_B,pJ1-PLuxB-E11-C_C*,2A,gate
G043,pJ2-PSalTTC-PBAD-E11,G001,G009,G022,P11-34-sGFP_A,pJ1-PSalTTC-E11-N_B,pJ1-PBAD-E11-C_C*,2A,gate
G044,pJ2-PSalTTC-PBAD-E11,G002,G009,G022,P11-34-mCherry_A,pJ1-PSalTTC-E11-N_B,pJ1-PBAD-E11-C_C*,2A,gate
G045,pJ2-PSalTTC-PCin-E11,G001,G009,G019,P11-34-sGFP_A,pJ1-PSalTTC-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G046,pJ2-PSalTTC-PCin-E11,G002,G009,G019,P11-34-mCherry_A,pJ1-PSalTTC-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G047,pJ2-PSalTTC-PLuxB-E11,G001,G009,G021,P11-34-sGFP_A,pJ1-PSalTTC-E11-N_B,pJ1-PLuxB-E11-C_C*,2A,gate
G048,pJ2-PSalTTC-PLuxB-E11,G002,G009,G021,P11-34-mCherry_A,pJ1-PSalTTC-E11-N_B,pJ1-PLuxB-E11-C_C*,2A,gate
G049,pJ2-PLuxB-PBAD-E11,G001,G010,G022,P11-34-sGFP_A,pJ1-PLuxB-E11-N_B,pJ1-PBAD-E11-C_C*,2A,gate
G050,pJ2-PLuxB-PBAD-E11,G002,G010,G022,P11-34-mCherry_A,pJ1-PLuxB-E11-N_B,pJ1-PBAD-E11-C_C*,2A,gate
G051,pJ2-PLuxB-PCin-E11,G001,G010,G019,P11-34-sGFP_A,pJ1-PLuxB-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G052,pJ2-PLuxB-PCin-E11,G002,G010,G019,P11-34-mCherry_A,pJ1-PLuxB-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G053,pJ2-PLuxB-PSalTTC-E11,G001,G010,G020,P11-34-sGFP_A,pJ1-PLuxB-E11-N_B,pJ1-PSalTTC-E11-C_C*,2A,gate
G054,pJ2-PLuxB-PSalTTC-E11,G002,G010,G020,P11-34-mCherry_A,pJ1-PLuxB-E11-N_B,pJ1-PSalTTC-E11-C_C*,2A,gate
G055,pJ2-PBAD-PCin-E20,G003,G011,G023,P20-34-sGFP_A,pJ1-PBAD-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G056,pJ2-PBAD-PCin-E20,G004,G011,G023,P20-34-mCherry_A,pJ1-PBAD-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G057,pJ2-PBAD-PSalTTC-E20,G003,G011,G024,P20-34-sGFP_A,pJ1-PBAD-E20-N_B,pJ1-PSalTTC-E20-C_C*,2A,gate
G058,pJ2-PBAD-PSalTTC-E20,G004,G011,G024,P20-34-mCherry_A,pJ1-PBAD-E20-N_B,pJ1-PSalTTC-E20-C_C*,2A,gate
G059,pJ2-PBAD-PLuxB-E20,G003,G011,G025,P20-34-sGFP_A,pJ1-PBAD-E20-N_B,pJ1-PLuxB-E20-C_C*,2A,gate
G060,pJ2-PBAD-PLuxB-E20,G004,G011,G025,P20-34-mCherry_A,pJ1-PBAD-E20-N_B,pJ1-PLuxB-E20-C_C*,2A,gate
G061,pJ2-PCin-PBAD-E20,G003,G012,G026,P20-34-sGFP_A,pJ1-PCin-E20-N_B,pJ1-PBAD-E20-C_C*,2A,gate
G062,pJ2-PCin-PBAD-E20,G004,G012,G026,P20-34-mCherry_A,pJ1-PCin-E20-N_B,pJ1-PBAD-E20-C_C*,2A,gate
G063,pJ2-PCin-PSalTTC-E20,G003,G012,G024,P20-34-sGFP_A,pJ1-PCin-E20-N_B,pJ1-PSalTTC-E20-C_C*,2A,gate
G064,pJ2-PCin-PSalTTC-E20,G004,G012,G024,P20-34-mCherry_A,pJ1-PCin-E20-N_B,pJ1-PSalTTC-E20-C_C*,2A,gate
G065,pJ2-PCin-PLuxB-E20,G003,G012,G025,P20-34-sGFP_A,pJ1-PCin-E20-N_B,pJ1-PLuxB-E20-C_C*,2A,gate
G066,pJ2-PCin-PLuxB-E20,G004,G012,G025,P20-34-mCherry_A,pJ1-PCin-E20-N_B,pJ1-PLuxB-E20-C_C*,2A,gate
G067,pJ2-PSalTTC-PBAD-E20,G003,G013,G026,P20-34-sGFP_A,pJ1-PSalTTC-E20-N_B,pJ1-PBAD-E20-C_C*,2A,gate
G068,pJ2-PSalTTC-PBAD-E20,G004,G013,G026,P20-34-mCherry_A,pJ1-PSalTTC-E20-N_B,pJ1-PBAD-E20-C_C*,2A,gate
G069,pJ2-PSalTTC-PCin-E20,G003,G013,G023,P20-34-sGFP_A,pJ1-PSalTTC-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G070,pJ2-PSalTTC-PCin-E20,G004,G013,G023,P20-34-mCherry_A,pJ1-PSalTTC-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G071,pJ2-PSalTTC-PLuxB-E20,G003,G013,G025,P20-34-sGFP_A,pJ1-PSalTTC-E20-N_B,pJ1-PLuxB-E20-C_C*,2A,gate
G072,pJ2-PSalTTC-PLuxB-E20,G004,G013,G025,P20-34-mCherry_A,pJ1-PSalTTC-E20-N_B,pJ1-PLuxB-E20-C_C*,2A,gate
G073,pJ2-PLuxB-PBAD-E20,G003,G014,G026,P20-34-sGFP_A,pJ1-PLuxB-E20-N_B,pJ1-PBAD-E20-C_C*,2A,gate
G074,pJ2-PLuxB-PBAD-E20,G004,G014,G026,P20-34-mCherry_A,pJ1-PLuxB-E20-N_B,pJ1-PBAD-E20-C_C*,2A,gate
G075,pJ2-PLuxB-PCin-E20,G003,G014,G023,P20-34-sGFP_A,pJ1-PLuxB-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G076,pJ2-PLuxB-PCin-E20,G004,G014,G023,P20-34-mCherry_A,pJ1-PLuxB-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G077,pJ2-PLuxB-PSalTTC-E20,G003,G014,G024,P20-34-sGFP_A,pJ1-PLuxB-E20-N_B,pJ1-PSalTTC-E20-C_C*,2A,gate
G078,pJ2-PLuxB-PSalTTC-E20,G004,G014,G024,P20-34-mCherry_A,pJ1-PLuxB-E20-N_B,pJ1-PSalTTC-E20-C_C*,2A,gate
G079,pJ2-PBAD-PCin-E38,G005,G015,G027,P38-34-sGFP_A,pJ1-PBAD-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
G080,pJ2-PBAD-PCin-E38,G006,G015,G027,P38-34-mCherry_A,pJ1-PBAD-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
G081,pJ2-PBAD-PSalTTC-E38,G005,G015,G028,P38-34-sGFP_A,pJ1-PBAD-E38-N_B,pJ1-PSalTTC-E38-C_C*,2A,gate
G082,pJ2-PBAD-PSalTTC-E38,G006,G015,G028,P38-34-mCherry_A,pJ1-PBAD-E38-N_B,pJ1-PSalTTC-E38-C_C*,2A,gate
G083,pJ2-PBAD-PLuxB-E38,G005,G015,G029,P38-34-sGFP_A,pJ1-PBAD-E38-N_B,pJ1-PLuxB-E38-C_C*,2A,gate
G084,pJ2-PBAD-PLuxB-E38,G006,G015,G029,P38-34-mCherry_A,pJ1-PBAD-E38-N_B,pJ1-PLuxB-E38-C_C*,2A,gate
G085,pJ2-PCin-PBAD-E38,G005,G016,G030,P38-34-sGFP_A,pJ1-PCin-E38-N_B,pJ1-PBAD-E38-C_C*,2A,gate
G086,pJ2-PCin-PBAD-E38,G006,G016,G030,P38-34-mCherry_A,pJ1-PCin-E38-N_B,pJ1-PBAD-E38-C_C*,2A,gate
G087,pJ2-PCin-PSalTTC-E38,G005,G016,G028,P38-34-sGFP_A,pJ1-PCin-E38-N_B,pJ1-PSalTTC-E38-C_C*,2A,gate
G088,pJ2-PCin-PSalTTC-E38,G006,G016,G028,P38-34-mCherry_A,pJ1-PCin-E38-N_B,pJ1-PSalTTC-E38-C_C*,2A,gate
G089,pJ2-PCin-PLuxB-E38,G005,G016,G029,P38-34-sGFP_A,pJ1-PCin-E38-N_B,pJ1-PLuxB-E38-C_C*,2A,gate
G090,pJ2-PCin-PLuxB-E38,G006,G016,G029,P38-34-mCherry_A,pJ1-PCin-E38-N_B,pJ1-PLuxB-E38-C_C*,2A,gate
G091,pJ2-PSalTTC-PBAD-E38,G005,G017,G030,P38-34-sGFP_A,pJ1-PSalTTC-E38-N_B,pJ1-PBAD-E38-C_C*,2A,gate
G092,pJ2-PSalTTC-PBAD-E38,G006,G017,G030,P38-34-mCherry_A,pJ1-PSalTTC-E38-N_B,pJ1-PBAD-E38-C_C*,2A,gate
G093,pJ2-PSalTTC-PCin-E38,G005,G017,G027,P38-34-sGFP_A,pJ1-PSalTTC-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
G094,pJ2-PSalTTC-PCin-E38,G006,G017,G027,P38-34-mCherry_A,pJ1-PSalTTC-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
G095,pJ2-PSalTTC-PLuxB-E38,G005,G017,G029,P38-34-sGFP_A,pJ1-PSalTTC-E38-N_B,pJ1-PLuxB-E38-C_C*,2A,gate
G096,pJ2-PSalTTC-PLuxB-E38,G006,G017,G029,P38-34-mCherry_A,pJ1-PSalTTC-E38-N_B,pJ1-PLuxB-E38-C_C*,2A,gate
G097,pJ2-PLuxB-PBAD-E38,G005,G018,G030,P38-34-sGFP_A,pJ1-PLuxB-E38-N_B,pJ1-PBAD-E38-C_C*,2A,gate
G098,pJ2-PLuxB-PBAD-E38,G006,G018,G030,P38-34-mCherry_A,pJ1-PLuxB-E38-N_B,pJ1-PBAD-E38-C_C*,2A,gate
G099,pJ2-PLuxB-PCin-E38,G005,G018,G027,P38-34-sGFP_A,pJ1-PLuxB-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
G100,pJ2-PLuxB-PCin-E38,G006,G018,G027,P38-34-mCherry_A,pJ1-PLuxB-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
G101,pJ2-PLuxB-PSalTTC-E38,G005,G018,G028,P38-34-sGFP_A,pJ1-PLuxB-E38-N_B,pJ1-PSalTTC-E38-C_C*,2A,gate
G102,pJ2-PLuxB-PSalTTC-E38,G006,G018,G028,P38-34-mCherry_A,pJ1-PLuxB-E38-N_B,pJ1-PSalTTC-E38-C_C*,2A,gate
