name,size,forward_primer,reversed_primer,annealing_temp,ext_time,template
PBetI_Pp,114,P105.F,P106.R,53.18,60,PBetI-rJ
P17_Pp,115,P79.F,P80.R,53.71,60,"A79, A82, A90, A79II, A82II, A80, A81, A83, A83.33, A84, A85, A86, A87, A88, A89, A90II, A91, A93, A92, A94, A95, A96, A97, A98, A99, A100, A101, A102, A103, A104"
P18_Pp,112,P91.F,P92.R,53.82999999999999,60,"A235, A238, A236, A237, A239, A240, A241, A242, A243, A244, A245, A246, A247, A249, A248, A250, A251, A252, A253, A254, A255, A256, A257, A258, A259, A260"
PTac_Pp,107,P103.F,P104.R,54.449999999999996,60,PTac-rJ
P20_Pp,111,P111.F,P112.R,54.46999999999999,60,"A105, A108, A106, A107, A109, A110, A111, A112, A113, A114, A115, A116, A116.32, A117, A119, A118, A120, A121, A122, A123, A124, A125, A126, A127, A128, A129, A130"
GFPmut3b_NOC,753,P107.F,P108.R,54.62,60,"A1, A4, A2, A3, A5, A6, A7, A8, A9, A10, A11, A12, A13, A15, A14, A16, A17, A18, A19, A20, A21, A22, A23, A24, A25, A26, A27, A30, A28, A29, A31, A32, A33, A34, A35, A36, A37, A38, A39, A41, A40, A42, A43, A44, A45, A46, A47, A48, A49, A50, A51, A52, A53, A56, A54, A55, A57, A58, A59, A60, A61, A62, A63, A64, A65, A67, A66, A68, A69, A70, A71, A72, A73, A74, A75, A76, A77, A78, A79, A82, A90, A79II, A82II, A80, A81, A83, A83.33, A84, A85, A86, A87, A88, A89, A90II, A91, A93, A92, A94, A95, A96, A97, A98, A99, A100, A101, A102, A103, A104, A105, A108, A106, A107, A109, A110, A111, A112, A113, A114, A115, A116, A116.32, A117, A119, A118, A120, A121, A122, A123, A124, A125, A126, A127, A128, A129, A130, A131, A134, A132, A133, A135, A135.33, A136, A137, A138, A139, A140, A141, A142, A143, A145, A144, A146, A147, A148, A149, A150, A151, A152, A153, A154, A155, A156, A157, A160, A158, A159, A161, A162, A163, A164, A165, A166, A167, A168, A169, A171, A170, A172, A173, A174, A175, A176, A177, A178, A179, A180, A181, A182, A183, A186, A184, A185, A187, A188, A189, A190, A191, A192, A193, A194, A195, A197, A196, A198, A199, A200, A201, A202, A203, A204, A205, A206, A207, A208, A209, A212, A210, A211, A213, A214, A215, A216, A217, A218, A219, A220, A221, A223, A222, A224, A225, A226, A227, A228, A229, A230, A231, A232, A233, A234, A235, A238, A236, A237, A239, A240, A241, A242, A243, A244, A245, A246, A247, A249, A248, A250, A251, A252, A253, A254, A255, A256, A257, A258, A259, A260, A261, A264, A262, A263, A265, A266, A267, A268, A269, A270, A271, A272, A273, A275, A274, A276, A277, A278, A279, A280, A281, A282, A283, A284, A285, A286, A287, A290, A288, A289, A291, A292, A293, A294, A295, A296, A297, A298, A299, A301, A300, A302, A303, A304, A305, A306, A307, A308, A309, A310, A311, A312, A313, A316, A315, A317, A317, A318, A319, A320, A321, A322, A323, A324, A325, A327, A326, A328, A329, A330, A331, A332, A333, A334, A335, A336, A337, A338"
PSalTTC_Pp,167,P99.F,P100.R,54.68,60,PSalTTC-rJ
PLuxB_Pp,106,P101.F,P102.R,54.78000000000001,60,PLuxB-rJ
P38_Pp,131,P113.F,P114.R,55.07,60,"A261, A264, A262, A263, A265, A266, A267, A268, A269, A270, A271, A272, A273, A275, A274, A276, A277, A278, A279, A280, A281, A282, A283, A284, A285, A286"
PBAD_Pp,335,P97.F,P98.R,55.679999999999986,60,"A1, A4, A2, A3, A5, A6, A7, A8, A9, A10, A11, A12, A13, A15, A14, A16, A17, A18, A19, A20, A21, A22, A23, A24, A25, A26, A27, A30, A28, A29, A31, A32, A33, A34, A35, A36, A37, A38, A39, A41, A40, A42, A43, A44, A45, A46, A47, A48, A49, A50, A51, A52, A53, A56, A54, A55, A57, A58, A59, A60, A61, A62, A63, A64, A65, A67, A66, A68, A69, A70, A71, A72, A73, A74, A75, A76, A77, A78, A79, A82, A90, A79II, A82II, A80, A81, A83, A83.33, A84, A85, A86, A87, A88, A89, A90II, A91, A93, A92, A94, A95, A96, A97, A98, A99, A100, A101, A102, A103, A104, A105, A108, A106, A107, A109, A110, A111, A112, A113, A114, A115, A116, A116.32, A117, A119, A118, A120, A121, A122, A123, A124, A125, A126, A127, A128, A129, A130, A131, A134, A132, A133, A135, A135.33, A136, A137, A138, A139, A140, A141, A142, A143, A145, A144, A146, A147, A148, A149, A150, A151, A152, A153, A154, A155, A156, A157, A160, A158, A159, A161, A162, A163, A164, A165, A166, A167, A168, A169, A171, A170, A172, A173, A174, A175, A176, A177, A178, A179, A180, A181, A182, A183, A186, A184, A185, A187, A188, A189, A190, A191, A192, A193, A194, A195, A197, A196, A198, A199, A200, A201, A202, A203, A204, A205, A206, A207, A208, A209, A212, A210, A211, A213, A214, A215, A216, A217, A218, A219, A220, A221, A223, A222, A224, A225, A226, A227, A228, A229, A230, A231, A232, A233, A234, A235, A238, A236, A237, A239, A240, A241, A242, A243, A244, A245, A246, A247, A249, A248, A250, A251, A252, A253, A254, A255, A256, A257, A258, A259, A260, A261, A264, A262, A263, A265, A266, A267, A268, A269, A270, A271, A272, A273, A275, A274, A276, A277, A278, A279, A280, A281, A282, A283, A284, A285, A286, A287, A290, A288, A289, A291, A292, A293, A294, A295, A296, A297, A298, A299, A301, A300, A302, A303, A304, A305, A306, A307, A308, A309, A310, A311, A312, A313, A316, A315, A317, A317, A318, A319, A320, A321, A322, A323, A324, A325, A327, A326, A328, A329, A330, A331, A332, A333, A334, A335, A336, A337, A338, PBAD-rJ, PBAD-mC"
