time,e11x32STPhoRadA_00,e11x32STPhoRadA_10,e11x32STPhoRadA_01,e11x32STPhoRadA_11,e15x32NpuSspS2_00,e15x32NpuSspS2_10,e15x32NpuSspS2_01,e15x32NpuSspS2_11,e16x33NrdA2_00,e16x33NrdA2_10,e16x33NrdA2_01,e16x33NrdA2_11,e20x32gp411_00,e20x32gp411_10,e20x32gp411_01,e20x32gp411_11,e32x30SspGyrB_00,e32x30SspGyrB_10,e32x30SspGyrB_01,e32x30SspGyrB_11,e34x30MjaKlbA_00,e34x30MjaKlbA_10,e34x30MjaKlbA_01,e34x30MjaKlbA_11,e38x32gp418_00,e38x32gp418_10,e38x32gp418_01,e38x32gp418_11,e41x32NrdJ1_00,e41x32NrdJ1_10,e41x32NrdJ1_01,e41x32NrdJ1_11,e42x32STIMPDH1_00,e42x32STIMPDH1_10,e42x32STIMPDH1_01,e42x32STIMPDH1_11,negative_control_00,negative_control_10,negative_control_01,negative_control_11,positive_control_00,positive_control_10,positive_control_01,positive_control_11,blank_00,blank_10,blank_01,blank_11
0,2.0,-35.0,-28.0,-23.0,-6.0,-85.0,-22.0,-9.0,-7.0,-29.0,-7.0,16.0,-7.0,-11.0,5.0,8.0,37.0,2.0,13.0,22.0,30.0,8.0,26.0,22.0,36.0,8.0,25.0,19.0,22.0,5.0,20.0,30.0,20.0,12.0,38.0,39.0,8.0,13.0,27.0,4.0,5517.0,5678.0,5712.0,5490.0,,,,
20,15.0,6.0,23.0,24.0,16.0,-29.0,36.0,-1.0,13.0,7.0,26.0,26.0,14.0,7.0,24.0,18.0,32.0,5.0,38.0,22.0,24.0,33.0,22.0,44.0,35.0,6.0,53.0,37.0,24.0,18.0,46.0,13.0,45.0,11.0,43.0,28.0,21.0,16.0,30.0,14.0,4676.0,4873.0,4797.0,4696.0,,,,
40,27.0,33.0,16.0,31.0,16.0,-13.0,34.0,17.0,28.0,37.0,14.0,25.0,8.0,25.0,13.0,4.0,26.0,19.0,15.0,35.0,30.0,41.0,10.0,21.0,51.0,32.0,44.0,33.0,29.0,31.0,25.0,12.0,26.0,53.0,39.0,27.0,25.0,23.0,32.0,21.0,4654.0,4938.0,4833.0,4773.0,,,,
60,35.0,4.0,12.0,13.0,8.0,-21.0,19.0,-5.0,3.0,26.0,-5.0,16.0,12.0,17.0,11.0,-9.0,27.0,-3.0,18.0,-5.0,27.0,23.0,14.0,6.0,26.0,22.0,17.0,4.0,11.0,9.0,21.0,4.0,27.0,22.0,33.0,17.0,35.0,6.0,14.0,12.0,4735.0,4991.0,4873.0,4880.0,,,,
80,34.0,5.0,31.0,42.0,18.0,-18.0,17.0,50.0,26.0,4.0,12.0,40.0,35.0,15.0,9.0,40.0,46.0,12.0,8.0,40.0,40.0,5.0,32.0,42.0,35.0,17.0,53.0,62.0,25.0,0.0,24.0,16.0,42.0,13.0,29.0,36.0,22.0,12.0,21.0,34.0,4911.0,5261.0,5240.0,5126.0,,,,
100,30.0,22.0,23.0,51.0,40.0,-12.0,29.0,26.0,27.0,42.0,15.0,49.0,26.0,35.0,22.0,49.0,46.0,13.0,20.0,88.0,34.0,46.0,33.0,54.0,54.0,55.0,43.0,78.0,37.0,38.0,31.0,44.0,24.0,17.0,43.0,35.0,27.0,30.0,22.0,28.0,5246.0,5620.0,5504.0,5521.0,,,,
120,46.0,33.0,37.0,83.0,47.0,-20.0,29.0,70.0,49.0,66.0,42.0,47.0,46.0,25.0,30.0,77.0,57.0,55.0,40.0,200.0,62.0,42.0,47.0,150.0,50.0,62.0,71.0,174.0,40.0,34.0,26.0,96.0,51.0,37.0,59.0,32.0,50.0,43.0,33.0,36.0,5794.0,6154.0,6033.0,6060.0,,,,
140,43.0,31.0,23.0,252.0,55.0,1.0,48.0,186.0,54.0,52.0,27.0,131.0,36.0,56.0,10.0,218.0,66.0,51.0,36.0,613.0,62.0,79.0,35.0,408.0,86.0,55.0,61.0,428.0,57.0,66.0,50.0,319.0,52.0,50.0,20.0,49.0,60.0,52.0,24.0,55.0,6542.0,7009.0,6827.0,6912.0,,,,
160,46.0,58.0,79.0,620.0,88.0,16.0,104.0,436.0,84.0,76.0,90.0,419.0,54.0,73.0,83.0,593.0,84.0,66.0,93.0,1568.0,90.0,77.0,110.0,824.0,97.0,92.0,117.0,920.0,73.0,90.0,103.0,1256.0,54.0,56.0,61.0,85.0,58.0,74.0,101.0,68.0,7540.0,8095.0,7967.0,8017.0,,,,
180,89.0,62.0,72.0,1787.0,163.0,26.0,132.0,881.0,114.0,96.0,101.0,1402.0,90.0,88.0,121.0,1692.0,118.0,106.0,135.0,3483.0,140.0,125.0,126.0,1904.0,152.0,127.0,159.0,1470.0,116.0,122.0,125.0,3150.0,83.0,100.0,83.0,181.0,83.0,122.0,104.0,100.0,9094.0,9742.0,9504.0,9442.0,,,,
200,148.0,102.0,147.0,3531.0,240.0,54.0,216.0,1375.0,200.0,139.0,197.0,3033.0,167.0,137.0,184.0,3227.0,178.0,162.0,214.0,5795.0,220.0,165.0,207.0,3181.0,222.0,180.0,277.0,2060.0,218.0,161.0,220.0,5275.0,162.0,122.0,115.0,423.0,176.0,132.0,152.0,144.0,11160.0,11657.0,11350.0,11369.0,,,,
220,206.0,171.0,238.0,5552.0,356.0,127.0,320.0,1923.0,264.0,217.0,314.0,5214.0,224.0,218.0,270.0,5177.0,260.0,250.0,315.0,8839.0,295.0,233.0,325.0,4418.0,308.0,271.0,410.0,2798.0,292.0,260.0,312.0,7371.0,210.0,176.0,197.0,915.0,242.0,203.0,237.0,202.0,13861.0,14390.0,14084.0,13980.0,,,,
240,271.0,241.0,292.0,8057.0,406.0,183.0,412.0,2592.0,338.0,281.0,413.0,8077.0,301.0,271.0,364.0,7542.0,352.0,305.0,421.0,12293.0,387.0,311.0,441.0,6075.0,395.0,345.0,546.0,3827.0,368.0,326.0,401.0,9590.0,280.0,236.0,241.0,1762.0,305.0,276.0,295.0,244.0,17260.0,17299.0,17438.0,17048.0,,,,
260,341.0,292.0,407.0,10587.0,494.0,242.0,535.0,3435.0,443.0,344.0,584.0,11689.0,370.0,337.0,476.0,10325.0,413.0,364.0,542.0,16093.0,479.0,390.0,581.0,7949.0,480.0,403.0,672.0,5165.0,425.0,388.0,535.0,12335.0,382.0,296.0,325.0,2801.0,395.0,339.0,408.0,337.0,23552.0,21373.0,23031.0,20872.0,,,,
280,421.0,326.0,526.0,13689.0,562.0,288.0,635.0,4437.0,516.0,387.0,683.0,16221.0,463.0,422.0,595.0,14107.0,489.0,413.0,672.0,20889.0,551.0,431.0,724.0,10333.0,553.0,455.0,790.0,6160.0,537.0,433.0,648.0,15798.0,432.0,348.0,444.0,3957.0,469.0,352.0,482.0,391.0,30814.0,25558.0,30045.0,25513.0,,,,
300,471.0,397.0,612.0,17059.0,643.0,360.0,714.0,5326.0,586.0,466.0,773.0,21198.0,534.0,447.0,682.0,18358.0,567.0,463.0,764.0,25920.0,621.0,493.0,818.0,13077.0,584.0,567.0,904.0,6962.0,619.0,521.0,730.0,19318.0,501.0,409.0,507.0,5400.0,521.0,442.0,537.0,460.0,40676.0,30380.0,39043.0,29997.0,,,,
320,540.0,462.0,682.0,20987.0,732.0,394.0,809.0,5918.0,706.0,537.0,870.0,26162.0,643.0,541.0,763.0,24270.0,670.0,574.0,881.0,32704.0,767.0,568.0,909.0,15552.0,760.0,678.0,1015.0,7874.0,736.0,628.0,825.0,22297.0,623.0,472.0,585.0,7350.0,620.0,492.0,624.0,546.0,52586.0,36759.0,50974.0,36091.0,,,,
