time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,0.025,0.026,0.04,0.032,0.024,0.021,0.03,0.01,0.015,-0.001,-0.005,0.002,0.007,0.021,0.02,0.01,0.02,0.021,0.025,0.024,0.016
20,0.018,0.004,0.004,0.001,-0.006,-0.0004,-0.0002,-0.007,-0.004,-0.005,-0.008,0.018,0.021,0.017,0.003,-0.0004,0.0003,-0.002,-0.0001,-0.007,-0.008
40,0.019,0.016,0.017,0.014,0.01,0.012,0.013,0.007,0.011,0.008,0.004,0.013,0.018,0.017,0.014,0.011,0.013,0.01,0.016,0.006,0.002
60,0.031,0.015,0.012,0.011,0.007,0.01,0.007,0.003,0.005,0.009,0.003,0.023,0.033,0.029,0.015,0.011,0.015,0.01,0.013,0.007,0.002
80,0.037,0.02,0.021,0.016,0.011,0.017,0.014,0.005,0.007,0.018,0.005,0.022,0.037,0.033,0.022,0.017,0.026,0.016,0.021,0.012,0.005
100,0.056,0.034,0.062,0.029,0.024,0.033,0.027,0.016,0.015,0.038,0.019,0.042,0.054,0.045,0.036,0.031,0.043,0.033,0.04,0.024,0.019
120,0.09,0.064,0.056,0.055,0.048,0.061,0.05,0.037,0.032,0.076,0.044,0.07,0.086,0.071,0.066,0.063,0.077,0.067,0.079,0.06,0.044
140,0.134,0.096,0.086,0.088,0.08,0.101,0.075,0.06,0.052,0.139,0.076,0.101,0.119,0.095,0.098,0.092,0.125,0.101,0.123,0.098,0.07
160,0.222,0.176,0.154,0.159,0.148,0.177,0.137,0.114,0.103,0.232,0.139,0.168,0.193,0.148,0.169,0.162,0.222,0.175,0.217,0.178,0.137
180,0.322,0.287,0.262,0.269,0.258,0.287,0.228,0.205,0.185,0.368,0.236,0.26,0.289,0.233,0.274,0.268,0.326,0.281,0.317,0.286,0.229
200,0.429,0.379,0.343,0.351,0.39,0.371,0.3,0.285,0.28,0.45,0.323,0.343,0.374,0.308,0.352,0.346,0.441,0.365,0.432,0.381,0.314
220,0.513,0.486,0.469,0.458,0.436,0.472,0.384,0.378,0.355,0.527,0.422,0.458,0.474,0.376,0.467,0.457,0.536,0.47,0.528,0.475,0.419
