code_name,ind1_lvl,ind2_lvl,short_name,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min
A18,0,0,e11x32STPhoRadA,0.017,0.02,0.025,0.033,0.045,0.066,0.105,0.173,0.257,0.338,0.429,0.528,0.659,0.728,0.766,0.811,0.848,0.887,0.883,0.978,0.945,0.979,1.025,1.022,1.027,0.995,1.094,1.058,1.039,1.083,1.12,1.085,1.086,1.048,1.046,1.054,1.016,1.036,1.04,1.041,1.024,1.028,1.064,1.016,1.049,1.065,1.028,1.014,1.039,1.049,1.025,1.024,1.03,1.01,1.035,1.019,0.993,1.02,0.983,0.985,0.972,0.982,0.963,0.976,0.959,0.956,0.93,0.949,0.943,0.927,0.946,0.923
A18,0,1,e11x32STPhoRadA,0.016,0.019,0.024,0.031,0.042,0.066,0.105,0.169,0.255,0.337,0.413,0.487,0.592,0.688,0.752,0.789,0.822,0.855,0.872,0.898,0.895,0.921,0.947,0.955,0.966,0.961,0.987,0.988,0.982,1.012,1.005,1.014,1.014,1.006,1.022,1.011,0.974,1.001,1.026,1.021,1.017,1.002,1.008,0.989,1.018,1.021,0.988,0.999,0.991,1.004,0.986,0.982,0.984,0.975,0.973,0.991,0.953,0.964,0.948,0.97,0.949,0.971,0.956,0.926,0.937,0.954,0.929,0.931,0.908,0.936,0.907,0.915
A18,0,2,e11x32STPhoRadA,0.014,0.016,0.021,0.031,0.041,0.064,0.108,0.169,0.259,0.332,0.397,0.458,0.544,0.64,0.715,0.772,0.8,0.832,0.851,0.879,0.881,0.901,0.923,0.934,0.936,0.938,0.959,0.963,0.955,0.972,0.966,0.974,0.984,0.986,0.995,0.989,0.945,0.986,0.992,0.983,0.995,0.973,0.992,0.979,0.993,1.001,0.97,0.989,0.977,0.989,0.979,0.974,0.986,0.973,0.977,0.984,0.943,0.97,0.942,0.961,0.951,0.963,0.954,0.91,0.937,0.948,0.914,0.931,0.898,0.931,0.902,0.913
A29,0,0,e15x32NpuSspS2,0.011,0.016,0.02,0.031,0.044,0.072,0.12,0.201,0.283,0.393,0.477,0.598,0.702,0.749,0.779,0.822,0.859,0.894,0.898,0.948,0.932,0.943,0.984,0.978,0.972,0.957,1.005,0.999,0.97,1.03,1.011,1.025,1.029,1.012,1.019,1.017,0.977,1.006,1.03,1.013,1.024,1.018,1.028,0.987,1.025,1.031,1.004,1.019,1.022,1.024,1.012,1.01,1.007,0.997,1.003,1.004,0.954,0.991,0.96,0.97,0.966,0.992,0.972,0.931,0.958,0.956,0.935,0.944,0.923,0.943,0.914,0.918
A29,0,1,e15x32NpuSspS2,0.01,0.014,0.017,0.027,0.042,0.069,0.118,0.2,0.277,0.379,0.446,0.55,0.661,0.721,0.76,0.795,0.829,0.851,0.866,0.891,0.892,0.916,0.936,0.938,0.944,0.941,0.962,0.962,0.942,0.968,0.954,0.966,0.97,0.97,0.986,0.978,0.941,0.977,0.988,0.991,0.981,0.976,0.992,0.961,0.985,0.983,0.96,0.973,0.992,0.984,0.978,0.967,0.966,0.958,0.957,1.152,0.923,0.961,0.926,0.942,0.929,0.971,0.931,0.892,0.922,0.925,0.905,0.915,0.873,0.908,0.88,0.896
A29,0,2,e15x32NpuSspS2,0.012,0.015,0.019,0.03,0.042,0.07,0.119,0.202,0.279,0.374,0.428,0.517,0.62,0.702,0.751,0.781,0.814,0.84,0.856,0.882,0.875,0.891,0.921,0.927,0.933,0.93,0.943,0.951,0.932,0.96,0.95,0.946,0.957,0.95,0.968,0.954,0.93,0.983,0.998,0.985,0.973,0.977,0.998,0.961,0.967,0.972,0.951,0.954,0.979,0.977,0.984,0.965,0.985,0.975,0.951,0.965,0.919,0.954,0.927,0.936,0.939,0.949,0.929,0.894,0.931,0.922,0.907,0.914,0.88,0.905,0.899,0.894
A76,0,0,e16x33NrdA2,0.008,0.013,0.016,0.025,0.037,0.058,0.1,0.171,0.26,0.346,0.432,0.546,0.672,0.738,0.774,0.803,0.849,0.87,0.896,0.913,0.923,0.936,0.954,0.957,0.995,0.987,0.983,0.977,0.994,0.991,0.985,0.984,0.989,0.986,0.983,0.989,0.953,1.033,1.0,1.02,0.996,1.012,1.055,1.013,1.003,0.999,1.021,0.997,1.032,1.0,1.024,0.985,1.011,1.015,0.985,0.986,0.968,0.978,0.965,0.967,0.978,0.958,0.946,0.936,0.959,0.95,0.944,0.953,0.924,0.916,0.931,0.909
A76,0,1,e16x33NrdA2,0.008,0.013,0.017,0.024,0.036,0.061,0.101,0.172,0.254,0.342,0.41,0.503,0.612,0.697,0.75,0.777,0.82,0.847,0.865,0.883,0.893,0.911,0.936,0.943,0.965,0.958,0.959,0.965,0.965,0.974,0.965,0.967,0.969,0.968,0.967,0.963,0.926,0.992,0.981,0.985,0.967,0.977,1.001,0.985,0.974,0.98,0.981,0.966,1.012,0.973,1.0,0.964,0.987,1.001,0.967,0.977,0.955,0.965,0.958,0.94,0.958,0.955,0.93,0.92,1.348,0.947,0.934,0.934,0.907,0.908,0.91,0.893
A76,0,2,e16x33NrdA2,0.011,0.012,0.016,0.024,0.038,0.059,0.1,0.17,0.256,0.337,0.393,0.475,0.572,0.664,0.728,0.761,0.802,0.838,0.86,0.87,0.877,0.892,0.924,0.929,0.958,0.951,0.955,0.964,0.97,0.97,0.962,0.963,0.968,0.964,0.972,0.972,0.932,0.988,0.973,1.052,0.961,0.962,0.996,0.964,0.953,0.953,0.968,0.952,1.006,0.952,0.986,0.951,0.971,0.993,0.962,0.958,0.949,0.955,0.942,0.939,0.949,0.938,0.919,0.922,0.94,0.923,0.931,0.925,0.903,0.895,0.909,0.886
A109,0,0,e20x32gp411,0.015,0.017,0.022,0.031,0.046,0.072,0.12,0.197,0.281,0.386,0.46,0.593,0.697,0.751,0.775,0.812,0.856,0.882,0.91,0.933,0.93,0.944,0.973,0.972,1.001,0.991,0.989,0.993,0.999,1.001,0.987,0.995,1.013,0.992,0.999,0.994,0.962,1.015,1.007,1.012,0.991,1.005,1.025,1.002,0.991,0.993,1.011,0.986,1.049,0.995,1.02,0.982,0.999,1.025,0.98,0.986,0.97,0.963,0.968,0.959,0.965,0.971,0.942,0.949,0.962,0.96,0.964,0.951,0.928,0.924,0.94,0.914
