time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,0.038,0.037,0.028,0.027,0.029,0.024,0.055,0.029,0.027,0.032,0.021,
20,0.033,0.03,0.027,0.026,0.029,0.026,0.022,0.026,0.022,0.031,0.02,
40,0.033,0.034,0.028,0.032,0.031,0.029,0.026,0.027,0.026,0.03,0.019,
60,0.043,0.048,0.038,0.034,0.041,0.035,0.035,0.095,0.07,0.037,0.024,
80,0.056,0.109,0.056,0.05,0.058,0.051,0.056,0.058,0.046,0.051,0.025,
100,0.089,0.125,0.158,0.081,0.093,0.086,0.102,0.098,0.074,0.089,0.031,
120,0.134,0.28,0.158,0.132,0.153,0.145,0.177,0.169,0.154,0.15,0.036,
140,0.225,0.315,0.254,0.218,0.25,0.245,0.359,0.394,0.213,0.24,0.05,
160,0.312,0.429,0.344,0.306,0.333,0.334,0.379,0.377,0.3,0.328,0.071,
180,0.413,0.559,0.55,0.498,0.486,0.449,0.493,0.493,0.517,0.636,0.106,
200,0.518,0.715,0.625,0.596,0.65,0.666,0.706,0.664,0.503,0.587,0.157,
220,0.663,0.853,0.735,0.637,0.755,0.798,0.811,0.759,0.62,0.713,0.229,
240,0.788,0.901,0.863,0.762,0.803,0.862,0.873,0.866,0.761,0.853,0.294,
260,0.884,0.953,0.913,0.849,0.878,0.957,0.987,1.025,1.0,1.02,0.391,
280,0.923,1.002,0.964,0.924,1.032,1.1,1.095,0.956,0.97,1.05,0.461,
300,0.98,1.059,1.022,0.941,1.066,1.159,1.106,1.024,1.031,1.035,0.539,
320,1.037,1.115,1.129,0.998,1.044,1.191,1.117,1.074,1.147,1.281,0.651,
340,1.087,1.143,1.131,1.048,1.089,1.226,1.231,1.269,1.178,1.195,0.75,
360,1.127,1.185,1.231,1.212,1.231,1.228,1.241,1.311,1.285,1.306,0.877,
380,1.166,1.23,1.218,1.146,1.181,1.227,1.236,1.214,1.187,1.212,0.952,
400,1.217,1.424,1.512,1.298,1.229,1.282,1.39,1.372,1.269,1.241,1.002,
420,1.237,1.269,1.431,1.361,1.367,1.315,1.374,1.412,1.352,1.278,1.06,
440,1.26,1.284,1.306,1.319,1.262,1.295,1.364,1.345,1.286,1.289,1.111,
460,1.275,1.349,1.492,1.339,1.296,1.325,1.347,1.323,1.289,1.309,1.164,
480,1.285,1.323,1.337,1.286,1.302,1.344,1.401,1.427,1.419,1.33,1.208,
500,1.302,1.398,1.534,1.452,1.424,1.47,1.514,1.442,1.331,1.343,1.346,
520,1.32,1.355,1.553,1.416,1.351,1.395,1.483,1.451,1.394,1.36,1.281,
540,1.331,1.361,1.522,1.471,1.394,1.415,1.413,1.391,1.383,1.377,1.303,
560,1.363,1.374,1.485,1.425,1.389,1.429,1.468,1.515,1.519,1.398,1.334,
580,1.37,1.375,1.437,1.46,1.472,1.59,1.548,1.578,1.438,1.505,1.565,
600,1.382,1.477,1.557,1.421,1.407,1.567,1.528,1.469,1.428,1.405,1.39,
620,1.395,1.391,1.441,1.414,1.412,1.476,1.551,1.524,1.429,1.404,1.404,
640,1.393,1.391,1.479,1.428,1.414,1.456,1.454,1.459,1.614,1.594,1.44,
660,1.401,1.382,1.487,1.449,1.415,1.457,1.548,1.508,1.645,1.614,1.509,
680,1.403,1.383,1.462,1.655,1.443,1.501,1.444,1.482,1.622,1.417,1.46,
700,1.404,1.579,1.515,1.608,1.54,1.541,1.48,1.496,1.523,1.407,1.453,
720,1.444,1.526,1.476,1.488,1.462,1.554,1.492,1.414,1.442,1.404,1.455,
740,1.409,1.374,1.44,1.433,1.407,1.449,1.424,1.413,1.443,1.501,1.466,
760,1.405,1.524,1.45,1.418,1.431,1.552,1.563,1.431,1.444,1.41,1.488,
780,1.412,1.369,1.443,1.417,1.404,1.445,1.432,1.408,1.447,1.408,1.49,
800,1.404,1.376,1.528,1.433,1.403,1.444,1.426,1.402,1.445,1.4,1.498,
820,1.407,1.369,1.435,1.396,1.408,1.464,1.415,1.399,1.474,1.499,1.483,
840,1.414,1.394,1.482,1.465,1.415,1.447,1.411,1.389,1.437,1.4,1.489,
860,1.396,1.371,1.489,1.394,1.393,1.419,1.409,1.411,1.427,1.399,1.484,
880,1.398,1.358,1.42,1.38,1.389,1.426,1.403,1.474,1.53,1.4,1.512,
900,1.383,1.354,1.449,1.415,1.385,1.41,1.396,1.387,1.527,1.455,1.498,
920,1.396,1.453,1.491,1.361,1.375,1.439,1.459,1.365,1.409,1.455,1.518,
940,1.374,1.344,1.406,1.356,1.42,1.389,1.382,1.364,1.515,1.571,1.556,
960,1.366,1.339,1.399,1.351,1.36,1.385,1.372,1.36,1.403,1.395,1.49,
980,1.372,1.339,1.405,1.34,1.458,1.481,1.379,1.352,1.394,1.375,1.49,
1000,1.361,1.384,1.494,1.332,1.335,1.38,1.436,1.4,1.38,1.372,1.485,
1020,1.356,1.329,1.371,1.327,1.335,1.377,1.354,1.331,1.378,1.388,1.489,
1040,1.361,1.305,1.454,1.465,1.404,1.341,1.36,1.436,1.439,1.364,1.47,
1060,1.344,1.301,1.36,1.423,1.429,1.426,1.421,1.4,1.364,1.353,1.463,
1080,1.336,1.295,1.346,1.305,1.384,1.338,1.336,1.329,1.354,1.365,1.573,
1100,1.586,1.287,1.341,1.289,1.299,1.329,1.387,1.35,1.475,1.461,1.45,
1120,1.325,1.277,1.328,1.272,1.287,1.309,1.308,1.304,1.334,1.337,1.432,
1140,1.318,1.27,1.328,1.326,1.353,1.309,1.302,1.29,1.454,1.403,1.416,
1160,1.317,1.267,1.356,1.273,1.266,1.301,1.34,1.289,1.33,1.333,1.427,
1180,1.308,1.261,1.313,1.251,1.265,1.4,1.397,1.287,1.32,1.322,1.556,
1200,1.3,1.46,1.356,1.259,1.258,1.483,1.51,1.369,1.327,1.317,1.414,
1220,1.298,1.244,1.299,1.245,1.25,1.298,1.307,1.266,1.322,1.31,1.463,
1240,1.315,1.246,1.293,1.301,1.284,1.276,1.267,1.257,1.318,1.3,1.392,
1260,1.284,1.238,1.282,1.237,1.321,1.461,1.383,1.257,1.311,1.467,1.45,
1280,1.28,1.23,1.277,1.225,1.229,1.338,1.253,1.246,1.35,1.285,1.372,
1300,1.274,1.224,1.267,1.215,1.222,1.247,1.247,1.232,1.3,1.281,1.37,
1320,1.266,1.223,1.265,1.253,1.216,1.248,1.295,1.252,1.296,1.271,1.36,
1340,1.255,1.228,1.254,1.21,1.208,1.252,1.232,1.225,1.283,1.266,1.357,
1360,1.261,1.215,1.258,1.271,1.208,1.311,1.327,1.272,1.288,1.26,1.354,
1380,1.424,1.201,1.298,1.253,1.197,1.226,1.222,1.223,1.284,1.261,1.349,
1400,1.252,1.196,1.327,1.211,1.199,1.216,1.217,1.216,1.279,1.254,1.337,
1420,1.242,1.278,1.232,1.181,1.186,1.255,1.209,1.211,1.266,1.248,1.333,
1440,1.236,1.187,1.235,1.177,1.178,1.264,1.21,1.223,1.287,1.241,1.323,
