time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med_1,gfp_med_2,gfp_low_1,gfp_low_2
0,0.001,-0.003,0.017,0.014,0.02,0.011,0.031,0.032,0.041,0.017,0.033,0.024,0.004,0.002,0.022,0.021,0.018,0.017,0.015,0.035,0.031,0.011,0.025,0.023,0.01,-0.001,0.02,0.01,0.02,0.014,0.019,0.04,0.023,0.01,0.021,0.023,0.01,0.014,0.019,0.015,0.018,0.016,0.02,0.015,0.028,0.01,0.015,0.024,0.015,0.005,0.019,0.013,0.019,0.014,0.021,0.018,0.018,0.007,0.014,0.02,0.012,0.013,0.012,0.013,0.013,0.012,0.013,0.011,0.009,0.008,0.014,0.016,0.014,0.004,0.022,0.013,0.019,0.013,0.019,0.018,0.012,0.005,0.017,0.019,0.016,0.015,0.009,0.015,0.011,0.006,0.018
20,0.03,0.013,0.029,0.014,0.024,0.011,0.024,0.022,0.027,0.012,0.038,0.029,0.036,0.028,0.02,0.022,0.017,0.021,0.016,0.019,0.015,0.011,0.021,0.033,0.034,0.007,0.036,0.017,0.034,0.013,0.023,0.029,0.028,0.009,0.03,0.027,0.038,0.025,0.024,0.026,0.022,0.024,0.022,0.017,0.014,0.01,0.008,0.026,0.039,0.006,0.038,0.02,0.043,0.018,0.028,0.032,0.028,0.009,0.023,0.026,0.038,0.027,0.025,0.025,0.024,0.023,0.021,0.016,0.009,0.011,0.016,0.029,0.047,0.011,0.041,0.019,0.045,0.015,0.031,0.024,0.025,0.007,0.037,0.027,0.039,0.043,0.026,0.023,0.023,0.015,0.027
40,0.031,0.016,0.029,0.014,0.023,0.014,0.019,0.027,0.023,0.014,0.039,0.027,0.039,0.028,0.022,0.023,0.018,0.021,0.018,0.018,0.017,0.014,0.022,0.029,0.035,0.011,0.036,0.017,0.032,0.018,0.016,0.032,0.019,0.012,0.029,0.023,0.038,0.025,0.027,0.025,0.023,0.022,0.022,0.018,0.017,0.013,0.01,0.023,0.036,0.009,0.036,0.019,0.038,0.023,0.021,0.034,0.026,0.011,0.022,0.024,0.033,0.025,0.023,0.022,0.024,0.021,0.019,0.014,0.009,0.01,0.015,0.027,0.049,0.014,0.039,0.021,0.036,0.023,0.022,0.032,0.018,0.01,0.038,0.027,0.038,0.039,0.026,0.021,0.021,0.014,0.027
60,0.031,0.01,0.032,0.012,0.027,0.013,0.023,0.019,0.03,0.008,0.039,0.029,0.039,0.03,0.023,0.024,0.019,0.02,0.015,0.017,0.015,0.011,0.025,0.033,0.043,0.005,0.042,0.018,0.036,0.02,0.017,0.036,0.022,0.009,0.026,0.03,0.042,0.027,0.027,0.027,0.022,0.023,0.022,0.018,0.015,0.009,0.009,0.029,0.047,0.006,0.048,0.018,0.054,0.024,0.023,0.034,0.023,0.01,0.019,0.028,0.041,0.028,0.026,0.027,0.024,0.023,0.02,0.015,0.007,0.008,0.013,0.031,0.05,0.016,0.069,0.02,0.055,0.024,0.027,0.036,0.02,0.009,0.033,0.034,0.045,0.05,0.03,0.02,0.02,0.016,0.03
80,0.047,0.027,0.046,0.03,0.04,0.032,0.034,0.04,0.044,0.026,0.059,0.048,0.052,0.042,0.034,0.035,0.033,0.033,0.03,0.032,0.035,0.026,0.037,0.051,0.054,0.024,0.051,0.032,0.046,0.032,0.029,0.048,0.034,0.024,0.044,0.043,0.053,0.037,0.04,0.04,0.034,0.036,0.034,0.033,0.032,0.023,0.021,0.041,0.054,0.023,0.051,0.035,0.048,0.04,0.031,0.046,0.034,0.023,0.036,0.043,0.055,0.039,0.039,0.037,0.035,0.033,0.032,0.027,0.019,0.021,0.027,0.045,0.063,0.032,0.061,0.034,0.052,0.041,0.036,0.046,0.033,0.021,0.052,0.046,0.06,0.058,0.046,0.031,0.03,0.033,0.05
100,0.051,0.034,0.049,0.04,0.053,0.046,0.053,0.049,0.062,0.044,0.062,0.065,0.045,0.05,0.04,0.047,0.046,0.046,0.044,0.046,0.054,0.043,0.053,0.066,0.048,0.03,0.048,0.038,0.048,0.038,0.042,0.048,0.042,0.037,0.05,0.053,0.042,0.038,0.043,0.046,0.041,0.042,0.039,0.042,0.05,0.036,0.035,0.051,0.045,0.029,0.046,0.037,0.043,0.041,0.043,0.046,0.038,0.034,0.041,0.055,0.041,0.039,0.039,0.037,0.039,0.036,0.039,0.033,0.027,0.028,0.032,0.05,0.044,0.029,0.053,0.033,0.048,0.041,0.044,0.044,0.039,0.032,0.047,0.057,0.053,0.048,0.046,0.031,0.028,0.048,0.062
120,0.079,0.058,0.078,0.064,0.074,0.073,0.072,0.073,0.093,0.068,0.097,0.102,0.082,0.08,0.063,0.072,0.072,0.069,0.069,0.07,0.086,0.069,0.085,0.107,0.086,0.058,0.078,0.061,0.077,0.059,0.058,0.076,0.062,0.061,0.08,0.088,0.083,0.061,0.066,0.074,0.063,0.066,0.06,0.067,0.078,0.057,0.056,0.081,0.081,0.052,0.077,0.065,0.073,0.066,0.059,0.072,0.07,0.059,0.068,0.089,0.08,0.066,0.064,0.064,0.063,0.058,0.06,0.051,0.042,0.051,0.057,0.084,0.091,0.055,0.087,0.1,0.078,0.066,0.061,0.069,0.058,0.046,0.086,0.092,0.101,0.091,0.084,0.037,0.042,0.079,0.105
140,0.125,0.099,0.119,0.104,0.118,0.121,0.123,0.112,0.16,0.114,0.145,0.158,0.125,0.128,0.1,0.116,0.117,0.121,0.117,0.115,0.145,0.115,0.138,0.163,0.132,0.097,0.12,0.099,0.123,0.095,0.1,0.112,0.107,0.103,0.128,0.141,0.127,0.092,0.106,0.122,0.103,0.113,0.095,0.109,0.135,0.101,0.098,0.125,0.123,0.087,0.122,0.101,0.111,0.109,0.109,0.108,0.108,0.102,0.111,0.144,0.121,0.108,0.12,0.099,0.1,0.09,0.111,0.087,0.072,0.082,0.09,0.129,0.127,0.084,0.138,0.075,0.121,0.098,0.095,0.101,0.1,0.076,0.131,0.152,0.157,0.141,0.14,0.056,0.058,0.135,0.167
160,0.197,0.155,0.196,0.172,0.192,0.205,0.203,0.178,0.256,0.189,0.218,0.245,0.189,0.201,0.153,0.19,0.189,0.186,0.194,0.187,0.238,0.193,0.219,0.254,0.204,0.17,0.186,0.16,0.19,0.162,0.151,0.186,0.168,0.176,0.207,0.227,0.195,0.137,0.163,0.19,0.164,0.178,0.151,0.173,0.226,0.159,0.163,0.197,0.184,0.145,0.184,0.162,0.157,0.176,0.159,0.176,0.173,0.171,0.184,0.224,0.188,0.151,0.204,0.184,0.172,0.146,0.183,0.14,0.136,0.135,0.142,0.2,0.186,0.134,0.21,0.136,0.162,0.166,0.138,0.16,0.151,0.118,0.203,0.231,0.242,0.204,0.223,0.07,0.078,0.22,0.264
180,0.293,0.253,0.286,0.273,0.299,0.291,0.299,0.281,0.343,0.273,0.31,0.32,0.278,0.296,0.245,0.282,0.284,0.293,0.293,0.278,0.322,0.288,0.307,0.331,0.293,0.266,0.283,0.254,0.283,0.257,0.244,0.291,0.265,0.267,0.3,0.314,0.286,0.209,0.251,0.293,0.261,0.275,0.24,0.264,0.308,0.255,0.252,0.276,0.272,0.237,0.278,0.252,0.235,0.277,0.25,0.269,0.271,0.269,0.281,0.307,0.271,0.256,0.251,0.252,0.255,0.231,0.251,0.222,0.195,0.217,0.221,0.28,0.268,0.215,0.294,0.164,0.245,0.269,0.216,0.24,0.242,0.183,0.303,0.314,0.33,0.295,0.317,0.1,0.114,0.309,0.351
