time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-0.004,-0.003,-0.0002,-0.002,-0.007,0.005,-0.004,-0.004,0.044,0.0005,0.0004,
20,0.013,0.008,0.011,0.014,0.007,0.016,0.011,0.006,0.007,0.011,0.01,
40,0.015,0.01,0.012,0.016,0.009,0.018,0.015,0.01,0.01,0.014,0.015,
60,0.016,0.013,0.016,0.017,0.013,0.016,0.016,0.011,0.012,0.016,0.014,
80,0.026,0.022,0.024,0.023,0.021,0.026,0.026,0.019,0.019,0.026,0.02,
100,0.041,0.038,0.039,0.039,0.036,0.036,0.043,0.032,0.026,0.04,0.027,
120,0.067,0.068,0.068,0.067,0.069,0.062,0.075,0.059,0.046,0.072,0.037,
140,0.105,0.118,0.112,0.111,0.115,0.095,0.127,0.101,0.07,0.115,0.053,
160,0.176,0.205,0.19,0.182,0.195,0.148,0.215,0.162,0.11,0.195,0.078,
180,0.265,0.294,0.283,0.282,0.29,0.242,0.31,0.25,0.177,0.292,0.127,
200,0.331,0.394,0.372,0.366,0.371,0.299,0.411,0.318,0.24,0.386,0.187,
220,0.433,0.504,0.477,0.469,0.481,0.401,0.516,0.426,0.306,0.487,0.266,
240,0.498,0.651,0.606,0.59,0.599,0.473,0.663,0.515,0.389,0.621,0.335,
260,0.606,0.769,0.743,0.736,0.738,0.577,0.788,0.642,0.457,0.759,0.418,
280,0.747,0.847,0.847,0.848,0.872,0.709,0.86,0.77,0.572,0.855,0.498,
300,0.826,0.879,0.872,0.88,0.928,0.8,0.895,0.826,0.705,0.878,0.6,
320,0.854,0.931,0.932,0.925,0.97,0.848,0.941,0.864,0.846,0.936,0.757,
340,0.878,0.987,0.972,0.97,0.997,0.867,0.987,0.909,0.905,0.989,0.89,
360,0.908,1.024,1.009,1.011,1.032,0.904,1.029,0.938,0.915,1.035,0.947,
380,0.955,1.071,1.069,1.056,1.071,0.961,1.066,0.989,0.953,1.079,0.965,
400,0.97,1.083,1.084,1.078,1.082,0.977,1.088,1.014,0.968,1.098,0.997,
420,0.996,1.099,1.097,1.1,1.093,0.997,1.112,1.042,1.0,1.114,1.023,
440,1.039,1.131,1.126,1.127,1.129,1.038,1.128,1.068,1.03,1.141,1.057,
460,1.05,1.14,1.136,1.146,1.14,1.056,1.145,1.081,1.039,1.146,1.078,
480,1.081,1.151,1.142,1.163,1.165,1.071,1.15,1.104,1.077,1.168,1.11,
500,1.113,1.161,1.154,1.17,1.163,1.091,1.155,1.116,1.088,1.169,1.106,
520,1.125,1.141,1.129,1.162,1.15,1.1,1.154,1.134,1.084,1.192,1.144,
540,1.15,1.137,1.132,1.154,1.141,1.095,1.151,1.136,1.098,1.172,1.153,
560,1.146,1.144,1.128,1.149,1.14,1.07,1.139,1.128,1.09,1.166,1.154,
580,1.16,1.15,1.134,1.166,1.145,1.081,1.16,1.13,1.092,1.175,1.126,
600,1.169,1.14,1.118,1.15,1.134,1.068,1.137,1.132,1.095,1.169,1.167,
620,1.208,1.142,1.131,1.157,1.148,1.07,1.154,1.14,1.105,1.18,1.173,
640,1.211,1.15,1.136,1.16,1.144,1.074,1.157,1.133,1.103,1.183,1.164,
660,1.21,1.147,1.139,1.168,1.142,1.075,1.158,1.129,1.107,1.189,1.157,
680,1.22,1.157,1.154,1.173,1.153,1.09,1.172,1.146,1.115,1.211,1.158,
700,1.204,1.157,1.147,1.174,1.154,1.088,1.168,1.14,1.12,1.192,1.139,
720,1.236,1.165,1.154,1.177,1.157,1.106,1.173,1.15,1.126,1.205,1.23,
740,1.264,1.166,1.16,1.188,1.16,1.094,1.185,1.157,1.122,1.205,1.255,
760,1.249,1.174,1.165,1.199,1.166,1.121,1.191,1.163,1.145,1.212,1.266,
780,1.299,1.18,1.168,1.214,1.173,1.119,1.203,1.167,1.145,1.222,1.302,
800,1.301,1.177,1.168,1.22,1.183,1.128,1.209,1.175,1.163,1.224,1.313,
820,1.289,1.18,1.183,1.218,1.177,1.135,1.199,1.178,1.159,1.221,1.308,
840,1.279,1.18,1.184,1.203,1.171,1.13,1.185,1.171,1.154,1.216,1.286,
860,1.282,1.172,1.179,1.203,1.164,1.129,1.185,1.164,1.149,1.212,1.305,
880,1.274,1.177,1.174,1.2,1.167,1.139,1.201,1.169,1.148,1.221,1.341,
900,1.266,1.17,1.165,1.197,1.161,1.122,1.175,1.159,1.142,1.21,1.288,
920,1.261,1.17,1.162,1.195,1.153,1.119,1.177,1.155,1.142,1.21,1.316,
940,1.27,1.163,1.159,1.199,1.157,1.121,1.178,1.152,1.144,1.212,1.313,
960,1.272,1.165,1.163,1.185,1.152,1.111,1.196,1.146,1.143,1.331,1.284,
980,1.266,1.154,1.154,1.18,1.15,1.107,1.158,1.14,1.139,1.2,1.28,
1000,1.251,1.146,1.147,1.176,1.138,1.104,1.155,1.135,1.132,1.195,1.261,
1020,1.243,1.141,1.145,1.169,1.138,1.099,1.165,1.13,1.124,1.192,1.315,
1040,1.246,1.145,1.137,1.166,1.128,1.093,1.143,1.134,1.118,1.182,1.272,
1060,1.242,1.138,1.133,1.153,1.12,1.086,1.143,1.117,1.114,1.19,1.246,
1080,1.237,1.133,1.13,1.152,1.113,1.084,1.145,1.112,1.109,1.182,1.274,
1100,1.234,1.131,1.128,1.149,1.113,1.08,1.137,1.11,1.105,1.18,1.262,
1120,1.207,1.119,1.115,1.138,1.098,1.063,1.12,1.102,1.097,1.166,1.254,
1140,1.226,1.116,1.116,1.142,1.103,1.066,1.12,1.095,1.101,1.165,1.238,
1160,1.212,1.116,1.111,1.135,1.094,1.059,1.112,1.094,1.089,1.167,1.254,
1180,1.203,1.106,1.106,1.124,1.089,1.056,1.115,1.092,1.086,1.163,1.237,
1200,1.202,1.108,1.104,1.124,1.087,1.049,1.111,1.08,1.086,1.151,1.23,
1220,1.205,1.101,1.097,1.118,1.087,1.052,1.111,1.082,1.081,1.152,1.246,
1240,1.203,1.101,1.098,1.115,1.081,1.058,1.101,1.076,1.075,1.147,1.225,
1260,1.19,1.085,1.088,1.108,1.069,1.04,1.096,1.071,1.069,1.142,1.227,
1280,1.186,1.083,1.083,1.109,1.07,1.038,1.104,1.073,1.064,1.142,1.234,
1300,1.186,1.084,1.078,1.108,1.063,1.038,1.103,1.065,1.063,1.136,1.244,
1320,1.183,1.076,1.076,1.102,1.06,1.032,1.09,1.06,1.06,1.138,1.242,
1340,1.175,1.071,1.071,1.092,1.053,1.024,1.093,1.057,1.051,1.134,1.215,
1360,1.17,1.067,1.066,1.088,1.053,1.021,1.075,1.049,1.05,1.127,1.204,
1380,1.16,1.064,1.064,1.093,1.052,1.022,1.083,1.042,1.043,1.124,1.202,
1400,1.17,1.064,1.061,1.087,1.046,1.009,1.068,1.045,1.038,1.122,1.215,
1420,1.161,1.064,1.061,1.086,1.04,1.018,1.085,1.042,1.038,1.123,1.204,
1440,1.16,1.054,1.056,1.083,1.038,1.004,1.075,1.039,1.04,1.121,1.221,
