row,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
B,empty,sample1_inducer1-1_1,sample1_inducer1-1_2,sample1_inducer1-1_3,sample1_inducer1-1_4,sample1_inducer2-1_1,sample1_inducer2-1_2,sample1_inducer2-1_3,sample1_inducer2-1_4,sample1_inducer3-1_1,sample1_inducer3-1_2,sample1_inducer3-1_3,sample1_inducer3-1_4,sample1_inducer4-1_1,sample1_inducer4-1_2,sample1_inducer4-1_3,sample1_inducer4-1_4,sample1_inducer5-1_1,sample1_inducer5-1_2,sample1_inducer5-1_3,sample1_inducer5-1_4,sample1_inducer1-1_5,sample1_inducer1-1_6,empty
C,empty,sample1_inducer1-1_7,sample1_inducer1-1_8,sample2_inducer1-1_1,sample2_inducer1-1_2,sample2_inducer1-1_3,sample2_inducer1-1_4,sample2_inducer2-1_1,sample2_inducer2-1_2,sample2_inducer2-1_3,sample2_inducer2-1_4,sample2_inducer3-1_1,sample2_inducer3-1_2,sample2_inducer3-1_3,sample2_inducer3-1_4,sample2_inducer4-1_1,sample2_inducer4-1_2,sample2_inducer4-1_3,sample2_inducer4-1_4,sample2_inducer5-1_1,sample2_inducer5-1_2,sample2_inducer5-1_3,sample2_inducer5-1_4,empty
D,empty,sample2_inducer1-1_5,sample2_inducer1-1_6,sample2_inducer1-1_7,sample2_inducer1-1_8,sample3_inducer1-1_1,sample3_inducer1-1_2,sample3_inducer1-1_3,sample3_inducer1-1_4,sample3_inducer2-1_1,sample3_inducer2-1_2,sample3_inducer2-1_3,sample3_inducer2-1_4,sample3_inducer3-1_1,sample3_inducer3-1_2,sample3_inducer3-1_3,sample3_inducer3-1_4,sample3_inducer4-1_1,sample3_inducer4-1_2,sample3_inducer4-1_3,sample3_inducer4-1_4,sample3_inducer5-1_1,sample3_inducer5-1_2,empty
E,empty,sample3_inducer5-1_3,sample3_inducer5-1_4,sample3_inducer1-1_5,sample3_inducer1-1_6,sample3_inducer1-1_7,sample3_inducer1-1_8,sample4_inducer1-1_1,sample4_inducer1-1_2,sample4_inducer1-1_3,sample4_inducer1-1_4,sample4_inducer2-1_1,sample4_inducer2-1_2,sample4_inducer2-1_3,sample4_inducer2-1_4,sample4_inducer3-1_1,sample4_inducer3-1_2,sample4_inducer3-1_3,sample4_inducer3-1_4,sample4_inducer4-1_1,sample4_inducer4-1_2,sample4_inducer4-1_3,sample4_inducer4-1_4,empty
F,empty,sample4_inducer5-1_1,sample4_inducer5-1_2,sample4_inducer5-1_3,sample4_inducer5-1_4,sample4_inducer1-1_5,sample4_inducer1-1_6,sample4_inducer1-1_7,sample4_inducer1-1_8,sample5_inducer1-1_1,sample5_inducer1-1_2,sample5_inducer1-1_3,sample5_inducer1-1_4,sample5_inducer2-1_1,sample5_inducer2-1_2,sample5_inducer2-1_3,sample5_inducer2-1_4,sample5_inducer3-1_1,sample5_inducer3-1_2,sample5_inducer3-1_3,sample5_inducer3-1_4,sample5_inducer4-1_1,sample5_inducer4-1_2,empty
G,empty,sample5_inducer4-1_3,sample5_inducer4-1_4,sample5_inducer5-1_1,sample5_inducer5-1_2,sample5_inducer5-1_3,sample5_inducer5-1_4,sample5_inducer1-1_5,sample5_inducer1-1_6,sample5_inducer1-1_7,sample5_inducer1-1_8,sample6_inducer1-1_1,sample6_inducer1-1_2,sample6_inducer1-1_3,sample6_inducer1-1_4,sample6_inducer2-1_1,sample6_inducer2-1_2,sample6_inducer2-1_3,sample6_inducer2-1_4,sample6_inducer3-1_1,sample6_inducer3-1_2,sample6_inducer3-1_3,sample6_inducer3-1_4,empty
H,empty,sample6_inducer4-1_1,sample6_inducer4-1_2,sample6_inducer4-1_3,sample6_inducer4-1_4,sample6_inducer5-1_1,sample6_inducer5-1_2,sample6_inducer5-1_3,sample6_inducer5-1_4,sample6_inducer1-1_5,sample6_inducer1-1_6,sample6_inducer1-1_7,sample6_inducer1-1_8,sample7_inducer1-1_1,sample7_inducer1-1_2,sample7_inducer1-1_3,sample7_inducer1-1_4,sample7_inducer2-1_1,sample7_inducer2-1_2,sample7_inducer2-1_3,sample7_inducer2-1_4,sample7_inducer3-1_1,sample7_inducer3-1_2,empty
I,empty,sample7_inducer3-1_3,sample7_inducer3-1_4,sample7_inducer4-1_1,sample7_inducer4-1_2,sample7_inducer4-1_3,sample7_inducer4-1_4,sample7_inducer5-1_1,sample7_inducer5-1_2,sample7_inducer5-1_3,sample7_inducer5-1_4,sample7_inducer1-1_5,sample7_inducer1-1_6,sample7_inducer1-1_7,sample7_inducer1-1_8,sample8_inducer1-1_1,sample8_inducer1-1_2,sample8_inducer1-1_3,sample8_inducer1-1_4,sample8_inducer2-1_1,sample8_inducer2-1_2,sample8_inducer2-1_3,sample8_inducer2-1_4,empty
J,empty,sample8_inducer3-1_1,sample8_inducer3-1_2,sample8_inducer3-1_3,sample8_inducer3-1_4,sample8_inducer4-1_1,sample8_inducer4-1_2,sample8_inducer4-1_3,sample8_inducer4-1_4,sample8_inducer5-1_1,sample8_inducer5-1_2,sample8_inducer5-1_3,sample8_inducer5-1_4,sample8_inducer1-1_5,sample8_inducer1-1_6,sample8_inducer1-1_7,sample8_inducer1-1_8,sample9_inducer1-1_1,sample9_inducer1-1_2,sample9_inducer1-1_3,sample9_inducer1-1_4,sample9_inducer2-1_1,sample9_inducer2-1_2,empty
K,empty,sample9_inducer2-1_3,sample9_inducer2-1_4,sample9_inducer3-1_1,sample9_inducer3-1_2,sample9_inducer3-1_3,sample9_inducer3-1_4,sample9_inducer4-1_1,sample9_inducer4-1_2,sample9_inducer4-1_3,sample9_inducer4-1_4,sample9_inducer5-1_1,sample9_inducer5-1_2,sample9_inducer5-1_3,sample9_inducer5-1_4,sample9_inducer1-1_5,sample9_inducer1-1_6,sample9_inducer1-1_7,sample9_inducer1-1_8,sample10_inducer1-1_1,sample10_inducer1-1_2,sample10_inducer1-1_3,sample10_inducer1-1_4,empty
L,empty,sample10_inducer2-1_1,sample10_inducer2-1_2,sample10_inducer2-1_3,sample10_inducer2-1_4,sample10_inducer3-1_1,sample10_inducer3-1_2,sample10_inducer3-1_3,sample10_inducer3-1_4,sample10_inducer4-1_1,sample10_inducer4-1_2,sample10_inducer4-1_3,sample10_inducer4-1_4,sample10_inducer5-1_1,sample10_inducer5-1_2,sample10_inducer5-1_3,sample10_inducer5-1_4,sample10_inducer1-1_5,sample10_inducer1-1_6,sample10_inducer1-1_7,sample10_inducer1-1_8,sample11_inducer1-1_1,sample11_inducer1-1_2,empty
M,empty,sample11_inducer1-1_3,sample11_inducer1-1_4,sample11_inducer2-1_1,sample11_inducer2-1_2,sample11_inducer2-1_3,sample11_inducer2-1_4,sample11_inducer3-1_1,sample11_inducer3-1_2,sample11_inducer3-1_3,sample11_inducer3-1_4,sample11_inducer4-1_1,sample11_inducer4-1_2,sample11_inducer4-1_3,sample11_inducer4-1_4,sample11_inducer5-1_1,sample11_inducer5-1_2,sample11_inducer5-1_3,sample11_inducer5-1_4,sample11_inducer1-1_5,sample11_inducer1-1_6,sample11_inducer1-1_7,sample11_inducer1-1_8,empty
N,empty,sample12_inducer1-1_1,sample12_inducer1-1_2,sample12_inducer1-1_3,sample12_inducer1-1_4,sample12_inducer2-1_1,sample12_inducer2-1_2,sample12_inducer2-1_3,sample12_inducer2-1_4,sample12_inducer3-1_1,sample12_inducer3-1_2,sample12_inducer3-1_3,sample12_inducer3-1_4,sample12_inducer4-1_1,sample12_inducer4-1_2,sample12_inducer4-1_3,sample12_inducer4-1_4,sample12_inducer5-1_1,sample12_inducer5-1_2,sample12_inducer5-1_3,sample12_inducer5-1_4,sample12_inducer1-1_5,sample12_inducer1-1_6,empty
O,empty,sample12_inducer1-1_7,sample12_inducer1-1_8,sampleN-1_inducer1-1_1,sampleN-1_inducer1-1_2,sampleN-1_inducer1-1_3,sampleN-1_inducer1-1_4,sampleP-1_inducer1-1_1,sampleP-1_inducer1-1_2,sampleP-1_inducer1-1_3,sampleP-1_inducer1-1_4,sampleP2-1_inducer1-1_1,sampleP2-1_inducer1-1_2,sampleP2-1_inducer1-1_3,sampleP2-1_inducer1-1_4,empty,empty,empty,empty,empty,empty,empty,empty,empty
