Source Well,Destination Well,Transfer Volume
E3,B2,240
E18,B2,40
E3,C2,240
E18,C2,40
E4,D2,240
E18,D2,40
E5,E2,240
E22,E2,40
E6,F2,240
E22,F2,40
E7,G2,240
E21,G2,40
E8,H2,240
E21,H2,40
E9,I2,240
E20,I2,40
E10,J2,240
E20,J2,40
E11,K2,240
E19,K2,40
E12,L2,240
E19,L2,40
E13,M2,240
E18,M2,40
E14,N2,240
E18,N2,40
E14,O2,240
E18,O2,40
E3,B3,240
E18,B3,40
E3,C3,240
E18,C3,40
E4,D3,240
E18,D3,40
E5,E3,240
E22,E3,40
E6,F3,240
E22,F3,40
E7,G3,240
E21,G3,40
E8,H3,240
E21,H3,40
E9,I3,240
E20,I3,40
E10,J3,240
E20,J3,40
E11,K3,240
E19,K3,40
E12,L3,240
E19,L3,40
E13,M3,240
E18,M3,40
E14,N3,240
E18,N3,40
E14,O3,240
E18,O3,40
E3,B4,240
E18,B4,40
E4,C4,240
E18,C4,40
E4,D4,240
E18,D4,40
E5,E4,240
E18,E4,40
E6,F4,240
E22,F4,40
E7,G4,240
E22,G4,40
E8,H4,240
E21,H4,40
E9,I4,240
E21,I4,40
E10,J4,240
E20,J4,40
E11,K4,240
E20,K4,40
E12,L4,240
E19,L4,40
E13,M4,240
E19,M4,40
E14,N4,240
E18,N4,40
E15,O4,240
E18,O4,40
E3,B5,240
E18,B5,40
E4,C5,240
E18,C5,40
E4,D5,240
E18,D5,40
E5,E5,240
E18,E5,40
E6,F5,240
E22,F5,40
E7,G5,240
E22,G5,40
E8,H5,240
E21,H5,40
E9,I5,240
E21,I5,40
E10,J5,240
E20,J5,40
E11,K5,240
E20,K5,40
E12,L5,240
E19,L5,40
E13,M5,240
E19,M5,40
E14,N5,240
E18,N5,40
E15,O5,240
E18,O5,40
E3,B6,240
E19,B6,40
E4,C6,240
E18,C6,40
E5,D6,240
E18,D6,40
E5,E6,240
E18,E6,40
E6,F6,240
E18,F6,40
E7,G6,240
E22,G6,40
E8,H6,240
E22,H6,40
E9,I6,240
E21,I6,40
E10,J6,240
E21,J6,40
E11,K6,240
E20,K6,40
E12,L6,240
E20,L6,40
E13,M6,240
E19,M6,40
E14,N6,240
E19,N6,40
E15,O6,240
E18,O6,40
E3,B7,240
E19,B7,40
E4,C7,240
E18,C7,40
E5,D7,240
E18,D7,40
E5,E7,240
E18,E7,40
E6,F7,240
E18,F7,40
E7,G7,240
E22,G7,40
E8,H7,240
E22,H7,40
E9,I7,240
E21,I7,40
E10,J7,240
E21,J7,40
E11,K7,240
E20,K7,40
E12,L7,240
E20,L7,40
E13,M7,240
E19,M7,40
E14,N7,240
E19,N7,40
E15,O7,240
E18,O7,40
E3,B8,240
E19,B8,40
E4,C8,240
E19,C8,40
E5,D8,240
E18,D8,40
E6,E8,240
E18,E8,40
E6,F8,240
E18,F8,40
E7,G8,240
E18,G8,40
E8,H8,240
E22,H8,40
E9,I8,240
E22,I8,40
E10,J8,240
E21,J8,40
E11,K8,240
E21,K8,40
E12,L8,240
E20,L8,40
E13,M8,240
E20,M8,40
E14,N8,240
E19,N8,40
E16,O8,240
E18,O8,40
E3,B9,240
E19,B9,40
E4,C9,240
E19,C9,40
E5,D9,240
E18,D9,40
E6,E9,240
E18,E9,40
E6,F9,240
E18,F9,40
E7,G9,240
E18,G9,40
E8,H9,240
E22,H9,40
E9,I9,240
E22,I9,40
E10,J9,240
E21,J9,40
E11,K9,240
E21,K9,40
E12,L9,240
E20,L9,40
E13,M9,240
E20,M9,40
E14,N9,240
E19,N9,40
E16,O9,240
E18,O9,40
E3,B10,240
E20,B10,40
E4,C10,240
E19,C10,40
E5,D10,240
E19,D10,40
E6,E10,240
E18,E10,40
E7,F10,240
E18,F10,40
E7,G10,240
E18,G10,40
E8,H10,240
E18,H10,40
E9,I10,240
E22,I10,40
E10,J10,240
E22,J10,40
E11,K10,240
E21,K10,40
E12,L10,240
E21,L10,40
E13,M10,240
E20,M10,40
E14,N10,240
E20,N10,40
E16,O10,240
E18,O10,40
E3,B11,240
E20,B11,40
E4,C11,240
E19,C11,40
E5,D11,240
E19,D11,40
E6,E11,240
E18,E11,40
E7,F11,240
E18,F11,40
E7,G11,240
E18,G11,40
E8,H11,240
E18,H11,40
E9,I11,240
E22,I11,40
E10,J11,240
E22,J11,40
E11,K11,240
E21,K11,40
E12,L11,240
E21,L11,40
E13,M11,240
E20,M11,40
E14,N11,240
E20,N11,40
E16,O11,240
E18,O11,40
E3,B12,240
E20,B12,40
E4,C12,240
E20,C12,40
E5,D12,240
E19,D12,40
E6,E12,240
E19,E12,40
E7,F12,240
E18,F12,40
E8,G12,240
E18,G12,40
E8,H12,240
E18,H12,40
E9,I12,240
E18,I12,40
E10,J12,240
E22,J12,40
E11,K12,240
E22,K12,40
E12,L12,240
E21,L12,40
E13,M12,240
E21,M12,40
E14,N12,240
E20,N12,40
E17,O12,240
E18,O12,40
E3,B13,240
E20,B13,40
E4,C13,240
E20,C13,40
E5,D13,240
E19,D13,40
E6,E13,240
E19,E13,40
E7,F13,240
E18,F13,40
E8,G13,240
E18,G13,40
E8,H13,240
E18,H13,40
E9,I13,240
E18,I13,40
E10,J13,240
E22,J13,40
E11,K13,240
E22,K13,40
E12,L13,240
E21,L13,40
E13,M13,240
E21,M13,40
E14,N13,240
E20,N13,40
E17,O13,240
E18,O13,40
E3,B14,240
E21,B14,40
E4,C14,240
E20,C14,40
E5,D14,240
E20,D14,40
E6,E14,240
E19,E14,40
E7,F14,240
E19,F14,40
E8,G14,240
E18,G14,40
E9,H14,240
E18,H14,40
E9,I14,240
E18,I14,40
E10,J14,240
E18,J14,40
E11,K14,240
E22,K14,40
E12,L14,240
E22,L14,40
E13,M14,240
E21,M14,40
E14,N14,240
E21,N14,40
E17,O14,240
E18,O14,40
E3,B15,240
E21,B15,40
E4,C15,240
E20,C15,40
E5,D15,240
E20,D15,40
E6,E15,240
E19,E15,40
E7,F15,240
E19,F15,40
E8,G15,240
E18,G15,40
E9,H15,240
E18,H15,40
E9,I15,240
E18,I15,40
E10,J15,240
E18,J15,40
E11,K15,240
E22,K15,40
E12,L15,240
E22,L15,40
E13,M15,240
E21,M15,40
E14,N15,240
E21,N15,40
E17,O15,240
E18,O15,40
E3,B16,240
E21,B16,40
E4,C16,240
E21,C16,40
E5,D16,240
E20,D16,40
E6,E16,240
E20,E16,40
E7,F16,240
E19,F16,40
E8,G16,240
E19,G16,40
E9,H16,240
E18,H16,40
E10,I16,240
E18,I16,40
E10,J16,240
E18,J16,40
E11,K16,240
E18,K16,40
E12,L16,240
E22,L16,40
E13,M16,240
E22,M16,40
E14,N16,240
E21,N16,40
E3,B17,240
E21,B17,40
E4,C17,240
E21,C17,40
E5,D17,240
E20,D17,40
E6,E17,240
E20,E17,40
E7,F17,240
E19,F17,40
E8,G17,240
E19,G17,40
E9,H17,240
E18,H17,40
E10,I17,240
E18,I17,40
E10,J17,240
E18,J17,40
E11,K17,240
E18,K17,40
E12,L17,240
E22,L17,40
E13,M17,240
E22,M17,40
E14,N17,240
E21,N17,40
E3,B18,240
E22,B18,40
E4,C18,240
E21,C18,40
E5,D18,240
E21,D18,40
E6,E18,240
E20,E18,40
E7,F18,240
E20,F18,40
E8,G18,240
E19,G18,40
E9,H18,240
E19,H18,40
E10,I18,240
E18,I18,40
E11,J18,240
E18,J18,40
E11,K18,240
E18,K18,40
E12,L18,240
E18,L18,40
E13,M18,240
E22,M18,40
E14,N18,240
E22,N18,40
E3,B19,240
E22,B19,40
E4,C19,240
E21,C19,40
E5,D19,240
E21,D19,40
E6,E19,240
E20,E19,40
E7,F19,240
E20,F19,40
E8,G19,240
E19,G19,40
E9,H19,240
E19,H19,40
E10,I19,240
E18,I19,40
E11,J19,240
E18,J19,40
E11,K19,240
E18,K19,40
E12,L19,240
E18,L19,40
E13,M19,240
E22,M19,40
E14,N19,240
E22,N19,40
E3,B20,240
E22,B20,40
E4,C20,240
E22,C20,40
E5,D20,240
E21,D20,40
E6,E20,240
E21,E20,40
E7,F20,240
E20,F20,40
E8,G20,240
E20,G20,40
E9,H20,240
E19,H20,40
E10,I20,240
E19,I20,40
E11,J20,240
E18,J20,40
E12,K20,240
E18,K20,40
E12,L20,240
E18,L20,40
E13,M20,240
E18,M20,40
E14,N20,240
E22,N20,40
E3,B21,240
E22,B21,40
E4,C21,240
E22,C21,40
E5,D21,240
E21,D21,40
E6,E21,240
E21,E21,40
E7,F21,240
E20,F21,40
E8,G21,240
E20,G21,40
E9,H21,240
E19,H21,40
E10,I21,240
E19,I21,40
E11,J21,240
E18,J21,40
E12,K21,240
E18,K21,40
E12,L21,240
E18,L21,40
E13,M21,240
E18,M21,40
E14,N21,240
E22,N21,40
E3,B22,240
E18,B22,40
E4,C22,240
E22,C22,40
E5,D22,240
E22,D22,40
E6,E22,240
E21,E22,40
E7,F22,240
E21,F22,40
E8,G22,240
E20,G22,40
E9,H22,240
E20,H22,40
E10,I22,240
E19,I22,40
E11,J22,240
E19,J22,40
E12,K22,240
E18,K22,40
E13,L22,240
E18,L22,40
E13,M22,240
E18,M22,40
E14,N22,240
E18,N22,40
E3,B23,240
E18,B23,40
E4,C23,240
E22,C23,40
E5,D23,240
E22,D23,40
E6,E23,240
E21,E23,40
E7,F23,240
E21,F23,40
E8,G23,240
E20,G23,40
E9,H23,240
E20,H23,40
E10,I23,240
E19,I23,40
E11,J23,240
E19,J23,40
E12,K23,240
E18,K23,40
E13,L23,240
E18,L23,40
E13,M23,240
E18,M23,40
E14,N23,240
E18,N23,40
