,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,
C,,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,
D,,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,
E,,5,5,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,
F,,5,5,5,5,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,
G,,4,4,5,5,5,5,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,
H,,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,2,2,2,2,3,3,
I,,3,3,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,2,2,2,2,
J,,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,2,2,
K,,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,
L,,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,1,1,
M,,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,
N,,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,
O,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
