,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sampleN-1,sampleP-1
D,sampleP2-1,inducer1-1,inducer2-1,inducer3-1,inducer4-1,inducer5-1,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sampleN-2,sampleP-2,sampleP2-2,inducer1-2,inducer2-2,inducer3-2
E,inducer4-2,inducer5-2,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sampleN-3,sampleP-3,sampleP2-3,inducer1-3,inducer2-3,inducer3-3,inducer4-3,inducer5-3,sample37,sample38
F,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sampleN-4,sampleP-4,sampleP2-4,inducer1-4,inducer2-4,inducer3-4,inducer4-4,inducer5-4,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
