time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,-22.0,10.0,85.0,50.0,62.0,50.0,-4.0,61.0,46.0,35.0,44.0,22.0,52.0,44.0,48.0,49.0,38.0,-12.0,8.0,66.0,33.0,47.0,15.0,6.0,39.0,91.0,90.0,78.0,97.0,67.0,53.0,101.0,82.0,75.0,68.0,66.0,89.0,98.0,103.0,102.0,124.0,94.0,-38.0,25.0,19.0,14.0,6.0,-2.0,1550.0,1719.0,1328.0,1745.0,1709.0,1700.0,43.0,56.0,53.0,71.0,85.0,49.0,61.0,81.0,104.0,112.0,95.0,69.0,19.0,47.0,59.0,62.0,58.0,50.0,-282.0,122.0,92.0,115.0,146.0,103.0,,,29.0,10.0,,,156.5,150.5,1029.5,826.5
20,-43.0,-15.0,0.0,26.0,19.0,30.0,-24.0,-9.0,19.0,-5.0,2.0,-18.0,-28.0,-1.0,-13.0,-5.0,-7.0,-13.0,-53.0,0.0,7.0,-11.0,-22.0,-16.0,3.0,27.0,20.0,39.0,52.0,37.0,22.0,29.0,23.0,33.0,35.0,21.0,57.0,58.0,79.0,95.0,100.0,64.0,-41.0,-18.0,-36.0,-44.0,-50.0,-43.0,2166.0,2227.0,2197.0,2385.0,2149.0,2216.0,13.0,26.0,19.0,53.0,39.0,22.0,27.0,57.0,57.0,72.0,68.0,76.0,-16.0,23.0,43.0,16.0,38.0,30.0,-271.0,101.0,84.0,88.0,101.0,85.0,,,55.0,20.0,,,150.5,174.5,1186.5,1149.5
40,-22.0,4.0,37.0,25.0,27.0,28.0,-24.0,21.0,12.0,20.0,14.0,30.0,10.0,12.0,11.0,-7.0,-28.0,5.0,-44.0,-3.0,-4.0,-2.0,-2.0,1.0,11.0,80.0,107.0,94.0,108.0,115.0,22.0,31.0,36.0,14.0,42.0,26.0,47.0,199.0,299.0,310.0,332.0,334.0,-50.0,-29.0,-36.0,-18.0,-35.0,-39.0,2612.0,2716.0,2665.0,2802.0,2527.0,2714.0,7.0,29.0,49.0,15.0,52.0,32.0,42.0,55.0,41.0,66.0,89.0,230.0,-4.0,34.0,47.0,48.0,30.0,32.0,-267.0,213.0,243.0,249.0,235.0,262.0,,,59.0,34.0,,,146.5,142.5,1555.5,1576.5
60,-12.0,17.0,20.0,34.0,19.0,36.0,-26.0,22.0,17.0,18.0,1.0,19.0,13.0,-4.0,-7.0,-4.0,6.0,12.0,-68.0,-4.0,-11.0,-5.0,2.0,-25.0,10.0,81.0,160.0,192.0,223.0,239.0,-13.0,48.0,17.0,42.0,26.0,44.0,54.0,386.0,582.0,690.0,741.0,743.0,-76.0,-28.0,-29.0,-40.0,-17.0,-28.0,3093.0,3170.0,3121.0,3274.0,2951.0,3078.0,6.0,43.0,34.0,29.0,25.0,47.0,54.0,42.0,56.0,71.0,68.0,345.0,-1.0,44.0,57.0,24.0,34.0,54.0,-277.0,488.0,521.0,580.0,560.0,578.0,,,57.0,26.0,,,188.0,157.0,2007.0,2097.0
80,-4.5,-12.5,49.5,41.5,26.5,15.5,-13.5,-0.5,6.5,8.5,22.5,8.5,-19.5,5.5,-14.5,63.5,113.5,109.5,-40.5,-5.5,-18.5,-13.5,-22.5,-0.5,8.5,123.5,202.5,311.5,379.5,438.5,6.5,21.5,21.5,34.5,38.5,43.5,56.5,662.5,1062.5,1341.5,1370.5,1418.5,-77.5,-21.5,-22.5,-45.5,-47.5,-35.5,3875.5,3873.5,3724.5,3867.5,3526.5,3665.5,-5.5,39.5,48.5,54.5,32.5,35.5,46.5,50.5,43.5,64.5,93.5,586.5,-24.5,23.5,48.5,11.5,34.5,35.5,-264.5,1142.5,1178.5,1225.5,1238.5,1339.5,,,76.5,21.5,,,195.5,209.5,2462.5,2610.5
100,-12.5,-2.5,66.5,118.5,156.5,180.5,-23.5,18.5,34.5,17.5,26.5,48.5,8.5,-0.5,26.5,301.5,522.5,507.5,-40.5,-0.5,7.5,4.5,6.5,8.5,15.5,143.5,260.5,464.5,649.5,809.5,17.5,40.5,44.5,37.5,59.5,53.5,81.5,1120.5,1975.5,2446.5,2560.5,2653.5,-59.5,-27.5,-17.5,-34.5,-5.5,-3.5,5146.5,4930.5,4683.5,4824.5,4369.5,4488.5,-7.5,47.5,72.5,68.5,55.5,59.5,66.5,72.5,71.5,77.5,128.5,1067.5,6.5,45.5,60.5,43.5,49.5,57.5,-227.5,2368.5,2519.5,2637.5,2653.5,2825.5,,,95.5,32.5,,,201.0,175.0,2923.0,3109.0
120,6.0,34.0,153.0,399.0,667.0,796.0,10.0,33.0,32.0,77.0,132.0,185.0,46.0,26.0,60.0,637.0,1155.0,1104.0,-4.0,11.0,12.0,23.0,38.0,38.0,28.0,180.0,286.0,699.0,1064.0,1408.0,38.0,75.0,64.0,63.0,96.0,97.0,97.0,1731.0,3207.0,4164.0,4336.0,4519.0,-50.0,-4.0,-5.0,13.0,55.0,64.0,7112.0,6666.0,6184.0,6301.0,5652.0,5771.0,29.0,51.0,48.0,62.0,92.0,85.0,92.0,101.0,95.0,93.0,147.0,1790.0,38.0,67.0,67.0,85.0,93.0,81.0,-239.0,4328.0,4651.0,4879.0,4867.0,5248.0,,,108.0,79.0,,,234.0,242.0,3510.0,3758.0
140,46.0,79.0,389.0,1344.0,1943.0,2292.0,22.0,68.0,58.0,148.0,364.0,533.0,53.0,62.0,85.0,1205.0,2063.0,1974.0,-9.0,26.0,31.0,43.0,57.0,95.0,56.0,199.0,410.0,1164.0,1955.0,2616.0,68.0,87.0,82.0,116.0,149.0,163.0,150.0,2758.0,5031.0,6521.0,6847.0,7145.0,-28.0,20.0,17.0,61.0,217.0,229.0,9869.0,9252.0,8566.0,8487.0,7629.0,7718.0,53.0,77.0,112.0,113.0,144.0,174.0,133.0,102.0,114.0,130.0,208.0,2907.0,47.0,81.0,120.0,122.0,129.0,194.0,-179.0,6864.0,7698.0,8064.0,8215.0,8750.0,,,142.0,86.0,,,276.0,274.0,4401.0,4708.0
160,88.5,252.5,1522.5,3870.5,4911.5,5497.5,48.5,75.5,118.5,377.5,935.5,1310.5,95.5,90.5,140.5,2027.5,3538.5,3340.5,48.5,74.5,68.5,125.5,171.5,201.5,93.5,284.5,602.5,2038.5,3610.5,4835.5,69.5,125.5,123.5,167.5,266.5,333.5,208.5,4619.5,8136.5,10246.5,10637.5,10982.5,-4.5,51.5,58.5,238.5,523.5,599.5,13527.5,12662.5,11686.5,11706.5,10518.5,10523.5,71.5,138.5,124.5,188.5,281.5,307.5,173.5,159.5,174.5,180.5,304.5,4816.5,77.5,137.5,139.5,175.5,334.5,403.5,-132.5,10631.5,12174.5,12744.5,12893.5,13636.5,,,180.5,139.5,,,337.5,311.5,5530.5,5993.5
180,136.0,5229.0,8654.0,11591.0,12535.0,13061.0,92.0,197.0,623.0,1732.0,2637.0,3209.0,160.0,158.0,294.0,4644.0,7211.0,6791.0,58.0,155.0,268.0,382.0,449.0,491.0,136.0,400.0,1202.0,4092.0,6599.0,8386.0,138.0,207.0,427.0,808.0,941.0,1274.0,317.0,7850.0,12862.0,15826.0,16285.0,16762.0,24.0,79.0,167.0,865.0,1334.0,1402.0,17855.0,16851.0,16018.0,16116.0,14502.0,14479.0,147.0,157.0,239.0,467.0,693.0,823.0,230.0,221.0,244.0,254.0,622.0,9652.0,135.0,188.0,239.0,587.0,1048.0,1221.0,-61.0,17414.0,19694.0,20490.0,20351.0,21116.0,,,232.0,174.0,,,447.0,444.0,7396.0,8047.0
